date,open,high,low,close,volume,instrument_key
2025-03-18,162.0,166.75,161.83,166.49,2839881.0,NSE_EQ|INE674K01013
2025-03-19,166.92,171.49,166.25,170.79,4706833.0,NSE_EQ|INE674K01013
2025-03-20,173.0,177.4,171.19,176.78,6693138.0,NSE_EQ|INE674K01013
2025-03-21,178.7,186.41,177.46,185.52,13679696.0,NSE_EQ|INE674K01013
2025-03-24,186.38,187.6,183.25,184.59,4193804.0,NSE_EQ|INE674K01013
2025-03-25,185.5,185.5,181.0,181.55,3112169.0,NSE_EQ|INE674K01013
2025-03-26,181.5,185.19,180.0,181.43,2933935.0,NSE_EQ|INE674K01013
2025-03-27,180.21,186.5,177.51,185.21,4528452.0,NSE_EQ|INE674K01013
2025-03-28,185.21,187.64,183.06,185.07,2919014.0,NSE_EQ|INE674K01013
2025-04-01,183.07,185.82,180.51,184.03,3470386.0,NSE_EQ|INE674K01013
2025-04-02,184.11,190.8,182.12,190.16,4221124.0,NSE_EQ|INE674K01013
2025-04-03,190.0,193.7,187.41,193.34,5791029.0,NSE_EQ|INE674K01013
2025-04-04,192.75,193.03,185.97,188.26,4501520.0,NSE_EQ|INE674K01013
2025-04-07,169.43,181.7,169.43,179.34,10219908.0,NSE_EQ|INE674K01013
2025-04-08,183.78,187.76,181.11,184.02,4734526.0,NSE_EQ|INE674K01013
2025-04-09,184.0,185.49,180.4,181.95,5739540.0,NSE_EQ|INE674K01013
2025-04-11,184.0,188.0,183.9,185.33,4469518.0,NSE_EQ|INE674K01013
2025-04-15,188.0,191.0,186.69,190.64,3226844.0,NSE_EQ|INE674K01013
2025-04-16,191.0,196.34,190.09,195.82,6296910.0,NSE_EQ|INE674K01013
2025-04-17,196.0,199.0,195.5,198.18,5630583.0,NSE_EQ|INE674K01013
2025-04-21,199.9,204.99,197.85,202.49,6404738.0,NSE_EQ|INE674K01013
2025-04-22,203.0,206.99,202.65,203.82,5509241.0,NSE_EQ|INE674K01013
2025-04-23,204.95,208.8,200.5,207.98,4082754.0,NSE_EQ|INE674K01013
2025-04-24,207.01,208.23,202.02,203.1,3596167.0,NSE_EQ|INE674K01013
2025-04-25,202.73,204.2,194.0,195.94,5773192.0,NSE_EQ|INE674K01013
2025-04-28,195.0,200.95,195.0,199.42,3069376.0,NSE_EQ|INE674K01013
2025-04-29,201.0,203.0,199.1,199.71,3138260.0,NSE_EQ|INE674K01013
2025-04-30,199.6,199.7,195.22,196.36,2527340.0,NSE_EQ|INE674K01013
2025-05-02,197.0,201.8,195.9,198.08,3173576.0,NSE_EQ|INE674K01013
2025-05-05,198.0,200.94,197.59,199.32,2452802.0,NSE_EQ|INE674K01013
2025-05-06,198.5,200.78,191.42,191.94,4092349.0,NSE_EQ|INE674K01013
2025-05-07,188.93,201.65,188.41,200.75,7202675.0,NSE_EQ|INE674K01013
2025-05-08,200.7,204.5,193.0,194.62,4759157.0,NSE_EQ|INE674K01013
2025-05-09,190.0,194.88,189.81,193.17,4447930.0,NSE_EQ|INE674K01013
2025-05-12,199.4,205.98,199.01,205.54,4882715.0,NSE_EQ|INE674K01013
2025-05-13,205.8,210.1,201.2,204.89,5571107.0,NSE_EQ|INE674K01013
2025-05-14,206.0,219.99,206.0,218.33,25410327.0,NSE_EQ|INE674K01013
2025-05-15,218.0,218.35,212.64,215.4,6750880.0,NSE_EQ|INE674K01013
2025-05-16,217.4,218.95,214.47,218.24,5702121.0,NSE_EQ|INE674K01013
2025-05-19,218.23,218.95,213.98,215.19,3401327.0,NSE_EQ|INE674K01013
2025-05-20,215.9,218.3,213.4,213.84,3304680.0,NSE_EQ|INE674K01013
2025-05-21,214.9,221.8,213.1,221.46,5961221.0,NSE_EQ|INE674K01013
