date,close,instrument_key
2025-03-18,798.55,NSE_EQ|INE931S01010
2025-03-19,813.9,NSE_EQ|INE931S01010
2025-03-20,815.1,NSE_EQ|INE931S01010
2025-03-21,831.7,NSE_EQ|INE931S01010
2025-03-24,820.25,NSE_EQ|INE931S01010
2025-03-25,816.55,NSE_EQ|INE931S01010
2025-03-26,803.0,NSE_EQ|INE931S01010
2025-03-27,872.85,NSE_EQ|INE931S01010
2025-03-28,872.0,NSE_EQ|INE931S01010
2025-04-01,866.35,NSE_EQ|INE931S01010
2025-04-02,867.9,NSE_EQ|INE931S01010
2025-04-03,884.35,NSE_EQ|INE931S01010
2025-04-04,859.4,NSE_EQ|INE931S01010
2025-04-07,815.05,NSE_EQ|INE931S01010
2025-04-08,841.15,NSE_EQ|INE931S01010
2025-04-09,837.4,NSE_EQ|INE931S01010
2025-04-11,844.8,NSE_EQ|INE931S01010
2025-04-15,887.4,NSE_EQ|INE931S01010
2025-04-16,895.15,NSE_EQ|INE931S01010
2025-04-17,914.15,NSE_EQ|INE931S01010
2025-04-21,937.5,NSE_EQ|INE931S01010
2025-04-22,929.6,NSE_EQ|INE931S01010
2025-04-23,938.8,NSE_EQ|INE931S01010
2025-04-24,961.7,NSE_EQ|INE931S01010
2025-04-25,914.35,NSE_EQ|INE931S01010
2025-04-28,925.3,NSE_EQ|INE931S01010
2025-04-29,917.65,NSE_EQ|INE931S01010
2025-04-30,899.65,NSE_EQ|INE931S01010
2025-05-02,907.15,NSE_EQ|INE931S01010
2025-05-05,937.2,NSE_EQ|INE931S01010
2025-05-06,907.4,NSE_EQ|INE931S01010
2025-05-07,871.6,NSE_EQ|INE931S01010
2025-05-08,839.0,NSE_EQ|INE931S01010
2025-05-09,827.1,NSE_EQ|INE931S01010
2025-05-12,894.3,NSE_EQ|INE931S01010
2025-05-13,904.2,NSE_EQ|INE931S01010
2025-05-14,890.8,NSE_EQ|INE931S01010
2025-05-15,910.8,NSE_EQ|INE931S01010
2025-05-16,915.05,NSE_EQ|INE931S01010
2025-05-19,888.9,NSE_EQ|INE931S01010
2025-05-20,869.75,NSE_EQ|INE931S01010
2025-05-21,872.15,NSE_EQ|INE931S01010
2025-05-22,879.0,NSE_EQ|INE931S01010
2025-05-23,876.55,NSE_EQ|INE931S01010
2025-05-26,878.7,NSE_EQ|INE931S01010
2025-05-27,879.15,NSE_EQ|INE931S01010
2025-05-28,869.0,NSE_EQ|INE931S01010
2025-05-29,880.95,NSE_EQ|INE931S01010
2025-05-30,867.2,NSE_EQ|INE931S01010
2025-06-02,874.85,NSE_EQ|INE931S01010
2025-06-03,856.55,NSE_EQ|INE931S01010
2025-06-04,866.0,NSE_EQ|INE931S01010
2025-06-05,872.2,NSE_EQ|INE931S01010
2025-06-06,884.1,NSE_EQ|INE931S01010
2025-06-09,901.4,NSE_EQ|INE931S01010
2025-06-10,915.5,NSE_EQ|INE931S01010
2025-06-11,904.5,NSE_EQ|INE931S01010
2025-06-12,876.95,NSE_EQ|INE931S01010
2025-06-13,861.0,NSE_EQ|INE931S01010
2025-06-16,865.7,NSE_EQ|INE931S01010
2025-06-17,848.85,NSE_EQ|INE931S01010
2025-06-18,846.45,NSE_EQ|INE931S01010
2025-06-19,823.6,NSE_EQ|INE931S01010
2025-06-20,828.1,NSE_EQ|INE931S01010
2025-06-23,837.2,NSE_EQ|INE931S01010
2025-06-24,851.85,NSE_EQ|INE931S01010
2025-06-25,850.2,NSE_EQ|INE931S01010
2025-06-26,864.75,NSE_EQ|INE931S01010
2025-06-27,883.7,NSE_EQ|INE931S01010
2025-06-30,881.75,NSE_EQ|INE931S01010
2025-07-01,872.4,NSE_EQ|INE931S01010
2025-07-02,878.8,NSE_EQ|INE931S01010
2025-07-03,875.25,NSE_EQ|INE931S01010
2025-07-04,877.2,NSE_EQ|INE931S01010
2025-07-07,883.35,NSE_EQ|INE931S01010
2025-07-08,881.25,NSE_EQ|INE931S01010
2025-07-09,890.15,NSE_EQ|INE931S01010
2025-07-10,891.05,NSE_EQ|INE931S01010
2025-07-11,874.05,NSE_EQ|INE931S01010
2025-07-14,880.5,NSE_EQ|INE931S01010
2025-07-15,879.75,NSE_EQ|INE931S01010
2025-07-16,876.6,NSE_EQ|INE931S01010
2025-07-17,873.35,NSE_EQ|INE931S01010
2025-07-18,869.35,NSE_EQ|INE931S01010
2025-07-21,871.65,NSE_EQ|INE931S01010
2025-07-22,867.2,NSE_EQ|INE931S01010
2025-07-23,863.1,NSE_EQ|INE931S01010
2025-07-24,849.05,NSE_EQ|INE931S01010
2025-07-25,817.15,NSE_EQ|INE931S01010
2025-07-28,815.95,NSE_EQ|INE931S01010
2025-07-29,826.95,NSE_EQ|INE931S01010
2025-07-30,823.9,NSE_EQ|INE931S01010
2025-07-31,808.4,NSE_EQ|INE931S01010
2025-08-01,793.05,NSE_EQ|INE931S01010
2025-08-04,799.55,NSE_EQ|INE931S01010
2025-08-05,802.05,NSE_EQ|INE931S01010
2025-08-06,791.1,NSE_EQ|INE931S01010
2025-08-07,794.6,NSE_EQ|INE931S01010
