date,close,instrument_key
2025-03-18,103.25,NSE_EQ|INE814H01029
2025-03-19,104.2,NSE_EQ|INE814H01029
2025-03-20,103.95,NSE_EQ|INE814H01029
2025-03-21,104.4,NSE_EQ|INE814H01029
2025-03-24,104.8,NSE_EQ|INE814H01029
2025-03-25,101.55,NSE_EQ|INE814H01029
2025-03-26,99.55,NSE_EQ|INE814H01029
2025-03-27,104.0,NSE_EQ|INE814H01029
2025-03-28,101.85,NSE_EQ|INE814H01029
2025-04-01,100.95,NSE_EQ|INE814H01029
2025-04-02,102.7,NSE_EQ|INE814H01029
2025-04-03,105.75,NSE_EQ|INE814H01029
2025-04-04,106.5,NSE_EQ|INE814H01029
2025-04-07,102.0,NSE_EQ|INE814H01029
2025-04-08,102.7,NSE_EQ|INE814H01029
2025-04-09,101.7,NSE_EQ|INE814H01029
2025-04-11,103.65,NSE_EQ|INE814H01029
2025-04-15,108.45,NSE_EQ|INE814H01029
2025-04-16,109.1,NSE_EQ|INE814H01029
2025-04-17,109.95,NSE_EQ|INE814H01029
2025-04-21,113.8,NSE_EQ|INE814H01029
2025-04-22,114.65,NSE_EQ|INE814H01029
2025-04-23,115.9,NSE_EQ|INE814H01029
2025-04-24,115.15,NSE_EQ|INE814H01029
2025-04-25,109.85,NSE_EQ|INE814H01029
2025-04-28,110.55,NSE_EQ|INE814H01029
2025-04-29,109.75,NSE_EQ|INE814H01029
2025-04-30,106.4,NSE_EQ|INE814H01029
2025-05-02,105.05,NSE_EQ|INE814H01029
2025-05-05,111.3,NSE_EQ|INE814H01029
2025-05-06,107.2,NSE_EQ|INE814H01029
2025-05-07,106.4,NSE_EQ|INE814H01029
2025-05-08,104.05,NSE_EQ|INE814H01029
2025-05-09,102.4,NSE_EQ|INE814H01029
2025-05-12,109.3,NSE_EQ|INE814H01029
2025-05-13,107.75,NSE_EQ|INE814H01029
2025-05-14,107.95,NSE_EQ|INE814H01029
2025-05-15,108.6,NSE_EQ|INE814H01029
2025-05-16,113.1,NSE_EQ|INE814H01029
2025-05-19,112.45,NSE_EQ|INE814H01029
2025-05-20,111.25,NSE_EQ|INE814H01029
2025-05-21,110.25,NSE_EQ|INE814H01029
2025-05-22,110.75,NSE_EQ|INE814H01029
2025-05-23,110.65,NSE_EQ|INE814H01029
2025-05-26,111.7,NSE_EQ|INE814H01029
2025-05-27,110.5,NSE_EQ|INE814H01029
2025-05-28,110.15,NSE_EQ|INE814H01029
2025-05-29,110.4,NSE_EQ|INE814H01029
2025-05-30,108.75,NSE_EQ|INE814H01029
2025-06-02,111.0,NSE_EQ|INE814H01029
2025-06-03,108.9,NSE_EQ|INE814H01029
2025-06-04,109.05,NSE_EQ|INE814H01029
2025-06-05,109.55,NSE_EQ|INE814H01029
2025-06-06,111.05,NSE_EQ|INE814H01029
2025-06-09,112.6,NSE_EQ|INE814H01029
2025-06-10,119.2,NSE_EQ|INE814H01029
2025-06-11,117.4,NSE_EQ|INE814H01029
2025-06-12,113.45,NSE_EQ|INE814H01029
2025-06-13,114.2,NSE_EQ|INE814H01029
2025-06-16,112.6,NSE_EQ|INE814H01029
2025-06-17,111.65,NSE_EQ|INE814H01029
2025-06-18,110.15,NSE_EQ|INE814H01029
2025-06-19,107.3,NSE_EQ|INE814H01029
2025-06-20,106.05,NSE_EQ|INE814H01029
2025-06-23,107.6,NSE_EQ|INE814H01029
2025-06-24,109.35,NSE_EQ|INE814H01029
2025-06-25,111.4,NSE_EQ|INE814H01029
2025-06-26,115.65,NSE_EQ|INE814H01029
2025-06-27,116.85,NSE_EQ|INE814H01029
2025-06-30,117.15,NSE_EQ|INE814H01029
2025-07-01,118.3,NSE_EQ|INE814H01029
2025-07-02,118.3,NSE_EQ|INE814H01029
2025-07-03,117.6,NSE_EQ|INE814H01029
2025-07-04,116.95,NSE_EQ|INE814H01029
2025-07-07,119.45,NSE_EQ|INE814H01029
2025-07-08,120.0,NSE_EQ|INE814H01029
2025-07-09,120.45,NSE_EQ|INE814H01029
2025-07-10,121.15,NSE_EQ|INE814H01029
2025-07-11,120.8,NSE_EQ|INE814H01029
2025-07-14,121.9,NSE_EQ|INE814H01029
2025-07-15,121.6,NSE_EQ|INE814H01029
2025-07-16,120.95,NSE_EQ|INE814H01029
2025-07-17,119.75,NSE_EQ|INE814H01029
2025-07-18,118.95,NSE_EQ|INE814H01029
2025-07-21,119.3,NSE_EQ|INE814H01029
2025-07-22,118.1,NSE_EQ|INE814H01029
2025-07-23,117.8,NSE_EQ|INE814H01029
2025-07-24,117.15,NSE_EQ|INE814H01029
2025-07-25,114.0,NSE_EQ|INE814H01029
2025-07-28,114.15,NSE_EQ|INE814H01029
2025-07-29,118.5,NSE_EQ|INE814H01029
2025-07-30,117.95,NSE_EQ|INE814H01029
2025-07-31,117.6,NSE_EQ|INE814H01029
2025-08-01,113.4,NSE_EQ|INE814H01029
2025-08-04,116.8,NSE_EQ|INE814H01029
2025-08-05,115.9,NSE_EQ|INE814H01029
2025-08-06,113.5,NSE_EQ|INE814H01029
2025-08-07,115.8,NSE_EQ|INE814H01029
2025-08-08,115.4,NSE_EQ|INE814H01029
2025-08-11,118.8,NSE_EQ|INE814H01029
2025-08-12,118.3,NSE_EQ|INE814H01029
2025-08-13,117.1,NSE_EQ|INE814H01029
2025-08-14,116.8,NSE_EQ|INE814H01029
2025-08-18,119.75,NSE_EQ|INE814H01029
2025-08-19,121.2,NSE_EQ|INE814H01029
2025-08-20,120.0,NSE_EQ|INE814H01029
2025-08-21,119.25,NSE_EQ|INE814H01029
2025-08-22,118.85,NSE_EQ|INE814H01029
2025-08-25,121.15,NSE_EQ|INE814H01029
2025-08-26,118.4,NSE_EQ|INE814H01029
2025-08-28,119.0,NSE_EQ|INE814H01029
2025-08-29,120.15,NSE_EQ|INE814H01029
2025-09-01,121.35,NSE_EQ|INE814H01029
2025-09-02,121.65,NSE_EQ|INE814H01029
2025-09-03,121.85,NSE_EQ|INE814H01029
2025-09-04,121.75,NSE_EQ|INE814H01029
2025-09-05,121.95,NSE_EQ|INE814H01029
2025-09-08,126.75,NSE_EQ|INE814H01029
2025-09-09,128.75,NSE_EQ|INE814H01029
2025-09-10,126.9,NSE_EQ|INE814H01029
2025-09-11,124.95,NSE_EQ|INE814H01029
2025-09-12,129.7,NSE_EQ|INE814H01029
2025-09-15,128.85,NSE_EQ|INE814H01029
