date,open,high,low,close,volume,instrument_key
2025-03-18,6550.0,6728.95,6512.05,6632.85,554155.0,NSE_EQ|INE371P01015
2025-03-19,6609.25,6900.0,6609.2,6861.9,489592.0,NSE_EQ|INE371P01015
2025-03-20,6900.0,7347.4,6896.15,7248.5,1540246.0,NSE_EQ|INE371P01015
2025-03-21,7260.0,7261.25,6840.0,6890.55,783413.0,NSE_EQ|INE371P01015
2025-03-24,6980.1,7085.0,6896.95,7001.75,452595.0,NSE_EQ|INE371P01015
2025-03-25,7070.45,7139.8,6839.8,6884.9,352793.0,NSE_EQ|INE371P01015
2025-03-26,6900.0,6992.45,6741.85,6857.15,295298.0,NSE_EQ|INE371P01015
2025-03-27,6827.2,7204.95,6728.3,7131.3,564817.0,NSE_EQ|INE371P01015
2025-03-28,7181.0,7299.0,7180.0,7210.85,511573.0,NSE_EQ|INE371P01015
2025-04-01,7180.0,7219.0,6848.2,6879.55,376900.0,NSE_EQ|INE371P01015
2025-04-02,6900.0,7009.0,6801.35,6996.05,312615.0,NSE_EQ|INE371P01015
2025-04-03,6940.0,7058.0,6878.8,6929.9,237625.0,NSE_EQ|INE371P01015
2025-04-04,6915.0,6973.2,6518.25,6595.15,307246.0,NSE_EQ|INE371P01015
2025-04-07,5700.5,6294.45,5675.25,6151.4,387620.0,NSE_EQ|INE371P01015
2025-04-08,6450.0,6523.0,6306.3,6458.05,400725.0,NSE_EQ|INE371P01015
2025-04-09,6416.0,6417.5,6088.0,6159.4,390920.0,NSE_EQ|INE371P01015
2025-04-11,6340.0,6587.0,6250.0,6530.05,609690.0,NSE_EQ|INE371P01015
2025-04-15,6790.0,6930.0,6735.5,6880.0,397603.0,NSE_EQ|INE371P01015
2025-04-16,6870.0,6870.0,6721.0,6744.5,284043.0,NSE_EQ|INE371P01015
2025-04-17,6790.0,6974.0,6643.5,6686.0,633384.0,NSE_EQ|INE371P01015
2025-04-21,6799.0,6824.0,6711.5,6751.0,250408.0,NSE_EQ|INE371P01015
2025-04-22,6819.0,6819.0,6600.0,6635.0,391558.0,NSE_EQ|INE371P01015
2025-04-23,6700.0,6770.0,6525.0,6606.0,311464.0,NSE_EQ|INE371P01015
2025-04-24,6644.0,6644.0,6358.0,6388.0,333424.0,NSE_EQ|INE371P01015
2025-04-25,6436.0,6470.0,6250.5,6394.0,339260.0,NSE_EQ|INE371P01015
2025-04-28,6388.0,6469.0,6233.5,6381.0,230556.0,NSE_EQ|INE371P01015
