date,close,instrument_key
2025-03-18,498.15,NSE_EQ|INE079A01024
2025-03-19,507.05,NSE_EQ|INE079A01024
2025-03-20,504.7,NSE_EQ|INE079A01024
2025-03-21,514.5,NSE_EQ|INE079A01024
2025-03-24,519.3,NSE_EQ|INE079A01024
2025-03-25,520.55,NSE_EQ|INE079A01024
2025-03-26,532.45,NSE_EQ|INE079A01024
2025-03-27,542.8,NSE_EQ|INE079A01024
2025-03-28,538.35,NSE_EQ|INE079A01024
2025-04-01,529.9,NSE_EQ|INE079A01024
2025-04-02,534.05,NSE_EQ|INE079A01024
2025-04-03,540.7,NSE_EQ|INE079A01024
2025-04-04,528.2,NSE_EQ|INE079A01024
2025-04-07,525.2,NSE_EQ|INE079A01024
2025-04-08,536.8,NSE_EQ|INE079A01024
2025-04-09,547.8,NSE_EQ|INE079A01024
2025-04-11,548.65,NSE_EQ|INE079A01024
2025-04-15,558.05,NSE_EQ|INE079A01024
2025-04-16,565.75,NSE_EQ|INE079A01024
2025-04-17,569.8,NSE_EQ|INE079A01024
2025-04-21,578.9,NSE_EQ|INE079A01024
2025-04-22,577.9,NSE_EQ|INE079A01024
2025-04-23,574.35,NSE_EQ|INE079A01024
2025-04-24,572.0,NSE_EQ|INE079A01024
2025-04-25,548.7,NSE_EQ|INE079A01024
2025-04-28,544.95,NSE_EQ|INE079A01024
2025-04-29,533.95,NSE_EQ|INE079A01024
2025-04-30,539.7,NSE_EQ|INE079A01024
2025-05-02,531.7,NSE_EQ|INE079A01024
2025-05-05,541.4,NSE_EQ|INE079A01024
2025-05-06,535.15,NSE_EQ|INE079A01024
2025-05-07,535.2,NSE_EQ|INE079A01024
2025-05-08,524.4,NSE_EQ|INE079A01024
2025-05-09,527.45,NSE_EQ|INE079A01024
2025-05-12,541.65,NSE_EQ|INE079A01024
2025-05-13,536.9,NSE_EQ|INE079A01024
2025-05-14,543.6,NSE_EQ|INE079A01024
2025-05-15,547.55,NSE_EQ|INE079A01024
2025-05-16,563.5,NSE_EQ|INE079A01024
2025-05-19,565.55,NSE_EQ|INE079A01024
2025-05-20,562.05,NSE_EQ|INE079A01024
2025-05-21,567.8,NSE_EQ|INE079A01024
2025-05-22,567.75,NSE_EQ|INE079A01024
2025-05-23,570.9,NSE_EQ|INE079A01024
2025-05-26,567.15,NSE_EQ|INE079A01024
2025-05-27,562.7,NSE_EQ|INE079A01024
2025-05-28,561.65,NSE_EQ|INE079A01024
2025-05-29,561.45,NSE_EQ|INE079A01024
2025-05-30,553.5,NSE_EQ|INE079A01024
2025-06-02,555.55,NSE_EQ|INE079A01024
2025-06-03,552.4,NSE_EQ|INE079A01024
2025-06-04,552.45,NSE_EQ|INE079A01024
2025-06-05,550.15,NSE_EQ|INE079A01024
2025-06-06,555.15,NSE_EQ|INE079A01024
2025-06-09,560.0,NSE_EQ|INE079A01024
2025-06-10,561.1,NSE_EQ|INE079A01024
2025-06-11,561.25,NSE_EQ|INE079A01024
2025-06-12,548.35,NSE_EQ|INE079A01024
2025-06-13,542.5,NSE_EQ|INE079A01024
2025-06-16,550.15,NSE_EQ|INE079A01024
2025-06-17,550.9,NSE_EQ|INE079A01024
2025-06-18,545.05,NSE_EQ|INE079A01024
2025-06-19,532.8,NSE_EQ|INE079A01024
2025-06-20,533.45,NSE_EQ|INE079A01024
2025-06-23,535.55,NSE_EQ|INE079A01024
2025-06-24,554.2,NSE_EQ|INE079A01024
2025-06-25,559.4,NSE_EQ|INE079A01024
2025-06-26,566.75,NSE_EQ|INE079A01024
2025-06-27,574.95,NSE_EQ|INE079A01024
2025-06-30,577.45,NSE_EQ|INE079A01024
2025-07-01,580.25,NSE_EQ|INE079A01024
2025-07-02,594.2,NSE_EQ|INE079A01024
2025-07-03,588.75,NSE_EQ|INE079A01024
