date,open,high,low,close,volume,instrument_key
2025-03-18,431.2,432.0,425.15,429.45,402018.0,NSE_EQ|INE914M01019
2025-03-19,421.1,432.75,421.1,430.65,285746.0,NSE_EQ|INE914M01019
2025-03-20,432.0,436.6,429.15,433.45,256357.0,NSE_EQ|INE914M01019
2025-03-21,435.5,436.85,429.2,433.0,1124055.0,NSE_EQ|INE914M01019
2025-03-24,434.95,439.6,428.3,436.0,993252.0,NSE_EQ|INE914M01019
2025-03-25,438.8,446.9,435.2,443.15,639555.0,NSE_EQ|INE914M01019
2025-03-26,445.1,448.1,435.0,440.3,406915.0,NSE_EQ|INE914M01019
2025-03-27,435.05,460.7,434.05,453.35,937018.0,NSE_EQ|INE914M01019
2025-03-28,455.05,504.0,451.8,483.5,26484708.0,NSE_EQ|INE914M01019
2025-04-01,479.45,492.2,473.55,479.55,1900617.0,NSE_EQ|INE914M01019
2025-04-02,475.0,481.2,465.05,479.65,710770.0,NSE_EQ|INE914M01019
2025-04-03,477.95,491.5,474.4,486.9,548116.0,NSE_EQ|INE914M01019
2025-04-04,489.0,493.7,472.85,482.5,713001.0,NSE_EQ|INE914M01019
2025-04-07,450.0,483.65,450.0,475.8,1319040.0,NSE_EQ|INE914M01019
2025-04-08,481.25,493.8,477.0,481.2,750876.0,NSE_EQ|INE914M01019
2025-04-09,479.2,499.6,477.5,492.75,1705787.0,NSE_EQ|INE914M01019
2025-04-11,498.15,503.45,493.05,500.3,933050.0,NSE_EQ|INE914M01019
2025-04-15,501.5,509.1,486.45,489.45,1225012.0,NSE_EQ|INE914M01019
2025-04-16,498.0,503.45,493.25,500.3,770244.0,NSE_EQ|INE914M01019
2025-04-17,500.0,509.9,497.3,499.5,547398.0,NSE_EQ|INE914M01019
2025-04-21,503.8,506.5,498.1,503.1,401588.0,NSE_EQ|INE914M01019
2025-04-22,502.15,515.75,500.25,512.4,530240.0,NSE_EQ|INE914M01019
2025-04-23,514.9,514.9,503.3,505.85,353599.0,NSE_EQ|INE914M01019
2025-04-24,500.1,514.95,500.1,508.9,588986.0,NSE_EQ|INE914M01019
2025-04-25,513.0,515.5,492.2,505.25,696766.0,NSE_EQ|INE914M01019
2025-04-28,501.7,518.75,500.55,513.05,721328.0,NSE_EQ|INE914M01019
2025-04-29,515.0,519.85,508.3,511.9,287665.0,NSE_EQ|INE914M01019
2025-04-30,511.0,511.15,500.45,504.95,1381230.0,NSE_EQ|INE914M01019
2025-05-02,505.95,513.85,496.95,509.85,719516.0,NSE_EQ|INE914M01019
2025-05-05,512.7,530.8,505.85,524.9,942968.0,NSE_EQ|INE914M01019
2025-05-06,532.5,532.5,514.25,520.65,584640.0,NSE_EQ|INE914M01019
2025-05-07,510.0,537.3,508.5,535.0,1232117.0,NSE_EQ|INE914M01019
2025-05-08,537.5,547.5,525.0,532.8,1087070.0,NSE_EQ|INE914M01019
2025-05-09,522.1,533.8,518.95,529.5,551615.0,NSE_EQ|INE914M01019
2025-05-12,545.0,552.95,542.75,548.75,996044.0,NSE_EQ|INE914M01019
2025-05-13,548.0,554.3,543.7,550.1,551271.0,NSE_EQ|INE914M01019
2025-05-14,552.0,576.75,547.0,573.7,1132600.0,NSE_EQ|INE914M01019
2025-05-15,573.8,609.5,571.4,581.45,2910329.0,NSE_EQ|INE914M01019
2025-05-16,582.0,592.7,574.0,589.85,480783.0,NSE_EQ|INE914M01019
2025-05-19,596.05,606.5,582.0,584.15,790081.0,NSE_EQ|INE914M01019
2025-05-20,587.5,597.25,576.15,579.4,437347.0,NSE_EQ|INE914M01019
2025-05-21,597.0,598.0,550.0,551.35,3087369.0,NSE_EQ|INE914M01019
