date,open,high,low,close,volume,instrument_key
2025-03-18,607.9,611.0,604.1,609.0,573899.0,NSE_EQ|INE399L01023
2025-03-19,610.0,625.75,610.0,622.6,809641.0,NSE_EQ|INE399L01023
2025-03-20,632.0,635.75,615.25,619.65,1008769.0,NSE_EQ|INE399L01023
2025-03-21,623.95,638.0,619.0,630.7,1169489.0,NSE_EQ|INE399L01023
2025-03-24,635.65,641.9,623.0,625.1,703039.0,NSE_EQ|INE399L01023
2025-03-25,625.4,631.15,603.95,607.75,891269.0,NSE_EQ|INE399L01023
2025-03-26,607.75,618.75,596.7,598.05,1097890.0,NSE_EQ|INE399L01023
2025-03-27,597.2,617.2,595.6,611.9,6804918.0,NSE_EQ|INE399L01023
2025-03-28,615.3,632.5,599.8,602.6,1764020.0,NSE_EQ|INE399L01023
2025-04-01,599.05,602.85,581.35,592.15,1551248.0,NSE_EQ|INE399L01023
2025-04-02,595.0,601.0,578.1,598.75,1329369.0,NSE_EQ|INE399L01023
2025-04-03,593.45,610.0,589.25,605.05,1080140.0,NSE_EQ|INE399L01023
2025-04-04,606.0,608.55,587.1,591.3,885521.0,NSE_EQ|INE399L01023
2025-04-07,545.5,578.75,545.5,569.7,815626.0,NSE_EQ|INE399L01023
2025-04-08,587.65,590.0,575.5,584.95,585513.0,NSE_EQ|INE399L01023
2025-04-09,584.0,586.0,576.4,579.4,348619.0,NSE_EQ|INE399L01023
2025-04-11,598.0,601.2,587.6,592.05,650826.0,NSE_EQ|INE399L01023
2025-04-15,600.0,612.15,596.55,610.65,716934.0,NSE_EQ|INE399L01023
2025-04-16,603.0,610.55,601.05,608.0,560440.0,NSE_EQ|INE399L01023
2025-04-17,607.9,622.25,604.0,608.25,928948.0,NSE_EQ|INE399L01023
2025-04-21,614.0,627.25,609.0,624.25,868598.0,NSE_EQ|INE399L01023
2025-04-22,627.2,634.0,618.1,620.85,668294.0,NSE_EQ|INE399L01023
2025-04-23,621.95,629.9,619.35,626.5,584430.0,NSE_EQ|INE399L01023
2025-04-24,626.0,631.75,621.55,624.95,600192.0,NSE_EQ|INE399L01023
2025-04-25,626.0,629.0,594.0,600.0,902183.0,NSE_EQ|INE399L01023
2025-04-28,600.0,622.2,600.0,617.0,1012889.0,NSE_EQ|INE399L01023
2025-04-29,621.05,625.0,608.0,609.75,629183.0,NSE_EQ|INE399L01023
2025-04-30,612.0,612.0,595.15,600.2,411519.0,NSE_EQ|INE399L01023
2025-05-02,599.0,613.9,597.5,599.75,518330.0,NSE_EQ|INE399L01023
2025-05-05,607.0,684.4,603.45,665.55,16749924.0,NSE_EQ|INE399L01023
2025-05-06,666.9,677.65,630.0,632.95,4149196.0,NSE_EQ|INE399L01023
2025-05-07,613.65,635.95,611.5,625.45,1269091.0,NSE_EQ|INE399L01023
2025-05-08,633.25,637.65,604.0,609.75,976521.0,NSE_EQ|INE399L01023
2025-05-09,590.55,606.8,587.1,601.1,1363901.0,NSE_EQ|INE399L01023
2025-05-12,630.0,640.0,622.15,631.1,1452771.0,NSE_EQ|INE399L01023
2025-05-13,634.0,656.0,629.0,648.35,1900554.0,NSE_EQ|INE399L01023
2025-05-14,653.9,658.3,646.0,656.05,863692.0,NSE_EQ|INE399L01023
2025-05-15,655.05,662.0,649.95,660.4,832453.0,NSE_EQ|INE399L01023
2025-05-16,661.5,689.5,661.5,681.6,2828190.0,NSE_EQ|INE399L01023
2025-05-19,685.65,686.95,671.3,676.0,996717.0,NSE_EQ|INE399L01023
2025-05-20,678.0,679.5,657.15,659.95,818977.0,NSE_EQ|INE399L01023
2025-05-21,661.25,667.95,656.05,663.35,454876.0,NSE_EQ|INE399L01023
2025-05-22,658.9,669.55,651.7,658.05,490767.0,NSE_EQ|INE399L01023
2025-05-23,664.65,666.35,656.6,658.5,523959.0,NSE_EQ|INE399L01023
2025-05-26,664.6,675.5,662.05,669.7,733875.0,NSE_EQ|INE399L01023
2025-05-27,669.7,680.75,664.25,674.3,625891.0,NSE_EQ|INE399L01023
2025-05-28,675.0,685.5,670.6,673.0,620450.0,NSE_EQ|INE399L01023
2025-05-29,673.05,684.0,668.0,680.75,844156.0,NSE_EQ|INE399L01023
2025-05-30,680.75,693.0,670.05,683.75,1202369.0,NSE_EQ|INE399L01023
2025-06-02,685.0,694.65,676.05,690.35,1097990.0,NSE_EQ|INE399L01023
2025-06-03,687.05,695.0,675.05,678.85,864468.0,NSE_EQ|INE399L01023
2025-06-04,682.0,684.7,673.1,682.45,569059.0,NSE_EQ|INE399L01023
2025-06-05,684.7,690.05,677.3,682.35,616872.0,NSE_EQ|INE399L01023
2025-06-06,684.0,692.85,675.6,679.95,950457.0,NSE_EQ|INE399L01023
2025-06-09,686.0,694.0,681.5,690.8,911914.0,NSE_EQ|INE399L01023
2025-06-10,696.0,721.0,690.15,713.1,2792402.0,NSE_EQ|INE399L01023
2025-06-11,716.0,718.75,692.1,697.6,1326185.0,NSE_EQ|INE399L01023
2025-06-12,700.0,701.95,670.1,672.75,1181155.0,NSE_EQ|INE399L01023
2025-06-13,658.9,666.55,654.5,658.8,959668.0,NSE_EQ|INE399L01023
2025-06-16,658.8,662.5,642.8,658.8,736925.0,NSE_EQ|INE399L01023
2025-06-17,663.0,663.0,645.0,646.85,630560.0,NSE_EQ|INE399L01023
2025-06-18,646.85,664.5,645.35,650.95,925059.0,NSE_EQ|INE399L01023
2025-06-19,654.0,654.0,621.0,622.6,1322163.0,NSE_EQ|INE399L01023
2025-06-20,622.6,633.55,613.95,617.1,4454650.0,NSE_EQ|INE399L01023
2025-06-23,614.55,631.2,608.15,629.7,1169567.0,NSE_EQ|INE399L01023
