date,open,high,low,close,volume,instrument_key
2025-03-18,495.8,507.4,478.35,504.0,4908953.0,NSE_EQ|INE949L01017
2025-03-19,506.0,530.5,505.5,525.8,2859237.0,NSE_EQ|INE949L01017
2025-03-20,525.05,534.35,510.1,525.25,2151278.0,NSE_EQ|INE949L01017
2025-03-21,527.9,545.6,525.65,542.8,3193144.0,NSE_EQ|INE949L01017
2025-03-24,543.45,555.55,542.15,550.05,2777258.0,NSE_EQ|INE949L01017
2025-03-25,551.9,561.35,550.0,557.9,4004101.0,NSE_EQ|INE949L01017
2025-03-26,565.0,580.35,563.55,573.75,8030660.0,NSE_EQ|INE949L01017
2025-03-27,569.55,573.75,544.2,554.4,10765998.0,NSE_EQ|INE949L01017
2025-03-28,559.0,562.1,530.75,534.6,3118677.0,NSE_EQ|INE949L01017
2025-04-01,532.9,543.5,528.05,529.9,2210272.0,NSE_EQ|INE949L01017
2025-04-02,535.0,540.6,521.65,539.5,1932324.0,NSE_EQ|INE949L01017
2025-04-03,531.0,565.7,531.0,563.45,4674160.0,NSE_EQ|INE949L01017
2025-04-04,559.85,559.85,544.7,552.1,2024869.0,NSE_EQ|INE949L01017
2025-04-07,515.0,552.95,513.5,541.7,1814337.0,NSE_EQ|INE949L01017
2025-04-08,550.0,552.5,543.05,545.6,1450103.0,NSE_EQ|INE949L01017
2025-04-09,548.0,557.85,540.0,554.3,1862435.0,NSE_EQ|INE949L01017
2025-04-11,560.0,564.85,550.85,557.1,2454627.0,NSE_EQ|INE949L01017
2025-04-15,565.0,579.1,553.25,576.0,3321684.0,NSE_EQ|INE949L01017
2025-04-16,575.95,583.5,566.0,582.35,2741238.0,NSE_EQ|INE949L01017
2025-04-17,582.35,591.3,576.4,586.55,2759263.0,NSE_EQ|INE949L01017
2025-04-21,592.8,641.75,592.0,623.6,9059537.0,NSE_EQ|INE949L01017
2025-04-22,623.8,626.8,610.5,613.8,4335283.0,NSE_EQ|INE949L01017
2025-04-23,620.0,669.9,620.0,665.45,20564151.0,NSE_EQ|INE949L01017
2025-04-24,658.5,694.8,655.6,681.05,11937594.0,NSE_EQ|INE949L01017
2025-04-25,681.0,681.0,662.4,675.15,4093320.0,NSE_EQ|INE949L01017
2025-04-28,673.0,690.0,665.05,688.4,3906817.0,NSE_EQ|INE949L01017
2025-04-29,690.0,713.0,690.0,706.05,5340417.0,NSE_EQ|INE949L01017
2025-04-30,707.0,707.0,675.85,678.6,3436267.0,NSE_EQ|INE949L01017
2025-05-02,680.0,688.45,674.25,676.4,4553653.0,NSE_EQ|INE949L01017
2025-05-05,666.0,683.45,655.5,678.6,11773963.0,NSE_EQ|INE949L01017
2025-05-06,679.5,688.0,668.6,671.75,2322138.0,NSE_EQ|INE949L01017
2025-05-07,665.05,688.5,663.45,687.6,2398908.0,NSE_EQ|INE949L01017
2025-05-08,688.0,711.0,685.9,689.0,3156954.0,NSE_EQ|INE949L01017
2025-05-09,675.0,690.85,671.6,687.0,3087519.0,NSE_EQ|INE949L01017
2025-05-12,705.0,707.65,696.65,703.4,3381357.0,NSE_EQ|INE949L01017
2025-05-13,703.4,706.1,695.9,699.75,1496327.0,NSE_EQ|INE949L01017
2025-05-14,700.0,700.75,688.25,690.5,1922009.0,NSE_EQ|INE949L01017
2025-05-15,691.0,697.2,688.0,690.1,1452358.0,NSE_EQ|INE949L01017
2025-05-16,692.7,693.6,683.05,684.85,723860.0,NSE_EQ|INE949L01017
2025-05-19,688.0,690.5,683.65,686.65,770078.0,NSE_EQ|INE949L01017
2025-05-20,689.9,695.1,684.0,687.5,1676816.0,NSE_EQ|INE949L01017
2025-05-21,691.5,693.75,680.7,692.9,1572397.0,NSE_EQ|INE949L01017
2025-05-22,689.6,693.4,682.55,689.15,713271.0,NSE_EQ|INE949L01017
2025-05-23,689.15,699.4,687.0,696.2,1098715.0,NSE_EQ|INE949L01017
2025-05-26,699.0,708.55,692.45,698.9,1125692.0,NSE_EQ|INE949L01017
2025-05-27,710.0,715.0,694.3,701.2,2969182.0,NSE_EQ|INE949L01017
2025-05-28,701.2,709.5,698.2,706.45,2873400.0,NSE_EQ|INE949L01017
2025-05-29,707.0,708.85,695.3,698.25,2742561.0,NSE_EQ|INE949L01017
2025-05-30,698.3,703.95,690.3,693.05,4271143.0,NSE_EQ|INE949L01017
2025-06-02,695.0,721.0,691.9,718.65,6542677.0,NSE_EQ|INE949L01017
2025-06-03,725.0,731.0,716.1,728.3,3563158.0,NSE_EQ|INE949L01017
2025-06-04,728.0,738.0,720.0,725.2,2257807.0,NSE_EQ|INE949L01017
