date,close,instrument_key
2025-03-18,1137.0,NSE_EQ|INE406A01037
2025-03-19,1163.8,NSE_EQ|INE406A01037
2025-03-20,1174.15,NSE_EQ|INE406A01037
2025-03-21,1200.35,NSE_EQ|INE406A01037
2025-03-24,1209.6,NSE_EQ|INE406A01037
2025-03-25,1194.95,NSE_EQ|INE406A01037
2025-03-26,1157.45,NSE_EQ|INE406A01037
2025-03-27,1164.25,NSE_EQ|INE406A01037
2025-03-28,1160.5,NSE_EQ|INE406A01037
2025-04-01,1134.15,NSE_EQ|INE406A01037
2025-04-02,1157.85,NSE_EQ|INE406A01037
2025-04-03,1176.35,NSE_EQ|INE406A01037
2025-04-04,1105.35,NSE_EQ|INE406A01037
2025-04-07,1094.05,NSE_EQ|INE406A01037
2025-04-08,1097.0,NSE_EQ|INE406A01037
2025-04-09,1058.0,NSE_EQ|INE406A01037
2025-04-11,1082.45,NSE_EQ|INE406A01037
2025-04-15,1134.7,NSE_EQ|INE406A01037
2025-04-16,1133.4,NSE_EQ|INE406A01037
2025-04-17,1171.6,NSE_EQ|INE406A01037
2025-04-21,1201.2,NSE_EQ|INE406A01037
2025-04-22,1187.7,NSE_EQ|INE406A01037
2025-04-23,1246.8,NSE_EQ|INE406A01037
2025-04-24,1257.8,NSE_EQ|INE406A01037
2025-04-25,1220.1,NSE_EQ|INE406A01037
2025-04-28,1247.2,NSE_EQ|INE406A01037
2025-04-29,1209.6,NSE_EQ|INE406A01037
2025-04-30,1229.1,NSE_EQ|INE406A01037
2025-05-02,1211.9,NSE_EQ|INE406A01037
2025-05-05,1242.0,NSE_EQ|INE406A01037
2025-05-06,1210.1,NSE_EQ|INE406A01037
2025-05-07,1197.1,NSE_EQ|INE406A01037
2025-05-08,1157.6,NSE_EQ|INE406A01037
2025-05-09,1164.4,NSE_EQ|INE406A01037
2025-05-12,1205.9,NSE_EQ|INE406A01037
2025-05-13,1223.8,NSE_EQ|INE406A01037
2025-05-14,1220.0,NSE_EQ|INE406A01037
2025-05-15,1216.9,NSE_EQ|INE406A01037
2025-05-16,1201.2,NSE_EQ|INE406A01037
2025-05-19,1205.9,NSE_EQ|INE406A01037
2025-05-20,1191.8,NSE_EQ|INE406A01037
2025-05-21,1204.1,NSE_EQ|INE406A01037
2025-05-22,1188.2,NSE_EQ|INE406A01037
2025-05-23,1197.1,NSE_EQ|INE406A01037
2025-05-26,1180.9,NSE_EQ|INE406A01037
2025-05-27,1191.2,NSE_EQ|INE406A01037
2025-05-28,1147.8,NSE_EQ|INE406A01037
2025-05-29,1172.9,NSE_EQ|INE406A01037
2025-05-30,1147.8,NSE_EQ|INE406A01037
2025-06-02,1136.8,NSE_EQ|INE406A01037
2025-06-03,1143.8,NSE_EQ|INE406A01037
2025-06-04,1138.7,NSE_EQ|INE406A01037
2025-06-05,1159.5,NSE_EQ|INE406A01037
2025-06-06,1161.1,NSE_EQ|INE406A01037
2025-06-09,1161.1,NSE_EQ|INE406A01037
2025-06-10,1170.9,NSE_EQ|INE406A01037
2025-06-11,1161.0,NSE_EQ|INE406A01037
2025-06-12,1155.2,NSE_EQ|INE406A01037
2025-06-13,1150.2,NSE_EQ|INE406A01037
2025-06-16,1145.4,NSE_EQ|INE406A01037
2025-06-17,1109.7,NSE_EQ|INE406A01037
2025-06-18,1105.3,NSE_EQ|INE406A01037
2025-06-19,1082.5,NSE_EQ|INE406A01037
2025-06-20,1097.2,NSE_EQ|INE406A01037
2025-06-23,1099.7,NSE_EQ|INE406A01037
2025-06-24,1104.2,NSE_EQ|INE406A01037
2025-06-25,1120.2,NSE_EQ|INE406A01037
2025-06-26,1123.2,NSE_EQ|INE406A01037
2025-06-27,1121.0,NSE_EQ|INE406A01037
2025-06-30,1134.8,NSE_EQ|INE406A01037
2025-07-01,1132.5,NSE_EQ|INE406A01037
2025-07-02,1158.0,NSE_EQ|INE406A01037
2025-07-03,1156.1,NSE_EQ|INE406A01037
2025-07-04,1191.3,NSE_EQ|INE406A01037
2025-07-07,1185.1,NSE_EQ|INE406A01037
2025-07-08,1147.7,NSE_EQ|INE406A01037
2025-07-09,1142.6,NSE_EQ|INE406A01037
2025-07-10,1129.9,NSE_EQ|INE406A01037
2025-07-11,1124.8,NSE_EQ|INE406A01037
2025-07-14,1138.6,NSE_EQ|INE406A01037
2025-07-15,1152.0,NSE_EQ|INE406A01037
2025-07-16,1152.9,NSE_EQ|INE406A01037
2025-07-17,1154.2,NSE_EQ|INE406A01037
2025-07-18,1139.5,NSE_EQ|INE406A01037
2025-07-21,1138.5,NSE_EQ|INE406A01037
2025-07-22,1101.4,NSE_EQ|INE406A01037
2025-07-23,1117.4,NSE_EQ|INE406A01037
2025-07-24,1114.1,NSE_EQ|INE406A01037
2025-07-25,1122.8,NSE_EQ|INE406A01037
2025-07-28,1127.0,NSE_EQ|INE406A01037
2025-07-29,1158.1,NSE_EQ|INE406A01037
2025-07-30,1158.0,NSE_EQ|INE406A01037
2025-07-31,1139.8,NSE_EQ|INE406A01037
2025-08-01,1079.8,NSE_EQ|INE406A01037
2025-08-04,1090.4,NSE_EQ|INE406A01037
2025-08-05,1079.3,NSE_EQ|INE406A01037
2025-08-06,1072.3,NSE_EQ|INE406A01037
2025-08-07,1069.6,NSE_EQ|INE406A01037
2025-08-08,1042.1,NSE_EQ|INE406A01037
2025-08-11,1052.9,NSE_EQ|INE406A01037
2025-08-12,1058.2,NSE_EQ|INE406A01037
2025-08-13,1078.2,NSE_EQ|INE406A01037
2025-08-14,1083.6,NSE_EQ|INE406A01037
2025-08-18,1089.3,NSE_EQ|INE406A01037
2025-08-19,1089.7,NSE_EQ|INE406A01037
2025-08-20,1046.4,NSE_EQ|INE406A01037
2025-08-21,1041.0,NSE_EQ|INE406A01037
2025-08-22,1050.4,NSE_EQ|INE406A01037
2025-08-25,1067.4,NSE_EQ|INE406A01037
2025-08-26,1045.6,NSE_EQ|INE406A01037
2025-08-28,1026.3,NSE_EQ|INE406A01037
2025-08-29,1027.9,NSE_EQ|INE406A01037
2025-09-01,1025.0,NSE_EQ|INE406A01037
2025-09-02,1022.2,NSE_EQ|INE406A01037
2025-09-03,1034.9,NSE_EQ|INE406A01037
2025-09-04,1036.0,NSE_EQ|INE406A01037
2025-09-05,1044.1,NSE_EQ|INE406A01037
2025-09-08,1040.2,NSE_EQ|INE406A01037
2025-09-09,1043.9,NSE_EQ|INE406A01037
2025-09-10,1050.3,NSE_EQ|INE406A01037
2025-09-11,1109.2,NSE_EQ|INE406A01037
2025-09-12,1094.4,NSE_EQ|INE406A01037
2025-09-15,1100.1,NSE_EQ|INE406A01037
2025-09-16,1091.6,NSE_EQ|INE406A01037
2025-09-17,1095.7,NSE_EQ|INE406A01037
2025-09-18,1128.9,NSE_EQ|INE406A01037
2025-09-19,1119.2,NSE_EQ|INE406A01037
2025-09-22,1117.4,NSE_EQ|INE406A01037
2025-09-23,1109.9,NSE_EQ|INE406A01037
2025-09-24,1090.9,NSE_EQ|INE406A01037
2025-09-25,1097.0,NSE_EQ|INE406A01037
2025-09-26,1090.0,NSE_EQ|INE406A01037
2025-09-29,1089.5,NSE_EQ|INE406A01037
2025-09-30,1083.9,NSE_EQ|INE406A01037
2025-10-01,1086.0,NSE_EQ|INE406A01037
2025-10-03,1093.3,NSE_EQ|INE406A01037
2025-10-06,1096.5,NSE_EQ|INE406A01037
2025-10-07,1090.1,NSE_EQ|INE406A01037
2025-10-08,1070.8,NSE_EQ|INE406A01037
2025-10-09,1119.9,NSE_EQ|INE406A01037
2025-10-10,1130.3,NSE_EQ|INE406A01037
2025-10-13,1136.8,NSE_EQ|INE406A01037
2025-10-14,1124.8,NSE_EQ|INE406A01037
2025-10-15,1109.0,NSE_EQ|INE406A01037
2025-10-16,1106.3,NSE_EQ|INE406A01037
2025-10-17,1101.0,NSE_EQ|INE406A01037
2025-10-20,1099.4,NSE_EQ|INE406A01037
2025-10-21,1100.5,NSE_EQ|INE406A01037
2025-10-23,1099.1,NSE_EQ|INE406A01037
2025-10-24,1085.0,NSE_EQ|INE406A01037
2025-10-27,1094.7,NSE_EQ|INE406A01037
2025-10-28,1099.4,NSE_EQ|INE406A01037
2025-10-29,1111.7,NSE_EQ|INE406A01037
2025-10-30,1102.5,NSE_EQ|INE406A01037
2025-10-31,1138.9,NSE_EQ|INE406A01037
2025-11-03,1158.6,NSE_EQ|INE406A01037
2025-11-04,1149.1,NSE_EQ|INE406A01037
2025-11-06,1140.6,NSE_EQ|INE406A01037
2025-11-07,1123.8,NSE_EQ|INE406A01037
2025-11-10,1154.8,NSE_EQ|INE406A01037
2025-11-11,1168.2,NSE_EQ|INE406A01037
2025-11-12,1183.6,NSE_EQ|INE406A01037
2025-11-13,1210.2,NSE_EQ|INE406A01037
2025-11-14,1222.5,NSE_EQ|INE406A01037
2025-11-17,1236.9,NSE_EQ|INE406A01037
2025-11-18,1239.3,NSE_EQ|INE406A01037
2025-11-19,1235.8,NSE_EQ|INE406A01037
2025-11-20,1207.7,NSE_EQ|INE406A01037
2025-11-21,1205.9,NSE_EQ|INE406A01037
2025-11-24,1194.0,NSE_EQ|INE406A01037
2025-11-25,1208.0,NSE_EQ|INE406A01037
2025-11-26,1227.4,NSE_EQ|INE406A01037
2025-11-27,1235.8,NSE_EQ|INE406A01037
2025-11-28,1226.7,NSE_EQ|INE406A01037
2025-12-01,1216.2,NSE_EQ|INE406A01037
2025-12-02,1215.2,NSE_EQ|INE406A01037
2025-12-03,1208.9,NSE_EQ|INE406A01037
2025-12-04,1223.1,NSE_EQ|INE406A01037
2025-12-05,1217.6,NSE_EQ|INE406A01037
2025-12-08,1177.4,NSE_EQ|INE406A01037
2025-12-09,1163.6,NSE_EQ|INE406A01037
2025-12-10,1172.6,NSE_EQ|INE406A01037
2025-12-11,1172.2,NSE_EQ|INE406A01037
2025-12-12,1195.1,NSE_EQ|INE406A01037
2025-12-15,1186.3,NSE_EQ|INE406A01037
2025-12-16,1178.1,NSE_EQ|INE406A01037
2025-12-17,1193.0,NSE_EQ|INE406A01037
2025-12-18,1209.3,NSE_EQ|INE406A01037
2025-12-19,1225.1,NSE_EQ|INE406A01037
2025-12-22,1224.5,NSE_EQ|INE406A01037
2025-12-23,1218.0,NSE_EQ|INE406A01037
2025-12-24,1211.4,NSE_EQ|INE406A01037
2025-12-26,1206.2,NSE_EQ|INE406A01037
2025-12-29,1200.1,NSE_EQ|INE406A01037
2025-12-30,1186.3,NSE_EQ|INE406A01037
2025-12-31,1183.0,NSE_EQ|INE406A01037
2026-01-01,1193.0,NSE_EQ|INE406A01037
2026-01-02,1215.4,NSE_EQ|INE406A01037
2026-01-05,1207.4,NSE_EQ|INE406A01037
2026-01-06,1231.3,NSE_EQ|INE406A01037
2026-01-07,1235.4,NSE_EQ|INE406A01037
2026-01-08,1206.1,NSE_EQ|INE406A01037
2026-01-09,1198.7,NSE_EQ|INE406A01037
2026-01-12,1172.9,NSE_EQ|INE406A01037
2026-01-13,1167.7,NSE_EQ|INE406A01037
2026-01-14,1180.1,NSE_EQ|INE406A01037
2026-01-16,1172.7,NSE_EQ|INE406A01037
2026-01-19,1167.6,NSE_EQ|INE406A01037
2026-01-20,1141.7,NSE_EQ|INE406A01037
2026-01-21,1121.7,NSE_EQ|INE406A01037
2026-01-22,1145.3,NSE_EQ|INE406A01037
2026-01-23,1132.5,NSE_EQ|INE406A01037
2026-01-27,1129.7,NSE_EQ|INE406A01037
2026-01-28,1139.9,NSE_EQ|INE406A01037
2026-01-29,1150.6,NSE_EQ|INE406A01037
2026-01-30,1207.7,NSE_EQ|INE406A01037
2026-02-01,1172.1,NSE_EQ|INE406A01037
2026-02-02,1171.0,NSE_EQ|INE406A01037
2026-02-03,1226.1,NSE_EQ|INE406A01037
2026-02-04,1212.7,NSE_EQ|INE406A01037
2026-02-05,1181.6,NSE_EQ|INE406A01037
2026-02-06,1191.0,NSE_EQ|INE406A01037
2026-02-09,1203.7,NSE_EQ|INE406A01037
2026-02-10,1124.1,NSE_EQ|INE406A01037
2026-02-11,1146.6,NSE_EQ|INE406A01037
2026-02-12,1157.9,NSE_EQ|INE406A01037
2026-02-13,1145.6,NSE_EQ|INE406A01037
2026-02-16,1184.6,NSE_EQ|INE406A01037
2026-02-17,1186.7,NSE_EQ|INE406A01037
2026-02-18,1159.6,NSE_EQ|INE406A01037
2026-02-19,1171.4,NSE_EQ|INE406A01037
2026-02-20,1158.8,NSE_EQ|INE406A01037
2026-02-23,1150.6,NSE_EQ|INE406A01037
2026-02-24,1164.4,NSE_EQ|INE406A01037
2026-02-25,1211.5,NSE_EQ|INE406A01037
2026-02-26,1220.7,NSE_EQ|INE406A01037
2026-02-27,1220.4,NSE_EQ|INE406A01037
