date,open,high,low,close,volume,instrument_key
2025-03-18,248.0,249.55,246.0,248.13,1110693.0,NSE_EQ|INE699H01024
2025-03-19,250.0,256.2,249.5,255.1,1733594.0,NSE_EQ|INE699H01024
2025-03-20,257.7,261.05,253.5,254.88,1914761.0,NSE_EQ|INE699H01024
2025-03-21,254.88,266.7,254.54,265.25,2999650.0,NSE_EQ|INE699H01024
2025-03-24,267.7,270.13,261.0,261.75,1896034.0,NSE_EQ|INE699H01024
2025-03-25,264.74,264.89,254.1,259.55,2435621.0,NSE_EQ|INE699H01024
2025-03-26,260.0,262.4,250.0,250.81,2048951.0,NSE_EQ|INE699H01024
2025-03-27,250.68,258.0,248.28,255.99,3491989.0,NSE_EQ|INE699H01024
2025-03-28,256.0,261.99,255.0,258.32,2878108.0,NSE_EQ|INE699H01024
2025-04-01,258.0,269.9,257.2,265.5,2571238.0,NSE_EQ|INE699H01024
2025-04-02,265.5,268.5,259.5,267.5,1280240.0,NSE_EQ|INE699H01024
2025-04-03,263.7,271.35,263.15,270.35,1461193.0,NSE_EQ|INE699H01024
2025-04-04,272.25,274.35,262.75,266.15,2039939.0,NSE_EQ|INE699H01024
2025-04-07,250.0,271.4,246.15,269.75,3240382.0,NSE_EQ|INE699H01024
2025-04-08,273.0,277.25,270.4,275.45,3005106.0,NSE_EQ|INE699H01024
2025-04-09,276.0,276.0,270.75,271.7,933340.0,NSE_EQ|INE699H01024
2025-04-11,275.0,279.7,271.3,272.55,1553155.0,NSE_EQ|INE699H01024
2025-04-15,275.7,284.5,274.5,280.25,3379856.0,NSE_EQ|INE699H01024
2025-04-16,282.85,285.2,280.0,283.05,1581195.0,NSE_EQ|INE699H01024
2025-04-17,283.2,287.35,281.15,284.45,1999708.0,NSE_EQ|INE699H01024
2025-04-21,284.45,291.2,281.75,285.35,2188740.0,NSE_EQ|INE699H01024
2025-04-22,285.5,289.3,283.1,283.6,1170170.0,NSE_EQ|INE699H01024
2025-04-23,285.05,285.9,278.35,283.9,1216106.0,NSE_EQ|INE699H01024
2025-04-24,282.1,286.3,282.1,283.35,857186.0,NSE_EQ|INE699H01024
2025-04-25,284.45,284.45,270.9,273.95,1505433.0,NSE_EQ|INE699H01024
2025-04-28,273.75,287.0,271.0,279.25,2516895.0,NSE_EQ|INE699H01024
2025-04-29,275.0,277.0,261.1,267.9,5928772.0,NSE_EQ|INE699H01024
2025-04-30,268.7,269.7,263.6,267.05,1873412.0,NSE_EQ|INE699H01024
2025-05-02,267.0,272.7,265.2,268.9,1697886.0,NSE_EQ|INE699H01024
2025-05-05,269.1,280.45,268.5,274.05,2688915.0,NSE_EQ|INE699H01024
2025-05-06,274.0,275.9,256.7,258.5,1640141.0,NSE_EQ|INE699H01024
2025-05-07,255.5,264.5,254.7,261.65,1618598.0,NSE_EQ|INE699H01024
2025-05-08,262.0,266.45,252.5,254.3,1778079.0,NSE_EQ|INE699H01024
2025-05-09,250.7,256.85,248.0,252.6,1627356.0,NSE_EQ|INE699H01024
2025-05-12,259.75,268.3,258.35,262.95,2682671.0,NSE_EQ|INE699H01024
2025-05-13,265.0,265.25,261.45,263.1,2151291.0,NSE_EQ|INE699H01024
2025-05-14,265.9,270.9,264.8,266.65,2169760.0,NSE_EQ|INE699H01024
2025-05-15,267.7,270.35,266.2,267.0,1577098.0,NSE_EQ|INE699H01024
2025-05-16,268.5,272.9,267.35,270.35,1729990.0,NSE_EQ|INE699H01024
2025-05-19,270.55,275.8,268.3,269.05,1548977.0,NSE_EQ|INE699H01024
2025-05-20,270.9,272.55,261.1,262.35,1638768.0,NSE_EQ|INE699H01024
2025-05-21,262.35,265.45,258.75,260.25,1312941.0,NSE_EQ|INE699H01024
2025-05-22,261.0,263.6,256.2,257.5,1698030.0,NSE_EQ|INE699H01024
2025-05-23,259.6,261.85,256.75,259.95,1186946.0,NSE_EQ|INE699H01024
2025-05-26,260.7,265.65,258.0,258.75,2194361.0,NSE_EQ|INE699H01024
2025-05-27,261.45,276.25,257.2,267.6,6702440.0,NSE_EQ|INE699H01024
2025-05-28,267.75,269.4,262.55,263.55,1702213.0,NSE_EQ|INE699H01024
2025-05-29,264.9,266.2,262.3,263.95,932581.0,NSE_EQ|INE699H01024
2025-05-30,265.0,279.85,263.8,275.0,17924411.0,NSE_EQ|INE699H01024
2025-06-02,268.95,273.9,268.1,270.2,2373477.0,NSE_EQ|INE699H01024
2025-06-03,271.55,273.6,267.05,270.1,1716464.0,NSE_EQ|INE699H01024
2025-06-04,269.45,270.65,266.2,268.7,845015.0,NSE_EQ|INE699H01024
2025-06-05,269.1,270.2,265.05,265.25,1416431.0,NSE_EQ|INE699H01024
2025-06-06,265.5,266.5,263.2,263.85,1296719.0,NSE_EQ|INE699H01024
2025-06-09,265.5,268.5,264.65,267.8,1162357.0,NSE_EQ|INE699H01024
2025-06-10,269.4,279.25,266.8,278.05,4605354.0,NSE_EQ|INE699H01024
2025-06-11,280.0,280.7,272.55,276.0,1726034.0,NSE_EQ|INE699H01024
2025-06-12,280.9,280.9,267.0,267.6,2360592.0,NSE_EQ|INE699H01024
2025-06-13,263.75,267.25,262.9,266.2,1056492.0,NSE_EQ|INE699H01024
2025-06-16,266.2,267.45,262.35,264.6,1159919.0,NSE_EQ|INE699H01024
2025-06-17,264.7,265.8,261.0,262.05,1119640.0,NSE_EQ|INE699H01024
2025-06-18,262.0,265.0,260.1,264.1,1358406.0,NSE_EQ|INE699H01024
2025-06-19,262.0,263.25,255.0,256.85,1374153.0,NSE_EQ|INE699H01024
2025-06-20,256.85,258.65,254.7,256.7,1632206.0,NSE_EQ|INE699H01024
2025-06-23,256.2,258.3,255.05,256.0,894768.0,NSE_EQ|INE699H01024
2025-06-24,259.05,260.6,253.75,255.65,1747242.0,NSE_EQ|INE699H01024
2025-06-25,257.0,259.9,256.3,259.5,826794.0,NSE_EQ|INE699H01024
2025-06-26,259.8,261.2,256.4,257.6,1439756.0,NSE_EQ|INE699H01024
