date,open,high,low,close,volume,instrument_key
2025-03-18,116.02,119.49,115.15,117.63,13840174.0,NSE_EQ|INE377Y01014
2025-03-19,119.2,125.25,118.81,121.59,27835210.0,NSE_EQ|INE377Y01014
2025-03-20,122.8,123.13,118.88,121.14,14546046.0,NSE_EQ|INE377Y01014
2025-03-21,121.5,126.99,118.55,123.61,75600670.0,NSE_EQ|INE377Y01014
2025-03-24,126.0,126.5,121.2,121.64,16070684.0,NSE_EQ|INE377Y01014
2025-03-25,122.85,123.74,118.88,119.63,12808904.0,NSE_EQ|INE377Y01014
2025-03-26,119.63,120.07,115.65,115.99,11700585.0,NSE_EQ|INE377Y01014
2025-03-27,115.8,127.58,115.16,125.48,32169741.0,NSE_EQ|INE377Y01014
2025-03-28,126.24,126.9,122.73,123.29,16795731.0,NSE_EQ|INE377Y01014
2025-04-01,121.15,124.2,121.0,121.69,6768024.0,NSE_EQ|INE377Y01014
2025-04-02,122.0,123.95,120.25,121.58,9350556.0,NSE_EQ|INE377Y01014
2025-04-03,120.93,125.5,120.65,124.62,12183590.0,NSE_EQ|INE377Y01014
2025-04-04,124.0,124.49,120.5,121.56,8020551.0,NSE_EQ|INE377Y01014
2025-04-07,112.55,118.9,111.0,118.08,14810796.0,NSE_EQ|INE377Y01014
2025-04-08,121.48,122.0,117.6,118.02,10697770.0,NSE_EQ|INE377Y01014
2025-04-09,117.92,119.99,116.61,118.25,7629208.0,NSE_EQ|INE377Y01014
2025-04-11,120.69,121.01,118.35,119.38,9650608.0,NSE_EQ|INE377Y01014
2025-04-15,121.0,125.8,120.7,124.23,14915197.0,NSE_EQ|INE377Y01014
2025-04-16,124.75,131.4,123.84,129.8,31248467.0,NSE_EQ|INE377Y01014
2025-04-17,129.8,130.74,128.0,128.69,12512050.0,NSE_EQ|INE377Y01014
2025-04-21,129.45,131.9,128.31,130.72,13733721.0,NSE_EQ|INE377Y01014
2025-04-22,131.35,133.95,130.95,131.16,15295254.0,NSE_EQ|INE377Y01014
2025-04-23,131.95,132.5,128.42,131.88,14314431.0,NSE_EQ|INE377Y01014
