date,close,instrument_key
2025-03-18,868.0,NSE_EQ|INE296A01032
2025-03-19,873.0,NSE_EQ|INE296A01032
2025-03-20,868.0,NSE_EQ|INE296A01032
2025-03-21,891.5,NSE_EQ|INE296A01032
2025-03-24,909.0,NSE_EQ|INE296A01032
2025-03-25,906.5,NSE_EQ|INE296A01032
2025-03-26,886.5,NSE_EQ|INE296A01032
2025-03-27,900.5,NSE_EQ|INE296A01032
2025-03-28,894.5,NSE_EQ|INE296A01032
2025-04-01,870.0,NSE_EQ|INE296A01032
2025-04-02,867.0,NSE_EQ|INE296A01032
2025-04-03,859.5,NSE_EQ|INE296A01032
2025-04-04,872.0,NSE_EQ|INE296A01032
2025-04-07,857.0,NSE_EQ|INE296A01032
2025-04-08,882.0,NSE_EQ|INE296A01032
2025-04-09,873.5,NSE_EQ|INE296A01032
2025-04-11,892.0,NSE_EQ|INE296A01032
2025-04-15,914.0,NSE_EQ|INE296A01032
2025-04-16,905.5,NSE_EQ|INE296A01032
2025-04-17,916.0,NSE_EQ|INE296A01032
2025-04-21,927.5,NSE_EQ|INE296A01032
2025-04-22,926.0,NSE_EQ|INE296A01032
2025-04-23,932.5,NSE_EQ|INE296A01032
2025-04-24,930.0,NSE_EQ|INE296A01032
2025-04-25,911.0,NSE_EQ|INE296A01032
2025-04-28,909.5,NSE_EQ|INE296A01032
2025-04-29,909.5,NSE_EQ|INE296A01032
2025-04-30,863.5,NSE_EQ|INE296A01032
2025-05-02,886.0,NSE_EQ|INE296A01032
2025-05-05,893.0,NSE_EQ|INE296A01032
2025-05-06,880.0,NSE_EQ|INE296A01032
2025-05-07,898.5,NSE_EQ|INE296A01032
2025-05-08,883.0,NSE_EQ|INE296A01032
2025-05-09,864.0,NSE_EQ|INE296A01032
2025-05-12,902.0,NSE_EQ|INE296A01032
2025-05-13,904.0,NSE_EQ|INE296A01032
2025-05-14,908.0,NSE_EQ|INE296A01032
2025-05-15,919.0,NSE_EQ|INE296A01032
2025-05-16,916.5,NSE_EQ|INE296A01032
2025-05-19,925.5,NSE_EQ|INE296A01032
2025-05-20,908.0,NSE_EQ|INE296A01032
2025-05-21,920.0,NSE_EQ|INE296A01032
2025-05-22,914.0,NSE_EQ|INE296A01032
2025-05-23,924.5,NSE_EQ|INE296A01032
2025-05-26,927.0,NSE_EQ|INE296A01032
2025-05-27,917.0,NSE_EQ|INE296A01032
2025-05-28,927.0,NSE_EQ|INE296A01032
2025-05-29,920.5,NSE_EQ|INE296A01032
2025-05-30,918.0,NSE_EQ|INE296A01032
2025-06-02,912.0,NSE_EQ|INE296A01032
2025-06-03,898.0,NSE_EQ|INE296A01032
2025-06-04,898.5,NSE_EQ|INE296A01032
2025-06-05,893.5,NSE_EQ|INE296A01032
2025-06-06,937.0,NSE_EQ|INE296A01032
2025-06-09,961.0,NSE_EQ|INE296A01032
2025-06-10,950.0,NSE_EQ|INE296A01032
2025-06-11,942.5,NSE_EQ|INE296A01032
2025-06-12,937.0,NSE_EQ|INE296A01032
2025-06-13,933.0,NSE_EQ|INE296A01032
2025-06-16,938.0,NSE_EQ|INE296A01032
2025-06-17,923.0,NSE_EQ|INE296A01032
2025-06-18,919.0,NSE_EQ|INE296A01032
2025-06-19,900.5,NSE_EQ|INE296A01032
2025-06-20,905.0,NSE_EQ|INE296A01032
2025-06-23,915.5,NSE_EQ|INE296A01032
2025-06-24,916.5,NSE_EQ|INE296A01032
2025-06-25,928.0,NSE_EQ|INE296A01032
2025-06-26,951.5,NSE_EQ|INE296A01032
2025-06-27,947.0,NSE_EQ|INE296A01032
2025-06-30,936.5,NSE_EQ|INE296A01032
2025-07-01,936.65,NSE_EQ|INE296A01032
2025-07-02,923.0,NSE_EQ|INE296A01032
2025-07-03,910.15,NSE_EQ|INE296A01032
2025-07-04,925.3,NSE_EQ|INE296A01032
2025-07-07,924.65,NSE_EQ|INE296A01032
2025-07-08,927.65,NSE_EQ|INE296A01032
2025-07-09,940.6,NSE_EQ|INE296A01032
2025-07-10,947.65,NSE_EQ|INE296A01032
2025-07-11,933.5,NSE_EQ|INE296A01032
2025-07-14,918.85,NSE_EQ|INE296A01032
2025-07-15,928.4,NSE_EQ|INE296A01032
2025-07-16,921.75,NSE_EQ|INE296A01032
2025-07-17,923.3,NSE_EQ|INE296A01032
2025-07-18,942.0,NSE_EQ|INE296A01032
2025-07-21,948.45,NSE_EQ|INE296A01032
2025-07-22,952.55,NSE_EQ|INE296A01032
2025-07-23,968.3,NSE_EQ|INE296A01032
2025-07-24,958.95,NSE_EQ|INE296A01032
2025-07-25,913.75,NSE_EQ|INE296A01032
2025-07-28,880.5,NSE_EQ|INE296A01032
2025-07-29,886.55,NSE_EQ|INE296A01032
2025-07-30,884.85,NSE_EQ|INE296A01032
2025-07-31,881.2,NSE_EQ|INE296A01032
2025-08-01,875.6,NSE_EQ|INE296A01032
2025-08-04,885.3,NSE_EQ|INE296A01032
2025-08-05,891.9,NSE_EQ|INE296A01032
2025-08-06,876.65,NSE_EQ|INE296A01032
2025-08-07,879.1,NSE_EQ|INE296A01032
2025-08-08,877.15,NSE_EQ|INE296A01032
2025-08-11,877.8,NSE_EQ|INE296A01032
