date,open,high,low,close,volume,instrument_key
2025-03-18,475.0,510.0,475.0,503.75,919523.0,NSE_EQ|INE119A01028
2025-03-19,513.0,560.0,512.95,539.9,4438308.0,NSE_EQ|INE119A01028
2025-03-20,537.1,547.25,530.2,541.05,518385.0,NSE_EQ|INE119A01028
2025-03-21,536.5,544.75,532.0,534.65,403062.0,NSE_EQ|INE119A01028
2025-03-24,536.0,543.0,530.3,534.75,365996.0,NSE_EQ|INE119A01028
2025-03-25,539.0,545.8,522.55,538.1,418965.0,NSE_EQ|INE119A01028
2025-03-26,534.15,535.0,513.65,529.7,790127.0,NSE_EQ|INE119A01028
2025-03-27,522.25,542.0,521.85,535.7,566209.0,NSE_EQ|INE119A01028
2025-03-28,535.7,552.0,532.0,547.5,670593.0,NSE_EQ|INE119A01028
2025-04-01,552.0,560.0,545.05,556.95,673541.0,NSE_EQ|INE119A01028
2025-04-02,556.95,570.0,550.0,555.4,762902.0,NSE_EQ|INE119A01028
2025-04-03,548.0,571.5,547.55,568.05,397124.0,NSE_EQ|INE119A01028
2025-04-04,561.85,563.65,545.5,551.95,309762.0,NSE_EQ|INE119A01028
2025-04-07,529.75,543.0,510.9,536.1,316163.0,NSE_EQ|INE119A01028
2025-04-08,551.75,556.0,524.0,527.0,480329.0,NSE_EQ|INE119A01028
2025-04-09,525.0,529.7,511.55,520.65,397712.0,NSE_EQ|INE119A01028
2025-04-11,531.1,538.5,515.4,529.9,697592.0,NSE_EQ|INE119A01028
2025-04-15,538.3,555.2,531.25,551.2,613031.0,NSE_EQ|INE119A01028
2025-04-16,555.0,567.8,555.0,564.8,533554.0,NSE_EQ|INE119A01028
2025-04-17,564.15,564.5,552.2,554.2,189478.0,NSE_EQ|INE119A01028
2025-04-21,555.2,568.45,550.1,566.05,396801.0,NSE_EQ|INE119A01028
2025-04-22,571.5,595.1,570.6,591.6,1312676.0,NSE_EQ|INE119A01028
2025-04-23,595.1,596.45,573.35,589.75,485207.0,NSE_EQ|INE119A01028
2025-04-24,585.0,603.9,583.0,600.6,668872.0,NSE_EQ|INE119A01028
2025-04-25,601.0,605.25,568.1,571.95,531078.0,NSE_EQ|INE119A01028
2025-04-28,572.0,578.8,562.4,576.15,247972.0,NSE_EQ|INE119A01028
2025-04-29,576.15,581.95,561.9,565.8,371661.0,NSE_EQ|INE119A01028
2025-04-30,565.8,566.9,547.1,550.9,300780.0,NSE_EQ|INE119A01028
2025-05-02,545.0,559.9,542.1,547.65,270485.0,NSE_EQ|INE119A01028
2025-05-05,547.6,557.55,543.3,552.3,321099.0,NSE_EQ|INE119A01028
2025-05-06,552.3,557.6,544.1,553.85,260445.0,NSE_EQ|INE119A01028
2025-05-07,549.95,570.0,546.45,558.55,491932.0,NSE_EQ|INE119A01028
2025-05-08,563.0,563.0,531.5,539.95,462831.0,NSE_EQ|INE119A01028
2025-05-09,522.0,548.9,514.0,525.45,707614.0,NSE_EQ|INE119A01028
2025-05-12,543.95,562.4,540.35,558.3,275138.0,NSE_EQ|INE119A01028
2025-05-13,555.6,561.7,549.9,554.0,206249.0,NSE_EQ|INE119A01028
2025-05-14,554.0,565.25,554.0,559.0,719184.0,NSE_EQ|INE119A01028
2025-05-15,563.2,572.0,558.0,561.0,737926.0,NSE_EQ|INE119A01028
2025-05-16,561.0,564.9,549.3,558.7,510331.0,NSE_EQ|INE119A01028
2025-05-19,558.7,573.25,550.1,558.9,875937.0,NSE_EQ|INE119A01028
2025-05-20,561.3,564.75,548.2,550.2,260144.0,NSE_EQ|INE119A01028
2025-05-21,548.0,558.4,544.95,553.25,284982.0,NSE_EQ|INE119A01028
2025-05-22,553.25,556.7,548.0,554.6,232183.0,NSE_EQ|INE119A01028
2025-05-23,558.3,558.3,547.5,553.1,273948.0,NSE_EQ|INE119A01028
2025-05-26,554.0,567.95,553.5,566.3,456738.0,NSE_EQ|INE119A01028
2025-05-27,566.3,566.3,551.5,558.15,351125.0,NSE_EQ|INE119A01028
2025-05-28,558.2,585.9,558.2,579.4,738992.0,NSE_EQ|INE119A01028
2025-05-29,583.5,589.0,578.0,585.15,629180.0,NSE_EQ|INE119A01028
2025-05-30,586.0,595.45,580.0,590.3,353923.0,NSE_EQ|INE119A01028
2025-06-02,590.3,596.0,581.1,592.35,340653.0,NSE_EQ|INE119A01028
2025-06-03,594.7,608.35,585.1,594.25,340177.0,NSE_EQ|INE119A01028
2025-06-04,594.0,597.95,576.15,595.65,488569.0,NSE_EQ|INE119A01028
2025-06-05,595.65,611.0,595.65,604.5,547683.0,NSE_EQ|INE119A01028
2025-06-06,610.0,619.0,606.0,611.65,657918.0,NSE_EQ|INE119A01028
2025-06-09,615.0,620.4,609.0,616.15,310065.0,NSE_EQ|INE119A01028
2025-06-10,618.5,621.5,613.05,616.65,253325.0,NSE_EQ|INE119A01028
2025-06-11,619.0,625.8,615.15,621.2,298026.0,NSE_EQ|INE119A01028
2025-06-12,621.9,626.2,608.5,614.0,305351.0,NSE_EQ|INE119A01028
2025-06-13,605.0,611.75,598.25,610.3,246022.0,NSE_EQ|INE119A01028
2025-06-16,610.0,612.9,596.65,609.05,187643.0,NSE_EQ|INE119A01028
2025-06-17,610.0,618.45,604.2,606.85,205581.0,NSE_EQ|INE119A01028
2025-06-18,608.0,614.0,587.0,589.45,241858.0,NSE_EQ|INE119A01028
2025-06-19,589.25,598.0,584.65,589.15,321092.0,NSE_EQ|INE119A01028
2025-06-20,588.0,597.8,584.8,594.65,149309.0,NSE_EQ|INE119A01028
2025-06-23,590.0,595.2,586.1,590.55,116367.0,NSE_EQ|INE119A01028
2025-06-24,596.0,605.0,587.85,595.2,225049.0,NSE_EQ|INE119A01028
2025-06-25,599.3,609.0,593.2,597.25,430259.0,NSE_EQ|INE119A01028
2025-06-26,599.3,601.7,586.0,589.0,193350.0,NSE_EQ|INE119A01028
2025-06-27,590.05,596.2,587.4,590.05,191101.0,NSE_EQ|INE119A01028
2025-06-30,592.05,594.9,587.8,593.85,171088.0,NSE_EQ|INE119A01028
2025-07-01,593.85,600.5,585.0,586.0,247370.0,NSE_EQ|INE119A01028
2025-07-02,586.2,592.9,582.5,586.85,310713.0,NSE_EQ|INE119A01028
2025-07-03,586.45,590.5,584.2,588.25,212865.0,NSE_EQ|INE119A01028
2025-07-04,588.25,600.5,584.7,590.0,283438.0,NSE_EQ|INE119A01028
2025-07-07,590.0,608.0,587.75,602.8,460337.0,NSE_EQ|INE119A01028
2025-07-08,603.0,611.0,594.8,597.25,306631.0,NSE_EQ|INE119A01028
2025-07-09,597.25,604.0,590.15,601.5,238213.0,NSE_EQ|INE119A01028
2025-07-10,601.5,618.0,601.5,612.5,1070676.0,NSE_EQ|INE119A01028
2025-07-11,612.5,623.0,612.0,616.1,508407.0,NSE_EQ|INE119A01028
2025-07-14,616.1,622.0,602.0,610.5,459115.0,NSE_EQ|INE119A01028
2025-07-15,611.25,625.0,611.25,622.8,399090.0,NSE_EQ|INE119A01028
2025-07-16,622.8,627.8,615.0,619.9,236801.0,NSE_EQ|INE119A01028
2025-07-17,619.9,621.75,613.0,615.2,174864.0,NSE_EQ|INE119A01028
2025-07-18,617.6,624.7,608.1,617.75,192741.0,NSE_EQ|INE119A01028
2025-07-21,617.3,623.0,611.3,613.05,109803.0,NSE_EQ|INE119A01028
2025-07-22,616.2,619.8,610.6,612.25,171255.0,NSE_EQ|INE119A01028
2025-07-23,614.95,615.2,605.25,606.65,202663.0,NSE_EQ|INE119A01028
2025-07-24,606.7,619.2,592.95,594.85,386333.0,NSE_EQ|INE119A01028
2025-07-25,597.8,598.75,584.0,589.2,253019.0,NSE_EQ|INE119A01028
2025-07-28,586.3,590.1,581.0,586.1,237293.0,NSE_EQ|INE119A01028
2025-07-29,588.0,594.0,578.5,590.15,250904.0,NSE_EQ|INE119A01028
2025-07-30,590.9,595.45,585.8,591.35,163235.0,NSE_EQ|INE119A01028
2025-07-31,589.9,595.0,582.1,587.05,266713.0,NSE_EQ|INE119A01028
2025-08-01,589.0,591.85,559.05,563.15,153810.0,NSE_EQ|INE119A01028
2025-08-04,567.95,572.8,559.15,570.45,124615.0,NSE_EQ|INE119A01028
2025-08-05,571.45,574.45,560.45,569.05,125109.0,NSE_EQ|INE119A01028
2025-08-06,569.0,571.6,537.3,548.25,505103.0,NSE_EQ|INE119A01028
2025-08-07,548.0,552.4,538.8,550.15,472195.0,NSE_EQ|INE119A01028
2025-08-08,552.8,557.35,542.5,545.2,128374.0,NSE_EQ|INE119A01028
2025-08-11,545.1,555.0,540.4,551.8,81172.0,NSE_EQ|INE119A01028
2025-08-12,555.0,567.9,537.55,560.85,944843.0,NSE_EQ|INE119A01028
2025-08-13,540.0,550.95,540.0,548.3,244180.0,NSE_EQ|INE119A01028
2025-08-14,547.1,568.0,544.05,565.4,298673.0,NSE_EQ|INE119A01028
2025-08-18,568.0,570.0,551.05,558.25,348010.0,NSE_EQ|INE119A01028
2025-08-19,564.9,578.0,558.0,572.75,124597.0,NSE_EQ|INE119A01028
2025-08-20,574.8,586.0,571.05,583.75,152608.0,NSE_EQ|INE119A01028
2025-08-21,586.0,586.5,580.0,584.5,67687.0,NSE_EQ|INE119A01028
2025-08-22,587.35,597.55,578.2,584.85,260950.0,NSE_EQ|INE119A01028
2025-08-25,582.0,593.9,581.2,590.25,189663.0,NSE_EQ|INE119A01028
2025-08-26,584.1,590.75,551.4,558.7,396742.0,NSE_EQ|INE119A01028
2025-08-28,549.0,557.7,543.65,549.95,318957.0,NSE_EQ|INE119A01028
2025-08-29,550.1,551.9,533.0,536.2,197489.0,NSE_EQ|INE119A01028
2025-09-01,534.0,550.0,533.95,541.65,238211.0,NSE_EQ|INE119A01028
2025-09-02,568.85,584.0,561.55,566.85,5179208.0,NSE_EQ|INE119A01028
2025-09-03,569.95,569.95,555.05,559.55,433405.0,NSE_EQ|INE119A01028
2025-09-04,564.0,564.8,549.05,554.0,272047.0,NSE_EQ|INE119A01028
2025-09-05,554.0,558.6,548.1,549.45,277036.0,NSE_EQ|INE119A01028
2025-09-08,549.2,557.0,534.5,536.15,311708.0,NSE_EQ|INE119A01028
2025-09-09,538.5,541.85,517.0,519.6,521377.0,NSE_EQ|INE119A01028
2025-09-10,520.0,528.4,519.6,525.45,317462.0,NSE_EQ|INE119A01028
2025-09-11,526.95,528.95,513.4,515.65,491091.0,NSE_EQ|INE119A01028
2025-09-12,517.65,523.9,514.6,516.05,294587.0,NSE_EQ|INE119A01028
2025-09-15,517.5,525.65,516.2,519.3,283906.0,NSE_EQ|INE119A01028
2025-09-16,520.5,522.2,516.5,517.7,205840.0,NSE_EQ|INE119A01028
2025-09-17,519.8,520.65,513.0,515.85,971749.0,NSE_EQ|INE119A01028
2025-09-18,517.25,527.3,514.1,516.25,720600.0,NSE_EQ|INE119A01028
2025-09-19,517.95,517.95,508.0,509.75,330675.0,NSE_EQ|INE119A01028
2025-09-22,506.0,507.9,501.1,504.3,292766.0,NSE_EQ|INE119A01028
2025-09-23,507.45,507.45,494.0,496.25,235898.0,NSE_EQ|INE119A01028
2025-09-24,496.0,497.95,466.6,469.7,1207853.0,NSE_EQ|INE119A01028
2025-09-25,467.0,477.5,465.9,473.65,321860.0,NSE_EQ|INE119A01028
2025-09-26,475.65,478.85,447.55,451.9,1613814.0,NSE_EQ|INE119A01028
2025-09-29,452.0,461.7,449.3,451.5,314080.0,NSE_EQ|INE119A01028
2025-09-30,453.0,456.55,449.35,455.65,146751.0,NSE_EQ|INE119A01028
2025-10-01,458.7,458.7,450.65,456.95,167679.0,NSE_EQ|INE119A01028
2025-10-03,457.0,466.8,456.1,464.9,256207.0,NSE_EQ|INE119A01028
2025-10-06,469.55,481.5,466.3,475.6,467075.0,NSE_EQ|INE119A01028
2025-10-07,471.6,483.0,469.05,481.35,351763.0,NSE_EQ|INE119A01028
2025-10-08,483.0,484.7,475.6,479.45,487735.0,NSE_EQ|INE119A01028
2025-10-09,482.0,482.0,474.8,479.7,418424.0,NSE_EQ|INE119A01028
2025-10-10,482.4,482.4,475.4,478.2,134613.0,NSE_EQ|INE119A01028
2025-10-13,478.2,478.2,469.0,472.4,671870.0,NSE_EQ|INE119A01028
2025-10-14,474.95,474.95,458.95,463.3,291406.0,NSE_EQ|INE119A01028
2025-10-15,463.95,472.35,463.95,469.6,210785.0,NSE_EQ|INE119A01028
2025-10-16,470.0,476.25,464.5,467.7,244701.0,NSE_EQ|INE119A01028
2025-10-17,471.9,472.0,462.0,464.6,144732.0,NSE_EQ|INE119A01028
2025-10-20,464.6,466.75,458.2,459.8,247881.0,NSE_EQ|INE119A01028
2025-10-21,459.8,471.65,459.8,468.7,52756.0,NSE_EQ|INE119A01028
2025-10-23,470.0,471.85,466.5,468.85,151184.0,NSE_EQ|INE119A01028
2025-10-24,469.0,469.45,459.9,464.2,155066.0,NSE_EQ|INE119A01028
2025-10-27,464.2,466.9,460.9,463.1,112990.0,NSE_EQ|INE119A01028
2025-10-28,463.1,470.7,455.2,469.25,1101110.0,NSE_EQ|INE119A01028
2025-10-29,471.95,481.0,464.8,472.9,607717.0,NSE_EQ|INE119A01028
