date,open,high,low,close,volume,instrument_key
2025-03-18,138.99,140.9,138.76,140.68,5241413.0,NSE_EQ|INE545U01014
2025-03-19,140.65,142.25,140.43,141.27,10076310.0,NSE_EQ|INE545U01014
2025-03-20,141.7,143.73,141.11,141.52,5225373.0,NSE_EQ|INE545U01014
2025-03-21,141.52,145.28,141.0,144.96,8287957.0,NSE_EQ|INE545U01014
2025-03-24,145.21,148.24,145.21,147.37,7046431.0,NSE_EQ|INE545U01014
2025-03-25,150.13,150.76,146.67,147.78,10382565.0,NSE_EQ|INE545U01014
2025-03-26,147.55,152.5,146.96,148.56,11538095.0,NSE_EQ|INE545U01014
2025-03-27,147.0,149.45,146.0,148.02,7578843.0,NSE_EQ|INE545U01014
2025-03-28,148.25,151.44,145.34,146.28,9199096.0,NSE_EQ|INE545U01014
2025-04-01,146.1,150.67,144.6,149.48,5940678.0,NSE_EQ|INE545U01014
2025-04-02,149.25,151.89,146.95,151.53,4921586.0,NSE_EQ|INE545U01014
2025-04-03,150.0,157.6,149.71,156.6,8993065.0,NSE_EQ|INE545U01014
2025-04-04,157.5,157.89,151.51,153.05,10702221.0,NSE_EQ|INE545U01014
2025-04-07,145.01,146.88,141.5,144.96,8015769.0,NSE_EQ|INE545U01014
2025-04-08,148.0,150.99,148.0,150.0,5022455.0,NSE_EQ|INE545U01014
2025-04-09,153.5,153.5,143.28,146.86,8752215.0,NSE_EQ|INE545U01014
2025-04-11,150.0,150.6,148.01,149.68,4225688.0,NSE_EQ|INE545U01014
2025-04-15,152.0,154.54,150.55,154.07,4280618.0,NSE_EQ|INE545U01014
2025-04-16,154.6,159.29,154.07,158.41,13568380.0,NSE_EQ|INE545U01014
2025-04-17,158.41,159.95,157.51,158.79,6713315.0,NSE_EQ|INE545U01014
2025-04-21,159.35,168.68,159.09,167.94,19552485.0,NSE_EQ|INE545U01014
2025-04-22,167.94,171.5,165.75,168.54,12272511.0,NSE_EQ|INE545U01014
2025-04-23,169.1,171.7,166.25,170.59,11183261.0,NSE_EQ|INE545U01014
2025-04-24,169.98,172.1,169.05,170.73,6493362.0,NSE_EQ|INE545U01014
2025-04-25,170.73,171.76,163.52,165.45,7861418.0,NSE_EQ|INE545U01014
2025-04-28,164.86,166.86,161.76,164.26,10358436.0,NSE_EQ|INE545U01014
2025-04-29,165.5,171.84,165.5,167.9,15769341.0,NSE_EQ|INE545U01014
2025-04-30,167.5,167.84,163.53,165.62,8904205.0,NSE_EQ|INE545U01014
2025-05-02,168.6,173.43,161.15,161.74,25789799.0,NSE_EQ|INE545U01014
2025-05-05,162.01,165.9,161.31,164.4,8016634.0,NSE_EQ|INE545U01014
2025-05-06,164.1,166.0,157.05,157.45,8251307.0,NSE_EQ|INE545U01014
2025-05-07,155.0,159.97,155.0,159.56,6481234.0,NSE_EQ|INE545U01014
2025-05-08,159.66,162.83,156.05,157.19,4495588.0,NSE_EQ|INE545U01014
2025-05-09,154.0,157.95,153.43,156.26,10881017.0,NSE_EQ|INE545U01014
2025-05-12,162.2,165.74,161.7,163.57,7893504.0,NSE_EQ|INE545U01014
2025-05-13,164.05,165.68,162.02,162.38,3972042.0,NSE_EQ|INE545U01014
2025-05-14,163.2,167.8,161.75,167.03,10475557.0,NSE_EQ|INE545U01014
