date,close,instrument_key
2025-03-18,209.34,NSE_EQ|INE028A01039
2025-03-19,213.76,NSE_EQ|INE028A01039
2025-03-20,215.65,NSE_EQ|INE028A01039
2025-03-21,216.7,NSE_EQ|INE028A01039
2025-03-24,224.47,NSE_EQ|INE028A01039
2025-03-25,223.07,NSE_EQ|INE028A01039
2025-03-26,220.34,NSE_EQ|INE028A01039
2025-03-27,230.98,NSE_EQ|INE028A01039
2025-03-28,228.53,NSE_EQ|INE028A01039
2025-04-01,228.58,NSE_EQ|INE028A01039
2025-04-02,231.52,NSE_EQ|INE028A01039
2025-04-03,236.78,NSE_EQ|INE028A01039
2025-04-04,234.32,NSE_EQ|INE028A01039
2025-04-07,229.36,NSE_EQ|INE028A01039
2025-04-08,235.84,NSE_EQ|INE028A01039
2025-04-09,230.21,NSE_EQ|INE028A01039
2025-04-11,232.5,NSE_EQ|INE028A01039
2025-04-15,234.95,NSE_EQ|INE028A01039
2025-04-16,240.79,NSE_EQ|INE028A01039
2025-04-17,242.81,NSE_EQ|INE028A01039
2025-04-21,249.42,NSE_EQ|INE028A01039
2025-04-22,252.45,NSE_EQ|INE028A01039
2025-04-23,251.47,NSE_EQ|INE028A01039
2025-04-24,252.01,NSE_EQ|INE028A01039
2025-04-25,246.79,NSE_EQ|INE028A01039
2025-04-28,252.55,NSE_EQ|INE028A01039
2025-04-29,253.22,NSE_EQ|INE028A01039
2025-04-30,249.93,NSE_EQ|INE028A01039
2025-05-02,248.61,NSE_EQ|INE028A01039
2025-05-05,249.13,NSE_EQ|INE028A01039
2025-05-06,223.91,NSE_EQ|INE028A01039
2025-05-07,224.5,NSE_EQ|INE028A01039
2025-05-08,217.27,NSE_EQ|INE028A01039
2025-05-09,220.09,NSE_EQ|INE028A01039
2025-05-12,226.85,NSE_EQ|INE028A01039
2025-05-13,232.75,NSE_EQ|INE028A01039
2025-05-14,233.57,NSE_EQ|INE028A01039
2025-05-15,234.38,NSE_EQ|INE028A01039
2025-05-16,236.92,NSE_EQ|INE028A01039
2025-05-19,239.98,NSE_EQ|INE028A01039
2025-05-20,236.43,NSE_EQ|INE028A01039
2025-05-21,241.3,NSE_EQ|INE028A01039
2025-05-22,241.23,NSE_EQ|INE028A01039
2025-05-23,243.04,NSE_EQ|INE028A01039
2025-05-26,241.52,NSE_EQ|INE028A01039
2025-05-27,241.51,NSE_EQ|INE028A01039
2025-05-28,243.03,NSE_EQ|INE028A01039
2025-05-29,243.24,NSE_EQ|INE028A01039
2025-05-30,249.55,NSE_EQ|INE028A01039
2025-06-02,254.77,NSE_EQ|INE028A01039
2025-06-03,253.66,NSE_EQ|INE028A01039
2025-06-04,254.61,NSE_EQ|INE028A01039
2025-06-05,250.64,NSE_EQ|INE028A01039
2025-06-06,246.18,NSE_EQ|INE028A01039
2025-06-09,248.02,NSE_EQ|INE028A01039
2025-06-10,246.93,NSE_EQ|INE028A01039
2025-06-11,242.59,NSE_EQ|INE028A01039
2025-06-12,240.66,NSE_EQ|INE028A01039
2025-06-13,239.22,NSE_EQ|INE028A01039
2025-06-16,240.62,NSE_EQ|INE028A01039
2025-06-17,238.04,NSE_EQ|INE028A01039
