date,open,high,low,close,volume,instrument_key
2025-03-18,95.39,98.99,95.0,98.58,9944352.0,NSE_EQ|INE084A01016
2025-03-19,99.0,103.99,98.7,103.21,14730072.0,NSE_EQ|INE084A01016
2025-03-20,103.93,104.45,101.8,102.4,6730020.0,NSE_EQ|INE084A01016
2025-03-21,102.98,106.1,102.03,105.84,9871684.0,NSE_EQ|INE084A01016
2025-03-24,106.4,108.9,106.03,107.64,9980825.0,NSE_EQ|INE084A01016
2025-03-25,109.0,109.19,104.81,105.96,8193377.0,NSE_EQ|INE084A01016
2025-03-26,105.92,107.41,105.0,105.41,7981147.0,NSE_EQ|INE084A01016
2025-03-27,104.3,108.63,104.07,107.8,13735931.0,NSE_EQ|INE084A01016
2025-03-28,107.8,109.1,106.75,107.12,9918716.0,NSE_EQ|INE084A01016
2025-04-01,106.52,111.5,106.26,110.29,12089356.0,NSE_EQ|INE084A01016
2025-04-02,111.05,112.1,108.05,111.55,7907441.0,NSE_EQ|INE084A01016
2025-04-03,110.25,118.15,109.58,114.92,27606403.0,NSE_EQ|INE084A01016
2025-04-04,114.75,115.81,110.63,111.49,15100808.0,NSE_EQ|INE084A01016
2025-04-07,103.99,108.49,103.0,105.77,10220616.0,NSE_EQ|INE084A01016
2025-04-08,108.39,110.0,107.2,109.25,7718332.0,NSE_EQ|INE084A01016
2025-04-09,108.9,109.09,104.51,106.76,9301804.0,NSE_EQ|INE084A01016
2025-04-11,108.6,109.7,107.13,108.16,4886516.0,NSE_EQ|INE084A01016
2025-04-15,109.26,111.78,108.85,111.36,5998656.0,NSE_EQ|INE084A01016
2025-04-16,112.0,116.3,111.53,115.48,14837452.0,NSE_EQ|INE084A01016
2025-04-17,116.0,117.8,114.8,117.1,17071220.0,NSE_EQ|INE084A01016
2025-04-21,117.11,121.53,117.11,119.87,14653740.0,NSE_EQ|INE084A01016
2025-04-22,120.65,121.65,118.54,118.83,9232904.0,NSE_EQ|INE084A01016
2025-04-23,119.43,119.57,114.82,117.78,10905130.0,NSE_EQ|INE084A01016
2025-04-24,117.69,119.19,116.79,118.57,5724055.0,NSE_EQ|INE084A01016
2025-04-25,118.57,118.57,113.7,115.29,10250155.0,NSE_EQ|INE084A01016
2025-04-28,115.29,119.2,115.29,118.38,7601791.0,NSE_EQ|INE084A01016
2025-04-29,119.7,121.55,117.16,117.82,10126876.0,NSE_EQ|INE084A01016
2025-04-30,117.79,117.79,114.58,115.15,6188498.0,NSE_EQ|INE084A01016
2025-05-02,115.21,117.33,114.8,115.38,5180525.0,NSE_EQ|INE084A01016
2025-05-05,115.9,116.72,114.71,116.36,4171126.0,NSE_EQ|INE084A01016
2025-05-06,116.8,116.8,108.6,109.07,9655744.0,NSE_EQ|INE084A01016
2025-05-07,107.41,110.8,107.25,109.19,10750031.0,NSE_EQ|INE084A01016
2025-05-08,110.19,112.25,105.5,107.86,9753681.0,NSE_EQ|INE084A01016
2025-05-09,104.2,111.22,104.2,110.22,9757040.0,NSE_EQ|INE084A01016
2025-05-12,115.03,115.8,108.82,110.09,35316475.0,NSE_EQ|INE084A01016
2025-05-13,110.5,115.14,110.5,112.56,24284878.0,NSE_EQ|INE084A01016
2025-05-14,113.13,114.9,112.72,113.86,10275111.0,NSE_EQ|INE084A01016
2025-05-15,114.34,114.6,113.1,114.05,6667061.0,NSE_EQ|INE084A01016
2025-05-16,114.7,115.35,114.1,114.33,8365646.0,NSE_EQ|INE084A01016
2025-05-19,115.09,119.8,114.57,117.94,22160038.0,NSE_EQ|INE084A01016
2025-05-20,118.7,119.29,115.75,116.17,10161179.0,NSE_EQ|INE084A01016
2025-05-21,116.0,118.3,115.11,117.96,9954905.0,NSE_EQ|INE084A01016
2025-05-22,117.2,118.55,115.2,116.45,8075716.0,NSE_EQ|INE084A01016
2025-05-23,117.0,117.74,115.85,117.06,9294500.0,NSE_EQ|INE084A01016
2025-05-26,117.4,118.4,116.56,117.31,5189915.0,NSE_EQ|INE084A01016
2025-05-27,117.6,117.72,116.1,116.72,9834280.0,NSE_EQ|INE084A01016
2025-05-28,117.2,120.25,116.95,119.94,18821556.0,NSE_EQ|INE084A01016
2025-05-29,121.01,121.44,118.5,119.21,8543658.0,NSE_EQ|INE084A01016
2025-05-30,119.65,122.61,117.8,121.94,17477465.0,NSE_EQ|INE084A01016
2025-06-02,122.78,125.8,121.82,125.25,20837438.0,NSE_EQ|INE084A01016
2025-06-03,126.0,127.46,123.58,124.59,13925152.0,NSE_EQ|INE084A01016
2025-06-04,124.94,125.79,123.1,124.89,5810092.0,NSE_EQ|INE084A01016
2025-06-05,125.5,125.99,123.65,124.25,4686895.0,NSE_EQ|INE084A01016
2025-06-06,124.5,126.75,122.91,124.38,12062024.0,NSE_EQ|INE084A01016
2025-06-09,125.6,129.99,125.4,129.31,23756753.0,NSE_EQ|INE084A01016
2025-06-10,130.1,130.24,125.91,126.28,15719168.0,NSE_EQ|INE084A01016
2025-06-11,126.9,126.9,123.4,123.95,13176717.0,NSE_EQ|INE084A01016
2025-06-12,124.22,125.15,122.29,122.77,8820490.0,NSE_EQ|INE084A01016
2025-06-13,119.0,121.45,118.42,121.19,8562642.0,NSE_EQ|INE084A01016
2025-06-16,121.69,121.69,118.36,121.55,9464721.0,NSE_EQ|INE084A01016
2025-06-17,122.89,122.89,119.25,119.65,10245273.0,NSE_EQ|INE084A01016
2025-06-18,119.85,120.7,118.84,119.68,10339326.0,NSE_EQ|INE084A01016
2025-06-19,118.65,119.3,114.47,115.68,21418540.0,NSE_EQ|INE084A01016
2025-06-20,111.56,115.0,111.56,113.18,14597819.0,NSE_EQ|INE084A01016
2025-06-23,112.0,114.6,112.0,114.41,9318649.0,NSE_EQ|INE084A01016
2025-06-24,115.99,117.36,114.85,115.27,10047772.0,NSE_EQ|INE084A01016
2025-06-25,116.25,116.59,115.2,116.15,7116589.0,NSE_EQ|INE084A01016
2025-06-26,116.25,117.25,115.41,116.95,8706576.0,NSE_EQ|INE084A01016
2025-06-27,117.4,120.4,116.5,116.77,17380242.0,NSE_EQ|INE084A01016
2025-06-30,117.55,119.7,117.35,118.56,14142517.0,NSE_EQ|INE084A01016
2025-07-01,119.12,121.5,117.57,121.09,18672483.0,NSE_EQ|INE084A01016
2025-07-02,121.09,121.63,118.75,119.26,9878461.0,NSE_EQ|INE084A01016
2025-07-03,119.8,119.8,117.8,118.49,6579528.0,NSE_EQ|INE084A01016
2025-07-04,118.8,119.35,116.93,117.81,7342255.0,NSE_EQ|INE084A01016
2025-07-07,118.4,119.14,117.4,117.72,10444935.0,NSE_EQ|INE084A01016
