date,open,high,low,close,volume,instrument_key
2025-03-18,1215.0,1238.85,1204.8,1235.9,89849.0,NSE_EQ|INE176A01028
2025-03-19,1240.0,1275.0,1227.5,1269.15,127773.0,NSE_EQ|INE176A01028
2025-03-20,1271.15,1294.0,1261.35,1269.3,98728.0,NSE_EQ|INE176A01028
2025-03-21,1271.25,1280.0,1237.0,1243.4,130336.0,NSE_EQ|INE176A01028
2025-03-24,1256.8,1256.8,1231.55,1236.45,114547.0,NSE_EQ|INE176A01028
2025-03-25,1246.9,1248.95,1224.8,1229.9,104508.0,NSE_EQ|INE176A01028
2025-03-26,1233.95,1241.3,1210.1,1213.1,111424.0,NSE_EQ|INE176A01028
2025-03-27,1215.9,1220.95,1200.0,1202.05,149782.0,NSE_EQ|INE176A01028
2025-03-28,1204.2,1224.4,1204.2,1219.9,405048.0,NSE_EQ|INE176A01028
2025-04-01,1205.0,1240.25,1203.0,1231.5,84728.0,NSE_EQ|INE176A01028
2025-04-02,1233.1,1253.0,1216.35,1242.8,111723.0,NSE_EQ|INE176A01028
2025-04-03,1228.0,1235.55,1216.55,1225.4,74700.0,NSE_EQ|INE176A01028
2025-04-04,1225.4,1231.3,1187.85,1210.1,123893.0,NSE_EQ|INE176A01028
2025-04-07,1150.0,1189.7,1140.3,1180.9,105831.0,NSE_EQ|INE176A01028
2025-04-08,1199.95,1232.8,1190.05,1211.85,172896.0,NSE_EQ|INE176A01028
2025-04-09,1211.1,1236.9,1201.75,1227.75,67940.0,NSE_EQ|INE176A01028
2025-04-11,1245.0,1249.0,1232.1,1241.85,118164.0,NSE_EQ|INE176A01028
2025-04-15,1255.0,1255.9,1227.5,1229.8,124053.0,NSE_EQ|INE176A01028
2025-04-16,1232.4,1243.4,1228.5,1234.3,69240.0,NSE_EQ|INE176A01028
2025-04-17,1234.0,1244.0,1221.0,1224.5,142466.0,NSE_EQ|INE176A01028
2025-04-21,1225.0,1232.5,1200.1,1203.2,327255.0,NSE_EQ|INE176A01028
