date,open,high,low,close,volume,instrument_key
2025-03-18,1644.05,1698.45,1635.15,1691.95,57546.0,NSE_EQ|INE050A01025
2025-03-19,1697.7,1742.4,1695.4,1731.05,54361.0,NSE_EQ|INE050A01025
2025-03-20,1746.05,1776.95,1731.5,1738.2,34861.0,NSE_EQ|INE050A01025
2025-03-21,1725.0,1795.0,1725.0,1784.6,104745.0,NSE_EQ|INE050A01025
2025-03-24,1790.15,1880.0,1790.15,1829.85,118403.0,NSE_EQ|INE050A01025
2025-03-25,1841.9,1846.0,1763.25,1772.9,68877.0,NSE_EQ|INE050A01025
2025-03-26,1774.95,1787.05,1712.1,1724.8,61995.0,NSE_EQ|INE050A01025
2025-03-27,1724.75,1790.0,1691.05,1771.25,101716.0,NSE_EQ|INE050A01025
2025-03-28,1774.95,1821.0,1750.0,1764.2,70977.0,NSE_EQ|INE050A01025
2025-04-01,1755.05,1792.0,1744.55,1767.6,40058.0,NSE_EQ|INE050A01025
2025-04-02,1774.95,1916.0,1737.15,1889.2,534730.0,NSE_EQ|INE050A01025
2025-04-03,1851.5,1902.0,1851.5,1870.85,64853.0,NSE_EQ|INE050A01025
2025-04-04,1872.95,1877.95,1746.1,1766.55,71431.0,NSE_EQ|INE050A01025
2025-04-07,1670.5,1734.65,1642.0,1715.65,63868.0,NSE_EQ|INE050A01025
2025-04-08,1733.0,1765.95,1724.95,1740.95,32030.0,NSE_EQ|INE050A01025
2025-04-09,1740.5,1822.0,1720.0,1788.1,90055.0,NSE_EQ|INE050A01025
2025-04-11,1788.15,1857.3,1788.15,1826.25,69438.0,NSE_EQ|INE050A01025
2025-04-15,1851.0,1906.2,1838.2,1855.8,65108.0,NSE_EQ|INE050A01025
2025-04-16,1871.5,1938.8,1856.6,1909.7,117609.0,NSE_EQ|INE050A01025
2025-04-17,1923.9,1923.9,1891.8,1901.2,44929.0,NSE_EQ|INE050A01025
2025-04-21,1917.5,1960.0,1897.6,1920.6,83878.0,NSE_EQ|INE050A01025
2025-04-22,1937.0,1980.9,1909.9,1970.3,94286.0,NSE_EQ|INE050A01025
2025-04-23,1998.0,1998.0,1937.9,1965.0,56217.0,NSE_EQ|INE050A01025
2025-04-24,1979.5,2017.0,1954.9,1988.4,96266.0,NSE_EQ|INE050A01025
2025-04-25,1989.0,1995.1,1882.0,1903.5,77740.0,NSE_EQ|INE050A01025
2025-04-28,1901.5,1954.3,1849.8,1921.5,36470.0,NSE_EQ|INE050A01025
2025-04-29,1935.5,1964.8,1916.0,1954.4,55600.0,NSE_EQ|INE050A01025
2025-04-30,1954.1,1954.1,1858.0,1865.2,55387.0,NSE_EQ|INE050A01025
2025-05-02,1879.9,1879.9,1824.2,1853.1,55757.0,NSE_EQ|INE050A01025
2025-05-05,1860.0,1900.8,1859.3,1886.6,27235.0,NSE_EQ|INE050A01025
2025-05-06,1890.0,1924.9,1825.8,1835.7,43222.0,NSE_EQ|INE050A01025
2025-05-07,1796.0,1807.9,1750.0,1770.6,114082.0,NSE_EQ|INE050A01025
2025-05-08,1774.1,1794.9,1734.0,1746.8,45618.0,NSE_EQ|INE050A01025
2025-05-09,1730.0,1740.0,1698.5,1720.4,51059.0,NSE_EQ|INE050A01025
2025-05-12,1769.9,1803.2,1766.1,1794.8,56387.0,NSE_EQ|INE050A01025
2025-05-13,1771.0,1812.9,1770.1,1791.3,48783.0,NSE_EQ|INE050A01025
2025-05-14,1799.9,1864.6,1791.9,1831.6,66861.0,NSE_EQ|INE050A01025
2025-05-15,1830.0,1857.1,1813.7,1843.5,47335.0,NSE_EQ|INE050A01025
2025-05-16,1867.0,1935.9,1852.8,1909.2,92004.0,NSE_EQ|INE050A01025
2025-05-19,1925.0,2094.0,1910.6,1956.8,457658.0,NSE_EQ|INE050A01025
2025-05-20,1972.5,2039.9,1925.5,1971.6,147466.0,NSE_EQ|INE050A01025
2025-05-21,1982.9,1987.0,1938.1,1978.0,60862.0,NSE_EQ|INE050A01025
2025-05-22,1988.9,2019.0,1958.5,1981.3,56158.0,NSE_EQ|INE050A01025
2025-05-23,1989.0,1997.2,1954.5,1981.1,32546.0,NSE_EQ|INE050A01025
2025-05-26,1999.9,2020.0,1982.0,1998.3,48846.0,NSE_EQ|INE050A01025
2025-05-27,2000.0,2016.0,1981.7,1992.6,39846.0,NSE_EQ|INE050A01025
2025-05-28,2000.9,2047.7,1993.7,2030.5,75862.0,NSE_EQ|INE050A01025
2025-05-29,2047.7,2047.7,2009.6,2030.0,36131.0,NSE_EQ|INE050A01025
2025-05-30,2039.0,2041.9,1990.3,2021.0,40102.0,NSE_EQ|INE050A01025
2025-06-02,2011.2,2070.0,2010.5,2029.8,63995.0,NSE_EQ|INE050A01025
2025-06-03,2054.0,2059.3,2007.6,2013.8,30340.0,NSE_EQ|INE050A01025
2025-06-04,2028.0,2029.2,2000.0,2004.4,28222.0,NSE_EQ|INE050A01025
2025-06-05,2020.0,2020.0,1971.0,1981.4,28971.0,NSE_EQ|INE050A01025
2025-06-06,1998.0,1998.0,1972.0,1980.5,40525.0,NSE_EQ|INE050A01025
2025-06-09,1994.0,2032.6,1984.2,2006.1,51344.0,NSE_EQ|INE050A01025
2025-06-10,2023.0,2052.6,1973.6,1982.8,61948.0,NSE_EQ|INE050A01025
2025-06-11,1982.9,2044.9,1982.9,2008.1,107196.0,NSE_EQ|INE050A01025
2025-06-12,2025.0,2155.0,1960.1,1982.5,901409.0,NSE_EQ|INE050A01025
2025-06-13,1945.0,2007.9,1934.6,1970.6,101636.0,NSE_EQ|INE050A01025
2025-06-16,1979.9,1980.7,1916.8,1966.3,47656.0,NSE_EQ|INE050A01025
2025-06-17,1972.9,1987.1,1935.3,1956.4,48402.0,NSE_EQ|INE050A01025
2025-06-18,1958.0,1994.0,1925.5,1935.6,51166.0,NSE_EQ|INE050A01025
2025-06-19,1939.0,1947.2,1871.1,1885.1,40012.0,NSE_EQ|INE050A01025
2025-06-20,1901.0,1910.0,1817.7,1849.6,233623.0,NSE_EQ|INE050A01025
2025-06-23,1820.0,1899.9,1819.0,1882.5,51432.0,NSE_EQ|INE050A01025
2025-06-24,1910.7,1920.0,1855.9,1889.4,81515.0,NSE_EQ|INE050A01025
2025-06-25,1890.0,1939.5,1888.2,1926.0,59908.0,NSE_EQ|INE050A01025
2025-06-26,1939.0,1941.5,1915.0,1929.0,34481.0,NSE_EQ|INE050A01025
2025-06-27,1939.0,1993.0,1926.7,1975.8,90234.0,NSE_EQ|INE050A01025
2025-06-30,1981.0,2043.3,1975.8,2007.5,93752.0,NSE_EQ|INE050A01025
2025-07-01,2018.9,2043.0,1977.6,1998.8,76360.0,NSE_EQ|INE050A01025
2025-07-02,1998.8,2019.5,1974.8,1992.8,55546.0,NSE_EQ|INE050A01025
2025-07-03,1980.0,2008.1,1975.0,1979.1,27862.0,NSE_EQ|INE050A01025
2025-07-04,1994.0,2009.0,1972.5,1984.0,24127.0,NSE_EQ|INE050A01025
2025-07-07,1990.0,2013.6,1972.5,1989.8,32059.0,NSE_EQ|INE050A01025
2025-07-08,2000.0,2000.1,1942.3,1958.9,29193.0,NSE_EQ|INE050A01025
2025-07-09,1959.9,1979.0,1940.1,1946.9,41245.0,NSE_EQ|INE050A01025
2025-07-10,1965.0,1985.9,1943.0,1974.3,48885.0,NSE_EQ|INE050A01025
2025-07-11,1983.0,1983.0,1940.0,1950.6,33251.0,NSE_EQ|INE050A01025
2025-07-14,1951.0,1955.2,1930.5,1940.1,16094.0,NSE_EQ|INE050A01025
2025-07-15,1940.0,2018.0,1940.0,1994.5,70445.0,NSE_EQ|INE050A01025
2025-07-16,1985.0,2048.0,1984.5,1995.5,85891.0,NSE_EQ|INE050A01025
2025-07-17,2005.0,2074.0,2000.0,2033.2,120014.0,NSE_EQ|INE050A01025
2025-07-18,2039.0,2041.8,2000.2,2004.6,24993.0,NSE_EQ|INE050A01025
2025-07-21,2003.2,2004.6,1952.6,1957.1,41782.0,NSE_EQ|INE050A01025
2025-07-22,1969.9,1978.0,1936.1,1945.6,51830.0,NSE_EQ|INE050A01025
2025-07-23,1959.0,2035.0,1939.5,1981.1,326560.0,NSE_EQ|INE050A01025
2025-07-24,1996.9,2025.0,1953.1,1970.2,87638.0,NSE_EQ|INE050A01025
2025-07-25,1970.2,1970.2,1936.1,1955.5,44894.0,NSE_EQ|INE050A01025
2025-07-28,1964.0,1964.0,1903.4,1921.5,38416.0,NSE_EQ|INE050A01025
2025-07-29,1925.0,1983.8,1925.0,1939.4,75135.0,NSE_EQ|INE050A01025
2025-07-30,1942.0,1968.5,1929.9,1935.9,25343.0,NSE_EQ|INE050A01025
2025-07-31,1922.9,1922.9,1883.3,1896.8,28428.0,NSE_EQ|INE050A01025
2025-08-01,1890.0,1945.1,1890.0,1901.6,37820.0,NSE_EQ|INE050A01025
2025-08-04,1921.0,1934.8,1880.1,1894.7,23741.0,NSE_EQ|INE050A01025
2025-08-05,1885.0,1897.9,1856.0,1861.6,31788.0,NSE_EQ|INE050A01025
2025-08-06,1861.6,1879.0,1833.8,1842.6,26562.0,NSE_EQ|INE050A01025
2025-08-07,1825.0,1880.0,1824.8,1874.0,29688.0,NSE_EQ|INE050A01025
2025-08-08,1872.0,1883.5,1825.0,1849.4,21901.0,NSE_EQ|INE050A01025
2025-08-11,1850.0,1850.0,1828.1,1835.5,18079.0,NSE_EQ|INE050A01025
2025-08-12,1840.0,1899.0,1825.0,1866.9,92885.0,NSE_EQ|INE050A01025
2025-08-13,1853.0,1886.3,1850.0,1855.3,26767.0,NSE_EQ|INE050A01025
2025-08-14,1852.0,1864.1,1822.5,1832.3,15552.0,NSE_EQ|INE050A01025
2025-08-18,1864.0,1869.6,1827.0,1856.0,26670.0,NSE_EQ|INE050A01025
2025-08-19,1841.3,1868.9,1841.3,1862.2,18576.0,NSE_EQ|INE050A01025
2025-08-20,1876.9,1876.9,1850.1,1866.2,29892.0,NSE_EQ|INE050A01025
2025-08-21,1860.0,1879.4,1838.0,1842.4,22244.0,NSE_EQ|INE050A01025
2025-08-22,1842.6,1851.3,1822.1,1825.8,20360.0,NSE_EQ|INE050A01025
2025-08-25,1830.0,1835.3,1800.0,1802.4,29378.0,NSE_EQ|INE050A01025
2025-08-26,1802.0,1807.0,1761.0,1768.2,58491.0,NSE_EQ|INE050A01025
2025-08-28,1768.0,1856.0,1747.2,1799.7,208206.0,NSE_EQ|INE050A01025
2025-08-29,1795.1,1825.8,1740.0,1753.7,53130.0,NSE_EQ|INE050A01025
2025-09-01,1767.7,1795.0,1751.1,1788.2,55789.0,NSE_EQ|INE050A01025
2025-09-02,1790.1,1837.2,1781.9,1824.0,41250.0,NSE_EQ|INE050A01025
2025-09-03,1826.9,1839.0,1815.2,1835.6,13318.0,NSE_EQ|INE050A01025
2025-09-04,1892.0,1918.0,1860.1,1877.1,131798.0,NSE_EQ|INE050A01025
2025-09-05,1885.0,1885.1,1840.0,1853.9,22556.0,NSE_EQ|INE050A01025
2025-09-08,1850.0,1870.0,1836.1,1864.3,25896.0,NSE_EQ|INE050A01025
2025-09-09,1871.0,1885.0,1845.0,1861.6,30598.0,NSE_EQ|INE050A01025
2025-09-10,1851.0,1904.0,1851.0,1884.4,26238.0,NSE_EQ|INE050A01025
2025-09-11,1885.0,1914.0,1867.1,1891.6,66915.0,NSE_EQ|INE050A01025
2025-09-12,1880.0,1920.0,1873.1,1879.8,43590.0,NSE_EQ|INE050A01025
2025-09-15,1871.0,1975.2,1871.0,1961.3,121122.0,NSE_EQ|INE050A01025
2025-09-16,1960.1,1989.9,1925.5,1939.1,59780.0,NSE_EQ|INE050A01025
2025-09-17,1950.0,1984.0,1931.1,1957.9,66848.0,NSE_EQ|INE050A01025
2025-09-18,1964.9,1980.0,1946.1,1954.7,29961.0,NSE_EQ|INE050A01025
2025-09-19,1968.9,1968.9,1928.0,1936.4,40332.0,NSE_EQ|INE050A01025
