date,open,high,low,close,volume,instrument_key
2025-03-18,1354.25,1356.35,1312.35,1320.95,431420.0,NSE_EQ|INE343G01021
2025-03-19,1328.6,1341.9,1312.4,1322.45,776702.0,NSE_EQ|INE343G01021
2025-03-20,1336.95,1340.0,1310.4,1328.35,479145.0,NSE_EQ|INE343G01021
2025-03-21,1330.0,1345.0,1309.3,1337.1,446180.0,NSE_EQ|INE343G01021
2025-03-24,1344.9,1412.0,1323.25,1389.8,946920.0,NSE_EQ|INE343G01021
2025-03-25,1396.7,1459.85,1386.05,1441.1,1139387.0,NSE_EQ|INE343G01021
2025-03-26,1450.0,1484.0,1430.05,1474.9,486001.0,NSE_EQ|INE343G01021
2025-03-27,1456.0,1479.85,1443.35,1452.15,307659.0,NSE_EQ|INE343G01021
2025-03-28,1458.0,1509.0,1425.2,1463.8,451014.0,NSE_EQ|INE343G01021
2025-04-01,1463.8,1485.9,1450.25,1470.3,172869.0,NSE_EQ|INE343G01021
2025-04-02,1453.0,1472.05,1439.85,1446.95,106594.0,NSE_EQ|INE343G01021
2025-04-03,1454.4,1480.0,1436.85,1454.35,121419.0,NSE_EQ|INE343G01021
2025-04-04,1454.35,1478.0,1433.55,1465.95,193289.0,NSE_EQ|INE343G01021
2025-04-07,1260.0,1424.0,1260.0,1400.1,332353.0,NSE_EQ|INE343G01021
2025-04-08,1418.95,1437.5,1415.35,1427.05,744985.0,NSE_EQ|INE343G01021
2025-04-09,1425.0,1479.9,1411.95,1432.5,282216.0,NSE_EQ|INE343G01021
2025-04-11,1464.0,1517.0,1439.65,1504.75,625965.0,NSE_EQ|INE343G01021
2025-04-15,1545.1,1607.0,1480.5,1510.1,1269323.0,NSE_EQ|INE343G01021
2025-04-16,1512.7,1533.4,1490.5,1513.8,393518.0,NSE_EQ|INE343G01021
2025-04-17,1513.8,1642.8,1497.6,1583.1,2134560.0,NSE_EQ|INE343G01021
2025-04-21,1583.1,1665.4,1576.2,1643.9,913068.0,NSE_EQ|INE343G01021
2025-04-22,1651.1,1672.0,1611.3,1641.5,435184.0,NSE_EQ|INE343G01021
2025-04-23,1655.0,1697.9,1632.2,1646.7,440824.0,NSE_EQ|INE343G01021
2025-04-24,1650.0,1662.0,1613.8,1640.8,636382.0,NSE_EQ|INE343G01021
2025-04-25,1647.6,1648.0,1571.0,1584.9,170421.0,NSE_EQ|INE343G01021
2025-04-28,1592.7,1598.9,1566.1,1589.0,125013.0,NSE_EQ|INE343G01021
2025-04-29,1605.0,1619.3,1580.6,1597.5,137278.0,NSE_EQ|INE343G01021
2025-04-30,1608.0,1717.0,1585.0,1689.1,678197.0,NSE_EQ|INE343G01021
2025-05-02,1676.7,1732.0,1653.5,1701.9,587564.0,NSE_EQ|INE343G01021
2025-05-05,1720.0,1729.2,1673.0,1685.1,192500.0,NSE_EQ|INE343G01021
2025-05-06,1697.0,1718.6,1673.7,1692.4,190311.0,NSE_EQ|INE343G01021
2025-05-07,1633.8,1724.0,1633.8,1710.0,283068.0,NSE_EQ|INE343G01021
2025-05-08,1695.0,1752.8,1690.0,1730.0,297043.0,NSE_EQ|INE343G01021
2025-05-09,1670.0,1740.0,1668.1,1719.7,219058.0,NSE_EQ|INE343G01021
2025-05-12,1750.0,1777.0,1712.1,1758.3,382475.0,NSE_EQ|INE343G01021
2025-05-13,1757.0,1767.0,1687.0,1703.3,344402.0,NSE_EQ|INE343G01021
2025-05-14,1789.9,1789.9,1690.0,1698.7,1087375.0,NSE_EQ|INE343G01021
2025-05-15,1706.9,1717.0,1674.1,1687.2,370537.0,NSE_EQ|INE343G01021
2025-05-16,1714.0,1714.0,1648.5,1668.7,536596.0,NSE_EQ|INE343G01021
2025-05-19,1668.7,1699.9,1651.1,1688.2,271261.0,NSE_EQ|INE343G01021
2025-05-20,1699.4,1699.4,1659.0,1669.2,290900.0,NSE_EQ|INE343G01021
2025-05-21,1675.0,1698.5,1662.0,1687.7,110192.0,NSE_EQ|INE343G01021
2025-05-22,1700.0,1713.4,1685.4,1698.0,361413.0,NSE_EQ|INE343G01021
2025-05-23,1711.8,1716.6,1666.3,1670.5,108370.0,NSE_EQ|INE343G01021
2025-05-26,1672.8,1716.3,1670.6,1691.6,148869.0,NSE_EQ|INE343G01021
2025-05-27,1688.0,1768.0,1672.3,1730.6,533638.0,NSE_EQ|INE343G01021
