date,open,high,low,close,volume,instrument_key
2025-03-18,334.9,338.0,333.7,336.35,1652922.0,NSE_EQ|INE376G01013
2025-03-19,338.7,343.2,334.05,341.9,1681648.0,NSE_EQ|INE376G01013
2025-03-20,344.6,344.6,338.35,341.1,1006613.0,NSE_EQ|INE376G01013
2025-03-21,341.1,346.4,340.2,344.1,1452797.0,NSE_EQ|INE376G01013
2025-03-24,348.0,351.8,345.05,349.3,1156746.0,NSE_EQ|INE376G01013
2025-03-25,350.0,354.75,345.1,348.15,1585833.0,NSE_EQ|INE376G01013
2025-03-26,348.0,352.6,345.8,348.3,1426825.0,NSE_EQ|INE376G01013
2025-03-27,348.5,350.25,342.5,345.55,1367034.0,NSE_EQ|INE376G01013
2025-03-28,344.95,349.3,339.35,341.7,2340187.0,NSE_EQ|INE376G01013
2025-04-01,338.5,348.55,338.2,339.1,1068942.0,NSE_EQ|INE376G01013
2025-04-02,337.85,344.5,334.85,342.05,937244.0,NSE_EQ|INE376G01013
2025-04-03,349.0,357.4,344.2,345.75,3567999.0,NSE_EQ|INE376G01013
2025-04-04,342.55,343.2,321.3,327.8,3716291.0,NSE_EQ|INE376G01013
2025-04-07,299.1,311.75,299.0,307.5,2647332.0,NSE_EQ|INE376G01013
2025-04-08,312.05,327.4,308.5,322.3,4084647.0,NSE_EQ|INE376G01013
2025-04-09,315.65,316.1,305.0,306.3,3481679.0,NSE_EQ|INE376G01013
2025-04-11,320.0,323.0,313.6,316.55,3064653.0,NSE_EQ|INE376G01013
2025-04-15,321.0,330.65,319.7,328.85,3208011.0,NSE_EQ|INE376G01013
2025-04-16,329.05,331.7,327.45,329.15,1251281.0,NSE_EQ|INE376G01013
2025-04-17,329.1,333.0,327.55,331.3,958981.0,NSE_EQ|INE376G01013
2025-04-21,335.8,335.8,329.2,331.9,1861695.0,NSE_EQ|INE376G01013
2025-04-22,332.45,337.25,327.7,333.8,2356750.0,NSE_EQ|INE376G01013
2025-04-23,336.15,339.5,333.1,335.7,2687947.0,NSE_EQ|INE376G01013
2025-04-24,334.0,335.0,325.05,326.75,4713095.0,NSE_EQ|INE376G01013
2025-04-25,326.75,328.4,308.45,311.85,4326450.0,NSE_EQ|INE376G01013
2025-04-28,314.85,322.45,313.0,320.85,2427466.0,NSE_EQ|INE376G01013
2025-04-29,321.0,323.85,316.7,318.85,1214417.0,NSE_EQ|INE376G01013
2025-04-30,319.45,325.2,317.0,321.8,2632538.0,NSE_EQ|INE376G01013
2025-05-02,321.8,324.5,317.8,318.9,1373678.0,NSE_EQ|INE376G01013
2025-05-05,322.0,336.8,322.0,335.9,4679123.0,NSE_EQ|INE376G01013
2025-05-06,334.8,345.5,332.05,341.45,7013338.0,NSE_EQ|INE376G01013
2025-05-07,336.1,348.85,336.1,346.5,5299681.0,NSE_EQ|INE376G01013
2025-05-08,346.0,350.0,332.35,334.6,2552004.0,NSE_EQ|INE376G01013
2025-05-09,333.5,340.8,328.0,329.9,6131597.0,NSE_EQ|INE376G01013
2025-05-12,335.0,336.3,317.9,328.15,7577972.0,NSE_EQ|INE376G01013
2025-05-13,330.8,337.5,328.8,329.85,4488167.0,NSE_EQ|INE376G01013
2025-05-14,333.4,339.95,329.55,338.2,3246085.0,NSE_EQ|INE376G01013
2025-05-15,339.0,341.75,334.05,338.6,3182074.0,NSE_EQ|INE376G01013
2025-05-16,342.0,344.4,338.6,339.4,1989564.0,NSE_EQ|INE376G01013
2025-05-19,339.85,345.15,338.5,341.6,1347546.0,NSE_EQ|INE376G01013
