date,open,high,low,close,volume,instrument_key
2025-03-18,2044.0,2180.0,2038.7,2156.85,1308620.0,NSE_EQ|INE472A01039
2025-03-19,2156.85,2240.0,2149.6,2210.05,963321.0,NSE_EQ|INE472A01039
2025-03-20,2239.0,2254.75,2155.2,2208.65,799916.0,NSE_EQ|INE472A01039
2025-03-21,2208.9,2231.15,2097.25,2152.7,3002387.0,NSE_EQ|INE472A01039
2025-03-24,2181.45,2250.0,2179.55,2210.9,741065.0,NSE_EQ|INE472A01039
2025-03-25,2240.0,2269.8,2176.15,2198.5,464589.0,NSE_EQ|INE472A01039
2025-03-26,2210.0,2218.8,2174.5,2198.5,263274.0,NSE_EQ|INE472A01039
2025-03-27,2200.95,2236.05,2162.5,2192.15,1473060.0,NSE_EQ|INE472A01039
2025-03-28,2209.05,2235.0,2121.0,2136.4,1027627.0,NSE_EQ|INE472A01039
2025-04-01,2133.25,2148.75,2055.0,2085.35,585532.0,NSE_EQ|INE472A01039
2025-04-02,2088.2,2139.45,2068.9,2111.75,358738.0,NSE_EQ|INE472A01039
2025-04-03,2080.0,2125.0,2078.0,2093.25,271312.0,NSE_EQ|INE472A01039
2025-04-04,2099.25,2111.95,1989.05,2016.1,453071.0,NSE_EQ|INE472A01039
2025-04-07,1656.05,1977.0,1656.05,1962.2,897349.0,NSE_EQ|INE472A01039
2025-04-08,2032.35,2032.35,1952.05,1977.45,664065.0,NSE_EQ|INE472A01039
2025-04-09,1973.1,1982.25,1920.0,1939.3,460710.0,NSE_EQ|INE472A01039
2025-04-11,2000.0,2004.9,1924.0,1967.2,742973.0,NSE_EQ|INE472A01039
2025-04-15,1991.9,2028.4,1971.1,2023.6,764428.0,NSE_EQ|INE472A01039
2025-04-16,2025.0,2062.0,2002.0,2053.3,332614.0,NSE_EQ|INE472A01039
2025-04-17,2051.9,2080.0,2005.5,2015.4,322346.0,NSE_EQ|INE472A01039
2025-04-21,2043.3,2058.0,1993.1,2030.1,532538.0,NSE_EQ|INE472A01039
2025-04-22,2041.0,2092.4,2030.4,2042.3,574885.0,NSE_EQ|INE472A01039
2025-04-23,2066.0,2104.5,1916.5,1925.4,1306494.0,NSE_EQ|INE472A01039
2025-04-24,1945.0,1957.0,1839.6,1849.6,1331275.0,NSE_EQ|INE472A01039
2025-04-25,1858.0,1860.0,1728.2,1739.2,1530943.0,NSE_EQ|INE472A01039
2025-04-28,1770.0,1815.0,1729.0,1746.4,1478167.0,NSE_EQ|INE472A01039
2025-04-29,1763.5,1773.0,1713.1,1745.9,879950.0,NSE_EQ|INE472A01039
2025-04-30,1747.0,1750.0,1683.1,1706.3,1198310.0,NSE_EQ|INE472A01039
2025-05-02,1703.0,1705.0,1637.0,1671.1,1501345.0,NSE_EQ|INE472A01039
2025-05-05,1676.6,1717.9,1651.3,1682.0,1076691.0,NSE_EQ|INE472A01039
2025-05-06,1688.8,1744.7,1676.7,1690.3,1193491.0,NSE_EQ|INE472A01039
2025-05-07,1670.0,1692.3,1636.8,1677.7,1019049.0,NSE_EQ|INE472A01039
2025-05-08,1677.7,1705.0,1591.1,1608.2,2718584.0,NSE_EQ|INE472A01039
2025-05-09,1540.0,1615.0,1540.0,1594.0,896283.0,NSE_EQ|INE472A01039
2025-05-12,1642.0,1660.8,1618.0,1624.2,884428.0,NSE_EQ|INE472A01039
2025-05-13,1637.2,1651.5,1577.0,1581.1,706027.0,NSE_EQ|INE472A01039
2025-05-14,1591.9,1592.7,1550.0,1558.9,777058.0,NSE_EQ|INE472A01039
2025-05-15,1562.6,1583.0,1551.0,1571.4,471666.0,NSE_EQ|INE472A01039
2025-05-16,1572.0,1580.0,1548.0,1563.2,600896.0,NSE_EQ|INE472A01039
2025-05-19,1563.0,1645.0,1560.2,1618.0,1137207.0,NSE_EQ|INE472A01039
2025-05-20,1638.0,1641.9,1595.0,1610.2,769576.0,NSE_EQ|INE472A01039
2025-05-21,1630.0,1650.0,1575.1,1579.3,959026.0,NSE_EQ|INE472A01039
2025-05-22,1580.0,1605.8,1555.7,1558.9,1066305.0,NSE_EQ|INE472A01039
2025-05-23,1561.0,1587.0,1548.1,1557.4,1148751.0,NSE_EQ|INE472A01039
2025-05-26,1556.0,1572.7,1542.0,1551.9,758592.0,NSE_EQ|INE472A01039
2025-05-27,1563.6,1568.3,1548.1,1551.3,294419.0,NSE_EQ|INE472A01039
2025-05-28,1558.0,1563.9,1549.2,1555.5,281014.0,NSE_EQ|INE472A01039
2025-05-29,1561.0,1584.0,1550.0,1551.1,475862.0,NSE_EQ|INE472A01039
2025-05-30,1521.0,1564.9,1521.0,1532.3,608133.0,NSE_EQ|INE472A01039
2025-06-02,1532.3,1575.0,1522.0,1545.8,713447.0,NSE_EQ|INE472A01039
2025-06-03,1558.0,1558.0,1534.5,1543.2,600521.0,NSE_EQ|INE472A01039
2025-06-04,1542.8,1559.9,1532.0,1551.5,406596.0,NSE_EQ|INE472A01039
2025-06-05,1560.0,1589.7,1545.5,1585.0,731506.0,NSE_EQ|INE472A01039
2025-06-06,1585.0,1623.0,1577.7,1589.2,1563716.0,NSE_EQ|INE472A01039
2025-06-09,1593.8,1602.7,1560.6,1569.4,1193534.0,NSE_EQ|INE472A01039
2025-06-10,1572.0,1634.7,1565.5,1624.5,1882252.0,NSE_EQ|INE472A01039
2025-06-11,1636.0,1642.3,1600.2,1633.0,1619097.0,NSE_EQ|INE472A01039
2025-06-12,1633.0,1654.4,1618.0,1622.1,980690.0,NSE_EQ|INE472A01039
2025-06-13,1575.1,1648.3,1575.1,1644.9,936552.0,NSE_EQ|INE472A01039
2025-06-16,1644.9,1679.8,1611.3,1675.2,1057668.0,NSE_EQ|INE472A01039
2025-06-17,1675.2,1675.9,1648.2,1669.9,751866.0,NSE_EQ|INE472A01039
2025-06-18,1652.0,1673.9,1625.2,1631.6,788540.0,NSE_EQ|INE472A01039
2025-06-19,1632.3,1638.7,1566.5,1591.7,1134919.0,NSE_EQ|INE472A01039
2025-06-20,1591.0,1620.0,1584.1,1610.0,524993.0,NSE_EQ|INE472A01039
2025-06-23,1595.0,1624.4,1592.6,1611.7,311114.0,NSE_EQ|INE472A01039
2025-06-24,1610.0,1643.6,1609.5,1631.0,353848.0,NSE_EQ|INE472A01039
2025-06-25,1631.0,1650.3,1620.7,1645.5,537976.0,NSE_EQ|INE472A01039
2025-06-26,1645.5,1674.8,1640.8,1660.9,653059.0,NSE_EQ|INE472A01039
2025-06-27,1668.0,1683.0,1616.9,1624.0,914421.0,NSE_EQ|INE472A01039
2025-06-30,1639.9,1653.1,1626.5,1635.6,481994.0,NSE_EQ|INE472A01039
2025-07-01,1635.6,1715.1,1631.6,1704.9,1194162.0,NSE_EQ|INE472A01039
2025-07-02,1710.0,1762.0,1688.3,1756.1,1857196.0,NSE_EQ|INE472A01039
2025-07-03,1764.7,1848.2,1737.2,1842.3,3061466.0,NSE_EQ|INE472A01039
2025-07-04,1835.0,1877.8,1817.6,1841.2,1505974.0,NSE_EQ|INE472A01039
2025-07-07,1836.0,1842.0,1801.1,1826.7,694681.0,NSE_EQ|INE472A01039
2025-07-08,1817.2,1829.9,1801.1,1810.1,508614.0,NSE_EQ|INE472A01039
2025-07-09,1810.1,1834.0,1799.8,1809.6,435762.0,NSE_EQ|INE472A01039
2025-07-10,1809.6,1814.9,1790.2,1796.7,504138.0,NSE_EQ|INE472A01039
2025-07-11,1790.0,1810.0,1774.0,1799.8,684795.0,NSE_EQ|INE472A01039
2025-07-14,1789.1,1835.0,1777.9,1828.5,766662.0,NSE_EQ|INE472A01039
2025-07-15,1835.0,1902.3,1834.5,1882.3,755234.0,NSE_EQ|INE472A01039
2025-07-16,1880.0,1883.3,1852.7,1860.6,302880.0,NSE_EQ|INE472A01039
2025-07-17,1868.0,1922.4,1857.6,1882.6,745629.0,NSE_EQ|INE472A01039
2025-07-18,1881.9,1890.8,1830.0,1845.3,548049.0,NSE_EQ|INE472A01039
2025-07-21,1826.1,1833.9,1795.0,1819.6,479965.0,NSE_EQ|INE472A01039
2025-07-22,1815.0,1816.0,1758.4,1764.2,923889.0,NSE_EQ|INE472A01039
2025-07-23,1730.0,1768.3,1730.0,1749.2,684327.0,NSE_EQ|INE472A01039
2025-07-24,1755.0,1773.0,1737.2,1764.3,338581.0,NSE_EQ|INE472A01039
2025-07-25,1765.1,1794.3,1740.0,1747.2,352865.0,NSE_EQ|INE472A01039
2025-07-28,1740.1,1759.9,1725.9,1738.7,372752.0,NSE_EQ|INE472A01039
2025-07-29,1730.0,1748.0,1720.0,1744.9,110963.0,NSE_EQ|INE472A01039
2025-07-30,1747.9,1765.0,1739.4,1754.7,175310.0,NSE_EQ|INE472A01039
