date,close,instrument_key
2025-03-18,262.18,NSE_EQ|INE029A01011
2025-03-19,265.26,NSE_EQ|INE029A01011
2025-03-20,272.13,NSE_EQ|INE029A01011
2025-03-21,279.66,NSE_EQ|INE029A01011
2025-03-24,280.44,NSE_EQ|INE029A01011
2025-03-25,279.11,NSE_EQ|INE029A01011
2025-03-26,273.01,NSE_EQ|INE029A01011
2025-03-27,276.06,NSE_EQ|INE029A01011
2025-03-28,278.47,NSE_EQ|INE029A01011
2025-04-01,284.6,NSE_EQ|INE029A01011
2025-04-02,286.8,NSE_EQ|INE029A01011
2025-04-03,286.8,NSE_EQ|INE029A01011
2025-04-04,279.45,NSE_EQ|INE029A01011
2025-04-07,273.7,NSE_EQ|INE029A01011
2025-04-08,285.9,NSE_EQ|INE029A01011
2025-04-09,287.95,NSE_EQ|INE029A01011
2025-04-11,293.2,NSE_EQ|INE029A01011
2025-04-15,294.4,NSE_EQ|INE029A01011
2025-04-16,298.75,NSE_EQ|INE029A01011
2025-04-17,298.35,NSE_EQ|INE029A01011
2025-04-21,304.05,NSE_EQ|INE029A01011
2025-04-22,306.1,NSE_EQ|INE029A01011
2025-04-23,300.45,NSE_EQ|INE029A01011
2025-04-24,302.0,NSE_EQ|INE029A01011
2025-04-25,295.7,NSE_EQ|INE029A01011
2025-04-28,310.0,NSE_EQ|INE029A01011
2025-04-29,311.7,NSE_EQ|INE029A01011
2025-04-30,310.05,NSE_EQ|INE029A01011
2025-05-02,311.15,NSE_EQ|INE029A01011
2025-05-05,321.05,NSE_EQ|INE029A01011
2025-05-06,311.45,NSE_EQ|INE029A01011
2025-05-07,316.9,NSE_EQ|INE029A01011
2025-05-08,307.95,NSE_EQ|INE029A01011
2025-05-09,306.85,NSE_EQ|INE029A01011
2025-05-12,309.05,NSE_EQ|INE029A01011
2025-05-13,306.9,NSE_EQ|INE029A01011
2025-05-14,312.5,NSE_EQ|INE029A01011
2025-05-15,317.0,NSE_EQ|INE029A01011
2025-05-16,320.1,NSE_EQ|INE029A01011
2025-05-19,317.2,NSE_EQ|INE029A01011
2025-05-20,312.9,NSE_EQ|INE029A01011
2025-05-21,315.85,NSE_EQ|INE029A01011
2025-05-22,313.05,NSE_EQ|INE029A01011
2025-05-23,318.9,NSE_EQ|INE029A01011
2025-05-26,322.95,NSE_EQ|INE029A01011
2025-05-27,317.0,NSE_EQ|INE029A01011
2025-05-28,321.7,NSE_EQ|INE029A01011
2025-05-29,319.15,NSE_EQ|INE029A01011
2025-05-30,318.4,NSE_EQ|INE029A01011
2025-06-02,316.6,NSE_EQ|INE029A01011
2025-06-03,309.75,NSE_EQ|INE029A01011
2025-06-04,311.55,NSE_EQ|INE029A01011
2025-06-05,309.8,NSE_EQ|INE029A01011
2025-06-06,316.7,NSE_EQ|INE029A01011
2025-06-09,320.4,NSE_EQ|INE029A01011
2025-06-10,320.1,NSE_EQ|INE029A01011
2025-06-11,333.85,NSE_EQ|INE029A01011
2025-06-12,318.65,NSE_EQ|INE029A01011
2025-06-13,312.3,NSE_EQ|INE029A01011
2025-06-16,316.4,NSE_EQ|INE029A01011
2025-06-17,312.8,NSE_EQ|INE029A01011
2025-06-18,315.85,NSE_EQ|INE029A01011
2025-06-19,313.45,NSE_EQ|INE029A01011
2025-06-20,313.5,NSE_EQ|INE029A01011
2025-06-23,313.45,NSE_EQ|INE029A01011
2025-06-24,319.25,NSE_EQ|INE029A01011
2025-06-25,319.6,NSE_EQ|INE029A01011
2025-06-26,329.75,NSE_EQ|INE029A01011
2025-06-27,333.0,NSE_EQ|INE029A01011
2025-06-30,331.95,NSE_EQ|INE029A01011
2025-07-01,332.05,NSE_EQ|INE029A01011
2025-07-02,331.8,NSE_EQ|INE029A01011
2025-07-03,331.5,NSE_EQ|INE029A01011
2025-07-04,346.2,NSE_EQ|INE029A01011
2025-07-07,350.5,NSE_EQ|INE029A01011
2025-07-08,355.6,NSE_EQ|INE029A01011
2025-07-09,348.5,NSE_EQ|INE029A01011
2025-07-10,350.95,NSE_EQ|INE029A01011
2025-07-11,344.85,NSE_EQ|INE029A01011
2025-07-14,344.4,NSE_EQ|INE029A01011
2025-07-15,348.05,NSE_EQ|INE029A01011
2025-07-16,347.85,NSE_EQ|INE029A01011
2025-07-17,346.75,NSE_EQ|INE029A01011
2025-07-18,343.5,NSE_EQ|INE029A01011
2025-07-21,342.6,NSE_EQ|INE029A01011
2025-07-22,340.35,NSE_EQ|INE029A01011
2025-07-23,344.45,NSE_EQ|INE029A01011
2025-07-24,341.4,NSE_EQ|INE029A01011
2025-07-25,332.9,NSE_EQ|INE029A01011
2025-07-28,333.4,NSE_EQ|INE029A01011
2025-07-29,334.95,NSE_EQ|INE029A01011
2025-07-30,337.05,NSE_EQ|INE029A01011
2025-07-31,329.3,NSE_EQ|INE029A01011
2025-08-01,317.85,NSE_EQ|INE029A01011
2025-08-04,317.85,NSE_EQ|INE029A01011
2025-08-05,315.1,NSE_EQ|INE029A01011
2025-08-06,315.75,NSE_EQ|INE029A01011
