date,open,high,low,close,volume,instrument_key
2025-03-18,1336.0,1389.0,1326.5,1382.0,9961251.0,NSE_EQ|INE118H01025
2025-03-19,1388.0,1471.0,1385.0,1464.0,15514137.0,NSE_EQ|INE118H01025
2025-03-20,1478.0,1517.5,1451.5,1492.5,16110225.0,NSE_EQ|INE118H01025
2025-03-21,1496.0,1616.5,1485.0,1593.0,21105233.0,NSE_EQ|INE118H01025
2025-03-24,1613.0,1636.0,1540.5,1551.5,17439175.0,NSE_EQ|INE118H01025
2025-03-25,1561.0,1592.5,1538.5,1550.5,12420189.0,NSE_EQ|INE118H01025
2025-03-26,1556.5,1562.0,1484.0,1491.5,8880723.0,NSE_EQ|INE118H01025
2025-03-27,1550.0,1578.0,1526.0,1561.5,20804056.0,NSE_EQ|INE118H01025
2025-03-28,1666.5,1844.5,1666.5,1826.5,56324965.0,NSE_EQ|INE118H01025
2025-04-01,1848.0,1858.5,1810.0,1822.0,13948740.0,NSE_EQ|INE118H01025
2025-04-02,1823.0,1893.0,1810.0,1885.0,14560588.0,NSE_EQ|INE118H01025
2025-04-03,1858.5,1929.0,1853.5,1873.5,13501710.0,NSE_EQ|INE118H01025
2025-04-04,1874.5,1886.5,1821.0,1839.0,11406136.0,NSE_EQ|INE118H01025
2025-04-07,1666.5,1750.0,1659.5,1727.5,12644365.0,NSE_EQ|INE118H01025
2025-04-08,1800.0,1853.0,1784.0,1846.0,10423108.0,NSE_EQ|INE118H01025
2025-04-09,1833.0,1870.0,1802.5,1849.5,9486859.0,NSE_EQ|INE118H01025
2025-04-11,1899.0,1908.0,1860.5,1881.5,7931758.0,NSE_EQ|INE118H01025
2025-04-15,1917.0,1991.5,1907.0,1986.0,7914884.0,NSE_EQ|INE118H01025
2025-04-16,1995.5,1999.0,1953.0,1976.5,6664746.0,NSE_EQ|INE118H01025
2025-04-17,1969.5,2013.0,1955.0,1977.0,7754245.0,NSE_EQ|INE118H01025
2025-04-21,1993.5,2104.0,1990.0,2095.0,12256907.0,NSE_EQ|INE118H01025
2025-04-22,2116.0,2136.0,2075.0,2080.5,10095410.0,NSE_EQ|INE118H01025
2025-04-23,2099.5,2153.0,2075.0,2146.0,11015470.0,NSE_EQ|INE118H01025
2025-04-24,2150.0,2188.0,2140.0,2164.5,8305041.0,NSE_EQ|INE118H01025
2025-04-25,2175.0,2198.0,2057.5,2101.0,12846244.0,NSE_EQ|INE118H01025
2025-04-28,2100.0,2199.0,2090.5,2188.0,8724806.0,NSE_EQ|INE118H01025
2025-04-29,2200.0,2269.0,2187.0,2213.5,11041806.0,NSE_EQ|INE118H01025
2025-04-30,2223.0,2223.0,2107.5,2119.5,7387576.0,NSE_EQ|INE118H01025
2025-05-02,2120.0,2169.5,2095.0,2102.0,7704089.0,NSE_EQ|INE118H01025
2025-05-05,2116.5,2159.0,2090.0,2151.0,6595296.0,NSE_EQ|INE118H01025
2025-05-06,2158.0,2176.5,2073.0,2081.5,7534770.0,NSE_EQ|INE118H01025
2025-05-07,2123.0,2282.5,2117.5,2217.5,32620657.0,NSE_EQ|INE118H01025
2025-05-08,2243.0,2298.0,2210.0,2230.0,15817426.0,NSE_EQ|INE118H01025
2025-05-09,2166.5,2216.5,2160.5,2190.5,10560600.0,NSE_EQ|INE118H01025
2025-05-12,2300.0,2349.0,2288.0,2318.5,11884872.0,NSE_EQ|INE118H01025
2025-05-13,2333.0,2448.5,2327.0,2438.5,16157450.0,NSE_EQ|INE118H01025
2025-05-14,2450.5,2474.0,2417.0,2449.0,9445740.0,NSE_EQ|INE118H01025
2025-05-15,2450.5,2450.5,2370.5,2382.5,10081179.0,NSE_EQ|INE118H01025
2025-05-16,2400.0,2438.0,2397.0,2426.0,5440456.0,NSE_EQ|INE118H01025
2025-05-19,2438.0,2491.5,2427.0,2486.0,6780513.0,NSE_EQ|INE118H01025
2025-05-20,2510.5,2529.0,2454.0,2461.5,9831401.0,NSE_EQ|INE118H01025
2025-05-21,2466.5,2490.0,2400.0,2435.0,8333984.0,NSE_EQ|INE118H01025
2025-05-22,2435.0,2440.0,2298.0,2332.0,15082001.0,NSE_EQ|INE118H01025
2025-05-23,2358.0,2488.0,2335.0,2448.0,16556320.0,NSE_EQ|INE118H01025
2025-05-26,2480.0,2526.0,2435.0,2450.0,9288433.0,NSE_EQ|INE118H01025
2025-05-27,2450.0,2450.0,2395.5,2404.0,6553028.0,NSE_EQ|INE118H01025
2025-05-28,2425.0,2438.0,2385.0,2404.0,5094893.0,NSE_EQ|INE118H01025
2025-05-29,2429.0,2470.0,2391.0,2464.5,6162725.0,NSE_EQ|INE118H01025
2025-05-30,2472.5,2690.0,2469.0,2674.0,18465797.0,NSE_EQ|INE118H01025
2025-06-02,2690.0,2735.2,2647.0,2693.3,10992168.0,NSE_EQ|INE118H01025
2025-06-03,2720.0,2787.8,2692.0,2764.9,8663975.0,NSE_EQ|INE118H01025
2025-06-04,2779.9,2815.0,2711.0,2797.1,6827661.0,NSE_EQ|INE118H01025
2025-06-05,2821.1,2918.0,2815.0,2909.8,11094118.0,NSE_EQ|INE118H01025
2025-06-06,2939.8,2985.0,2920.0,2933.2,10365779.0,NSE_EQ|INE118H01025
2025-06-09,2970.0,3024.9,2935.3,2994.4,7298847.0,NSE_EQ|INE118H01025
2025-06-10,3009.3,3030.0,2975.2,3005.4,7137028.0,NSE_EQ|INE118H01025
2025-06-11,3015.0,3019.9,2823.1,2882.4,10665889.0,NSE_EQ|INE118H01025
2025-06-12,2860.0,2860.9,2748.4,2754.1,9601852.0,NSE_EQ|INE118H01025
2025-06-13,2653.0,2770.0,2653.0,2711.2,7506707.0,NSE_EQ|INE118H01025
2025-06-16,2725.0,2769.0,2675.0,2697.4,5760092.0,NSE_EQ|INE118H01025
2025-06-17,2719.0,2730.0,2622.3,2664.4,6162135.0,NSE_EQ|INE118H01025
2025-06-18,2525.0,2664.0,2500.0,2633.2,9963748.0,NSE_EQ|INE118H01025
2025-06-19,2645.0,2656.4,2584.0,2595.4,4153374.0,NSE_EQ|INE118H01025
