date,open,high,low,close,volume,instrument_key
2025-03-18,390.6,399.1,389.2,398.6,990891.0,NSE_EQ|INE836A01035
2025-03-19,398.6,401.0,390.35,395.1,1726845.0,NSE_EQ|INE836A01035
2025-03-20,399.95,412.05,397.45,409.0,3324944.0,NSE_EQ|INE836A01035
2025-03-21,405.0,411.75,397.85,404.35,3138163.0,NSE_EQ|INE836A01035
2025-03-24,409.0,415.4,404.05,410.85,2374939.0,NSE_EQ|INE836A01035
2025-03-25,416.0,419.0,400.4,402.65,2788324.0,NSE_EQ|INE836A01035
2025-03-26,403.7,404.95,392.85,393.9,1957548.0,NSE_EQ|INE836A01035
2025-03-27,390.0,397.5,388.05,395.9,2923856.0,NSE_EQ|INE836A01035
2025-03-28,395.0,402.25,385.45,387.7,2464995.0,NSE_EQ|INE836A01035
2025-04-01,387.0,393.7,382.7,388.3,1515137.0,NSE_EQ|INE836A01035
2025-04-02,388.0,394.05,380.7,391.95,3032028.0,NSE_EQ|INE836A01035
2025-04-03,383.95,391.0,381.15,387.85,1768620.0,NSE_EQ|INE836A01035
2025-04-04,385.85,386.45,363.9,366.5,2636412.0,NSE_EQ|INE836A01035
2025-04-07,335.0,349.0,331.0,347.1,3134628.0,NSE_EQ|INE836A01035
2025-04-08,354.35,359.9,346.35,356.4,1259915.0,NSE_EQ|INE836A01035
2025-04-09,351.05,360.5,346.9,356.7,1183417.0,NSE_EQ|INE836A01035
2025-04-11,365.9,365.9,355.0,359.75,1279900.0,NSE_EQ|INE836A01035
2025-04-15,363.55,374.2,362.4,372.05,1577691.0,NSE_EQ|INE836A01035
2025-04-16,372.0,373.3,368.7,372.1,896110.0,NSE_EQ|INE836A01035
2025-04-17,369.05,372.4,364.0,371.55,1934269.0,NSE_EQ|INE836A01035
2025-04-21,371.55,389.75,371.4,388.2,2983492.0,NSE_EQ|INE836A01035
2025-04-22,390.0,390.0,382.05,382.9,1541317.0,NSE_EQ|INE836A01035
2025-04-23,390.0,401.0,388.3,399.65,5205915.0,NSE_EQ|INE836A01035
2025-04-24,400.0,402.7,394.3,395.45,2090872.0,NSE_EQ|INE836A01035
2025-04-25,395.0,403.95,382.6,386.05,2993690.0,NSE_EQ|INE836A01035
2025-04-28,388.9,391.6,383.1,390.0,1180593.0,NSE_EQ|INE836A01035
2025-04-29,392.0,398.9,390.9,397.75,1216492.0,NSE_EQ|INE836A01035
2025-04-30,399.8,400.2,387.5,390.2,1112991.0,NSE_EQ|INE836A01035
2025-05-02,390.0,405.8,389.15,395.0,2512814.0,NSE_EQ|INE836A01035
2025-05-05,399.5,404.3,395.35,397.35,1123012.0,NSE_EQ|INE836A01035
2025-05-06,398.2,402.9,382.5,384.3,768702.0,NSE_EQ|INE836A01035
2025-05-07,381.0,391.1,379.55,389.7,893607.0,NSE_EQ|INE836A01035
2025-05-08,391.4,396.35,383.1,385.95,1088167.0,NSE_EQ|INE836A01035
2025-05-09,376.5,386.0,376.3,384.45,803062.0,NSE_EQ|INE836A01035
2025-05-12,395.0,424.35,390.0,420.45,5750334.0,NSE_EQ|INE836A01035
2025-05-13,424.0,424.7,413.3,420.9,3766618.0,NSE_EQ|INE836A01035
2025-05-14,421.5,429.45,417.6,423.25,3439361.0,NSE_EQ|INE836A01035
2025-05-15,426.0,430.0,423.05,428.2,1511927.0,NSE_EQ|INE836A01035
2025-05-16,430.0,434.75,428.2,429.7,1367781.0,NSE_EQ|INE836A01035
2025-05-19,429.9,434.0,423.8,424.9,1144342.0,NSE_EQ|INE836A01035
2025-05-20,427.0,433.45,421.65,422.65,1424650.0,NSE_EQ|INE836A01035
2025-05-21,422.0,428.25,420.25,424.0,726194.0,NSE_EQ|INE836A01035
2025-05-22,422.0,425.6,417.0,421.4,754016.0,NSE_EQ|INE836A01035
2025-05-23,421.6,432.25,420.7,424.8,981938.0,NSE_EQ|INE836A01035
2025-05-26,425.25,427.35,415.45,418.55,1343961.0,NSE_EQ|INE836A01035
2025-05-27,418.05,419.85,415.0,415.5,1007492.0,NSE_EQ|INE836A01035
2025-05-28,416.1,424.85,415.25,423.3,1731127.0,NSE_EQ|INE836A01035
2025-05-29,423.65,439.9,412.0,420.75,8407463.0,NSE_EQ|INE836A01035
2025-05-30,412.0,412.0,396.05,400.5,6993485.0,NSE_EQ|INE836A01035
2025-06-02,392.15,401.6,392.15,398.9,1754387.0,NSE_EQ|INE836A01035
2025-06-03,400.0,402.55,393.3,397.4,1342091.0,NSE_EQ|INE836A01035
2025-06-04,398.4,405.5,396.9,402.95,1429929.0,NSE_EQ|INE836A01035
2025-06-05,405.45,411.65,401.45,410.45,1503267.0,NSE_EQ|INE836A01035
2025-06-06,413.0,414.0,408.1,411.1,1185830.0,NSE_EQ|INE836A01035
2025-06-09,415.0,421.1,412.4,417.65,1247025.0,NSE_EQ|INE836A01035
2025-06-10,419.85,433.9,418.35,428.55,4037571.0,NSE_EQ|INE836A01035
2025-06-11,430.45,435.8,426.5,430.8,1998767.0,NSE_EQ|INE836A01035
2025-06-12,433.5,433.5,416.7,419.85,2503620.0,NSE_EQ|INE836A01035
2025-06-13,410.5,421.25,406.05,415.7,1484886.0,NSE_EQ|INE836A01035
