date,close,instrument_key
2025-03-18,83.92,NSE_EQ|INE476A01022
2025-03-19,85.57,NSE_EQ|INE476A01022
2025-03-20,85.84,NSE_EQ|INE476A01022
2025-03-21,87.54,NSE_EQ|INE476A01022
2025-03-24,91.32,NSE_EQ|INE476A01022
2025-03-25,88.46,NSE_EQ|INE476A01022
2025-03-26,87.24,NSE_EQ|INE476A01022
2025-03-27,89.65,NSE_EQ|INE476A01022
2025-03-28,89.0,NSE_EQ|INE476A01022
2025-04-01,90.0,NSE_EQ|INE476A01022
2025-04-02,91.1,NSE_EQ|INE476A01022
2025-04-03,94.38,NSE_EQ|INE476A01022
2025-04-04,90.39,NSE_EQ|INE476A01022
2025-04-07,87.1,NSE_EQ|INE476A01022
2025-04-08,89.43,NSE_EQ|INE476A01022
2025-04-09,88.42,NSE_EQ|INE476A01022
2025-04-11,90.54,NSE_EQ|INE476A01022
2025-04-15,92.69,NSE_EQ|INE476A01022
2025-04-16,94.7,NSE_EQ|INE476A01022
2025-04-17,96.02,NSE_EQ|INE476A01022
2025-04-21,99.0,NSE_EQ|INE476A01022
2025-04-22,100.66,NSE_EQ|INE476A01022
2025-04-23,99.45,NSE_EQ|INE476A01022
2025-04-24,99.39,NSE_EQ|INE476A01022
2025-04-25,96.53,NSE_EQ|INE476A01022
2025-04-28,98.45,NSE_EQ|INE476A01022
2025-04-29,99.33,NSE_EQ|INE476A01022
2025-04-30,97.45,NSE_EQ|INE476A01022
2025-05-02,96.85,NSE_EQ|INE476A01022
2025-05-05,97.16,NSE_EQ|INE476A01022
2025-05-06,92.38,NSE_EQ|INE476A01022
2025-05-07,93.67,NSE_EQ|INE476A01022
2025-05-08,95.37,NSE_EQ|INE476A01022
2025-05-09,97.64,NSE_EQ|INE476A01022
2025-05-12,100.86,NSE_EQ|INE476A01022
2025-05-13,104.78,NSE_EQ|INE476A01022
2025-05-14,105.67,NSE_EQ|INE476A01022
2025-05-15,105.16,NSE_EQ|INE476A01022
