date,open,high,low,close,volume,instrument_key
2025-03-18,629.95,647.95,622.55,643.55,480521.0,NSE_EQ|INE477A01020
2025-03-19,645.1,661.75,641.8,660.05,337633.0,NSE_EQ|INE477A01020
2025-03-20,661.2,679.0,659.5,676.5,482798.0,NSE_EQ|INE477A01020
2025-03-21,676.95,681.9,667.25,675.65,412119.0,NSE_EQ|INE477A01020
2025-03-24,675.65,696.75,675.65,685.3,358866.0,NSE_EQ|INE477A01020
2025-03-25,695.0,695.0,670.7,680.1,311666.0,NSE_EQ|INE477A01020
2025-03-26,694.7,694.7,666.55,670.65,220885.0,NSE_EQ|INE477A01020
2025-03-27,670.0,674.9,661.85,666.9,266519.0,NSE_EQ|INE477A01020
2025-03-28,667.55,678.0,664.7,669.45,193798.0,NSE_EQ|INE477A01020
2025-04-01,666.8,674.1,660.2,663.35,169914.0,NSE_EQ|INE477A01020
2025-04-02,663.0,676.4,653.8,670.9,206213.0,NSE_EQ|INE477A01020
2025-04-03,661.0,688.15,661.0,679.9,341888.0,NSE_EQ|INE477A01020
2025-04-04,678.5,683.1,663.0,664.1,244072.0,NSE_EQ|INE477A01020
2025-04-07,615.0,655.75,615.0,647.35,652588.0,NSE_EQ|INE477A01020
2025-04-08,654.8,677.05,654.8,660.1,252153.0,NSE_EQ|INE477A01020
2025-04-09,659.4,663.5,650.2,656.85,239240.0,NSE_EQ|INE477A01020
2025-04-11,664.0,667.4,646.65,652.0,427585.0,NSE_EQ|INE477A01020
2025-04-15,665.0,669.7,651.2,666.5,408789.0,NSE_EQ|INE477A01020
2025-04-16,667.6,705.0,665.45,697.4,1005234.0,NSE_EQ|INE477A01020
2025-04-17,703.45,720.0,690.3,711.55,774073.0,NSE_EQ|INE477A01020
2025-04-21,718.0,746.15,716.5,739.95,528465.0,NSE_EQ|INE477A01020
2025-04-22,749.0,749.0,731.0,739.8,262679.0,NSE_EQ|INE477A01020
2025-04-23,746.0,749.0,728.0,744.9,490362.0,NSE_EQ|INE477A01020
2025-04-24,750.0,750.0,704.4,708.65,1235577.0,NSE_EQ|INE477A01020
2025-04-25,711.95,729.0,700.0,723.15,1109864.0,NSE_EQ|INE477A01020
2025-04-28,727.0,731.9,716.85,726.95,292218.0,NSE_EQ|INE477A01020
2025-04-29,730.0,730.5,706.1,708.65,598251.0,NSE_EQ|INE477A01020
2025-04-30,705.05,718.7,698.05,715.15,664251.0,NSE_EQ|INE477A01020
2025-05-02,722.0,730.0,710.55,718.75,305716.0,NSE_EQ|INE477A01020
2025-05-05,724.3,724.3,708.8,715.2,539007.0,NSE_EQ|INE477A01020
2025-05-06,715.2,720.25,699.95,703.35,246890.0,NSE_EQ|INE477A01020
2025-05-07,695.0,721.45,695.0,718.1,208281.0,NSE_EQ|INE477A01020
2025-05-08,719.0,735.0,701.1,712.85,606965.0,NSE_EQ|INE477A01020
2025-05-09,691.55,712.0,691.55,707.7,247892.0,NSE_EQ|INE477A01020
2025-05-12,734.0,734.0,715.95,728.35,307989.0,NSE_EQ|INE477A01020
2025-05-13,729.95,734.2,718.0,720.55,204768.0,NSE_EQ|INE477A01020
2025-05-14,728.0,743.75,722.4,741.3,454479.0,NSE_EQ|INE477A01020
2025-05-15,745.0,749.8,740.0,743.4,299495.0,NSE_EQ|INE477A01020
2025-05-16,750.0,756.0,741.05,754.2,271095.0,NSE_EQ|INE477A01020
2025-05-19,754.2,758.25,736.0,743.65,247043.0,NSE_EQ|INE477A01020
2025-05-20,748.7,749.45,736.95,743.3,140331.0,NSE_EQ|INE477A01020
2025-05-21,743.8,754.95,735.0,751.05,151115.0,NSE_EQ|INE477A01020
2025-05-22,748.0,753.55,738.6,745.0,90754.0,NSE_EQ|INE477A01020
2025-05-23,746.1,747.9,735.0,738.7,296136.0,NSE_EQ|INE477A01020
2025-05-26,743.8,759.0,742.1,755.65,212863.0,NSE_EQ|INE477A01020
2025-05-27,760.0,779.9,758.0,775.05,482834.0,NSE_EQ|INE477A01020
2025-05-28,778.0,779.5,762.2,767.8,124298.0,NSE_EQ|INE477A01020
2025-05-29,767.2,785.2,765.55,779.55,218848.0,NSE_EQ|INE477A01020
2025-05-30,784.0,790.8,768.0,788.15,235390.0,NSE_EQ|INE477A01020
2025-06-02,788.2,794.0,776.05,791.85,280101.0,NSE_EQ|INE477A01020
2025-06-03,795.0,795.3,780.5,782.85,149421.0,NSE_EQ|INE477A01020
2025-06-04,784.0,795.4,777.0,782.45,142169.0,NSE_EQ|INE477A01020
2025-06-05,789.4,790.45,777.0,778.4,104247.0,NSE_EQ|INE477A01020
2025-06-06,778.4,801.9,773.0,782.55,509557.0,NSE_EQ|INE477A01020
2025-06-09,789.4,812.2,787.0,808.9,584647.0,NSE_EQ|INE477A01020
2025-06-10,817.7,817.7,805.05,811.95,321681.0,NSE_EQ|INE477A01020
2025-06-11,810.9,817.75,800.55,813.45,317340.0,NSE_EQ|INE477A01020
2025-06-12,816.5,816.5,790.9,796.7,329745.0,NSE_EQ|INE477A01020
2025-06-13,787.1,801.3,773.6,792.45,160545.0,NSE_EQ|INE477A01020
2025-06-16,790.25,792.0,768.0,779.75,279210.0,NSE_EQ|INE477A01020
2025-06-17,782.0,796.55,777.6,793.35,345617.0,NSE_EQ|INE477A01020
2025-06-18,794.3,801.45,783.0,790.05,296023.0,NSE_EQ|INE477A01020
2025-06-19,785.0,788.4,766.9,777.05,191631.0,NSE_EQ|INE477A01020
2025-06-20,777.05,781.45,760.0,764.45,525429.0,NSE_EQ|INE477A01020
2025-06-23,757.1,772.5,754.8,763.3,91174.0,NSE_EQ|INE477A01020
2025-06-24,767.0,792.0,765.0,789.35,368881.0,NSE_EQ|INE477A01020
2025-06-25,795.55,799.0,782.05,784.3,173442.0,NSE_EQ|INE477A01020
2025-06-26,792.0,796.0,780.0,790.5,214509.0,NSE_EQ|INE477A01020
2025-06-27,794.0,807.55,785.0,789.3,432438.0,NSE_EQ|INE477A01020
