date,open,high,low,close,volume,instrument_key
2025-03-18,1629.0,1705.9,1612.7,1694.7,1194155.0,NSE_EQ|INE290S01011
2025-03-19,1714.75,1793.0,1700.0,1707.45,763660.0,NSE_EQ|INE290S01011
2025-03-20,1713.85,1728.15,1656.15,1705.6,256589.0,NSE_EQ|INE290S01011
2025-03-21,1712.0,1889.0,1692.55,1807.1,2494214.0,NSE_EQ|INE290S01011
2025-03-24,1840.0,1846.0,1777.0,1783.05,420419.0,NSE_EQ|INE290S01011
2025-03-25,1785.0,1789.0,1673.35,1683.6,376819.0,NSE_EQ|INE290S01011
2025-03-26,1699.45,1732.0,1646.05,1655.35,525055.0,NSE_EQ|INE290S01011
2025-03-27,1649.0,1715.4,1620.0,1680.95,383572.0,NSE_EQ|INE290S01011
2025-03-28,1669.05,1708.9,1629.9,1644.95,195658.0,NSE_EQ|INE290S01011
2025-04-01,1620.0,1659.75,1583.1,1596.2,275663.0,NSE_EQ|INE290S01011
2025-04-02,1595.05,1695.0,1590.0,1648.2,716686.0,NSE_EQ|INE290S01011
2025-04-03,1648.0,1722.9,1635.05,1679.1,414970.0,NSE_EQ|INE290S01011
2025-04-04,1678.0,1724.0,1643.15,1672.35,630721.0,NSE_EQ|INE290S01011
2025-04-07,1460.0,1574.65,1425.2,1464.2,755402.0,NSE_EQ|INE290S01011
2025-04-08,1502.35,1545.0,1450.3,1524.4,406151.0,NSE_EQ|INE290S01011
2025-04-09,1524.4,1530.65,1362.5,1385.95,681664.0,NSE_EQ|INE290S01011
2025-04-11,1450.5,1546.8,1432.2,1538.1,1108560.0,NSE_EQ|INE290S01011
2025-04-15,1546.7,1592.0,1535.5,1546.0,444573.0,NSE_EQ|INE290S01011
2025-04-16,1550.0,1574.5,1521.2,1532.2,203810.0,NSE_EQ|INE290S01011
2025-04-17,1532.2,1570.0,1495.0,1562.5,225904.0,NSE_EQ|INE290S01011
2025-04-21,1565.0,1619.9,1557.1,1609.9,196368.0,NSE_EQ|INE290S01011
2025-04-22,1623.0,1709.8,1619.9,1660.0,476410.0,NSE_EQ|INE290S01011
2025-04-23,1678.3,1710.9,1620.0,1659.0,232380.0,NSE_EQ|INE290S01011
2025-04-24,1666.9,1729.0,1665.0,1673.6,298522.0,NSE_EQ|INE290S01011
2025-04-25,1687.0,1762.4,1645.0,1683.6,714897.0,NSE_EQ|INE290S01011
2025-04-28,1680.0,1789.0,1680.0,1715.5,449193.0,NSE_EQ|INE290S01011
2025-04-29,1724.1,1766.6,1695.2,1739.6,261411.0,NSE_EQ|INE290S01011
