date,open,high,low,close,volume,instrument_key
2025-03-18,554.85,554.85,548.05,549.0,480016.0,NSE_EQ|INE686A01026
2025-03-19,552.85,556.5,550.5,552.2,739765.0,NSE_EQ|INE686A01026
2025-03-20,554.5,555.4,552.2,553.9,586709.0,NSE_EQ|INE686A01026
2025-03-21,555.0,559.2,553.65,554.45,522985.0,NSE_EQ|INE686A01026
2025-03-24,556.0,558.8,552.5,553.3,466629.0,NSE_EQ|INE686A01026
2025-03-25,555.85,563.0,551.55,560.55,1608030.0,NSE_EQ|INE686A01026
2025-03-26,563.0,563.95,554.25,555.25,741025.0,NSE_EQ|INE686A01026
2025-03-27,554.1,561.75,552.55,555.0,863812.0,NSE_EQ|INE686A01026
2025-03-28,559.75,561.05,556.5,557.3,441417.0,NSE_EQ|INE686A01026
2025-04-01,556.6,559.45,554.25,555.7,410857.0,NSE_EQ|INE686A01026
2025-04-02,557.95,558.45,555.35,557.75,967434.0,NSE_EQ|INE686A01026
2025-04-03,557.6,563.0,556.25,559.5,1120087.0,NSE_EQ|INE686A01026
2025-04-04,561.0,561.7,557.25,558.4,775987.0,NSE_EQ|INE686A01026
2025-04-07,550.0,557.6,530.5,553.85,1463270.0,NSE_EQ|INE686A01026
2025-04-08,559.0,569.95,526.2,560.8,1113322.0,NSE_EQ|INE686A01026
2025-04-09,560.0,568.45,533.1,537.25,435041.0,NSE_EQ|INE686A01026
2025-04-11,558.35,558.35,519.0,524.9,726879.0,NSE_EQ|INE686A01026
2025-04-15,529.0,536.65,525.25,532.45,560861.0,NSE_EQ|INE686A01026
2025-04-16,532.45,539.25,526.0,528.35,433542.0,NSE_EQ|INE686A01026
2025-04-17,530.0,537.55,520.35,532.2,669897.0,NSE_EQ|INE686A01026
2025-04-21,535.0,546.0,533.8,535.2,457829.0,NSE_EQ|INE686A01026
2025-04-22,536.9,542.75,534.85,536.15,300894.0,NSE_EQ|INE686A01026
2025-04-23,539.0,543.25,525.9,527.0,376164.0,NSE_EQ|INE686A01026
2025-04-24,527.0,545.0,527.0,541.55,340678.0,NSE_EQ|INE686A01026
2025-04-25,544.7,544.7,510.1,518.4,566771.0,NSE_EQ|INE686A01026
2025-04-28,518.4,520.6,506.0,507.85,399855.0,NSE_EQ|INE686A01026
2025-04-29,509.0,517.3,497.45,501.45,287066.0,NSE_EQ|INE686A01026
2025-04-30,497.25,500.45,481.0,487.55,319949.0,NSE_EQ|INE686A01026
2025-05-02,487.55,492.8,476.6,481.15,218783.0,NSE_EQ|INE686A01026
2025-05-05,481.0,534.95,481.0,532.0,1595528.0,NSE_EQ|INE686A01026
2025-05-06,532.0,532.0,500.1,502.2,445387.0,NSE_EQ|INE686A01026
2025-05-07,495.0,527.0,493.25,523.15,372686.0,NSE_EQ|INE686A01026
2025-05-08,525.0,528.5,517.15,523.9,395624.0,NSE_EQ|INE686A01026
2025-05-09,507.0,526.7,507.0,523.75,369665.0,NSE_EQ|INE686A01026
2025-05-12,531.7,554.0,531.7,543.35,644915.0,NSE_EQ|INE686A01026
2025-05-13,546.1,567.75,541.65,564.95,528650.0,NSE_EQ|INE686A01026
2025-05-14,585.0,644.95,575.0,627.95,7233593.0,NSE_EQ|INE686A01026
2025-05-15,627.9,678.8,622.55,674.6,2900066.0,NSE_EQ|INE686A01026
2025-05-16,675.0,684.2,647.6,653.65,1103682.0,NSE_EQ|INE686A01026
2025-05-19,659.2,674.8,645.1,671.75,611258.0,NSE_EQ|INE686A01026
2025-05-20,675.0,680.7,650.4,652.95,433572.0,NSE_EQ|INE686A01026
2025-05-21,652.9,660.0,635.05,658.1,359891.0,NSE_EQ|INE686A01026
2025-05-22,657.0,664.55,644.05,649.95,254312.0,NSE_EQ|INE686A01026
2025-05-23,650.0,674.05,641.6,663.4,373202.0,NSE_EQ|INE686A01026
2025-05-26,670.0,728.0,667.05,723.55,2465051.0,NSE_EQ|INE686A01026
2025-05-27,725.0,745.0,712.0,727.65,782046.0,NSE_EQ|INE686A01026
2025-05-28,727.7,739.7,714.0,731.05,444759.0,NSE_EQ|INE686A01026
2025-05-29,734.7,737.4,717.0,724.85,316331.0,NSE_EQ|INE686A01026
