date,close,instrument_key
2025-03-18,635.15,NSE_EQ|INE067A01029
2025-03-19,663.3,NSE_EQ|INE067A01029
2025-03-20,654.6,NSE_EQ|INE067A01029
2025-03-21,641.25,NSE_EQ|INE067A01029
2025-03-24,632.9,NSE_EQ|INE067A01029
2025-03-25,626.9,NSE_EQ|INE067A01029
2025-03-26,635.8,NSE_EQ|INE067A01029
2025-03-27,637.15,NSE_EQ|INE067A01029
2025-03-28,638.5,NSE_EQ|INE067A01029
2025-04-01,615.0,NSE_EQ|INE067A01029
2025-04-02,623.6,NSE_EQ|INE067A01029
2025-04-03,615.95,NSE_EQ|INE067A01029
2025-04-04,575.2,NSE_EQ|INE067A01029
2025-04-07,540.5,NSE_EQ|INE067A01029
2025-04-08,549.4,NSE_EQ|INE067A01029
2025-04-09,551.0,NSE_EQ|INE067A01029
2025-04-11,572.4,NSE_EQ|INE067A01029
2025-04-15,589.25,NSE_EQ|INE067A01029
2025-04-16,598.75,NSE_EQ|INE067A01029
2025-04-17,619.85,NSE_EQ|INE067A01029
2025-04-21,650.6,NSE_EQ|INE067A01029
2025-04-22,645.3,NSE_EQ|INE067A01029
2025-04-23,660.15,NSE_EQ|INE067A01029
2025-04-24,646.0,NSE_EQ|INE067A01029
2025-04-25,633.1,NSE_EQ|INE067A01029
2025-04-28,633.6,NSE_EQ|INE067A01029
2025-04-29,638.45,NSE_EQ|INE067A01029
2025-04-30,626.8,NSE_EQ|INE067A01029
2025-05-02,622.15,NSE_EQ|INE067A01029
2025-05-05,635.1,NSE_EQ|INE067A01029
2025-05-06,598.45,NSE_EQ|INE067A01029
2025-05-07,609.4,NSE_EQ|INE067A01029
2025-05-08,610.25,NSE_EQ|INE067A01029
2025-05-09,609.6,NSE_EQ|INE067A01029
2025-05-12,645.8,NSE_EQ|INE067A01029
2025-05-13,652.15,NSE_EQ|INE067A01029
2025-05-14,673.0,NSE_EQ|INE067A01029
2025-05-15,678.2,NSE_EQ|INE067A01029
2025-05-16,696.45,NSE_EQ|INE067A01029
2025-05-19,696.65,NSE_EQ|INE067A01029
2025-05-20,691.0,NSE_EQ|INE067A01029
2025-05-21,694.0,NSE_EQ|INE067A01029
2025-05-22,696.45,NSE_EQ|INE067A01029
