date,open,high,low,close,volume,instrument_key
2025-03-18,381.95,389.8,381.5,388.7,97799.0,NSE_EQ|INE536H01010
2025-03-19,388.9,397.5,388.7,395.95,105690.0,NSE_EQ|INE536H01010
2025-03-20,397.0,408.2,397.0,401.95,170158.0,NSE_EQ|INE536H01010
2025-03-21,401.8,408.2,401.05,405.2,100176.0,NSE_EQ|INE536H01010
2025-03-24,406.05,412.0,405.25,410.4,133941.0,NSE_EQ|INE536H01010
2025-03-25,412.6,414.0,398.05,407.15,162180.0,NSE_EQ|INE536H01010
2025-03-26,403.4,408.3,400.4,404.95,108521.0,NSE_EQ|INE536H01010
2025-03-27,398.6,447.45,387.55,405.15,1737649.0,NSE_EQ|INE536H01010
2025-03-28,397.35,412.0,375.3,398.15,715400.0,NSE_EQ|INE536H01010
2025-04-01,403.3,403.3,393.55,400.95,128911.0,NSE_EQ|INE536H01010
2025-04-02,402.95,402.95,390.35,393.65,201598.0,NSE_EQ|INE536H01010
2025-04-03,394.75,397.95,392.4,396.05,71843.0,NSE_EQ|INE536H01010
2025-04-04,394.0,398.95,390.0,390.65,240418.0,NSE_EQ|INE536H01010
2025-04-07,358.05,384.95,356.75,380.15,125013.0,NSE_EQ|INE536H01010
2025-04-08,384.0,388.2,381.05,387.35,80429.0,NSE_EQ|INE536H01010
2025-04-09,390.1,390.1,383.15,387.45,78412.0,NSE_EQ|INE536H01010
2025-04-11,390.4,402.85,390.0,400.8,138068.0,NSE_EQ|INE536H01010
2025-04-15,405.0,416.05,403.5,411.4,188072.0,NSE_EQ|INE536H01010
2025-04-16,416.8,416.8,409.15,412.85,138524.0,NSE_EQ|INE536H01010
2025-04-17,415.95,416.2,409.1,413.05,114831.0,NSE_EQ|INE536H01010
2025-04-21,417.9,423.0,412.5,420.85,307666.0,NSE_EQ|INE536H01010
2025-04-22,424.2,430.0,417.5,423.85,317180.0,NSE_EQ|INE536H01010
2025-04-23,423.0,423.0,408.25,416.2,332266.0,NSE_EQ|INE536H01010
2025-04-24,412.0,418.4,411.15,415.6,153811.0,NSE_EQ|INE536H01010
2025-04-25,417.0,417.05,402.9,409.2,177819.0,NSE_EQ|INE536H01010
2025-04-28,409.15,410.9,398.6,409.45,99516.0,NSE_EQ|INE536H01010
2025-04-29,409.95,414.6,405.2,411.0,92270.0,NSE_EQ|INE536H01010
2025-04-30,410.0,411.85,398.4,405.95,372577.0,NSE_EQ|INE536H01010
2025-05-02,401.9,404.7,390.55,395.9,1113621.0,NSE_EQ|INE536H01010
2025-05-05,394.0,414.0,393.8,412.05,155116.0,NSE_EQ|INE536H01010
2025-05-06,412.0,413.2,402.25,404.6,106115.0,NSE_EQ|INE536H01010
2025-05-07,397.05,412.5,397.05,410.2,147748.0,NSE_EQ|INE536H01010
2025-05-08,412.0,418.85,399.6,410.1,203106.0,NSE_EQ|INE536H01010
2025-05-09,394.5,412.0,394.15,403.3,88335.0,NSE_EQ|INE536H01010
2025-05-12,407.0,421.9,406.25,420.6,179374.0,NSE_EQ|INE536H01010
2025-05-13,420.0,433.15,418.0,430.55,208897.0,NSE_EQ|INE536H01010
2025-05-14,433.0,439.9,429.1,436.75,106473.0,NSE_EQ|INE536H01010
2025-05-15,437.0,444.75,434.0,440.6,80279.0,NSE_EQ|INE536H01010
2025-05-16,443.0,445.75,436.85,443.95,89673.0,NSE_EQ|INE536H01010
2025-05-19,445.0,454.8,444.0,447.05,128560.0,NSE_EQ|INE536H01010
2025-05-20,447.0,455.55,440.1,441.65,83616.0,NSE_EQ|INE536H01010
2025-05-21,439.95,450.5,437.9,448.45,77480.0,NSE_EQ|INE536H01010
2025-05-22,445.4,453.0,443.9,451.75,65004.0,NSE_EQ|INE536H01010
2025-05-23,453.0,453.35,446.8,450.1,57796.0,NSE_EQ|INE536H01010
2025-05-26,450.1,466.0,449.6,453.85,154446.0,NSE_EQ|INE536H01010
2025-05-27,456.0,456.0,449.05,451.1,69602.0,NSE_EQ|INE536H01010
