date,open,high,low,close,volume,instrument_key
2025-03-18,1593.9,1667.0,1593.9,1651.35,73056.0,NSE_EQ|INE338H01029
2025-03-19,1678.7,1705.95,1618.05,1651.75,141998.0,NSE_EQ|INE338H01029
2025-03-20,1676.95,1676.95,1595.4,1643.3,184649.0,NSE_EQ|INE338H01029
2025-03-21,1651.95,1693.0,1640.05,1680.25,62058.0,NSE_EQ|INE338H01029
2025-03-24,1680.0,1746.6,1646.15,1662.4,68474.0,NSE_EQ|INE338H01029
2025-03-25,1686.9,1699.8,1626.8,1690.55,122651.0,NSE_EQ|INE338H01029
2025-03-26,1705.0,1705.0,1642.2,1653.9,93716.0,NSE_EQ|INE338H01029
2025-03-27,1675.0,1738.85,1637.15,1720.6,117074.0,NSE_EQ|INE338H01029
2025-03-28,1746.4,1746.4,1661.5,1680.6,109738.0,NSE_EQ|INE338H01029
2025-04-01,1655.4,1690.45,1649.0,1662.9,70893.0,NSE_EQ|INE338H01029
2025-04-02,1658.1,1721.95,1640.05,1696.6,46411.0,NSE_EQ|INE338H01029
2025-04-03,1696.6,1745.65,1696.2,1720.85,63751.0,NSE_EQ|INE338H01029
2025-04-04,1736.0,1736.0,1636.55,1656.65,45652.0,NSE_EQ|INE338H01029
2025-04-07,1570.0,1604.95,1550.0,1582.05,62971.0,NSE_EQ|INE338H01029
2025-04-08,1605.8,1624.95,1585.0,1596.55,28028.0,NSE_EQ|INE338H01029
2025-04-09,1617.0,1674.85,1580.65,1605.5,202911.0,NSE_EQ|INE338H01029
2025-04-11,1643.45,1673.95,1622.0,1653.85,87950.0,NSE_EQ|INE338H01029
2025-04-15,1700.0,1749.0,1674.5,1733.1,62133.0,NSE_EQ|INE338H01029
2025-04-16,1730.0,1769.6,1722.6,1741.2,38239.0,NSE_EQ|INE338H01029
2025-04-17,1741.3,1743.1,1708.6,1721.9,46757.0,NSE_EQ|INE338H01029
2025-04-21,1749.0,1749.0,1701.0,1712.3,167961.0,NSE_EQ|INE338H01029
2025-04-22,1737.8,1739.4,1669.3,1678.7,53564.0,NSE_EQ|INE338H01029
2025-04-23,1692.0,1692.0,1641.6,1648.5,62037.0,NSE_EQ|INE338H01029
2025-04-24,1664.0,1697.8,1618.9,1650.7,134575.0,NSE_EQ|INE338H01029
2025-04-25,1643.0,1649.5,1580.0,1588.0,69980.0,NSE_EQ|INE338H01029
2025-04-28,1585.0,1588.7,1543.4,1553.3,87592.0,NSE_EQ|INE338H01029
2025-04-29,1576.6,1602.9,1540.3,1557.8,96390.0,NSE_EQ|INE338H01029
2025-04-30,1583.0,1583.0,1510.1,1518.6,100275.0,NSE_EQ|INE338H01029
2025-05-02,1518.6,1531.2,1478.2,1490.6,114337.0,NSE_EQ|INE338H01029
2025-05-05,1505.0,1505.2,1432.7,1437.9,259726.0,NSE_EQ|INE338H01029
2025-05-06,1435.0,1437.9,1351.6,1386.7,344463.0,NSE_EQ|INE338H01029
2025-05-07,1386.7,1433.0,1375.0,1396.6,230750.0,NSE_EQ|INE338H01029
2025-05-08,1409.9,1547.7,1406.6,1523.0,1712119.0,NSE_EQ|INE338H01029
2025-05-09,1470.0,1559.6,1345.0,1543.6,310839.0,NSE_EQ|INE338H01029
2025-05-12,1552.0,1591.0,1495.6,1511.1,166473.0,NSE_EQ|INE338H01029
2025-05-13,1523.2,1538.0,1500.1,1505.7,59506.0,NSE_EQ|INE338H01029
2025-05-14,1509.9,1525.1,1491.1,1507.0,169010.0,NSE_EQ|INE338H01029
2025-05-15,1513.0,1538.0,1506.6,1525.5,59707.0,NSE_EQ|INE338H01029
2025-05-16,1530.0,1534.9,1491.1,1498.9,123720.0,NSE_EQ|INE338H01029
2025-05-19,1509.9,1551.6,1496.8,1525.0,96891.0,NSE_EQ|INE338H01029
2025-05-20,1540.0,1540.0,1503.2,1512.8,44938.0,NSE_EQ|INE338H01029
2025-05-21,1524.0,1538.4,1503.0,1510.0,49800.0,NSE_EQ|INE338H01029
2025-05-22,1501.0,1541.5,1496.0,1532.1,64687.0,NSE_EQ|INE338H01029
2025-05-23,1528.9,1543.0,1510.0,1535.9,44432.0,NSE_EQ|INE338H01029
2025-05-26,1544.0,1557.4,1520.2,1533.2,49532.0,NSE_EQ|INE338H01029
2025-05-27,1537.8,1547.0,1526.1,1536.8,60377.0,NSE_EQ|INE338H01029
2025-05-28,1565.0,1648.8,1531.7,1635.7,755172.0,NSE_EQ|INE338H01029
2025-05-29,1655.3,1688.8,1638.1,1666.9,237986.0,NSE_EQ|INE338H01029
2025-05-30,1750.0,1784.9,1691.4,1748.5,1450214.0,NSE_EQ|INE338H01029
2025-06-02,1763.1,1834.9,1755.4,1819.4,446110.0,NSE_EQ|INE338H01029
2025-06-03,1820.0,1848.6,1801.1,1834.9,152855.0,NSE_EQ|INE338H01029
2025-06-04,1834.9,1898.4,1825.0,1876.0,174053.0,NSE_EQ|INE338H01029
2025-06-05,1888.3,1923.4,1837.4,1850.7,130582.0,NSE_EQ|INE338H01029
2025-06-06,1862.3,1965.5,1846.8,1926.6,163150.0,NSE_EQ|INE338H01029
2025-06-09,1936.6,2058.0,1919.5,2013.0,324390.0,NSE_EQ|INE338H01029
2025-06-10,2019.0,2124.9,2012.0,2099.7,404994.0,NSE_EQ|INE338H01029
2025-06-11,2109.0,2150.4,2086.4,2130.4,229252.0,NSE_EQ|INE338H01029
2025-06-12,2130.4,2136.2,2040.0,2063.6,178500.0,NSE_EQ|INE338H01029
2025-06-13,2010.3,2123.0,1990.6,2109.7,166986.0,NSE_EQ|INE338H01029
2025-06-16,2115.0,2146.0,2085.7,2095.8,141595.0,NSE_EQ|INE338H01029
2025-06-17,2110.9,2110.9,2052.2,2071.0,100710.0,NSE_EQ|INE338H01029
2025-06-18,2071.0,2083.4,1967.4,2008.9,150445.0,NSE_EQ|INE338H01029
2025-06-19,2019.6,2059.5,1955.9,1973.3,97014.0,NSE_EQ|INE338H01029
2025-06-20,2038.9,2038.9,1800.0,1837.3,1172717.0,NSE_EQ|INE338H01029
2025-06-23,1798.0,1843.6,1773.6,1821.8,238729.0,NSE_EQ|INE338H01029
2025-06-24,1831.6,1836.4,1766.4,1780.4,259746.0,NSE_EQ|INE338H01029
2025-06-25,1794.9,1852.3,1762.8,1814.9,268335.0,NSE_EQ|INE338H01029
2025-06-26,1814.9,1839.8,1791.6,1798.6,131004.0,NSE_EQ|INE338H01029
2025-06-27,1814.4,1838.3,1790.0,1823.5,117969.0,NSE_EQ|INE338H01029
2025-06-30,1822.0,1858.7,1798.0,1839.6,133138.0,NSE_EQ|INE338H01029
2025-07-01,1848.7,1848.9,1787.4,1795.3,55468.0,NSE_EQ|INE338H01029
2025-07-02,1811.3,1811.3,1751.0,1757.2,100358.0,NSE_EQ|INE338H01029
2025-07-03,1761.0,1773.1,1731.6,1750.2,120159.0,NSE_EQ|INE338H01029
2025-07-04,1751.0,1763.8,1735.0,1737.7,66617.0,NSE_EQ|INE338H01029
2025-07-07,1750.4,1818.0,1750.0,1760.8,284360.0,NSE_EQ|INE338H01029
2025-07-08,1763.0,1814.4,1721.0,1793.0,298425.0,NSE_EQ|INE338H01029
2025-07-09,1799.9,1874.7,1777.1,1819.9,410373.0,NSE_EQ|INE338H01029
2025-07-10,1819.9,1827.9,1783.1,1808.5,114068.0,NSE_EQ|INE338H01029
2025-07-11,1800.6,1822.0,1781.0,1803.3,124823.0,NSE_EQ|INE338H01029
2025-07-14,1803.3,1852.4,1796.1,1836.8,183486.0,NSE_EQ|INE338H01029
2025-07-15,1853.0,1853.0,1819.9,1835.2,107068.0,NSE_EQ|INE338H01029
2025-07-16,1838.5,1868.0,1822.1,1838.6,241649.0,NSE_EQ|INE338H01029
2025-07-17,1851.0,1942.9,1835.3,1920.5,624337.0,NSE_EQ|INE338H01029
2025-07-18,1925.0,1939.0,1885.1,1893.9,142352.0,NSE_EQ|INE338H01029
2025-07-21,1898.0,1948.2,1877.7,1919.7,184371.0,NSE_EQ|INE338H01029
2025-07-22,1919.7,1930.4,1875.5,1894.5,65350.0,NSE_EQ|INE338H01029
2025-07-23,1889.8,1953.6,1870.1,1943.9,151465.0,NSE_EQ|INE338H01029
2025-07-24,1952.7,1980.0,1922.0,1928.4,180397.0,NSE_EQ|INE338H01029
2025-07-25,1935.2,1952.1,1865.0,1880.8,101577.0,NSE_EQ|INE338H01029
2025-07-28,1887.7,1905.0,1850.0,1865.7,57086.0,NSE_EQ|INE338H01029
2025-07-29,1865.7,1874.0,1812.1,1833.4,73960.0,NSE_EQ|INE338H01029
2025-07-30,1835.0,1880.8,1815.2,1824.0,35254.0,NSE_EQ|INE338H01029
2025-07-31,1814.8,1819.3,1760.1,1767.3,82947.0,NSE_EQ|INE338H01029
2025-08-01,1758.6,1790.7,1735.0,1740.7,50248.0,NSE_EQ|INE338H01029
2025-08-04,1732.1,1732.9,1686.6,1703.4,109006.0,NSE_EQ|INE338H01029
2025-08-05,1694.8,1711.9,1669.3,1701.6,105246.0,NSE_EQ|INE338H01029
2025-08-06,1735.0,1735.0,1634.0,1653.3,107831.0,NSE_EQ|INE338H01029
2025-08-07,1666.5,1666.5,1616.3,1631.1,78384.0,NSE_EQ|INE338H01029
2025-08-08,1634.9,1643.9,1590.0,1598.0,56811.0,NSE_EQ|INE338H01029
2025-08-11,1486.1,1611.4,1479.9,1604.1,447644.0,NSE_EQ|INE338H01029
2025-08-12,1607.2,1681.2,1583.8,1648.3,305842.0,NSE_EQ|INE338H01029
2025-08-13,1645.0,1645.0,1615.1,1633.6,64789.0,NSE_EQ|INE338H01029
2025-08-14,1633.6,1658.8,1625.1,1642.5,55589.0,NSE_EQ|INE338H01029
2025-08-18,1640.0,1659.4,1620.5,1635.0,55696.0,NSE_EQ|INE338H01029
2025-08-19,1635.0,1655.0,1627.7,1646.8,98607.0,NSE_EQ|INE338H01029
2025-08-20,1648.6,1701.5,1646.7,1693.4,157951.0,NSE_EQ|INE338H01029
2025-08-21,1715.0,1801.9,1708.0,1750.2,358111.0,NSE_EQ|INE338H01029
2025-08-22,1750.0,1801.9,1727.9,1767.6,189046.0,NSE_EQ|INE338H01029
2025-08-25,1767.6,1767.6,1708.1,1718.6,81604.0,NSE_EQ|INE338H01029
2025-08-26,1718.6,1733.9,1688.6,1706.1,64094.0,NSE_EQ|INE338H01029
2025-08-28,1700.5,1705.0,1671.7,1695.7,66789.0,NSE_EQ|INE338H01029
2025-08-29,1694.0,1717.9,1675.8,1681.7,49952.0,NSE_EQ|INE338H01029
