date,open,high,low,close,volume,instrument_key
2025-03-18,353.8,358.0,352.95,356.75,2843298.0,NSE_EQ|INE299U01018
2025-03-19,358.55,364.3,354.05,360.45,3063001.0,NSE_EQ|INE299U01018
2025-03-20,360.9,362.5,356.35,357.5,1409489.0,NSE_EQ|INE299U01018
2025-03-21,357.5,366.25,356.0,362.85,1134168.0,NSE_EQ|INE299U01018
2025-03-24,363.0,364.95,356.95,362.2,953758.0,NSE_EQ|INE299U01018
2025-03-25,363.45,364.0,356.3,358.8,981855.0,NSE_EQ|INE299U01018
2025-03-26,358.0,367.5,354.55,360.1,1492943.0,NSE_EQ|INE299U01018
2025-03-27,359.8,360.25,350.0,354.75,2630637.0,NSE_EQ|INE299U01018
2025-03-28,356.95,357.75,351.25,353.95,1694266.0,NSE_EQ|INE299U01018
2025-04-01,356.9,359.45,344.25,345.6,892954.0,NSE_EQ|INE299U01018
2025-04-02,345.6,347.3,338.2,339.3,3590929.0,NSE_EQ|INE299U01018
2025-04-03,337.1,340.15,333.25,335.55,1776844.0,NSE_EQ|INE299U01018
2025-04-04,336.85,336.85,325.6,329.3,1506674.0,NSE_EQ|INE299U01018
2025-04-07,305.0,331.9,301.0,330.3,2738907.0,NSE_EQ|INE299U01018
2025-04-08,345.6,345.6,331.1,332.65,2086692.0,NSE_EQ|INE299U01018
2025-04-09,330.1,333.6,325.6,328.8,1403719.0,NSE_EQ|INE299U01018
2025-04-11,340.95,340.95,331.1,334.1,883608.0,NSE_EQ|INE299U01018
2025-04-15,336.0,339.7,333.55,335.6,3506868.0,NSE_EQ|INE299U01018
2025-04-16,337.4,338.0,332.45,335.1,1037134.0,NSE_EQ|INE299U01018
2025-04-17,335.0,338.65,331.8,332.2,2710533.0,NSE_EQ|INE299U01018
2025-04-21,332.5,340.3,329.85,339.45,3398288.0,NSE_EQ|INE299U01018
2025-04-22,342.85,355.5,340.35,353.15,3290230.0,NSE_EQ|INE299U01018
2025-04-23,354.5,354.5,339.15,343.8,3969521.0,NSE_EQ|INE299U01018
2025-04-24,344.8,345.2,337.1,342.9,2530400.0,NSE_EQ|INE299U01018
2025-04-25,344.0,345.2,328.65,334.85,2561400.0,NSE_EQ|INE299U01018
2025-04-28,334.5,337.65,331.45,332.85,4171642.0,NSE_EQ|INE299U01018
2025-04-29,335.5,341.7,333.0,336.7,4568829.0,NSE_EQ|INE299U01018
2025-04-30,341.0,343.15,335.0,337.3,3408678.0,NSE_EQ|INE299U01018
2025-05-02,335.55,337.85,321.0,322.8,5779883.0,NSE_EQ|INE299U01018
2025-05-05,326.0,335.7,323.55,335.1,2520825.0,NSE_EQ|INE299U01018
2025-05-06,337.0,337.15,327.4,328.25,2618254.0,NSE_EQ|INE299U01018
2025-05-07,325.5,334.1,325.2,333.35,1268033.0,NSE_EQ|INE299U01018
2025-05-08,333.35,339.5,324.55,325.95,1289483.0,NSE_EQ|INE299U01018
2025-05-09,315.0,326.35,315.0,321.85,1857511.0,NSE_EQ|INE299U01018
2025-05-12,332.7,336.5,327.65,335.5,1202730.0,NSE_EQ|INE299U01018
2025-05-13,335.0,338.2,329.15,331.05,2006779.0,NSE_EQ|INE299U01018
2025-05-14,334.65,339.45,327.5,331.4,4525738.0,NSE_EQ|INE299U01018
2025-05-15,334.0,334.0,325.3,327.4,5076613.0,NSE_EQ|INE299U01018
2025-05-16,339.35,353.4,338.3,351.25,21433849.0,NSE_EQ|INE299U01018
2025-05-19,356.5,362.75,349.1,351.35,4119881.0,NSE_EQ|INE299U01018
2025-05-20,353.0,353.05,345.25,345.8,1769089.0,NSE_EQ|INE299U01018
2025-05-21,348.0,350.35,342.75,349.05,2416117.0,NSE_EQ|INE299U01018
2025-05-22,347.4,348.45,344.35,346.0,2855538.0,NSE_EQ|INE299U01018
2025-05-23,346.0,353.0,343.05,351.55,1288725.0,NSE_EQ|INE299U01018
2025-05-26,354.0,359.3,350.55,356.95,2735085.0,NSE_EQ|INE299U01018
2025-05-27,357.5,358.35,352.15,357.0,2310356.0,NSE_EQ|INE299U01018
2025-05-28,358.05,358.25,351.15,352.65,1763858.0,NSE_EQ|INE299U01018
2025-05-29,355.35,360.9,350.7,359.3,2161524.0,NSE_EQ|INE299U01018
2025-05-30,359.5,360.2,350.85,352.9,1555328.0,NSE_EQ|INE299U01018
2025-06-02,352.85,355.2,350.0,354.45,1371440.0,NSE_EQ|INE299U01018
2025-06-03,355.9,355.9,348.5,349.2,1416416.0,NSE_EQ|INE299U01018
2025-06-04,346.0,350.9,345.2,347.5,1607181.0,NSE_EQ|INE299U01018
2025-06-05,347.5,351.5,347.1,350.45,1783253.0,NSE_EQ|INE299U01018
2025-06-06,351.0,353.45,349.0,351.65,965707.0,NSE_EQ|INE299U01018
2025-06-09,354.15,356.35,352.7,354.35,1168088.0,NSE_EQ|INE299U01018
2025-06-10,356.0,356.05,352.15,355.0,2238193.0,NSE_EQ|INE299U01018
2025-06-11,355.45,356.9,349.2,352.55,1098549.0,NSE_EQ|INE299U01018
2025-06-12,351.8,352.9,341.7,343.75,3146184.0,NSE_EQ|INE299U01018
2025-06-13,337.0,344.5,336.75,343.9,1428304.0,NSE_EQ|INE299U01018
2025-06-16,346.7,350.0,343.3,348.65,1250147.0,NSE_EQ|INE299U01018
2025-06-17,350.0,352.4,347.55,349.55,948053.0,NSE_EQ|INE299U01018
2025-06-18,347.1,350.5,344.5,346.65,1080692.0,NSE_EQ|INE299U01018
2025-06-19,347.95,348.5,338.0,339.55,968732.0,NSE_EQ|INE299U01018
2025-06-20,340.0,345.4,337.8,344.6,1462827.0,NSE_EQ|INE299U01018
2025-06-23,341.5,349.45,339.25,347.45,1503552.0,NSE_EQ|INE299U01018
2025-06-24,351.0,352.5,347.25,348.05,1648120.0,NSE_EQ|INE299U01018
2025-06-25,350.05,355.75,346.7,354.85,2999157.0,NSE_EQ|INE299U01018
2025-06-26,356.6,358.75,350.8,357.75,3027870.0,NSE_EQ|INE299U01018
2025-06-27,360.0,362.0,355.65,357.15,1948776.0,NSE_EQ|INE299U01018
2025-06-30,359.7,360.4,354.1,355.15,1635521.0,NSE_EQ|INE299U01018
2025-07-01,355.15,356.1,350.1,351.25,2077669.0,NSE_EQ|INE299U01018
2025-07-02,351.25,352.25,344.4,347.1,1370449.0,NSE_EQ|INE299U01018
2025-07-03,348.0,354.65,345.8,350.25,1217394.0,NSE_EQ|INE299U01018
2025-07-04,351.25,356.3,350.15,355.05,1564163.0,NSE_EQ|INE299U01018
2025-07-07,355.05,358.0,349.15,351.55,1110333.0,NSE_EQ|INE299U01018
2025-07-08,351.55,351.95,342.4,343.45,2596736.0,NSE_EQ|INE299U01018
2025-07-09,343.45,345.75,341.5,342.8,963557.0,NSE_EQ|INE299U01018
2025-07-10,345.8,345.8,342.0,343.8,1421482.0,NSE_EQ|INE299U01018
2025-07-11,343.9,343.9,333.5,335.65,1663456.0,NSE_EQ|INE299U01018
2025-07-14,336.0,339.95,334.75,338.65,2419646.0,NSE_EQ|INE299U01018
2025-07-15,339.5,353.15,339.5,351.85,3626870.0,NSE_EQ|INE299U01018
