date,open,high,low,close,volume,instrument_key
2025-03-18,660.5,682.9,660.5,674.8,3686355.0,NSE_EQ|INE271C01023
2025-03-19,677.0,698.7,675.8,697.55,3398422.0,NSE_EQ|INE271C01023
2025-03-20,698.0,706.5,689.05,694.3,4635864.0,NSE_EQ|INE271C01023
2025-03-21,694.9,717.5,694.3,695.9,7145524.0,NSE_EQ|INE271C01023
2025-03-24,710.05,714.0,691.4,706.0,6247058.0,NSE_EQ|INE271C01023
2025-03-25,710.05,713.7,691.6,695.2,2989679.0,NSE_EQ|INE271C01023
2025-03-26,695.55,703.8,678.25,680.45,5591317.0,NSE_EQ|INE271C01023
2025-03-27,680.0,692.55,672.0,688.5,2634496.0,NSE_EQ|INE271C01023
2025-03-28,693.1,695.0,678.15,680.5,2797361.0,NSE_EQ|INE271C01023
2025-04-01,678.35,678.85,653.35,663.1,3528179.0,NSE_EQ|INE271C01023
2025-04-02,662.5,685.0,658.05,683.15,3607433.0,NSE_EQ|INE271C01023
2025-04-03,677.05,691.7,675.55,680.05,1979635.0,NSE_EQ|INE271C01023
2025-04-04,678.0,679.7,648.75,653.95,2860941.0,NSE_EQ|INE271C01023
2025-04-07,615.0,627.45,601.2,608.05,4377794.0,NSE_EQ|INE271C01023
2025-04-08,621.05,632.9,611.25,621.55,3688073.0,NSE_EQ|INE271C01023
2025-04-09,620.0,624.35,607.05,612.85,2405075.0,NSE_EQ|INE271C01023
2025-04-11,625.0,632.5,618.0,623.6,2743770.0,NSE_EQ|INE271C01023
2025-04-15,635.0,663.8,630.4,662.8,5255187.0,NSE_EQ|INE271C01023
2025-04-16,662.8,665.65,652.0,656.25,2166202.0,NSE_EQ|INE271C01023
2025-04-17,660.0,673.2,656.5,669.4,3423114.0,NSE_EQ|INE271C01023
2025-04-21,690.0,690.0,667.05,675.9,3481313.0,NSE_EQ|INE271C01023
2025-04-22,678.0,693.0,668.2,685.0,3717001.0,NSE_EQ|INE271C01023
2025-04-23,690.0,695.9,679.3,687.7,3113518.0,NSE_EQ|INE271C01023
2025-04-24,689.0,689.55,678.25,680.5,1968312.0,NSE_EQ|INE271C01023
2025-04-25,681.0,685.9,648.95,653.55,4496994.0,NSE_EQ|INE271C01023
2025-04-28,655.0,665.0,653.0,663.9,2545802.0,NSE_EQ|INE271C01023
2025-04-29,667.2,670.9,655.35,658.85,3145915.0,NSE_EQ|INE271C01023
2025-04-30,658.85,684.9,655.7,674.3,7339914.0,NSE_EQ|INE271C01023
2025-05-02,675.95,692.5,672.0,687.05,3848999.0,NSE_EQ|INE271C01023
2025-05-05,692.7,699.0,683.5,693.75,2634868.0,NSE_EQ|INE271C01023
2025-05-06,693.75,698.6,672.0,677.15,3346141.0,NSE_EQ|INE271C01023
2025-05-07,668.7,681.4,665.55,679.25,2855850.0,NSE_EQ|INE271C01023
2025-05-08,679.25,687.25,647.5,655.05,2824149.0,NSE_EQ|INE271C01023
2025-05-09,644.95,651.0,617.9,631.7,9789600.0,NSE_EQ|INE271C01023
2025-05-12,658.0,682.4,655.0,680.5,4980754.0,NSE_EQ|INE271C01023
