date,open,high,low,close,volume,instrument_key
2025-03-18,549.95,560.5,545.9,555.25,284894.0,NSE_EQ|INE548C01032
2025-03-19,546.95,565.95,546.95,557.75,314790.0,NSE_EQ|INE548C01032
2025-03-20,558.0,578.0,554.9,567.2,409285.0,NSE_EQ|INE548C01032
2025-03-21,567.2,585.45,566.3,576.0,1062639.0,NSE_EQ|INE548C01032
2025-03-24,584.0,585.9,569.1,572.9,278710.0,NSE_EQ|INE548C01032
2025-03-25,578.0,580.0,557.0,576.05,457046.0,NSE_EQ|INE548C01032
2025-03-26,576.05,581.0,550.3,557.0,382095.0,NSE_EQ|INE548C01032
2025-03-27,558.7,589.75,547.1,577.3,520114.0,NSE_EQ|INE548C01032
2025-03-28,582.9,588.75,573.1,579.9,614799.0,NSE_EQ|INE548C01032
2025-04-01,580.0,583.0,565.15,571.7,336754.0,NSE_EQ|INE548C01032
2025-04-02,576.0,603.6,575.05,587.0,1057073.0,NSE_EQ|INE548C01032
2025-04-03,582.0,584.55,570.75,575.8,316122.0,NSE_EQ|INE548C01032
2025-04-04,579.35,598.8,570.8,592.8,1634745.0,NSE_EQ|INE548C01032
2025-04-07,569.95,598.0,550.55,584.55,913046.0,NSE_EQ|INE548C01032
2025-04-08,590.0,594.85,572.3,582.15,748598.0,NSE_EQ|INE548C01032
2025-04-09,584.95,610.95,578.45,599.85,1403966.0,NSE_EQ|INE548C01032
2025-04-11,599.85,612.45,594.15,608.5,493147.0,NSE_EQ|INE548C01032
2025-04-15,608.5,611.05,599.6,604.7,507561.0,NSE_EQ|INE548C01032
2025-04-16,605.0,628.0,604.8,626.75,595897.0,NSE_EQ|INE548C01032
2025-04-17,626.75,627.45,612.25,615.0,379989.0,NSE_EQ|INE548C01032
2025-04-21,615.0,622.0,609.2,618.1,206119.0,NSE_EQ|INE548C01032
2025-04-22,621.85,644.0,619.05,641.55,511851.0,NSE_EQ|INE548C01032
2025-04-23,642.5,649.0,635.0,646.85,449447.0,NSE_EQ|INE548C01032
2025-04-24,650.0,651.95,633.4,645.8,455855.0,NSE_EQ|INE548C01032
