date,open,high,low,close,volume,instrument_key
2025-03-18,938.0,946.0,923.3,937.55,63268.0,NSE_EQ|INE168P01015
2025-03-19,949.0,959.05,929.55,932.7,99203.0,NSE_EQ|INE168P01015
2025-03-20,938.5,1025.95,938.5,1000.05,432191.0,NSE_EQ|INE168P01015
2025-03-21,1000.15,1058.1,994.1,1028.35,207858.0,NSE_EQ|INE168P01015
2025-03-24,1040.0,1078.95,1025.0,1062.2,152853.0,NSE_EQ|INE168P01015
2025-03-25,1062.1,1069.0,996.6,1006.5,180800.0,NSE_EQ|INE168P01015
2025-03-26,1010.0,1039.9,1007.05,1025.55,89280.0,NSE_EQ|INE168P01015
2025-03-27,1025.0,1056.1,1004.85,1049.25,93664.0,NSE_EQ|INE168P01015
2025-03-28,1031.55,1082.8,1031.55,1072.4,138988.0,NSE_EQ|INE168P01015
2025-04-01,1070.0,1092.0,1049.95,1076.05,65548.0,NSE_EQ|INE168P01015
2025-04-02,1081.15,1089.95,1048.0,1054.75,34854.0,NSE_EQ|INE168P01015
2025-04-03,1085.0,1140.0,1025.1,1033.25,377914.0,NSE_EQ|INE168P01015
2025-04-04,1037.5,1047.95,963.25,987.4,107018.0,NSE_EQ|INE168P01015
2025-04-07,890.1,952.0,889.0,937.45,212725.0,NSE_EQ|INE168P01015
2025-04-08,969.9,986.95,930.0,942.85,137297.0,NSE_EQ|INE168P01015
2025-04-09,965.0,965.0,900.0,905.6,87597.0,NSE_EQ|INE168P01015
2025-04-11,951.95,951.95,905.3,919.45,393235.0,NSE_EQ|INE168P01015
2025-04-15,944.9,962.3,916.2,951.8,164243.0,NSE_EQ|INE168P01015
2025-04-16,969.9,1040.0,941.8,1008.3,356758.0,NSE_EQ|INE168P01015
2025-04-17,1011.0,1109.1,1008.5,1098.8,529139.0,NSE_EQ|INE168P01015
2025-04-21,1097.8,1098.0,1075.0,1082.0,204457.0,NSE_EQ|INE168P01015
2025-04-22,1067.6,1089.9,1055.1,1070.2,121981.0,NSE_EQ|INE168P01015
2025-04-23,1067.0,1106.9,1067.0,1100.2,178491.0,NSE_EQ|INE168P01015
2025-04-24,1078.1,1095.0,1070.0,1073.2,46354.0,NSE_EQ|INE168P01015
2025-04-25,1060.0,1080.0,1024.0,1029.7,49941.0,NSE_EQ|INE168P01015
2025-04-28,1030.0,1050.1,1029.7,1035.7,64790.0,NSE_EQ|INE168P01015
2025-04-29,1047.9,1051.5,1006.0,1009.1,105332.0,NSE_EQ|INE168P01015
2025-04-30,1018.9,1048.5,1000.4,1021.9,52010.0,NSE_EQ|INE168P01015
