date,open,high,low,close,volume,instrument_key
2025-11-18,217.0,227.71,207.0,219.4,36063490.0,NSE_EQ|INE1C6T01020
2025-11-19,220.69,241.34,220.25,236.28,34006914.0,NSE_EQ|INE1C6T01020
2025-11-20,236.0,237.69,222.0,232.63,8065061.0,NSE_EQ|INE1C6T01020
2025-11-21,229.5,239.26,224.62,232.81,4738179.0,NSE_EQ|INE1C6T01020
2025-11-24,229.0,230.12,214.0,217.09,4553487.0,NSE_EQ|INE1C6T01020
2025-11-25,216.5,224.4,208.61,214.77,3776850.0,NSE_EQ|INE1C6T01020
2025-11-26,214.77,215.0,210.0,210.63,2061951.0,NSE_EQ|INE1C6T01020
2025-11-27,214.42,214.48,209.66,212.62,1249261.0,NSE_EQ|INE1C6T01020
2025-11-28,216.1,223.8,213.5,217.26,3529972.0,NSE_EQ|INE1C6T01020
2025-12-01,220.29,222.4,215.3,218.88,1717549.0,NSE_EQ|INE1C6T01020
2025-12-02,227.01,240.76,225.55,239.34,34596081.0,NSE_EQ|INE1C6T01020
2025-12-03,240.51,248.4,229.0,242.4,18275546.0,NSE_EQ|INE1C6T01020
2025-12-04,238.71,239.13,218.16,219.86,6258735.0,NSE_EQ|INE1C6T01020
2025-12-05,222.0,223.9,210.23,212.66,4977840.0,NSE_EQ|INE1C6T01020
2025-12-08,212.8,214.6,197.4,202.61,8728197.0,NSE_EQ|INE1C6T01020
2025-12-09,204.5,205.8,194.81,201.68,2718353.0,NSE_EQ|INE1C6T01020
2025-12-10,203.2,204.0,198.59,200.2,1097543.0,NSE_EQ|INE1C6T01020
2025-12-11,201.8,201.8,190.71,200.07,2463622.0,NSE_EQ|INE1C6T01020
2025-12-12,200.61,201.98,190.81,193.72,2240405.0,NSE_EQ|INE1C6T01020
2025-12-15,192.77,192.98,185.05,189.26,2334184.0,NSE_EQ|INE1C6T01020
2025-12-16,192.0,193.8,184.45,186.4,2232561.0,NSE_EQ|INE1C6T01020
2025-12-17,186.0,186.37,176.24,177.63,2680002.0,NSE_EQ|INE1C6T01020
2025-12-18,177.63,178.01,171.51,172.93,1561455.0,NSE_EQ|INE1C6T01020
2025-12-19,173.78,186.1,171.61,185.16,4573753.0,NSE_EQ|INE1C6T01020
2025-12-22,188.86,196.1,185.43,188.42,3028078.0,NSE_EQ|INE1C6T01020
2025-12-23,188.42,188.42,183.6,184.81,692148.0,NSE_EQ|INE1C6T01020
2025-12-24,184.29,191.0,182.15,188.42,1992519.0,NSE_EQ|INE1C6T01020
2025-12-26,187.95,187.95,182.71,183.98,942276.0,NSE_EQ|INE1C6T01020
2025-12-29,183.99,184.95,177.0,182.64,1091224.0,NSE_EQ|INE1C6T01020
2025-12-30,182.5,187.0,177.26,185.22,1159016.0,NSE_EQ|INE1C6T01020
2025-12-31,184.4,193.41,183.16,192.35,2900628.0,NSE_EQ|INE1C6T01020
2026-01-01,192.0,192.33,188.1,188.86,332916.0,NSE_EQ|INE1C6T01020
2026-01-02,187.92,188.72,181.56,187.75,1423681.0,NSE_EQ|INE1C6T01020
2026-01-05,187.0,187.0,181.35,184.91,1427230.0,NSE_EQ|INE1C6T01020
2026-01-06,198.0,203.4,192.6,200.06,12714945.0,NSE_EQ|INE1C6T01020
2026-01-07,200.99,219.4,200.06,217.08,11173349.0,NSE_EQ|INE1C6T01020
