date,open,high,low,close,volume,instrument_key
2025-03-18,161.98,163.4,159.2,159.86,3140899.0,NSE_EQ|INE510A01028
2025-03-19,161.0,165.99,160.99,164.5,4056647.0,NSE_EQ|INE510A01028
2025-03-20,165.5,168.78,161.5,161.83,3679294.0,NSE_EQ|INE510A01028
2025-03-21,161.83,167.5,161.56,163.81,5626345.0,NSE_EQ|INE510A01028
2025-03-24,165.12,171.49,163.32,166.39,7288080.0,NSE_EQ|INE510A01028
2025-03-25,171.3,174.0,162.3,163.28,8340380.0,NSE_EQ|INE510A01028
2025-03-26,163.7,164.38,155.25,156.35,6460386.0,NSE_EQ|INE510A01028
2025-03-27,156.0,159.85,155.28,157.83,5378602.0,NSE_EQ|INE510A01028
2025-03-28,158.61,165.5,158.5,160.58,7167901.0,NSE_EQ|INE510A01028
2025-04-01,161.0,163.28,159.8,162.37,2824771.0,NSE_EQ|INE510A01028
2025-04-02,162.38,163.15,160.03,162.43,1673363.0,NSE_EQ|INE510A01028
2025-04-03,160.5,167.8,160.21,166.68,3107151.0,NSE_EQ|INE510A01028
2025-04-04,166.01,166.6,159.56,162.7,3966446.0,NSE_EQ|INE510A01028
2025-04-07,150.0,158.25,148.81,157.01,4095894.0,NSE_EQ|INE510A01028
2025-04-08,161.0,165.25,158.01,164.05,2590119.0,NSE_EQ|INE510A01028
2025-04-09,163.5,163.5,158.51,158.88,2580094.0,NSE_EQ|INE510A01028
2025-04-11,161.5,162.59,159.56,159.93,1779300.0,NSE_EQ|INE510A01028
2025-04-15,162.88,169.8,161.6,169.3,3880558.0,NSE_EQ|INE510A01028
2025-04-16,170.0,184.7,168.8,183.72,18488019.0,NSE_EQ|INE510A01028
2025-04-17,182.8,186.49,179.34,181.22,5895023.0,NSE_EQ|INE510A01028
2025-04-21,181.22,183.34,177.85,179.19,3406966.0,NSE_EQ|INE510A01028
2025-04-22,179.6,185.56,178.99,184.13,6521571.0,NSE_EQ|INE510A01028
2025-04-23,184.3,187.47,181.05,185.25,5956225.0,NSE_EQ|INE510A01028
2025-04-24,185.0,186.49,182.42,182.89,3121804.0,NSE_EQ|INE510A01028
2025-04-25,183.29,183.64,174.64,179.37,3563538.0,NSE_EQ|INE510A01028
2025-04-28,178.35,179.77,175.98,177.9,1882519.0,NSE_EQ|INE510A01028
2025-04-29,177.1,186.5,177.1,184.79,4307466.0,NSE_EQ|INE510A01028
2025-04-30,185.2,185.59,177.0,178.65,2686915.0,NSE_EQ|INE510A01028
2025-05-02,178.15,181.4,175.49,176.2,1977799.0,NSE_EQ|INE510A01028
2025-05-05,177.61,182.29,176.42,180.82,1624777.0,NSE_EQ|INE510A01028
2025-05-06,180.82,180.97,172.7,173.54,2252388.0,NSE_EQ|INE510A01028
2025-05-07,171.0,176.54,170.7,175.64,2119628.0,NSE_EQ|INE510A01028
2025-05-08,176.35,180.7,169.1,172.07,2146100.0,NSE_EQ|INE510A01028
2025-05-09,166.5,177.3,166.5,175.38,2421747.0,NSE_EQ|INE510A01028
2025-05-12,179.5,185.25,179.5,184.09,3869249.0,NSE_EQ|INE510A01028
2025-05-13,184.0,186.75,181.91,183.96,2284966.0,NSE_EQ|INE510A01028
2025-05-14,184.99,188.4,183.5,186.36,2773318.0,NSE_EQ|INE510A01028
2025-05-15,187.0,191.8,185.38,189.14,4089164.0,NSE_EQ|INE510A01028
2025-05-16,190.08,196.3,189.21,193.53,4910923.0,NSE_EQ|INE510A01028
2025-05-19,194.89,196.8,191.5,192.14,2408617.0,NSE_EQ|INE510A01028
2025-05-20,193.0,196.4,189.21,194.84,4561918.0,NSE_EQ|INE510A01028
2025-05-21,193.9,204.0,190.7,203.77,11527180.0,NSE_EQ|INE510A01028
2025-05-22,203.0,204.86,197.6,200.71,3047200.0,NSE_EQ|INE510A01028
2025-05-23,201.0,201.3,197.4,199.46,1723073.0,NSE_EQ|INE510A01028
2025-05-26,200.4,202.95,198.74,200.08,1749889.0,NSE_EQ|INE510A01028
2025-05-27,200.6,205.0,199.15,204.05,2927164.0,NSE_EQ|INE510A01028
2025-05-28,204.89,212.45,203.63,211.38,8197384.0,NSE_EQ|INE510A01028
2025-05-29,212.43,222.1,204.66,217.36,13014057.0,NSE_EQ|INE510A01028
2025-05-30,224.5,239.0,223.5,229.48,44023320.0,NSE_EQ|INE510A01028
2025-06-02,230.26,235.67,226.55,230.52,8489981.0,NSE_EQ|INE510A01028
2025-06-03,231.2,234.5,227.31,229.66,6623871.0,NSE_EQ|INE510A01028
2025-06-04,230.05,233.99,225.2,232.11,9654542.0,NSE_EQ|INE510A01028
2025-06-05,233.7,239.5,230.4,231.29,9499434.0,NSE_EQ|INE510A01028
2025-06-06,233.0,233.23,229.0,229.71,3506650.0,NSE_EQ|INE510A01028
2025-06-09,231.0,236.38,230.63,232.01,3639488.0,NSE_EQ|INE510A01028
2025-06-10,232.57,245.99,232.01,242.37,20960356.0,NSE_EQ|INE510A01028
2025-06-11,243.51,244.8,228.1,229.82,9635162.0,NSE_EQ|INE510A01028
2025-06-12,230.9,230.9,221.32,222.41,5323224.0,NSE_EQ|INE510A01028
2025-06-13,215.0,226.72,215.0,223.9,5046940.0,NSE_EQ|INE510A01028
2025-06-16,224.0,224.71,218.5,224.05,3555911.0,NSE_EQ|INE510A01028
2025-06-17,224.84,228.12,220.4,221.75,3480602.0,NSE_EQ|INE510A01028
2025-06-18,221.0,224.75,218.89,223.21,3975274.0,NSE_EQ|INE510A01028
2025-06-19,222.8,223.6,213.0,214.89,2953480.0,NSE_EQ|INE510A01028
2025-06-20,215.9,221.84,213.91,221.17,3417647.0,NSE_EQ|INE510A01028
2025-06-23,220.0,229.7,218.57,228.79,9106132.0,NSE_EQ|INE510A01028
2025-06-24,230.0,236.95,230.0,234.32,8587220.0,NSE_EQ|INE510A01028
2025-06-25,234.9,236.6,230.05,235.66,3776982.0,NSE_EQ|INE510A01028
