date,open,high,low,close,volume,instrument_key
2025-03-18,373.65,377.85,362.0,375.25,304646.0,NSE_EQ|INE02RE01045
2025-03-19,378.65,383.1,374.1,376.95,1062736.0,NSE_EQ|INE02RE01045
2025-03-20,381.3,381.3,361.55,364.7,1146198.0,NSE_EQ|INE02RE01045
2025-03-21,369.35,375.75,362.85,364.8,1480070.0,NSE_EQ|INE02RE01045
2025-03-24,368.95,381.0,367.55,376.35,1589801.0,NSE_EQ|INE02RE01045
2025-03-25,378.15,387.45,368.55,371.65,701913.0,NSE_EQ|INE02RE01045
2025-03-26,375.0,378.8,350.0,351.85,965363.0,NSE_EQ|INE02RE01045
2025-03-27,352.0,400.7,346.95,388.55,1487554.0,NSE_EQ|INE02RE01045
2025-03-28,390.95,391.7,365.05,367.9,943360.0,NSE_EQ|INE02RE01045
2025-04-01,367.9,375.2,364.65,367.15,275211.0,NSE_EQ|INE02RE01045
2025-04-02,368.95,372.0,361.3,368.8,138551.0,NSE_EQ|INE02RE01045
2025-04-03,365.0,373.85,362.3,368.4,215886.0,NSE_EQ|INE02RE01045
2025-04-04,364.0,368.1,351.65,357.5,588825.0,NSE_EQ|INE02RE01045
2025-04-07,302.95,339.75,286.05,321.4,2183871.0,NSE_EQ|INE02RE01045
2025-04-08,336.65,336.65,321.55,324.75,996961.0,NSE_EQ|INE02RE01045
2025-04-09,323.15,327.4,315.9,317.0,763614.0,NSE_EQ|INE02RE01045
2025-04-11,324.7,331.0,321.3,327.0,788348.0,NSE_EQ|INE02RE01045
2025-04-15,328.95,342.25,328.95,338.45,700870.0,NSE_EQ|INE02RE01045
2025-04-16,339.8,351.3,331.3,334.6,1701971.0,NSE_EQ|INE02RE01045
2025-04-17,336.0,356.0,332.15,348.6,2074244.0,NSE_EQ|INE02RE01045
2025-04-21,348.3,361.2,347.1,356.3,387263.0,NSE_EQ|INE02RE01045
2025-04-22,359.95,373.85,356.5,366.6,614204.0,NSE_EQ|INE02RE01045
2025-04-23,365.1,367.4,358.7,364.0,342826.0,NSE_EQ|INE02RE01045
2025-04-24,364.95,367.85,350.0,353.3,354731.0,NSE_EQ|INE02RE01045
2025-04-25,356.65,356.85,334.35,339.05,488418.0,NSE_EQ|INE02RE01045
2025-04-28,330.05,344.35,330.05,334.45,302315.0,NSE_EQ|INE02RE01045
2025-04-29,337.0,352.3,328.0,330.8,816588.0,NSE_EQ|INE02RE01045
2025-04-30,332.45,349.9,327.1,339.25,1468089.0,NSE_EQ|INE02RE01045
2025-05-02,339.0,340.95,328.25,330.95,247653.0,NSE_EQ|INE02RE01045
2025-05-05,332.95,334.95,327.4,330.5,286202.0,NSE_EQ|INE02RE01045
2025-05-06,334.5,336.55,320.55,322.7,253767.0,NSE_EQ|INE02RE01045
2025-05-07,321.1,328.6,313.45,326.5,282786.0,NSE_EQ|INE02RE01045
2025-05-08,326.5,333.05,323.0,326.05,183310.0,NSE_EQ|INE02RE01045
2025-05-09,318.95,323.15,313.95,320.15,181511.0,NSE_EQ|INE02RE01045
2025-05-12,340.0,355.0,330.3,349.7,868205.0,NSE_EQ|INE02RE01045
2025-05-13,347.95,354.45,342.05,344.15,206391.0,NSE_EQ|INE02RE01045
2025-05-14,346.95,350.8,338.2,340.1,414742.0,NSE_EQ|INE02RE01045
2025-05-15,348.0,356.45,339.15,349.55,1009262.0,NSE_EQ|INE02RE01045
2025-05-16,350.0,363.2,347.35,358.8,482065.0,NSE_EQ|INE02RE01045
2025-05-19,363.95,367.0,348.85,351.45,430823.0,NSE_EQ|INE02RE01045
2025-05-20,353.45,355.5,343.85,345.0,264621.0,NSE_EQ|INE02RE01045
2025-05-21,347.3,365.85,341.05,355.85,2025552.0,NSE_EQ|INE02RE01045
2025-05-22,355.0,361.75,349.0,357.95,374227.0,NSE_EQ|INE02RE01045
2025-05-23,362.0,375.0,353.2,373.05,963623.0,NSE_EQ|INE02RE01045
2025-05-26,379.0,383.8,368.1,375.15,995076.0,NSE_EQ|INE02RE01045
2025-05-27,370.95,375.25,350.2,352.55,3577741.0,NSE_EQ|INE02RE01045
2025-05-28,353.0,361.25,349.85,355.2,845387.0,NSE_EQ|INE02RE01045
2025-05-29,355.5,357.85,351.05,352.0,298203.0,NSE_EQ|INE02RE01045
2025-05-30,354.0,354.4,347.0,348.45,405079.0,NSE_EQ|INE02RE01045
2025-06-02,348.5,355.0,339.05,341.25,703247.0,NSE_EQ|INE02RE01045
2025-06-03,341.25,392.9,340.05,371.95,39162268.0,NSE_EQ|INE02RE01045
2025-06-04,368.0,370.85,362.2,364.6,2950446.0,NSE_EQ|INE02RE01045
2025-06-05,364.0,410.0,359.5,399.4,36717904.0,NSE_EQ|INE02RE01045
2025-06-06,404.7,431.25,399.05,414.9,18505670.0,NSE_EQ|INE02RE01045
2025-06-09,416.0,421.0,401.05,407.6,4885888.0,NSE_EQ|INE02RE01045
2025-06-10,409.95,410.3,393.85,396.1,2114850.0,NSE_EQ|INE02RE01045
2025-06-11,396.5,408.0,382.0,385.0,2839656.0,NSE_EQ|INE02RE01045
2025-06-12,388.9,395.25,377.1,379.55,2349800.0,NSE_EQ|INE02RE01045
2025-06-13,378.0,388.9,370.2,378.1,1141092.0,NSE_EQ|INE02RE01045
2025-06-16,380.0,383.95,369.8,378.05,1289235.0,NSE_EQ|INE02RE01045
2025-06-17,379.1,385.0,371.45,373.8,931436.0,NSE_EQ|INE02RE01045
2025-06-18,376.0,392.0,365.65,370.15,5068970.0,NSE_EQ|INE02RE01045
2025-06-19,368.2,373.2,342.1,347.85,2891605.0,NSE_EQ|INE02RE01045
2025-06-20,347.35,351.95,338.65,339.9,2502683.0,NSE_EQ|INE02RE01045
2025-06-23,341.55,347.3,335.0,339.45,2194319.0,NSE_EQ|INE02RE01045
2025-06-24,346.0,346.2,332.7,334.2,1319724.0,NSE_EQ|INE02RE01045
2025-06-25,335.6,345.0,335.35,339.15,1118488.0,NSE_EQ|INE02RE01045
2025-06-26,340.3,406.9,337.1,396.8,56350068.0,NSE_EQ|INE02RE01045
2025-06-27,393.95,412.0,371.05,390.8,29230395.0,NSE_EQ|INE02RE01045
2025-06-30,387.0,390.75,379.6,386.0,2738890.0,NSE_EQ|INE02RE01045
2025-07-01,387.0,391.95,374.15,377.6,1982249.0,NSE_EQ|INE02RE01045
2025-07-02,379.0,380.9,372.05,376.0,934350.0,NSE_EQ|INE02RE01045
2025-07-03,378.4,379.85,371.1,374.65,1110404.0,NSE_EQ|INE02RE01045
2025-07-04,376.5,376.5,360.2,364.3,1571742.0,NSE_EQ|INE02RE01045
2025-07-07,366.65,375.95,362.6,371.75,3927345.0,NSE_EQ|INE02RE01045
2025-07-08,372.85,387.7,367.35,372.5,3038151.0,NSE_EQ|INE02RE01045
2025-07-09,372.5,387.05,370.3,383.5,3349699.0,NSE_EQ|INE02RE01045
2025-07-10,384.25,387.1,376.05,377.65,1362372.0,NSE_EQ|INE02RE01045
2025-07-11,377.0,380.7,371.65,379.85,918623.0,NSE_EQ|INE02RE01045
2025-07-14,380.9,387.2,375.2,385.4,1062869.0,NSE_EQ|INE02RE01045
2025-07-15,386.8,393.0,376.5,378.35,1587449.0,NSE_EQ|INE02RE01045
2025-07-16,379.1,387.8,379.1,381.4,1045535.0,NSE_EQ|INE02RE01045
2025-07-17,382.4,384.45,378.5,381.1,351300.0,NSE_EQ|INE02RE01045
2025-07-18,382.5,382.85,374.2,376.25,456547.0,NSE_EQ|INE02RE01045
