date,open,high,low,close,volume,instrument_key
2025-03-18,600.0,619.8,600.0,615.15,1424203.0,NSE_EQ|INE061F01013
2025-03-19,614.0,618.65,604.2,609.85,1555187.0,NSE_EQ|INE061F01013
2025-03-20,618.0,630.95,612.85,627.35,1496370.0,NSE_EQ|INE061F01013
2025-03-21,632.0,644.4,614.9,628.25,10375675.0,NSE_EQ|INE061F01013
2025-03-24,637.9,656.7,633.5,653.2,1262762.0,NSE_EQ|INE061F01013
2025-03-25,660.0,661.7,640.0,647.65,1613266.0,NSE_EQ|INE061F01013
2025-03-26,650.0,653.85,638.7,645.7,905883.0,NSE_EQ|INE061F01013
2025-03-27,639.7,677.9,630.65,671.8,2353906.0,NSE_EQ|INE061F01013
2025-03-28,671.0,724.95,666.05,698.35,6070165.0,NSE_EQ|INE061F01013
2025-04-01,699.8,721.9,680.15,688.65,2136107.0,NSE_EQ|INE061F01013
2025-04-02,685.65,686.95,652.65,662.6,1791342.0,NSE_EQ|INE061F01013
2025-04-03,663.45,672.45,652.8,659.7,1053691.0,NSE_EQ|INE061F01013
2025-04-04,659.0,661.1,639.9,649.45,1080116.0,NSE_EQ|INE061F01013
2025-04-07,606.0,640.0,595.8,633.35,1489123.0,NSE_EQ|INE061F01013
2025-04-08,644.45,661.9,641.0,648.85,2244532.0,NSE_EQ|INE061F01013
2025-04-09,648.9,660.6,642.25,654.0,1191181.0,NSE_EQ|INE061F01013
2025-04-11,668.5,671.85,635.2,649.55,3042575.0,NSE_EQ|INE061F01013
2025-04-15,663.0,699.7,656.6,669.25,4115812.0,NSE_EQ|INE061F01013
2025-04-16,671.3,687.95,645.6,649.95,3759757.0,NSE_EQ|INE061F01013
2025-04-17,651.15,667.0,645.4,664.55,1737247.0,NSE_EQ|INE061F01013
2025-04-21,664.55,667.85,654.55,656.3,1053508.0,NSE_EQ|INE061F01013
2025-04-22,656.65,674.5,655.7,664.6,1322108.0,NSE_EQ|INE061F01013
2025-04-23,664.6,678.95,656.0,676.65,2027535.0,NSE_EQ|INE061F01013
2025-04-24,679.0,683.0,664.35,668.4,868517.0,NSE_EQ|INE061F01013
2025-04-25,671.5,671.5,638.0,654.65,2367728.0,NSE_EQ|INE061F01013
2025-04-28,650.0,677.8,647.65,675.2,1149511.0,NSE_EQ|INE061F01013
2025-04-29,677.85,679.0,662.3,667.2,738560.0,NSE_EQ|INE061F01013
2025-04-30,667.2,701.0,663.25,685.55,4791505.0,NSE_EQ|INE061F01013
2025-05-02,686.0,692.55,676.15,678.6,1441513.0,NSE_EQ|INE061F01013
2025-05-05,680.35,686.45,669.95,681.0,775182.0,NSE_EQ|INE061F01013
2025-05-06,682.0,694.8,666.0,686.85,1659976.0,NSE_EQ|INE061F01013
2025-05-07,679.8,686.2,663.1,682.75,1678787.0,NSE_EQ|INE061F01013
2025-05-08,686.0,691.7,657.7,662.75,1444130.0,NSE_EQ|INE061F01013
2025-05-09,646.7,669.0,646.7,664.7,812628.0,NSE_EQ|INE061F01013
2025-05-12,676.0,679.3,669.35,676.65,1074733.0,NSE_EQ|INE061F01013
2025-05-13,676.6,678.7,660.8,666.2,1406175.0,NSE_EQ|INE061F01013
2025-05-14,669.0,694.6,663.0,691.85,1531628.0,NSE_EQ|INE061F01013
2025-05-15,694.8,709.8,684.4,699.4,1659992.0,NSE_EQ|INE061F01013
2025-05-16,707.0,709.05,695.3,700.05,850892.0,NSE_EQ|INE061F01013
2025-05-19,702.0,705.0,682.35,685.85,1032224.0,NSE_EQ|INE061F01013
2025-05-20,693.7,693.85,675.0,679.15,1637259.0,NSE_EQ|INE061F01013
2025-05-21,675.0,687.45,667.2,672.05,1844005.0,NSE_EQ|INE061F01013
2025-05-22,671.5,741.35,671.5,723.8,11786233.0,NSE_EQ|INE061F01013
2025-05-23,717.95,724.8,712.45,719.05,1754879.0,NSE_EQ|INE061F01013
2025-05-26,721.0,728.9,702.0,708.2,1010386.0,NSE_EQ|INE061F01013
2025-05-27,708.6,716.9,698.7,704.95,1327676.0,NSE_EQ|INE061F01013
2025-05-28,708.0,722.2,703.2,710.6,2332242.0,NSE_EQ|INE061F01013
2025-05-29,714.2,719.25,707.0,716.3,1226368.0,NSE_EQ|INE061F01013
