date,open,high,low,close,volume,instrument_key
2025-03-18,322.0,322.0,308.2,313.3,10220.0,NSE_EQ|INE297H01019
2025-03-19,325.0,327.3,316.95,322.1,15194.0,NSE_EQ|INE297H01019
2025-03-20,330.0,355.0,323.55,346.75,168698.0,NSE_EQ|INE297H01019
2025-03-21,345.0,349.9,339.55,346.55,23517.0,NSE_EQ|INE297H01019
2025-03-24,359.95,365.0,342.1,356.1,317348.0,NSE_EQ|INE297H01019
2025-03-25,367.0,375.0,357.8,365.05,191880.0,NSE_EQ|INE297H01019
2025-03-26,365.05,388.0,365.05,371.6,146066.0,NSE_EQ|INE297H01019
2025-03-27,371.6,383.6,342.55,353.25,219006.0,NSE_EQ|INE297H01019
2025-03-28,358.9,401.0,356.15,381.3,340884.0,NSE_EQ|INE297H01019
2025-04-01,387.5,413.9,383.75,408.0,511142.0,NSE_EQ|INE297H01019
2025-04-02,414.1,431.95,409.45,427.35,501832.0,NSE_EQ|INE297H01019
2025-04-03,420.0,438.8,418.4,429.35,275277.0,NSE_EQ|INE297H01019
2025-04-04,431.9,446.05,419.0,429.15,322633.0,NSE_EQ|INE297H01019
2025-04-07,356.0,409.0,356.0,395.45,273431.0,NSE_EQ|INE297H01019
2025-04-08,410.0,414.4,397.6,399.55,116582.0,NSE_EQ|INE297H01019
2025-04-09,405.0,405.5,391.95,398.1,52969.0,NSE_EQ|INE297H01019
2025-04-11,408.0,432.2,402.65,425.0,237259.0,NSE_EQ|INE297H01019
2025-04-15,451.0,463.05,435.05,449.65,353750.0,NSE_EQ|INE297H01019
2025-04-16,458.0,486.0,451.05,472.85,417444.0,NSE_EQ|INE297H01019
2025-04-17,467.0,478.95,461.1,467.75,173433.0,NSE_EQ|INE297H01019
2025-04-21,474.75,494.4,460.25,472.8,178288.0,NSE_EQ|INE297H01019
2025-04-22,470.0,483.05,468.5,470.7,78503.0,NSE_EQ|INE297H01019
2025-04-23,474.45,477.95,453.05,465.25,78340.0,NSE_EQ|INE297H01019
2025-04-24,461.0,470.15,457.3,460.0,51013.0,NSE_EQ|INE297H01019
2025-04-25,460.0,474.55,441.0,447.5,125749.0,NSE_EQ|INE297H01019
