date,open,high,low,close,volume,instrument_key
2025-03-18,393.35,406.0,385.65,403.1,1304758.0,NSE_EQ|INE481Y01014
2025-03-19,404.1,422.8,402.05,418.45,1053132.0,NSE_EQ|INE481Y01014
2025-03-20,420.9,423.4,407.5,409.5,1204255.0,NSE_EQ|INE481Y01014
2025-03-21,409.5,449.4,409.5,445.35,3601721.0,NSE_EQ|INE481Y01014
2025-03-24,444.0,452.05,435.0,441.9,1534287.0,NSE_EQ|INE481Y01014
2025-03-25,443.0,445.25,415.3,427.35,1558810.0,NSE_EQ|INE481Y01014
2025-03-26,427.0,435.0,416.25,420.15,504665.0,NSE_EQ|INE481Y01014
2025-03-27,416.9,421.65,414.25,416.85,769770.0,NSE_EQ|INE481Y01014
2025-03-28,417.1,428.25,417.1,421.1,499764.0,NSE_EQ|INE481Y01014
2025-04-01,417.55,421.7,411.0,414.35,337794.0,NSE_EQ|INE481Y01014
2025-04-02,414.15,422.35,407.05,420.05,453299.0,NSE_EQ|INE481Y01014
2025-04-03,417.3,434.3,416.85,428.8,814135.0,NSE_EQ|INE481Y01014
2025-04-04,428.0,430.25,402.1,405.05,537019.0,NSE_EQ|INE481Y01014
2025-04-07,371.6,389.0,368.35,385.1,557506.0,NSE_EQ|INE481Y01014
2025-04-08,395.65,402.0,386.75,398.85,380401.0,NSE_EQ|INE481Y01014
2025-04-09,395.5,396.6,388.65,395.0,222984.0,NSE_EQ|INE481Y01014
2025-04-11,407.4,407.4,395.05,397.35,288545.0,NSE_EQ|INE481Y01014
2025-04-15,399.9,413.75,399.9,411.8,514816.0,NSE_EQ|INE481Y01014
2025-04-16,408.05,420.5,408.05,417.35,448030.0,NSE_EQ|INE481Y01014
2025-04-17,418.9,438.6,417.05,429.2,2329842.0,NSE_EQ|INE481Y01014
2025-04-21,429.0,429.9,421.7,428.1,495700.0,NSE_EQ|INE481Y01014
2025-04-22,429.0,431.6,426.0,427.3,433353.0,NSE_EQ|INE481Y01014
2025-04-23,429.45,433.0,417.05,424.75,701925.0,NSE_EQ|INE481Y01014
2025-04-24,423.9,431.9,419.0,426.05,1180928.0,NSE_EQ|INE481Y01014
2025-04-25,426.5,444.7,421.65,428.0,4089576.0,NSE_EQ|INE481Y01014
2025-04-28,422.5,430.4,415.2,428.05,793630.0,NSE_EQ|INE481Y01014
2025-04-29,428.5,438.3,423.95,433.75,755528.0,NSE_EQ|INE481Y01014
2025-04-30,434.0,453.8,408.15,417.15,3442275.0,NSE_EQ|INE481Y01014
2025-05-02,415.1,431.95,415.1,425.2,882979.0,NSE_EQ|INE481Y01014
2025-05-05,427.25,431.0,421.0,427.5,410308.0,NSE_EQ|INE481Y01014
2025-05-06,427.5,435.3,406.0,408.5,699538.0,NSE_EQ|INE481Y01014
2025-05-07,408.5,417.6,406.0,410.8,624207.0,NSE_EQ|INE481Y01014
2025-05-08,415.9,419.45,398.0,402.5,532864.0,NSE_EQ|INE481Y01014
2025-05-09,396.45,399.45,388.45,394.4,530352.0,NSE_EQ|INE481Y01014
2025-05-12,415.1,415.1,407.5,413.95,424718.0,NSE_EQ|INE481Y01014
2025-05-13,410.05,420.8,410.05,416.1,684221.0,NSE_EQ|INE481Y01014
2025-05-14,419.8,420.7,414.65,417.7,470755.0,NSE_EQ|INE481Y01014
2025-05-15,420.0,422.9,415.0,420.4,413561.0,NSE_EQ|INE481Y01014
2025-05-16,418.6,437.5,417.05,436.25,1041257.0,NSE_EQ|INE481Y01014
2025-05-19,436.0,446.8,427.1,433.35,1345688.0,NSE_EQ|INE481Y01014
2025-05-20,434.85,446.0,428.05,432.1,1388755.0,NSE_EQ|INE481Y01014
2025-05-21,431.85,437.7,425.0,436.45,637801.0,NSE_EQ|INE481Y01014
2025-05-22,436.05,436.05,418.35,420.55,628934.0,NSE_EQ|INE481Y01014
2025-05-23,418.0,435.5,418.0,427.1,980959.0,NSE_EQ|INE481Y01014
2025-05-26,431.3,435.35,429.0,431.5,542011.0,NSE_EQ|INE481Y01014
2025-05-27,432.0,435.8,415.0,416.4,1124570.0,NSE_EQ|INE481Y01014
2025-05-28,418.75,425.7,410.0,412.0,1403689.0,NSE_EQ|INE481Y01014
2025-05-29,414.1,416.75,407.05,408.75,608722.0,NSE_EQ|INE481Y01014
2025-05-30,407.1,415.85,399.0,411.6,1652374.0,NSE_EQ|INE481Y01014
2025-06-02,409.45,412.35,406.0,408.4,432306.0,NSE_EQ|INE481Y01014
