date,open,high,low,close,volume,instrument_key
2025-03-18,250.0,253.44,247.48,251.92,908499.0,NSE_EQ|INE131A01031
2025-03-19,254.0,264.9,253.18,263.58,1328385.0,NSE_EQ|INE131A01031
2025-03-20,267.0,274.0,264.38,267.35,1437497.0,NSE_EQ|INE131A01031
2025-03-21,267.0,279.4,266.3,271.71,1988635.0,NSE_EQ|INE131A01031
2025-03-24,271.68,279.99,269.8,274.87,1634596.0,NSE_EQ|INE131A01031
2025-03-25,276.9,278.76,265.0,265.63,954328.0,NSE_EQ|INE131A01031
2025-03-26,266.99,270.0,258.2,260.73,1116600.0,NSE_EQ|INE131A01031
2025-03-27,259.9,267.85,259.1,265.9,1528298.0,NSE_EQ|INE131A01031
2025-03-28,266.9,272.4,264.1,265.22,1222874.0,NSE_EQ|INE131A01031
2025-04-01,266.5,275.65,265.85,274.35,1115119.0,NSE_EQ|INE131A01031
2025-04-02,275.5,282.2,267.65,279.15,1143074.0,NSE_EQ|INE131A01031
2025-04-03,274.1,289.85,274.1,288.25,1460311.0,NSE_EQ|INE131A01031
2025-04-04,288.25,289.3,271.3,272.8,1148210.0,NSE_EQ|INE131A01031
2025-04-07,255.0,264.95,251.0,261.65,1188546.0,NSE_EQ|INE131A01031
2025-04-08,270.0,272.55,261.45,267.35,448745.0,NSE_EQ|INE131A01031
2025-04-09,267.05,273.9,261.0,268.65,733955.0,NSE_EQ|INE131A01031
2025-04-11,275.5,277.0,271.6,276.05,536841.0,NSE_EQ|INE131A01031
2025-04-15,280.15,287.9,280.15,287.0,1037983.0,NSE_EQ|INE131A01031
2025-04-16,287.0,325.65,287.0,315.0,18911450.0,NSE_EQ|INE131A01031
2025-04-17,313.0,322.7,311.4,319.6,2394514.0,NSE_EQ|INE131A01031
2025-04-21,320.85,330.7,316.4,328.0,1847343.0,NSE_EQ|INE131A01031
2025-04-22,326.0,336.4,323.4,330.85,1832576.0,NSE_EQ|INE131A01031
2025-04-23,330.15,333.05,319.6,323.9,1216908.0,NSE_EQ|INE131A01031
2025-04-24,325.5,329.85,323.05,324.3,803051.0,NSE_EQ|INE131A01031
2025-04-25,324.9,325.35,304.0,309.1,1569081.0,NSE_EQ|INE131A01031
2025-04-28,310.0,317.1,307.15,315.3,869969.0,NSE_EQ|INE131A01031
2025-04-29,316.9,320.45,312.35,313.35,500977.0,NSE_EQ|INE131A01031
2025-04-30,313.35,314.25,301.95,304.15,559160.0,NSE_EQ|INE131A01031
2025-05-02,305.0,314.8,302.1,305.1,1089020.0,NSE_EQ|INE131A01031
2025-05-05,307.05,310.55,305.25,308.65,463837.0,NSE_EQ|INE131A01031
2025-05-06,307.1,310.4,295.0,296.1,556020.0,NSE_EQ|INE131A01031
2025-05-07,292.1,307.6,291.05,306.2,885482.0,NSE_EQ|INE131A01031
2025-05-08,310.0,312.8,297.15,300.15,546643.0,NSE_EQ|INE131A01031
2025-05-09,295.6,296.0,288.95,294.65,752970.0,NSE_EQ|INE131A01031
2025-05-12,305.0,316.2,304.05,313.95,1254217.0,NSE_EQ|INE131A01031
2025-05-13,315.0,318.5,308.3,311.2,784655.0,NSE_EQ|INE131A01031
2025-05-14,313.0,319.9,312.5,319.1,878716.0,NSE_EQ|INE131A01031
2025-05-15,321.25,333.8,320.5,329.95,3213311.0,NSE_EQ|INE131A01031
2025-05-16,331.0,357.15,328.55,354.6,5077697.0,NSE_EQ|INE131A01031
2025-05-19,356.3,367.0,353.7,356.55,2699143.0,NSE_EQ|INE131A01031
2025-05-20,360.0,362.9,351.0,354.75,1726339.0,NSE_EQ|INE131A01031
2025-05-21,355.0,362.85,346.25,351.85,1508962.0,NSE_EQ|INE131A01031
2025-05-22,349.0,354.7,340.0,346.9,864347.0,NSE_EQ|INE131A01031
2025-05-23,348.45,359.0,346.9,354.35,999069.0,NSE_EQ|INE131A01031
2025-05-26,357.0,363.65,355.15,361.7,1124091.0,NSE_EQ|INE131A01031
2025-05-27,360.65,363.5,354.95,358.65,939432.0,NSE_EQ|INE131A01031
2025-05-28,361.5,361.5,351.1,356.8,929741.0,NSE_EQ|INE131A01031
2025-05-29,358.15,370.0,355.05,364.0,2117831.0,NSE_EQ|INE131A01031
2025-05-30,364.4,365.5,354.2,357.3,722099.0,NSE_EQ|INE131A01031
2025-06-02,358.4,369.5,358.05,363.05,1593156.0,NSE_EQ|INE131A01031
2025-06-03,364.9,375.2,360.25,366.7,2578351.0,NSE_EQ|INE131A01031
2025-06-04,369.0,374.0,360.1,368.95,1623373.0,NSE_EQ|INE131A01031
2025-06-05,372.0,386.0,370.7,382.6,4816694.0,NSE_EQ|INE131A01031
2025-06-06,388.0,413.8,385.05,401.05,15701144.0,NSE_EQ|INE131A01031
2025-06-09,405.0,419.9,401.5,414.25,6346683.0,NSE_EQ|INE131A01031
2025-06-10,416.0,422.2,406.0,410.75,3316743.0,NSE_EQ|INE131A01031
2025-06-11,412.0,420.9,406.3,412.95,3754718.0,NSE_EQ|INE131A01031
2025-06-12,413.4,414.6,401.0,404.25,1780719.0,NSE_EQ|INE131A01031
2025-06-13,390.0,417.7,389.95,408.7,3296435.0,NSE_EQ|INE131A01031
2025-06-16,410.0,416.0,395.0,413.85,2897999.0,NSE_EQ|INE131A01031
2025-06-17,413.0,416.4,395.55,399.35,1297445.0,NSE_EQ|INE131A01031
2025-06-18,398.95,405.0,393.1,395.05,1221515.0,NSE_EQ|INE131A01031
2025-06-19,395.0,400.95,380.8,383.45,1621540.0,NSE_EQ|INE131A01031
2025-06-20,383.1,393.0,383.0,389.8,1169104.0,NSE_EQ|INE131A01031
2025-06-23,388.8,396.8,386.0,393.5,858940.0,NSE_EQ|INE131A01031
2025-06-24,397.5,408.05,394.6,397.3,1826317.0,NSE_EQ|INE131A01031
2025-06-25,399.9,411.6,399.85,403.5,1814096.0,NSE_EQ|INE131A01031
2025-06-26,404.6,408.3,400.2,404.75,867939.0,NSE_EQ|INE131A01031
2025-06-27,407.0,418.6,405.1,411.75,3685633.0,NSE_EQ|INE131A01031
2025-06-30,413.8,425.8,410.0,411.6,3295321.0,NSE_EQ|INE131A01031
2025-07-01,413.6,428.35,409.1,420.35,4943677.0,NSE_EQ|INE131A01031
2025-07-02,425.0,425.6,410.55,417.35,2012046.0,NSE_EQ|INE131A01031
