date,close,instrument_key
2025-03-18,324.0,NSE_EQ|INE094A01015
2025-03-19,328.0,NSE_EQ|INE094A01015
2025-03-20,336.55,NSE_EQ|INE094A01015
2025-03-21,356.95,NSE_EQ|INE094A01015
2025-03-24,361.9,NSE_EQ|INE094A01015
2025-03-25,361.45,NSE_EQ|INE094A01015
2025-03-26,351.9,NSE_EQ|INE094A01015
2025-03-27,359.55,NSE_EQ|INE094A01015
2025-03-28,360.35,NSE_EQ|INE094A01015
2025-04-01,361.7,NSE_EQ|INE094A01015
2025-04-02,362.15,NSE_EQ|INE094A01015
2025-04-03,362.45,NSE_EQ|INE094A01015
2025-04-04,358.35,NSE_EQ|INE094A01015
2025-04-07,352.8,NSE_EQ|INE094A01015
2025-04-08,369.15,NSE_EQ|INE094A01015
2025-04-09,379.3,NSE_EQ|INE094A01015
2025-04-11,382.2,NSE_EQ|INE094A01015
2025-04-15,379.1,NSE_EQ|INE094A01015
2025-04-16,390.05,NSE_EQ|INE094A01015
2025-04-17,387.7,NSE_EQ|INE094A01015
2025-04-21,394.85,NSE_EQ|INE094A01015
2025-04-22,398.45,NSE_EQ|INE094A01015
2025-04-23,388.8,NSE_EQ|INE094A01015
2025-04-24,390.45,NSE_EQ|INE094A01015
2025-04-25,380.7,NSE_EQ|INE094A01015
2025-04-28,392.2,NSE_EQ|INE094A01015
2025-04-29,391.1,NSE_EQ|INE094A01015
2025-04-30,378.7,NSE_EQ|INE094A01015
2025-05-02,385.05,NSE_EQ|INE094A01015
2025-05-05,409.85,NSE_EQ|INE094A01015
2025-05-06,396.8,NSE_EQ|INE094A01015
2025-05-07,396.95,NSE_EQ|INE094A01015
2025-05-08,388.1,NSE_EQ|INE094A01015
2025-05-09,386.25,NSE_EQ|INE094A01015
2025-05-12,388.8,NSE_EQ|INE094A01015
2025-05-13,388.9,NSE_EQ|INE094A01015
2025-05-14,396.6,NSE_EQ|INE094A01015
2025-05-15,402.7,NSE_EQ|INE094A01015
2025-05-16,410.05,NSE_EQ|INE094A01015
2025-05-19,404.9,NSE_EQ|INE094A01015
2025-05-20,397.4,NSE_EQ|INE094A01015
2025-05-21,404.9,NSE_EQ|INE094A01015
2025-05-22,401.25,NSE_EQ|INE094A01015
2025-05-23,408.1,NSE_EQ|INE094A01015
2025-05-26,414.6,NSE_EQ|INE094A01015
2025-05-27,412.15,NSE_EQ|INE094A01015
2025-05-28,418.1,NSE_EQ|INE094A01015
2025-05-29,414.75,NSE_EQ|INE094A01015
2025-05-30,411.05,NSE_EQ|INE094A01015
2025-06-02,408.2,NSE_EQ|INE094A01015
2025-06-03,402.0,NSE_EQ|INE094A01015
2025-06-04,406.6,NSE_EQ|INE094A01015
2025-06-05,401.0,NSE_EQ|INE094A01015
2025-06-06,407.05,NSE_EQ|INE094A01015
2025-06-09,408.45,NSE_EQ|INE094A01015
2025-06-10,405.1,NSE_EQ|INE094A01015
2025-06-11,414.85,NSE_EQ|INE094A01015
2025-06-12,392.55,NSE_EQ|INE094A01015
2025-06-13,386.25,NSE_EQ|INE094A01015
2025-06-16,395.35,NSE_EQ|INE094A01015
2025-06-17,393.25,NSE_EQ|INE094A01015
2025-06-18,393.95,NSE_EQ|INE094A01015
2025-06-19,390.0,NSE_EQ|INE094A01015
2025-06-20,392.25,NSE_EQ|INE094A01015
2025-06-23,393.25,NSE_EQ|INE094A01015
2025-06-24,406.25,NSE_EQ|INE094A01015
2025-06-25,408.15,NSE_EQ|INE094A01015
2025-06-26,420.3,NSE_EQ|INE094A01015
2025-06-27,439.0,NSE_EQ|INE094A01015
2025-06-30,438.05,NSE_EQ|INE094A01015
2025-07-01,440.45,NSE_EQ|INE094A01015
2025-07-02,436.55,NSE_EQ|INE094A01015
2025-07-03,436.6,NSE_EQ|INE094A01015
2025-07-04,444.6,NSE_EQ|INE094A01015
2025-07-07,447.9,NSE_EQ|INE094A01015
2025-07-08,452.7,NSE_EQ|INE094A01015
2025-07-09,445.45,NSE_EQ|INE094A01015
2025-07-10,441.25,NSE_EQ|INE094A01015
2025-07-11,435.9,NSE_EQ|INE094A01015
2025-07-14,429.9,NSE_EQ|INE094A01015
2025-07-15,433.45,NSE_EQ|INE094A01015
2025-07-16,446.1,NSE_EQ|INE094A01015
2025-07-17,440.0,NSE_EQ|INE094A01015
2025-07-18,430.6,NSE_EQ|INE094A01015
2025-07-21,431.7,NSE_EQ|INE094A01015
2025-07-22,429.25,NSE_EQ|INE094A01015
2025-07-23,434.5,NSE_EQ|INE094A01015
2025-07-24,434.9,NSE_EQ|INE094A01015
2025-07-25,421.8,NSE_EQ|INE094A01015
2025-07-28,421.9,NSE_EQ|INE094A01015
2025-07-29,425.8,NSE_EQ|INE094A01015
2025-07-30,426.25,NSE_EQ|INE094A01015
2025-07-31,418.45,NSE_EQ|INE094A01015
