date,open,high,low,close,volume,instrument_key
2025-03-18,208.0,213.2,206.67,212.15,1337691.0,NSE_EQ|INE0J5401028
2025-03-19,212.4,224.08,212.4,219.86,529513.0,NSE_EQ|INE0J5401028
2025-03-20,220.7,225.9,218.11,222.48,398372.0,NSE_EQ|INE0J5401028
2025-03-21,223.0,225.78,219.69,220.76,400397.0,NSE_EQ|INE0J5401028
2025-03-24,222.0,245.0,222.0,234.89,2653249.0,NSE_EQ|INE0J5401028
2025-03-25,236.7,244.54,232.75,238.36,1176131.0,NSE_EQ|INE0J5401028
2025-03-26,238.0,239.16,232.0,235.3,670422.0,NSE_EQ|INE0J5401028
2025-03-27,234.5,237.98,229.11,234.91,568479.0,NSE_EQ|INE0J5401028
2025-03-28,233.95,236.78,225.5,231.86,744684.0,NSE_EQ|INE0J5401028
2025-04-01,228.4,236.32,228.4,234.55,417082.0,NSE_EQ|INE0J5401028
2025-04-02,234.65,238.88,232.63,236.04,636716.0,NSE_EQ|INE0J5401028
2025-04-03,232.04,241.81,230.85,237.29,767599.0,NSE_EQ|INE0J5401028
2025-04-04,236.54,239.19,232.0,234.19,404414.0,NSE_EQ|INE0J5401028
2025-04-07,223.0,226.58,212.51,221.83,637481.0,NSE_EQ|INE0J5401028
2025-04-08,226.0,228.22,222.94,224.87,160782.0,NSE_EQ|INE0J5401028
2025-04-09,223.0,224.99,215.9,218.86,377039.0,NSE_EQ|INE0J5401028
2025-04-11,220.64,232.9,220.63,231.94,433433.0,NSE_EQ|INE0J5401028
2025-04-15,234.8,239.54,228.86,229.15,531763.0,NSE_EQ|INE0J5401028
2025-04-16,229.7,234.0,229.5,230.1,390214.0,NSE_EQ|INE0J5401028
2025-04-17,230.25,239.43,229.28,233.69,2320665.0,NSE_EQ|INE0J5401028
2025-04-21,233.0,241.0,231.5,233.79,1911270.0,NSE_EQ|INE0J5401028
2025-04-22,234.0,236.19,230.01,234.47,528088.0,NSE_EQ|INE0J5401028
2025-04-23,235.7,239.49,227.5,235.62,939084.0,NSE_EQ|INE0J5401028
2025-04-24,237.0,242.85,235.79,237.34,1064593.0,NSE_EQ|INE0J5401028
2025-04-25,238.0,239.25,227.07,231.84,701956.0,NSE_EQ|INE0J5401028
2025-04-28,230.25,235.52,230.1,232.48,282245.0,NSE_EQ|INE0J5401028
2025-04-29,232.0,251.14,232.0,248.89,2504394.0,NSE_EQ|INE0J5401028
2025-04-30,249.25,256.0,245.27,246.44,1217547.0,NSE_EQ|INE0J5401028
2025-05-02,242.68,254.0,239.01,252.53,731476.0,NSE_EQ|INE0J5401028
2025-05-05,256.0,257.39,250.14,251.35,416344.0,NSE_EQ|INE0J5401028
2025-05-06,250.8,255.5,250.0,251.63,584648.0,NSE_EQ|INE0J5401028
2025-05-07,250.7,251.99,240.25,248.45,233091.0,NSE_EQ|INE0J5401028
2025-05-08,252.0,253.4,245.29,246.71,179101.0,NSE_EQ|INE0J5401028
2025-05-09,237.25,249.95,237.0,246.66,132426.0,NSE_EQ|INE0J5401028
2025-05-12,253.0,253.0,246.0,248.0,153962.0,NSE_EQ|INE0J5401028
2025-05-13,248.15,258.0,248.15,256.48,349717.0,NSE_EQ|INE0J5401028
2025-05-14,259.0,262.4,254.77,256.17,486665.0,NSE_EQ|INE0J5401028
2025-05-15,254.15,260.0,253.41,254.51,318512.0,NSE_EQ|INE0J5401028
2025-05-16,255.0,266.67,255.0,261.7,858581.0,NSE_EQ|INE0J5401028
2025-05-19,263.9,269.74,259.1,268.06,497827.0,NSE_EQ|INE0J5401028
2025-05-20,270.0,274.0,266.0,272.24,656008.0,NSE_EQ|INE0J5401028
2025-05-21,273.33,274.47,265.84,270.43,506747.0,NSE_EQ|INE0J5401028
2025-05-22,270.27,277.5,267.0,275.16,458541.0,NSE_EQ|INE0J5401028
2025-05-23,285.0,330.19,285.0,329.25,24292353.0,NSE_EQ|INE0J5401028
2025-05-26,325.0,327.48,307.69,315.69,6349355.0,NSE_EQ|INE0J5401028
2025-05-27,314.0,323.56,306.81,318.77,1548521.0,NSE_EQ|INE0J5401028
2025-05-28,318.7,318.7,306.0,309.7,490859.0,NSE_EQ|INE0J5401028
2025-05-29,312.05,324.1,308.98,323.07,626083.0,NSE_EQ|INE0J5401028
2025-05-30,318.0,320.87,310.39,316.45,442362.0,NSE_EQ|INE0J5401028
2025-06-02,311.0,317.0,310.45,315.0,249056.0,NSE_EQ|INE0J5401028
2025-06-03,316.75,316.9,308.3,312.9,308019.0,NSE_EQ|INE0J5401028
2025-06-04,313.0,329.5,313.0,318.5,918282.0,NSE_EQ|INE0J5401028
2025-06-05,326.0,329.5,312.1,315.5,979814.0,NSE_EQ|INE0J5401028
2025-06-06,315.95,320.75,312.45,320.0,425447.0,NSE_EQ|INE0J5401028
