date,open,high,low,close,volume,instrument_key
2025-03-18,190.1,191.18,186.6,188.62,6043840.0,NSE_EQ|INE031A01017
2025-03-19,189.5,201.66,188.0,201.08,11939748.0,NSE_EQ|INE031A01017
2025-03-20,202.68,203.7,196.6,199.03,8519547.0,NSE_EQ|INE031A01017
2025-03-21,198.81,204.75,197.85,202.8,7046857.0,NSE_EQ|INE031A01017
2025-03-24,203.5,212.4,202.72,209.11,8983826.0,NSE_EQ|INE031A01017
2025-03-25,210.24,211.1,201.27,204.03,10207000.0,NSE_EQ|INE031A01017
2025-03-26,203.69,205.5,196.01,196.72,7171267.0,NSE_EQ|INE031A01017
2025-03-27,196.45,203.69,196.0,200.18,13438621.0,NSE_EQ|INE031A01017
2025-03-28,201.28,204.99,198.8,199.45,8726435.0,NSE_EQ|INE031A01017
2025-04-01,198.0,207.75,195.45,206.41,11919727.0,NSE_EQ|INE031A01017
2025-04-02,206.4,206.67,201.1,205.83,4698443.0,NSE_EQ|INE031A01017
2025-04-03,202.25,210.75,202.25,209.93,7340693.0,NSE_EQ|INE031A01017
2025-04-04,209.0,209.93,200.61,203.47,5768084.0,NSE_EQ|INE031A01017
2025-04-07,184.0,196.84,184.0,194.89,6221712.0,NSE_EQ|INE031A01017
2025-04-08,200.69,207.8,198.38,207.01,11314642.0,NSE_EQ|INE031A01017
2025-04-09,207.01,213.64,201.5,212.85,15070362.0,NSE_EQ|INE031A01017
2025-04-11,216.4,217.7,213.3,215.81,8727273.0,NSE_EQ|INE031A01017
2025-04-15,219.64,222.3,217.35,219.14,6984595.0,NSE_EQ|INE031A01017
2025-04-16,219.99,225.64,218.12,224.16,9031481.0,NSE_EQ|INE031A01017
2025-04-17,224.3,231.88,223.75,228.84,9955818.0,NSE_EQ|INE031A01017
2025-04-21,230.2,235.35,229.32,234.45,7251685.0,NSE_EQ|INE031A01017
2025-04-22,235.0,243.46,229.51,233.11,14343568.0,NSE_EQ|INE031A01017
2025-04-23,235.0,238.3,224.35,231.45,12653711.0,NSE_EQ|INE031A01017
2025-04-24,231.2,234.5,229.0,230.01,5796226.0,NSE_EQ|INE031A01017
2025-04-25,230.44,231.7,219.0,220.24,7566520.0,NSE_EQ|INE031A01017
2025-04-28,219.0,227.77,219.0,226.38,5644189.0,NSE_EQ|INE031A01017
2025-04-29,227.0,230.7,226.5,227.22,3872551.0,NSE_EQ|INE031A01017
2025-04-30,227.0,227.55,221.24,223.46,3571609.0,NSE_EQ|INE031A01017
2025-05-02,223.0,227.4,221.65,221.97,3081614.0,NSE_EQ|INE031A01017
2025-05-05,223.2,229.45,222.41,228.79,3750393.0,NSE_EQ|INE031A01017
2025-05-06,229.8,230.2,217.1,217.95,4398629.0,NSE_EQ|INE031A01017
2025-05-07,213.2,223.45,208.0,214.21,19360060.0,NSE_EQ|INE031A01017
2025-05-08,216.9,221.67,208.86,211.43,10337242.0,NSE_EQ|INE031A01017
2025-05-09,205.99,209.84,204.52,208.47,5077744.0,NSE_EQ|INE031A01017
2025-05-12,217.01,225.45,215.1,224.47,6269098.0,NSE_EQ|INE031A01017
2025-05-13,224.6,225.9,218.95,220.47,5798144.0,NSE_EQ|INE031A01017
2025-05-14,221.0,222.68,216.0,217.52,7995131.0,NSE_EQ|INE031A01017
2025-05-15,218.65,223.56,218.0,221.72,5892045.0,NSE_EQ|INE031A01017
2025-05-16,223.0,234.59,221.74,233.86,17343569.0,NSE_EQ|INE031A01017
2025-05-19,236.2,239.75,232.0,234.77,13881408.0,NSE_EQ|INE031A01017
2025-05-20,236.0,236.5,225.4,226.04,8008635.0,NSE_EQ|INE031A01017
2025-05-21,226.6,230.34,224.17,229.34,4919083.0,NSE_EQ|INE031A01017
2025-05-22,229.5,230.0,224.5,227.56,3641896.0,NSE_EQ|INE031A01017
2025-05-23,228.1,230.34,224.2,227.78,4125231.0,NSE_EQ|INE031A01017
2025-05-26,228.0,240.8,228.0,238.26,23865027.0,NSE_EQ|INE031A01017
2025-05-27,239.0,240.94,236.4,240.15,13938040.0,NSE_EQ|INE031A01017
2025-05-28,241.2,243.56,236.64,237.24,8328926.0,NSE_EQ|INE031A01017
2025-05-29,238.53,240.67,236.9,239.71,6073002.0,NSE_EQ|INE031A01017
2025-05-30,239.95,246.2,235.48,241.24,15474327.0,NSE_EQ|INE031A01017
2025-06-02,241.24,248.8,239.21,247.66,14686293.0,NSE_EQ|INE031A01017
2025-06-03,249.7,253.73,246.1,247.07,15062598.0,NSE_EQ|INE031A01017
2025-06-04,248.0,249.75,243.5,247.54,5411377.0,NSE_EQ|INE031A01017
2025-06-05,248.5,248.5,241.25,241.94,12079835.0,NSE_EQ|INE031A01017
2025-06-06,242.65,248.2,239.06,246.33,14842267.0,NSE_EQ|INE031A01017
2025-06-09,247.68,251.51,246.65,247.34,8094801.0,NSE_EQ|INE031A01017
2025-06-10,248.58,249.0,242.85,243.6,4756333.0,NSE_EQ|INE031A01017
2025-06-11,244.96,245.2,236.75,238.97,6121794.0,NSE_EQ|INE031A01017
2025-06-12,239.46,240.1,229.34,230.35,5481325.0,NSE_EQ|INE031A01017
2025-06-13,224.3,229.95,221.5,228.24,5770678.0,NSE_EQ|INE031A01017
2025-06-16,226.2,230.5,220.75,229.8,5397336.0,NSE_EQ|INE031A01017
2025-06-17,229.8,231.7,224.0,224.7,3680545.0,NSE_EQ|INE031A01017
2025-06-18,224.7,227.2,223.0,223.61,2662216.0,NSE_EQ|INE031A01017
2025-06-19,223.61,224.93,216.3,217.66,3996335.0,NSE_EQ|INE031A01017
2025-06-20,218.75,227.99,218.63,227.15,6889921.0,NSE_EQ|INE031A01017
2025-06-23,225.0,232.92,224.2,232.04,11755735.0,NSE_EQ|INE031A01017
2025-06-24,234.35,236.0,231.05,233.5,4965525.0,NSE_EQ|INE031A01017
2025-06-25,233.5,240.45,233.05,239.61,8179316.0,NSE_EQ|INE031A01017
2025-06-26,239.61,241.25,237.42,240.43,5107027.0,NSE_EQ|INE031A01017
2025-06-27,240.85,242.9,235.38,236.04,5767027.0,NSE_EQ|INE031A01017
2025-06-30,236.85,241.25,236.5,237.56,3470933.0,NSE_EQ|INE031A01017
2025-07-01,241.0,242.56,235.8,240.4,6986225.0,NSE_EQ|INE031A01017
2025-07-02,240.4,240.79,232.72,233.97,4921302.0,NSE_EQ|INE031A01017
2025-07-03,234.0,234.6,230.5,231.01,2756057.0,NSE_EQ|INE031A01017
2025-07-04,231.01,233.99,229.55,231.42,2872546.0,NSE_EQ|INE031A01017
2025-07-07,230.5,231.0,226.8,227.33,3159878.0,NSE_EQ|INE031A01017
2025-07-08,227.72,229.5,224.01,229.17,3376984.0,NSE_EQ|INE031A01017
2025-07-09,229.5,232.05,228.6,229.96,3354508.0,NSE_EQ|INE031A01017
2025-07-10,229.96,231.87,228.6,231.36,3051612.0,NSE_EQ|INE031A01017
2025-07-11,229.6,233.49,229.33,230.71,4239830.0,NSE_EQ|INE031A01017
2025-07-14,232.0,234.75,230.5,231.43,4217747.0,NSE_EQ|INE031A01017
2025-07-15,232.5,235.88,231.62,233.35,4522122.0,NSE_EQ|INE031A01017
2025-07-16,233.35,233.75,231.25,232.57,1419262.0,NSE_EQ|INE031A01017
2025-07-17,232.0,233.47,228.85,229.24,3243384.0,NSE_EQ|INE031A01017
2025-07-18,229.8,230.76,225.65,226.15,2224963.0,NSE_EQ|INE031A01017
2025-07-21,226.14,228.8,223.7,227.61,2116704.0,NSE_EQ|INE031A01017
2025-07-22,227.8,229.45,224.95,225.46,1896003.0,NSE_EQ|INE031A01017
2025-07-23,226.5,226.5,222.3,225.22,3436651.0,NSE_EQ|INE031A01017
2025-07-24,225.22,226.34,222.31,225.06,2638858.0,NSE_EQ|INE031A01017
2025-07-25,223.8,224.4,217.8,218.64,2919838.0,NSE_EQ|INE031A01017
2025-07-28,217.95,221.9,213.3,214.39,2448221.0,NSE_EQ|INE031A01017
2025-07-29,213.98,217.3,212.36,216.36,2020388.0,NSE_EQ|INE031A01017
2025-07-30,217.2,218.6,214.66,217.43,3160010.0,NSE_EQ|INE031A01017
2025-07-31,214.5,215.7,211.0,212.27,2978420.0,NSE_EQ|INE031A01017
2025-08-01,211.42,214.68,209.35,210.43,4284803.0,NSE_EQ|INE031A01017
2025-08-04,210.5,219.9,210.1,218.9,4160592.0,NSE_EQ|INE031A01017
2025-08-05,218.0,219.59,215.91,218.74,2618272.0,NSE_EQ|INE031A01017
2025-08-06,218.75,219.02,211.29,211.82,2845652.0,NSE_EQ|INE031A01017
2025-08-07,214.0,215.9,205.7,210.66,10067801.0,NSE_EQ|INE031A01017
2025-08-08,211.0,211.93,206.8,207.63,4258867.0,NSE_EQ|INE031A01017
2025-08-11,208.09,211.8,207.3,210.33,2769931.0,NSE_EQ|INE031A01017
2025-08-12,210.33,212.4,209.05,210.67,2900680.0,NSE_EQ|INE031A01017
2025-08-13,211.6,214.25,209.8,210.29,2130633.0,NSE_EQ|INE031A01017
2025-08-14,210.0,210.63,206.7,209.0,2573029.0,NSE_EQ|INE031A01017
2025-08-18,211.9,213.0,209.2,210.94,1909830.0,NSE_EQ|INE031A01017
2025-08-19,211.4,216.15,210.0,214.23,3137737.0,NSE_EQ|INE031A01017
2025-08-20,213.5,215.45,212.69,214.39,1880265.0,NSE_EQ|INE031A01017
2025-08-21,214.8,215.47,212.15,212.85,2038006.0,NSE_EQ|INE031A01017
2025-08-22,213.39,216.43,211.0,211.84,3788150.0,NSE_EQ|INE031A01017
2025-08-25,212.75,213.82,210.8,213.11,2278471.0,NSE_EQ|INE031A01017
2025-08-26,212.75,212.75,207.2,207.88,1976568.0,NSE_EQ|INE031A01017
2025-08-28,207.8,208.99,204.1,204.86,2668169.0,NSE_EQ|INE031A01017
2025-08-29,206.0,206.5,202.56,204.49,3592018.0,NSE_EQ|INE031A01017
2025-09-01,205.0,211.7,204.45,211.35,2359741.0,NSE_EQ|INE031A01017
2025-09-02,211.35,219.3,210.55,216.31,4475208.0,NSE_EQ|INE031A01017
2025-09-03,216.39,218.54,215.76,216.44,1676598.0,NSE_EQ|INE031A01017
2025-09-04,218.0,218.45,213.6,214.2,1388424.0,NSE_EQ|INE031A01017
2025-09-05,215.9,217.88,213.26,215.39,1749321.0,NSE_EQ|INE031A01017
2025-09-08,216.3,218.3,214.79,217.07,2327782.0,NSE_EQ|INE031A01017
2025-09-09,220.0,220.84,215.0,215.85,4562982.0,NSE_EQ|INE031A01017
2025-09-10,217.0,218.65,215.72,216.38,2451144.0,NSE_EQ|INE031A01017
2025-09-11,216.8,219.19,216.0,216.47,1992458.0,NSE_EQ|INE031A01017
2025-09-12,216.59,218.4,215.31,216.48,1594741.0,NSE_EQ|INE031A01017
2025-09-15,217.08,225.49,216.63,223.06,8759008.0,NSE_EQ|INE031A01017
2025-09-16,223.99,224.84,222.25,224.17,2701642.0,NSE_EQ|INE031A01017
2025-09-17,225.6,227.38,223.14,224.76,4878113.0,NSE_EQ|INE031A01017
2025-09-18,225.01,226.98,222.0,223.03,2098793.0,NSE_EQ|INE031A01017
2025-09-19,223.1,229.33,222.6,229.04,7607031.0,NSE_EQ|INE031A01017
2025-09-22,230.0,240.35,228.1,239.96,18637185.0,NSE_EQ|INE031A01017
2025-09-23,240.0,240.6,235.0,235.23,4416382.0,NSE_EQ|INE031A01017
2025-09-24,235.0,237.7,231.91,232.54,2982315.0,NSE_EQ|INE031A01017
2025-09-25,232.3,235.5,227.8,228.45,2543528.0,NSE_EQ|INE031A01017
2025-09-26,227.8,228.26,219.61,220.05,2317537.0,NSE_EQ|INE031A01017
2025-09-29,221.0,223.38,219.15,220.37,2199725.0,NSE_EQ|INE031A01017
2025-09-30,221.04,224.69,219.8,223.63,2078810.0,NSE_EQ|INE031A01017
2025-10-01,225.0,235.24,225.0,232.47,17224500.0,NSE_EQ|INE031A01017
2025-10-03,232.4,237.45,230.46,233.79,5360460.0,NSE_EQ|INE031A01017
2025-10-06,233.8,234.6,230.09,230.91,2277509.0,NSE_EQ|INE031A01017
2025-10-07,231.3,233.33,228.37,231.43,3872670.0,NSE_EQ|INE031A01017
