date,open,high,low,close,volume,instrument_key
2025-03-18,1600.45,1607.25,1551.3,1580.15,2189270.0,NSE_EQ|INE0V6F01027
2025-03-19,1585.0,1626.4,1585.0,1615.3,860058.0,NSE_EQ|INE0V6F01027
2025-03-20,1648.0,1653.95,1605.15,1630.55,1180718.0,NSE_EQ|INE0V6F01027
2025-03-21,1630.55,1708.4,1625.9,1697.6,1894623.0,NSE_EQ|INE0V6F01027
2025-03-24,1701.6,1765.7,1700.0,1759.0,1076346.0,NSE_EQ|INE0V6F01027
2025-03-25,1770.25,1771.0,1708.0,1740.55,531717.0,NSE_EQ|INE0V6F01027
2025-03-26,1748.0,1761.0,1686.7,1708.7,1019723.0,NSE_EQ|INE0V6F01027
2025-03-27,1691.0,1819.0,1680.05,1758.15,3241595.0,NSE_EQ|INE0V6F01027
2025-03-28,1735.0,1749.9,1701.0,1707.65,693170.0,NSE_EQ|INE0V6F01027
2025-04-01,1706.8,1733.55,1700.05,1703.25,527047.0,NSE_EQ|INE0V6F01027
2025-04-02,1720.0,1722.35,1666.15,1680.4,649728.0,NSE_EQ|INE0V6F01027
2025-04-03,1664.55,1669.8,1639.05,1652.4,893654.0,NSE_EQ|INE0V6F01027
2025-04-04,1658.95,1670.95,1625.0,1639.0,699970.0,NSE_EQ|INE0V6F01027
2025-04-07,1567.55,1590.0,1541.7,1583.2,1366060.0,NSE_EQ|INE0V6F01027
2025-04-08,1592.0,1605.7,1581.1,1592.15,374427.0,NSE_EQ|INE0V6F01027
2025-04-09,1592.15,1605.75,1582.55,1592.55,269169.0,NSE_EQ|INE0V6F01027
2025-04-11,1625.0,1639.9,1600.5,1629.8,997584.0,NSE_EQ|INE0V6F01027
2025-04-15,1641.3,1659.0,1640.0,1653.9,1173977.0,NSE_EQ|INE0V6F01027
2025-04-16,1653.9,1659.9,1631.3,1636.3,877329.0,NSE_EQ|INE0V6F01027
2025-04-17,1639.5,1699.9,1639.5,1661.7,1440046.0,NSE_EQ|INE0V6F01027
2025-04-21,1650.0,1698.5,1647.1,1690.2,292970.0,NSE_EQ|INE0V6F01027
2025-04-22,1695.0,1709.0,1684.0,1703.7,463480.0,NSE_EQ|INE0V6F01027
2025-04-23,1707.7,1726.4,1682.0,1721.4,2346661.0,NSE_EQ|INE0V6F01027
2025-04-24,1722.0,1730.3,1713.0,1719.1,481511.0,NSE_EQ|INE0V6F01027
2025-04-25,1719.0,1723.0,1655.9,1667.7,1690538.0,NSE_EQ|INE0V6F01027
2025-04-28,1651.0,1667.7,1635.8,1661.3,397009.0,NSE_EQ|INE0V6F01027
2025-04-29,1662.0,1690.0,1662.0,1676.6,597827.0,NSE_EQ|INE0V6F01027
2025-04-30,1683.4,1715.4,1681.7,1707.6,1236921.0,NSE_EQ|INE0V6F01027
2025-05-02,1703.5,1725.0,1690.0,1719.2,983753.0,NSE_EQ|INE0V6F01027
2025-05-05,1719.0,1733.4,1710.1,1728.2,509733.0,NSE_EQ|INE0V6F01027
2025-05-06,1728.0,1755.0,1711.4,1740.7,518493.0,NSE_EQ|INE0V6F01027
2025-05-07,1700.0,1780.0,1700.0,1775.5,578328.0,NSE_EQ|INE0V6F01027
2025-05-08,1762.0,1784.4,1720.5,1733.1,321599.0,NSE_EQ|INE0V6F01027
2025-05-09,1697.5,1742.0,1690.0,1734.1,560109.0,NSE_EQ|INE0V6F01027
2025-05-12,1750.4,1770.2,1742.3,1755.9,410715.0,NSE_EQ|INE0V6F01027
2025-05-13,1770.0,1779.6,1751.1,1768.5,532232.0,NSE_EQ|INE0V6F01027
2025-05-14,1772.0,1808.5,1771.1,1799.9,677698.0,NSE_EQ|INE0V6F01027
2025-05-15,1799.1,1839.0,1792.0,1836.0,637712.0,NSE_EQ|INE0V6F01027
2025-05-16,1839.9,1874.0,1806.7,1855.6,971924.0,NSE_EQ|INE0V6F01027
2025-05-19,1865.0,1908.0,1830.0,1894.5,1240164.0,NSE_EQ|INE0V6F01027
2025-05-20,1885.0,1902.7,1868.2,1883.3,556842.0,NSE_EQ|INE0V6F01027
2025-05-21,1872.7,1916.9,1869.6,1910.0,613356.0,NSE_EQ|INE0V6F01027
2025-05-22,1890.0,1906.1,1847.0,1854.3,985749.0,NSE_EQ|INE0V6F01027
2025-05-23,1860.0,1888.8,1851.1,1882.1,685769.0,NSE_EQ|INE0V6F01027
2025-05-26,1891.0,1912.5,1881.9,1889.3,888713.0,NSE_EQ|INE0V6F01027
2025-05-27,1887.0,1891.2,1853.4,1883.2,740200.0,NSE_EQ|INE0V6F01027
2025-05-28,1883.2,1902.0,1873.4,1883.0,553816.0,NSE_EQ|INE0V6F01027
2025-05-29,1887.7,1899.9,1858.9,1870.3,836458.0,NSE_EQ|INE0V6F01027
2025-05-30,1880.0,1888.1,1803.7,1847.2,2406721.0,NSE_EQ|INE0V6F01027
2025-06-02,1847.2,1868.6,1832.7,1852.7,852214.0,NSE_EQ|INE0V6F01027
2025-06-03,1859.8,1859.8,1820.0,1822.3,1203045.0,NSE_EQ|INE0V6F01027
2025-06-04,1827.6,1846.6,1815.2,1829.4,1037176.0,NSE_EQ|INE0V6F01027
2025-06-05,1828.0,1841.9,1807.1,1835.2,1578859.0,NSE_EQ|INE0V6F01027
2025-06-06,1835.1,1866.6,1812.9,1861.1,614731.0,NSE_EQ|INE0V6F01027
2025-06-09,1900.0,1984.8,1898.4,1952.2,2612912.0,NSE_EQ|INE0V6F01027
