date,close,instrument_key
2025-03-18,7.1,NSE_EQ|INE669E01016
2025-03-19,7.44,NSE_EQ|INE669E01016
2025-03-20,7.26,NSE_EQ|INE669E01016
2025-03-21,7.62,NSE_EQ|INE669E01016
2025-03-24,7.34,NSE_EQ|INE669E01016
2025-03-25,7.15,NSE_EQ|INE669E01016
2025-03-26,7.04,NSE_EQ|INE669E01016
2025-03-27,6.92,NSE_EQ|INE669E01016
2025-03-28,6.8,NSE_EQ|INE669E01016
2025-04-01,8.1,NSE_EQ|INE669E01016
2025-04-02,8.22,NSE_EQ|INE669E01016
2025-04-03,8.19,NSE_EQ|INE669E01016
2025-04-04,7.91,NSE_EQ|INE669E01016
2025-04-07,7.36,NSE_EQ|INE669E01016
2025-04-08,7.17,NSE_EQ|INE669E01016
2025-04-09,7.09,NSE_EQ|INE669E01016
2025-04-11,7.17,NSE_EQ|INE669E01016
2025-04-15,7.32,NSE_EQ|INE669E01016
2025-04-16,7.27,NSE_EQ|INE669E01016
2025-04-17,7.31,NSE_EQ|INE669E01016
2025-04-21,8.07,NSE_EQ|INE669E01016
2025-04-22,7.97,NSE_EQ|INE669E01016
2025-04-23,8.01,NSE_EQ|INE669E01016
2025-04-24,7.93,NSE_EQ|INE669E01016
2025-04-25,7.47,NSE_EQ|INE669E01016
2025-04-28,7.45,NSE_EQ|INE669E01016
2025-04-29,7.24,NSE_EQ|INE669E01016
2025-04-30,7.12,NSE_EQ|INE669E01016
2025-05-02,7.05,NSE_EQ|INE669E01016
2025-05-05,7.15,NSE_EQ|INE669E01016
2025-05-06,6.88,NSE_EQ|INE669E01016
2025-05-07,6.92,NSE_EQ|INE669E01016
2025-05-08,6.69,NSE_EQ|INE669E01016
2025-05-09,6.7,NSE_EQ|INE669E01016
2025-05-12,7.07,NSE_EQ|INE669E01016
2025-05-13,6.94,NSE_EQ|INE669E01016
2025-05-14,6.98,NSE_EQ|INE669E01016
2025-05-15,7.23,NSE_EQ|INE669E01016
2025-05-16,7.37,NSE_EQ|INE669E01016
2025-05-19,6.72,NSE_EQ|INE669E01016
2025-05-20,6.55,NSE_EQ|INE669E01016
2025-05-21,6.76,NSE_EQ|INE669E01016
2025-05-22,6.75,NSE_EQ|INE669E01016
2025-05-23,6.76,NSE_EQ|INE669E01016
2025-05-26,6.93,NSE_EQ|INE669E01016
2025-05-27,6.96,NSE_EQ|INE669E01016
2025-05-28,7.12,NSE_EQ|INE669E01016
2025-05-29,7.14,NSE_EQ|INE669E01016
2025-05-30,6.92,NSE_EQ|INE669E01016
2025-06-02,7.03,NSE_EQ|INE669E01016
2025-06-03,6.77,NSE_EQ|INE669E01016
2025-06-04,6.91,NSE_EQ|INE669E01016
2025-06-05,6.82,NSE_EQ|INE669E01016
2025-06-06,6.92,NSE_EQ|INE669E01016
2025-06-09,7.05,NSE_EQ|INE669E01016
2025-06-10,6.97,NSE_EQ|INE669E01016
2025-06-11,6.94,NSE_EQ|INE669E01016
2025-06-12,6.78,NSE_EQ|INE669E01016
2025-06-13,6.67,NSE_EQ|INE669E01016
2025-06-16,6.69,NSE_EQ|INE669E01016
2025-06-17,6.6,NSE_EQ|INE669E01016
2025-06-18,6.56,NSE_EQ|INE669E01016
2025-06-19,6.33,NSE_EQ|INE669E01016
2025-06-20,6.56,NSE_EQ|INE669E01016
2025-06-23,6.55,NSE_EQ|INE669E01016
2025-06-24,6.86,NSE_EQ|INE669E01016
2025-06-25,7.13,NSE_EQ|INE669E01016
2025-06-26,7.24,NSE_EQ|INE669E01016
2025-06-27,7.38,NSE_EQ|INE669E01016
2025-06-30,7.43,NSE_EQ|INE669E01016
2025-07-01,7.45,NSE_EQ|INE669E01016
2025-07-02,7.52,NSE_EQ|INE669E01016
2025-07-03,7.49,NSE_EQ|INE669E01016
2025-07-04,7.36,NSE_EQ|INE669E01016
2025-07-07,7.29,NSE_EQ|INE669E01016
2025-07-08,7.29,NSE_EQ|INE669E01016
2025-07-09,7.26,NSE_EQ|INE669E01016
2025-07-10,7.33,NSE_EQ|INE669E01016
2025-07-11,7.17,NSE_EQ|INE669E01016
2025-07-14,7.71,NSE_EQ|INE669E01016
2025-07-15,7.66,NSE_EQ|INE669E01016
2025-07-16,7.83,NSE_EQ|INE669E01016
2025-07-17,7.76,NSE_EQ|INE669E01016
2025-07-18,7.72,NSE_EQ|INE669E01016
2025-07-21,7.63,NSE_EQ|INE669E01016
2025-07-22,7.37,NSE_EQ|INE669E01016
2025-07-23,7.48,NSE_EQ|INE669E01016
2025-07-24,7.37,NSE_EQ|INE669E01016
2025-07-25,7.2,NSE_EQ|INE669E01016
2025-07-28,7.13,NSE_EQ|INE669E01016
2025-07-29,7.19,NSE_EQ|INE669E01016
2025-07-30,7.0,NSE_EQ|INE669E01016
2025-07-31,6.91,NSE_EQ|INE669E01016
2025-08-01,6.6,NSE_EQ|INE669E01016
2025-08-04,6.84,NSE_EQ|INE669E01016
2025-08-05,6.91,NSE_EQ|INE669E01016
2025-08-06,6.79,NSE_EQ|INE669E01016
2025-08-07,6.72,NSE_EQ|INE669E01016
2025-08-08,6.51,NSE_EQ|INE669E01016
2025-08-11,6.6,NSE_EQ|INE669E01016
2025-08-12,6.47,NSE_EQ|INE669E01016
2025-08-13,6.36,NSE_EQ|INE669E01016
2025-08-14,6.15,NSE_EQ|INE669E01016
2025-08-18,6.46,NSE_EQ|INE669E01016
2025-08-19,6.58,NSE_EQ|INE669E01016
2025-08-20,6.79,NSE_EQ|INE669E01016
2025-08-21,6.55,NSE_EQ|INE669E01016
2025-08-22,7.07,NSE_EQ|INE669E01016
2025-08-25,7.4,NSE_EQ|INE669E01016
2025-08-26,6.71,NSE_EQ|INE669E01016
2025-08-28,6.57,NSE_EQ|INE669E01016
2025-08-29,6.49,NSE_EQ|INE669E01016
2025-09-01,6.54,NSE_EQ|INE669E01016
2025-09-02,6.51,NSE_EQ|INE669E01016
2025-09-03,6.57,NSE_EQ|INE669E01016
2025-09-04,6.61,NSE_EQ|INE669E01016
2025-09-05,7.23,NSE_EQ|INE669E01016
2025-09-08,7.29,NSE_EQ|INE669E01016
2025-09-09,7.27,NSE_EQ|INE669E01016
2025-09-10,7.32,NSE_EQ|INE669E01016
2025-09-11,7.41,NSE_EQ|INE669E01016
2025-09-12,7.66,NSE_EQ|INE669E01016
2025-09-15,8.14,NSE_EQ|INE669E01016
2025-09-16,7.94,NSE_EQ|INE669E01016
2025-09-17,7.77,NSE_EQ|INE669E01016
2025-09-18,7.84,NSE_EQ|INE669E01016
2025-09-19,8.4,NSE_EQ|INE669E01016
2025-09-22,8.39,NSE_EQ|INE669E01016
2025-09-23,8.72,NSE_EQ|INE669E01016
2025-09-24,8.59,NSE_EQ|INE669E01016
2025-09-25,8.68,NSE_EQ|INE669E01016
2025-09-26,8.02,NSE_EQ|INE669E01016
2025-09-29,8.24,NSE_EQ|INE669E01016
2025-09-30,8.13,NSE_EQ|INE669E01016
2025-10-01,8.52,NSE_EQ|INE669E01016
2025-10-03,8.82,NSE_EQ|INE669E01016
2025-10-06,8.47,NSE_EQ|INE669E01016
2025-10-07,9.18,NSE_EQ|INE669E01016
2025-10-08,9.04,NSE_EQ|INE669E01016
2025-10-09,9.03,NSE_EQ|INE669E01016
2025-10-10,9.04,NSE_EQ|INE669E01016
2025-10-13,8.73,NSE_EQ|INE669E01016
2025-10-14,8.36,NSE_EQ|INE669E01016
2025-10-15,8.75,NSE_EQ|INE669E01016
2025-10-16,8.85,NSE_EQ|INE669E01016
2025-10-17,8.7,NSE_EQ|INE669E01016
2025-10-20,8.94,NSE_EQ|INE669E01016
2025-10-21,9.0,NSE_EQ|INE669E01016
2025-10-23,9.52,NSE_EQ|INE669E01016
2025-10-24,9.62,NSE_EQ|INE669E01016
2025-10-27,9.97,NSE_EQ|INE669E01016
2025-10-28,9.44,NSE_EQ|INE669E01016
2025-10-29,9.36,NSE_EQ|INE669E01016
2025-10-30,8.73,NSE_EQ|INE669E01016
2025-10-31,8.73,NSE_EQ|INE669E01016
2025-11-03,9.54,NSE_EQ|INE669E01016
2025-11-04,9.41,NSE_EQ|INE669E01016
2025-11-06,9.27,NSE_EQ|INE669E01016
2025-11-07,9.61,NSE_EQ|INE669E01016
2025-11-10,9.5,NSE_EQ|INE669E01016
2025-11-11,10.24,NSE_EQ|INE669E01016
2025-11-12,10.37,NSE_EQ|INE669E01016
2025-11-13,10.47,NSE_EQ|INE669E01016
2025-11-14,10.94,NSE_EQ|INE669E01016
2025-11-17,10.93,NSE_EQ|INE669E01016
2025-11-18,10.74,NSE_EQ|INE669E01016
2025-11-19,10.69,NSE_EQ|INE669E01016
2025-11-20,10.17,NSE_EQ|INE669E01016
2025-11-21,9.97,NSE_EQ|INE669E01016
2025-11-24,9.98,NSE_EQ|INE669E01016
2025-11-25,10.05,NSE_EQ|INE669E01016
2025-11-26,10.08,NSE_EQ|INE669E01016
2025-11-27,10.11,NSE_EQ|INE669E01016
2025-11-28,9.96,NSE_EQ|INE669E01016
2025-12-01,9.93,NSE_EQ|INE669E01016
2025-12-02,10.13,NSE_EQ|INE669E01016
2025-12-03,10.55,NSE_EQ|INE669E01016
2025-12-04,10.68,NSE_EQ|INE669E01016
2025-12-05,10.8,NSE_EQ|INE669E01016
2025-12-08,10.29,NSE_EQ|INE669E01016
2025-12-09,10.74,NSE_EQ|INE669E01016
2025-12-10,10.72,NSE_EQ|INE669E01016
2025-12-11,11.25,NSE_EQ|INE669E01016
2025-12-12,11.64,NSE_EQ|INE669E01016
2025-12-15,11.35,NSE_EQ|INE669E01016
2025-12-16,11.25,NSE_EQ|INE669E01016
2025-12-17,11.13,NSE_EQ|INE669E01016
2025-12-18,11.3,NSE_EQ|INE669E01016
2025-12-19,11.96,NSE_EQ|INE669E01016
2025-12-22,11.85,NSE_EQ|INE669E01016
2025-12-23,12.01,NSE_EQ|INE669E01016
2025-12-24,12.02,NSE_EQ|INE669E01016
2025-12-26,11.94,NSE_EQ|INE669E01016
2025-12-29,11.96,NSE_EQ|INE669E01016
2025-12-30,12.06,NSE_EQ|INE669E01016
2025-12-31,10.76,NSE_EQ|INE669E01016
2026-01-01,11.6,NSE_EQ|INE669E01016
2026-01-02,11.78,NSE_EQ|INE669E01016
2026-01-05,11.43,NSE_EQ|INE669E01016
2026-01-06,11.59,NSE_EQ|INE669E01016
2026-01-07,11.46,NSE_EQ|INE669E01016
2026-01-08,11.5,NSE_EQ|INE669E01016
2026-01-09,11.26,NSE_EQ|INE669E01016
2026-01-12,11.25,NSE_EQ|INE669E01016
2026-01-13,10.8,NSE_EQ|INE669E01016
2026-01-14,11.08,NSE_EQ|INE669E01016
2026-01-16,10.82,NSE_EQ|INE669E01016
2026-01-19,10.59,NSE_EQ|INE669E01016
2026-01-20,10.13,NSE_EQ|INE669E01016
2026-01-21,10.12,NSE_EQ|INE669E01016
2026-01-22,10.18,NSE_EQ|INE669E01016
2026-01-23,9.93,NSE_EQ|INE669E01016
2026-01-27,9.83,NSE_EQ|INE669E01016
2026-01-28,9.95,NSE_EQ|INE669E01016
2026-01-29,10.05,NSE_EQ|INE669E01016
2026-01-30,11.17,NSE_EQ|INE669E01016
2026-02-01,10.87,NSE_EQ|INE669E01016
2026-02-02,10.81,NSE_EQ|INE669E01016
2026-02-03,11.41,NSE_EQ|INE669E01016
2026-02-04,11.35,NSE_EQ|INE669E01016
2026-02-05,11.24,NSE_EQ|INE669E01016
2026-02-06,11.12,NSE_EQ|INE669E01016
2026-02-09,11.58,NSE_EQ|INE669E01016
2026-02-10,11.48,NSE_EQ|INE669E01016
2026-02-11,11.85,NSE_EQ|INE669E01016
2026-02-12,11.55,NSE_EQ|INE669E01016
2026-02-13,11.3,NSE_EQ|INE669E01016
2026-02-16,11.43,NSE_EQ|INE669E01016
2026-02-17,11.38,NSE_EQ|INE669E01016
2026-02-18,11.56,NSE_EQ|INE669E01016
2026-02-19,11.26,NSE_EQ|INE669E01016
2026-02-20,11.16,NSE_EQ|INE669E01016
2026-02-23,10.98,NSE_EQ|INE669E01016
2026-02-24,10.91,NSE_EQ|INE669E01016
2026-02-25,10.73,NSE_EQ|INE669E01016
2026-02-26,10.85,NSE_EQ|INE669E01016
2026-02-27,10.59,NSE_EQ|INE669E01016
2026-03-02,10.29,NSE_EQ|INE669E01016
2026-03-04,9.99,NSE_EQ|INE669E01016
2026-03-05,10.22,NSE_EQ|INE669E01016
2026-03-06,10.06,NSE_EQ|INE669E01016
2026-03-09,9.91,NSE_EQ|INE669E01016
2026-03-10,10.01,NSE_EQ|INE669E01016
2026-03-11,9.71,NSE_EQ|INE669E01016
2026-03-12,9.56,NSE_EQ|INE669E01016
2026-03-13,9.27,NSE_EQ|INE669E01016
2026-03-16,9.39,NSE_EQ|INE669E01016
2026-03-17,9.25,NSE_EQ|INE669E01016
2026-03-18,9.44,NSE_EQ|INE669E01016
2026-03-19,8.94,NSE_EQ|INE669E01016
2026-03-20,9.34,NSE_EQ|INE669E01016
2026-03-23,8.7,NSE_EQ|INE669E01016
2026-03-24,8.88,NSE_EQ|INE669E01016
2026-03-25,9.04,NSE_EQ|INE669E01016
2026-03-27,8.89,NSE_EQ|INE669E01016
2026-03-30,8.53,NSE_EQ|INE669E01016
2026-04-01,8.64,NSE_EQ|INE669E01016
2026-04-02,8.58,NSE_EQ|INE669E01016
2026-04-06,8.76,NSE_EQ|INE669E01016
2026-04-07,8.63,NSE_EQ|INE669E01016
2026-04-08,9.2,NSE_EQ|INE669E01016
2026-04-09,9.12,NSE_EQ|INE669E01016
2026-04-10,9.25,NSE_EQ|INE669E01016
2026-04-13,9.25,NSE_EQ|INE669E01016
2026-04-15,9.44,NSE_EQ|INE669E01016
2026-04-16,9.53,NSE_EQ|INE669E01016
2026-04-17,9.61,NSE_EQ|INE669E01016
2026-04-20,9.47,NSE_EQ|INE669E01016
2026-04-21,9.55,NSE_EQ|INE669E01016
2026-04-22,9.54,NSE_EQ|INE669E01016
2026-04-23,9.58,NSE_EQ|INE669E01016
2026-04-24,9.52,NSE_EQ|INE669E01016
2026-04-27,9.69,NSE_EQ|INE669E01016
2026-04-28,9.95,NSE_EQ|INE669E01016
2026-04-29,10.29,NSE_EQ|INE669E01016
2026-04-30,10.22,NSE_EQ|INE669E01016
2026-05-04,10.52,NSE_EQ|INE669E01016
2026-05-05,10.8,NSE_EQ|INE669E01016
2026-05-06,11.3,NSE_EQ|INE669E01016
2026-05-07,11.23,NSE_EQ|INE669E01016
2026-05-08,11.24,NSE_EQ|INE669E01016
2026-05-11,12.18,NSE_EQ|INE669E01016
2026-05-12,11.89,NSE_EQ|INE669E01016
2026-05-13,12.83,NSE_EQ|INE669E01016
2026-05-14,12.97,NSE_EQ|INE669E01016
2026-05-15,12.95,NSE_EQ|INE669E01016
2026-05-18,12.86,NSE_EQ|INE669E01016
2026-05-19,13.52,NSE_EQ|INE669E01016
2026-05-20,13.58,NSE_EQ|INE669E01016
2026-05-21,13.62,NSE_EQ|INE669E01016
2026-05-22,13.73,NSE_EQ|INE669E01016
2026-05-25,14.04,NSE_EQ|INE669E01016
2026-05-26,14.14,NSE_EQ|INE669E01016
2026-05-27,14.18,NSE_EQ|INE669E01016
2026-05-29,13.99,NSE_EQ|INE669E01016
2026-06-01,13.95,NSE_EQ|INE669E01016
2026-06-02,14.16,NSE_EQ|INE669E01016
2026-06-03,14.85,NSE_EQ|INE669E01016
2026-06-04,14.93,NSE_EQ|INE669E01016
