date,open,high,low,close,volume,instrument_key
2025-03-18,40.25,41.7,40.25,41.56,6587946.0,NSE_EQ|INE039A01010
2025-03-19,42.0,44.16,42.0,43.85,9098293.0,NSE_EQ|INE039A01010
2025-03-20,44.3,44.9,43.08,43.42,7181472.0,NSE_EQ|INE039A01010
2025-03-21,43.42,46.24,43.28,45.3,11714861.0,NSE_EQ|INE039A01010
2025-03-24,45.9,46.79,45.47,45.96,8192582.0,NSE_EQ|INE039A01010
2025-03-25,46.5,46.78,44.0,44.16,8388353.0,NSE_EQ|INE039A01010
2025-03-26,44.16,44.59,42.75,42.94,6765540.0,NSE_EQ|INE039A01010
2025-03-27,42.55,44.5,42.3,44.23,12374295.0,NSE_EQ|INE039A01010
2025-03-28,44.8,45.34,43.0,43.07,7729819.0,NSE_EQ|INE039A01010
2025-04-01,42.9,44.97,42.62,44.22,7124916.0,NSE_EQ|INE039A01010
2025-04-02,44.22,44.74,42.9,44.43,5295364.0,NSE_EQ|INE039A01010
2025-04-03,43.25,45.47,43.25,45.19,6546356.0,NSE_EQ|INE039A01010
2025-04-04,44.98,45.13,42.5,43.11,7523709.0,NSE_EQ|INE039A01010
2025-04-07,36.2,40.8,36.2,40.42,9023157.0,NSE_EQ|INE039A01010
2025-04-08,42.33,43.79,40.64,41.37,7627583.0,NSE_EQ|INE039A01010
2025-04-09,41.34,41.34,39.5,39.85,6188197.0,NSE_EQ|INE039A01010
2025-04-11,41.45,41.45,40.11,40.55,4378482.0,NSE_EQ|INE039A01010
2025-04-15,41.36,43.09,41.05,42.81,5949912.0,NSE_EQ|INE039A01010
2025-04-16,42.9,44.15,42.76,43.62,6164184.0,NSE_EQ|INE039A01010
2025-04-17,43.54,44.9,43.33,43.77,6615613.0,NSE_EQ|INE039A01010
2025-04-21,43.77,45.75,43.4,45.48,9370304.0,NSE_EQ|INE039A01010
2025-04-22,45.7,46.22,44.93,45.53,6401365.0,NSE_EQ|INE039A01010
2025-04-23,45.85,46.28,44.58,46.0,7121817.0,NSE_EQ|INE039A01010
2025-04-24,46.07,47.61,45.59,45.77,8398976.0,NSE_EQ|INE039A01010
2025-04-25,46.0,46.22,43.15,43.63,7144450.0,NSE_EQ|INE039A01010
2025-04-28,43.45,44.35,42.81,43.98,4349588.0,NSE_EQ|INE039A01010
2025-04-29,44.48,44.99,43.56,43.8,3695851.0,NSE_EQ|INE039A01010
2025-04-30,43.7,43.9,42.0,42.27,3778913.0,NSE_EQ|INE039A01010
2025-05-02,42.2,43.09,41.85,42.08,4706158.0,NSE_EQ|INE039A01010
2025-05-05,42.16,42.97,41.95,42.77,3380550.0,NSE_EQ|INE039A01010
2025-05-06,42.78,43.1,40.2,40.58,4641161.0,NSE_EQ|INE039A01010
2025-05-07,39.65,40.9,39.63,40.71,5623148.0,NSE_EQ|INE039A01010
2025-05-08,40.71,41.73,39.53,39.88,4976386.0,NSE_EQ|INE039A01010
2025-05-09,39.4,39.6,38.15,39.24,7660011.0,NSE_EQ|INE039A01010
2025-05-12,42.0,44.34,41.41,43.3,20646862.0,NSE_EQ|INE039A01010
2025-05-13,43.0,43.84,42.52,43.41,6998058.0,NSE_EQ|INE039A01010
2025-05-14,44.0,45.1,43.26,44.29,8503651.0,NSE_EQ|INE039A01010
2025-05-15,44.77,45.25,44.11,44.75,6540807.0,NSE_EQ|INE039A01010
2025-05-16,44.75,52.78,44.75,51.77,83779268.0,NSE_EQ|INE039A01010
2025-05-19,52.25,54.17,51.4,52.02,28553054.0,NSE_EQ|INE039A01010
2025-05-20,52.4,52.4,49.32,49.58,9792287.0,NSE_EQ|INE039A01010
2025-05-21,49.52,50.79,48.65,50.42,8786538.0,NSE_EQ|INE039A01010
2025-05-22,50.16,50.5,49.33,49.92,6363922.0,NSE_EQ|INE039A01010
2025-05-23,50.0,56.3,49.26,55.26,114020115.0,NSE_EQ|INE039A01010
2025-05-26,55.7,59.71,54.45,58.45,108375588.0,NSE_EQ|INE039A01010
2025-05-27,58.66,61.45,57.87,61.06,71972971.0,NSE_EQ|INE039A01010
2025-05-28,61.38,72.0,60.34,70.31,284352908.0,NSE_EQ|INE039A01010
2025-05-29,71.4,74.5,70.46,71.76,150616113.0,NSE_EQ|INE039A01010
2025-05-30,72.0,72.16,66.6,67.42,57567109.0,NSE_EQ|INE039A01010
2025-06-02,67.65,69.69,66.12,67.78,50135476.0,NSE_EQ|INE039A01010
2025-06-03,68.01,68.06,65.32,65.81,21767984.0,NSE_EQ|INE039A01010
2025-06-04,65.82,68.34,64.75,67.49,31447354.0,NSE_EQ|INE039A01010
2025-06-05,67.69,69.24,66.5,67.75,22984748.0,NSE_EQ|INE039A01010
2025-06-06,67.93,68.0,65.61,66.03,12632459.0,NSE_EQ|INE039A01010
2025-06-09,67.0,68.6,66.54,67.22,19129484.0,NSE_EQ|INE039A01010
2025-06-10,67.61,69.3,66.25,66.63,23411113.0,NSE_EQ|INE039A01010
2025-06-11,66.99,67.1,64.0,64.59,17511851.0,NSE_EQ|INE039A01010
2025-06-12,64.85,64.89,62.05,62.33,11994543.0,NSE_EQ|INE039A01010
2025-06-13,60.68,62.7,60.12,61.57,12707677.0,NSE_EQ|INE039A01010
2025-06-16,61.53,63.15,58.7,62.37,15012818.0,NSE_EQ|INE039A01010
2025-06-17,62.77,62.77,60.22,60.65,8699654.0,NSE_EQ|INE039A01010
