date,close,instrument_key
2025-03-18,681.45,NSE_EQ|INE095A01012
2025-03-19,692.7,NSE_EQ|INE095A01012
2025-03-20,684.1,NSE_EQ|INE095A01012
2025-03-21,686.9,NSE_EQ|INE095A01012
2025-03-24,669.45,NSE_EQ|INE095A01012
2025-03-25,637.05,NSE_EQ|INE095A01012
2025-03-26,655.3,NSE_EQ|INE095A01012
2025-03-27,673.55,NSE_EQ|INE095A01012
2025-03-28,649.85,NSE_EQ|INE095A01012
2025-04-01,682.7,NSE_EQ|INE095A01012
2025-04-02,702.45,NSE_EQ|INE095A01012
2025-04-03,709.4,NSE_EQ|INE095A01012
2025-04-04,682.0,NSE_EQ|INE095A01012
2025-04-07,675.9,NSE_EQ|INE095A01012
2025-04-08,679.65,NSE_EQ|INE095A01012
2025-04-09,678.55,NSE_EQ|INE095A01012
2025-04-11,689.5,NSE_EQ|INE095A01012
2025-04-15,735.9,NSE_EQ|INE095A01012
2025-04-16,788.25,NSE_EQ|INE095A01012
2025-04-17,794.7,NSE_EQ|INE095A01012
2025-04-21,828.2,NSE_EQ|INE095A01012
2025-04-22,787.5,NSE_EQ|INE095A01012
2025-04-23,794.2,NSE_EQ|INE095A01012
2025-04-24,819.75,NSE_EQ|INE095A01012
2025-04-25,822.35,NSE_EQ|INE095A01012
2025-04-28,830.55,NSE_EQ|INE095A01012
2025-04-29,836.95,NSE_EQ|INE095A01012
2025-04-30,838.4,NSE_EQ|INE095A01012
2025-05-02,853.0,NSE_EQ|INE095A01012
2025-05-05,846.75,NSE_EQ|INE095A01012
2025-05-06,831.8,NSE_EQ|INE095A01012
2025-05-07,833.8,NSE_EQ|INE095A01012
2025-05-08,826.8,NSE_EQ|INE095A01012
2025-05-09,818.2,NSE_EQ|INE095A01012
2025-05-12,788.5,NSE_EQ|INE095A01012
2025-05-13,770.1,NSE_EQ|INE095A01012
2025-05-14,781.35,NSE_EQ|INE095A01012
2025-05-15,780.5,NSE_EQ|INE095A01012
2025-05-16,780.2,NSE_EQ|INE095A01012
2025-05-19,784.05,NSE_EQ|INE095A01012
2025-05-20,782.25,NSE_EQ|INE095A01012
2025-05-21,769.95,NSE_EQ|INE095A01012
2025-05-22,785.0,NSE_EQ|INE095A01012
2025-05-23,793.4,NSE_EQ|INE095A01012
2025-05-26,800.1,NSE_EQ|INE095A01012
2025-05-27,820.7,NSE_EQ|INE095A01012
2025-05-28,805.15,NSE_EQ|INE095A01012
2025-05-29,824.15,NSE_EQ|INE095A01012
2025-05-30,816.95,NSE_EQ|INE095A01012
2025-06-02,812.7,NSE_EQ|INE095A01012
2025-06-03,800.85,NSE_EQ|INE095A01012
2025-06-04,814.35,NSE_EQ|INE095A01012
2025-06-05,803.2,NSE_EQ|INE095A01012
2025-06-06,822.85,NSE_EQ|INE095A01012
2025-06-09,836.65,NSE_EQ|INE095A01012
2025-06-10,845.05,NSE_EQ|INE095A01012
2025-06-11,836.3,NSE_EQ|INE095A01012
2025-06-12,829.9,NSE_EQ|INE095A01012
2025-06-13,816.85,NSE_EQ|INE095A01012
2025-06-16,821.25,NSE_EQ|INE095A01012
2025-06-17,809.15,NSE_EQ|INE095A01012
2025-06-18,850.5,NSE_EQ|INE095A01012
2025-06-19,837.5,NSE_EQ|INE095A01012
2025-06-20,840.25,NSE_EQ|INE095A01012
2025-06-23,839.9,NSE_EQ|INE095A01012
2025-06-24,831.95,NSE_EQ|INE095A01012
2025-06-25,829.8,NSE_EQ|INE095A01012
2025-06-26,836.1,NSE_EQ|INE095A01012
2025-06-27,857.7,NSE_EQ|INE095A01012
2025-06-30,872.1,NSE_EQ|INE095A01012
2025-07-01,879.1,NSE_EQ|INE095A01012
2025-07-02,857.65,NSE_EQ|INE095A01012
2025-07-03,862.4,NSE_EQ|INE095A01012
2025-07-04,856.25,NSE_EQ|INE095A01012
2025-07-07,854.45,NSE_EQ|INE095A01012
2025-07-08,850.3,NSE_EQ|INE095A01012
2025-07-09,840.75,NSE_EQ|INE095A01012
2025-07-10,852.85,NSE_EQ|INE095A01012
2025-07-11,858.85,NSE_EQ|INE095A01012
2025-07-14,867.6,NSE_EQ|INE095A01012
2025-07-15,881.0,NSE_EQ|INE095A01012
2025-07-16,879.75,NSE_EQ|INE095A01012
2025-07-17,865.1,NSE_EQ|INE095A01012
2025-07-18,870.05,NSE_EQ|INE095A01012
2025-07-21,858.8,NSE_EQ|INE095A01012
2025-07-22,843.2,NSE_EQ|INE095A01012
2025-07-23,851.15,NSE_EQ|INE095A01012
2025-07-24,847.9,NSE_EQ|INE095A01012
2025-07-25,823.7,NSE_EQ|INE095A01012
2025-07-28,802.05,NSE_EQ|INE095A01012
2025-07-29,808.2,NSE_EQ|INE095A01012
2025-07-30,801.9,NSE_EQ|INE095A01012
2025-07-31,798.9,NSE_EQ|INE095A01012
2025-08-01,783.7,NSE_EQ|INE095A01012
2025-08-04,804.05,NSE_EQ|INE095A01012
2025-08-05,819.15,NSE_EQ|INE095A01012
2025-08-06,803.35,NSE_EQ|INE095A01012
2025-08-07,807.35,NSE_EQ|INE095A01012
2025-08-08,782.45,NSE_EQ|INE095A01012
2025-08-11,783.25,NSE_EQ|INE095A01012
2025-08-12,783.05,NSE_EQ|INE095A01012
2025-08-13,773.45,NSE_EQ|INE095A01012
2025-08-14,769.75,NSE_EQ|INE095A01012
2025-08-18,788.65,NSE_EQ|INE095A01012
2025-08-19,785.5,NSE_EQ|INE095A01012
2025-08-20,778.2,NSE_EQ|INE095A01012
2025-08-21,767.45,NSE_EQ|INE095A01012
2025-08-22,760.1,NSE_EQ|INE095A01012
2025-08-25,770.85,NSE_EQ|INE095A01012
2025-08-26,756.4,NSE_EQ|INE095A01012
2025-08-28,746.6,NSE_EQ|INE095A01012
2025-08-29,739.5,NSE_EQ|INE095A01012
2025-09-01,752.85,NSE_EQ|INE095A01012
2025-09-02,751.2,NSE_EQ|INE095A01012
2025-09-03,768.1,NSE_EQ|INE095A01012
2025-09-04,754.85,NSE_EQ|INE095A01012
2025-09-05,757.05,NSE_EQ|INE095A01012
2025-09-08,750.75,NSE_EQ|INE095A01012
2025-09-09,746.15,NSE_EQ|INE095A01012
2025-09-10,751.25,NSE_EQ|INE095A01012
2025-09-11,748.6,NSE_EQ|INE095A01012
2025-09-12,740.5,NSE_EQ|INE095A01012
2025-09-15,739.9,NSE_EQ|INE095A01012
2025-09-16,742.25,NSE_EQ|INE095A01012
2025-09-17,739.05,NSE_EQ|INE095A01012
