date,open,high,low,close,volume,instrument_key
2025-03-18,253.97,253.97,244.8,251.01,215402.0,NSE_EQ|INE248A01017
2025-03-19,250.3,263.55,250.0,262.37,241708.0,NSE_EQ|INE248A01017
2025-03-20,260.0,264.85,253.99,258.19,220328.0,NSE_EQ|INE248A01017
2025-03-21,257.0,264.0,253.0,261.82,220716.0,NSE_EQ|INE248A01017
2025-03-24,258.01,270.0,258.01,266.4,244096.0,NSE_EQ|INE248A01017
2025-03-25,268.7,270.0,258.0,261.13,175276.0,NSE_EQ|INE248A01017
2025-03-26,261.13,262.4,250.5,252.0,155020.0,NSE_EQ|INE248A01017
2025-03-27,251.99,256.0,247.0,249.56,151836.0,NSE_EQ|INE248A01017
2025-03-28,253.89,254.5,248.01,249.22,154471.0,NSE_EQ|INE248A01017
2025-04-01,251.7,255.0,248.0,251.68,112123.0,NSE_EQ|INE248A01017
2025-04-02,250.01,253.8,248.0,252.71,86029.0,NSE_EQ|INE248A01017
2025-04-03,248.9,255.25,245.0,253.32,109019.0,NSE_EQ|INE248A01017
2025-04-04,253.79,254.45,242.0,246.36,102691.0,NSE_EQ|INE248A01017
2025-04-07,234.04,234.04,234.04,234.04,53112.0,NSE_EQ|INE248A01017
2025-04-08,234.5,244.0,234.5,242.31,91399.0,NSE_EQ|INE248A01017
2025-04-09,241.0,254.4,237.5,252.44,208651.0,NSE_EQ|INE248A01017
2025-04-11,253.99,258.25,251.0,252.07,105154.0,NSE_EQ|INE248A01017
2025-04-15,255.99,258.0,252.0,255.43,265034.0,NSE_EQ|INE248A01017
2025-04-16,257.31,268.2,252.8,268.2,813243.0,NSE_EQ|INE248A01017
2025-04-17,268.49,271.9,262.5,264.47,606684.0,NSE_EQ|INE248A01017
2025-04-21,266.99,275.98,262.5,269.83,547643.0,NSE_EQ|INE248A01017
2025-04-22,270.1,283.32,268.11,283.32,785426.0,NSE_EQ|INE248A01017
2025-04-23,287.0,292.39,277.02,281.29,867973.0,NSE_EQ|INE248A01017
2025-04-24,281.0,284.48,276.1,277.97,296847.0,NSE_EQ|INE248A01017
2025-04-25,280.75,281.0,264.07,264.07,620855.0,NSE_EQ|INE248A01017
2025-04-28,264.07,264.07,256.01,260.91,241459.0,NSE_EQ|INE248A01017
2025-04-29,261.09,268.48,261.09,263.16,218450.0,NSE_EQ|INE248A01017
2025-04-30,263.49,263.49,253.12,255.34,158902.0,NSE_EQ|INE248A01017
2025-05-02,257.0,262.8,254.0,256.6,201694.0,NSE_EQ|INE248A01017
2025-05-05,258.3,260.4,255.65,258.0,135856.0,NSE_EQ|INE248A01017
2025-05-06,258.0,260.55,247.0,248.55,220408.0,NSE_EQ|INE248A01017
2025-05-07,245.0,255.25,240.1,249.15,219128.0,NSE_EQ|INE248A01017
2025-05-08,252.0,252.95,245.0,245.75,146240.0,NSE_EQ|INE248A01017
2025-05-09,236.55,242.35,236.5,241.25,213516.0,NSE_EQ|INE248A01017
2025-05-12,256.7,265.35,249.65,256.05,620169.0,NSE_EQ|INE248A01017
2025-05-13,257.3,266.8,255.55,262.35,565384.0,NSE_EQ|INE248A01017
2025-05-14,263.0,273.7,263.0,270.1,751332.0,NSE_EQ|INE248A01017
2025-05-15,271.5,275.45,269.5,272.8,438148.0,NSE_EQ|INE248A01017
2025-05-16,274.15,284.2,273.15,279.5,829904.0,NSE_EQ|INE248A01017
2025-05-19,283.0,289.4,280.1,281.4,630828.0,NSE_EQ|INE248A01017
2025-05-20,283.05,283.25,270.9,272.9,414036.0,NSE_EQ|INE248A01017
2025-05-21,273.45,280.3,270.1,276.75,398850.0,NSE_EQ|INE248A01017
2025-05-22,275.05,291.75,272.55,280.15,988101.0,NSE_EQ|INE248A01017
2025-05-23,281.5,282.9,277.6,278.75,417556.0,NSE_EQ|INE248A01017
2025-05-26,280.0,284.5,279.0,281.15,321679.0,NSE_EQ|INE248A01017
2025-05-27,282.9,309.25,281.2,309.25,11599169.0,NSE_EQ|INE248A01017
2025-05-28,312.5,340.15,312.3,340.15,10410279.0,NSE_EQ|INE248A01017
2025-05-29,350.15,368.7,350.15,364.85,9675077.0,NSE_EQ|INE248A01017
2025-05-30,362.0,362.0,346.6,346.6,1886334.0,NSE_EQ|INE248A01017
2025-06-02,335.0,337.7,329.3,329.3,3313450.0,NSE_EQ|INE248A01017
2025-06-03,330.0,345.75,330.0,333.0,2281176.0,NSE_EQ|INE248A01017
2025-06-04,334.7,336.8,325.25,330.25,840723.0,NSE_EQ|INE248A01017
2025-06-05,331.65,338.7,326.5,327.4,724233.0,NSE_EQ|INE248A01017
2025-06-06,330.8,333.0,324.5,325.3,563458.0,NSE_EQ|INE248A01017
2025-06-09,328.85,341.55,325.5,330.6,2280212.0,NSE_EQ|INE248A01017
2025-06-10,332.95,334.85,327.5,329.55,888561.0,NSE_EQ|INE248A01017
2025-06-11,330.75,333.0,325.55,327.65,512948.0,NSE_EQ|INE248A01017
2025-06-12,328.8,340.75,326.55,329.25,1327590.0,NSE_EQ|INE248A01017
2025-06-13,322.0,324.5,318.75,321.55,607956.0,NSE_EQ|INE248A01017
2025-06-16,322.0,324.15,309.0,318.85,765015.0,NSE_EQ|INE248A01017
2025-06-17,323.4,333.7,319.25,322.35,1140893.0,NSE_EQ|INE248A01017
2025-06-18,321.4,321.45,314.4,315.3,412912.0,NSE_EQ|INE248A01017
2025-06-19,315.0,318.5,305.1,307.05,527981.0,NSE_EQ|INE248A01017
2025-06-20,307.0,314.45,303.0,309.65,486932.0,NSE_EQ|INE248A01017
2025-06-23,306.2,322.7,305.25,315.35,1472591.0,NSE_EQ|INE248A01017
2025-06-24,318.7,325.35,318.5,319.85,610502.0,NSE_EQ|INE248A01017
2025-06-25,319.9,328.6,316.3,323.3,705098.0,NSE_EQ|INE248A01017
2025-06-26,325.0,327.75,319.05,320.55,281108.0,NSE_EQ|INE248A01017
2025-06-27,323.45,325.95,319.5,320.65,386218.0,NSE_EQ|INE248A01017
2025-06-30,321.95,336.65,321.85,336.65,1519684.0,NSE_EQ|INE248A01017
2025-07-01,339.95,342.75,326.0,329.9,1961867.0,NSE_EQ|INE248A01017
2025-07-02,331.0,336.0,323.25,326.65,744341.0,NSE_EQ|INE248A01017
2025-07-03,329.0,331.45,324.5,327.2,415861.0,NSE_EQ|INE248A01017
2025-07-04,329.0,331.55,325.0,326.9,283790.0,NSE_EQ|INE248A01017
2025-07-07,326.95,327.7,322.9,323.15,187340.0,NSE_EQ|INE248A01017
2025-07-08,323.45,325.45,318.0,318.8,195468.0,NSE_EQ|INE248A01017
2025-07-09,318.95,322.4,317.1,318.45,202451.0,NSE_EQ|INE248A01017
2025-07-10,318.95,322.4,318.0,318.7,187433.0,NSE_EQ|INE248A01017
2025-07-11,319.9,320.45,315.0,315.5,164314.0,NSE_EQ|INE248A01017
2025-07-14,316.85,326.9,311.95,319.3,605716.0,NSE_EQ|INE248A01017
2025-07-15,320.0,322.4,317.15,318.2,188684.0,NSE_EQ|INE248A01017
2025-07-16,318.3,321.4,317.0,318.1,174998.0,NSE_EQ|INE248A01017
2025-07-17,318.55,320.2,315.2,316.35,146460.0,NSE_EQ|INE248A01017
2025-07-18,317.95,322.0,315.05,316.0,213863.0,NSE_EQ|INE248A01017
2025-07-21,320.0,320.7,313.95,314.6,165815.0,NSE_EQ|INE248A01017
2025-07-22,315.0,319.75,312.0,313.15,169649.0,NSE_EQ|INE248A01017
2025-07-23,314.45,317.95,312.25,313.8,177936.0,NSE_EQ|INE248A01017
2025-07-24,315.85,316.85,304.3,306.65,272008.0,NSE_EQ|INE248A01017
2025-07-25,306.0,307.7,301.1,303.4,195690.0,NSE_EQ|INE248A01017
2025-07-28,303.4,305.65,292.2,293.55,274114.0,NSE_EQ|INE248A01017
2025-07-29,297.0,302.0,291.55,300.25,175641.0,NSE_EQ|INE248A01017
2025-07-30,301.95,302.4,292.2,293.95,164346.0,NSE_EQ|INE248A01017
2025-07-31,292.5,293.85,286.45,290.55,138897.0,NSE_EQ|INE248A01017
2025-08-01,291.9,293.0,285.0,285.85,111402.0,NSE_EQ|INE248A01017
2025-08-04,286.0,294.0,285.25,292.55,157798.0,NSE_EQ|INE248A01017
2025-08-05,293.75,295.2,288.1,289.6,135685.0,NSE_EQ|INE248A01017
2025-08-06,293.0,304.05,293.0,299.55,1905933.0,NSE_EQ|INE248A01017
2025-08-07,305.0,325.75,305.0,320.3,12671623.0,NSE_EQ|INE248A01017
2025-08-08,320.0,320.0,300.5,303.65,1086308.0,NSE_EQ|INE248A01017
2025-08-11,300.5,303.0,292.3,300.85,628048.0,NSE_EQ|INE248A01017
2025-08-12,303.3,309.0,301.25,302.6,502609.0,NSE_EQ|INE248A01017
2025-08-13,303.6,310.85,300.15,302.6,480010.0,NSE_EQ|INE248A01017
2025-08-14,300.0,300.2,289.55,291.3,505036.0,NSE_EQ|INE248A01017
2025-08-18,299.9,304.0,292.75,294.15,571528.0,NSE_EQ|INE248A01017
2025-08-19,296.0,296.4,292.75,295.2,170409.0,NSE_EQ|INE248A01017
2025-08-20,296.35,297.9,294.15,295.15,155580.0,NSE_EQ|INE248A01017
2025-08-21,296.5,304.4,295.05,297.6,350435.0,NSE_EQ|INE248A01017
2025-08-22,297.6,302.25,293.2,295.9,372083.0,NSE_EQ|INE248A01017
2025-08-25,298.8,298.8,293.15,294.0,154589.0,NSE_EQ|INE248A01017
2025-08-26,293.7,294.1,287.0,288.05,151915.0,NSE_EQ|INE248A01017
2025-08-28,287.85,287.85,282.1,283.05,183347.0,NSE_EQ|INE248A01017
2025-08-29,282.85,286.1,280.05,284.15,156844.0,NSE_EQ|INE248A01017
2025-09-01,285.75,286.5,282.0,284.4,153975.0,NSE_EQ|INE248A01017
2025-09-02,285.55,311.9,284.0,301.9,5079876.0,NSE_EQ|INE248A01017
2025-09-03,303.4,322.0,303.0,315.25,4472628.0,NSE_EQ|INE248A01017
2025-09-04,317.9,319.85,307.1,310.65,1417471.0,NSE_EQ|INE248A01017
2025-09-05,311.9,316.0,306.05,308.05,509760.0,NSE_EQ|INE248A01017
2025-09-08,309.25,317.15,304.5,314.1,596915.0,NSE_EQ|INE248A01017
2025-09-09,315.1,315.1,307.0,309.0,258510.0,NSE_EQ|INE248A01017
2025-09-10,309.9,314.0,307.2,308.8,370568.0,NSE_EQ|INE248A01017
2025-09-11,309.0,310.1,305.55,307.3,241535.0,NSE_EQ|INE248A01017
2025-09-12,308.2,312.3,306.0,309.5,287372.0,NSE_EQ|INE248A01017
2025-09-15,310.85,331.5,310.85,322.55,3904949.0,NSE_EQ|INE248A01017
2025-09-16,323.5,326.4,318.5,323.05,654902.0,NSE_EQ|INE248A01017
2025-09-17,324.45,326.0,318.1,319.95,394371.0,NSE_EQ|INE248A01017
2025-09-18,321.2,321.9,315.2,316.65,354496.0,NSE_EQ|INE248A01017
2025-09-19,316.8,323.0,314.65,320.35,605954.0,NSE_EQ|INE248A01017
2025-09-22,320.35,329.9,319.05,323.25,914854.0,NSE_EQ|INE248A01017
2025-09-23,324.8,333.25,318.0,322.55,937274.0,NSE_EQ|INE248A01017
2025-09-24,321.05,323.45,315.15,316.6,315968.0,NSE_EQ|INE248A01017
2025-09-25,315.4,317.0,309.1,310.55,403393.0,NSE_EQ|INE248A01017
2025-09-26,309.9,310.75,301.5,303.35,333812.0,NSE_EQ|INE248A01017
2025-09-29,304.55,307.75,299.05,301.15,320399.0,NSE_EQ|INE248A01017
2025-09-30,301.25,304.65,299.3,301.6,193860.0,NSE_EQ|INE248A01017
2025-10-01,302.0,308.5,301.1,307.05,229386.0,NSE_EQ|INE248A01017
2025-10-03,307.0,317.7,305.8,315.85,580011.0,NSE_EQ|INE248A01017
2025-10-06,319.0,329.8,313.15,317.45,1031847.0,NSE_EQ|INE248A01017
2025-10-07,320.4,331.7,318.5,324.15,1750161.0,NSE_EQ|INE248A01017
2025-10-08,340.0,372.85,333.0,356.65,70864481.0,NSE_EQ|INE248A01017
2025-10-09,356.35,358.5,336.0,337.7,8966017.0,NSE_EQ|INE248A01017
2025-10-10,337.7,358.45,331.2,340.5,15760713.0,NSE_EQ|INE248A01017
