date,open,high,low,close,volume,instrument_key
2025-03-18,494.0,524.95,494.0,521.45,806814.0,NSE_EQ|INE927D01051
2025-03-19,527.65,544.0,524.75,540.3,502962.0,NSE_EQ|INE927D01051
2025-03-20,541.0,552.95,533.0,545.4,535661.0,NSE_EQ|INE927D01051
2025-03-21,542.45,573.0,538.05,568.0,802615.0,NSE_EQ|INE927D01051
2025-03-24,574.7,672.9,574.7,662.05,13389877.0,NSE_EQ|INE927D01051
2025-03-25,661.9,661.9,633.2,641.1,1869087.0,NSE_EQ|INE927D01051
2025-03-26,639.0,645.0,615.0,617.75,749946.0,NSE_EQ|INE927D01051
2025-03-27,614.0,622.8,600.0,605.35,855782.0,NSE_EQ|INE927D01051
2025-03-28,608.0,624.95,575.0,591.8,523427.0,NSE_EQ|INE927D01051
2025-04-01,582.5,615.95,581.35,605.95,549959.0,NSE_EQ|INE927D01051
2025-04-02,609.0,618.65,588.05,611.9,312261.0,NSE_EQ|INE927D01051
2025-04-03,604.0,626.0,598.0,619.9,283336.0,NSE_EQ|INE927D01051
2025-04-04,619.0,624.35,593.8,606.6,314449.0,NSE_EQ|INE927D01051
2025-04-07,505.15,594.0,505.15,587.65,528104.0,NSE_EQ|INE927D01051
2025-04-08,600.0,614.4,589.0,599.35,267100.0,NSE_EQ|INE927D01051
2025-04-09,595.0,599.9,583.3,587.0,152113.0,NSE_EQ|INE927D01051
2025-04-11,612.05,623.7,598.8,618.15,497195.0,NSE_EQ|INE927D01051
2025-04-15,633.0,634.95,603.8,625.05,268180.0,NSE_EQ|INE927D01051
2025-04-16,633.0,707.6,633.0,694.75,22076001.0,NSE_EQ|INE927D01051
2025-04-17,694.75,704.75,682.55,700.65,2374531.0,NSE_EQ|INE927D01051
2025-04-21,701.0,716.3,694.0,706.95,865689.0,NSE_EQ|INE927D01051
2025-04-22,708.05,716.25,698.55,702.0,787142.0,NSE_EQ|INE927D01051
2025-04-23,705.0,716.0,685.8,707.05,783601.0,NSE_EQ|INE927D01051
2025-04-24,707.9,713.85,691.55,696.0,336847.0,NSE_EQ|INE927D01051
2025-04-25,694.0,698.0,659.05,675.0,699682.0,NSE_EQ|INE927D01051
2025-04-28,672.05,685.45,665.45,675.45,354678.0,NSE_EQ|INE927D01051
2025-04-29,683.15,697.7,673.0,679.1,398926.0,NSE_EQ|INE927D01051
2025-04-30,680.0,681.5,645.0,650.2,334287.0,NSE_EQ|INE927D01051
2025-05-02,653.45,661.7,640.3,644.2,304023.0,NSE_EQ|INE927D01051
