date,open,high,low,close,volume,instrument_key
2025-03-18,264.85,272.4,264.6,271.65,314723.0,NSE_EQ|INE573A01042
2025-03-19,272.65,284.15,272.0,282.2,466736.0,NSE_EQ|INE573A01042
2025-03-20,284.9,289.3,282.75,285.6,597775.0,NSE_EQ|INE573A01042
2025-03-21,285.6,297.75,283.0,294.75,658800.0,NSE_EQ|INE573A01042
2025-03-24,295.95,300.95,295.05,297.0,432629.0,NSE_EQ|INE573A01042
2025-03-25,298.8,300.6,287.35,289.7,475190.0,NSE_EQ|INE573A01042
2025-03-26,288.95,291.3,281.2,282.7,446762.0,NSE_EQ|INE573A01042
2025-03-27,282.0,288.0,279.7,284.45,533067.0,NSE_EQ|INE573A01042
2025-03-28,285.95,291.1,275.0,277.45,435762.0,NSE_EQ|INE573A01042
2025-04-01,277.45,286.8,277.0,284.4,322493.0,NSE_EQ|INE573A01042
2025-04-02,284.85,288.9,278.45,288.05,309401.0,NSE_EQ|INE573A01042
2025-04-03,282.05,295.05,282.05,292.7,314713.0,NSE_EQ|INE573A01042
2025-04-04,292.7,294.5,276.05,278.45,464066.0,NSE_EQ|INE573A01042
2025-04-07,244.9,269.0,244.0,263.25,1207507.0,NSE_EQ|INE573A01042
2025-04-08,268.05,273.55,266.0,272.7,279593.0,NSE_EQ|INE573A01042
2025-04-09,272.75,273.85,265.45,272.15,285363.0,NSE_EQ|INE573A01042
2025-04-11,282.0,285.2,274.2,284.05,448385.0,NSE_EQ|INE573A01042
2025-04-15,288.0,307.65,286.95,301.0,2049714.0,NSE_EQ|INE573A01042
2025-04-16,301.0,305.15,298.05,303.45,1568947.0,NSE_EQ|INE573A01042
2025-04-17,303.0,309.7,301.0,307.0,1131356.0,NSE_EQ|INE573A01042
2025-04-21,308.5,312.2,305.0,311.5,682459.0,NSE_EQ|INE573A01042
2025-04-22,311.5,314.5,306.7,311.95,788940.0,NSE_EQ|INE573A01042
2025-04-23,313.0,314.95,306.6,309.45,486053.0,NSE_EQ|INE573A01042
2025-04-24,309.5,316.2,308.55,315.2,672097.0,NSE_EQ|INE573A01042
2025-04-25,318.5,319.3,305.85,310.0,1290329.0,NSE_EQ|INE573A01042
2025-04-28,310.0,310.5,303.2,307.3,355922.0,NSE_EQ|INE573A01042
2025-04-29,308.05,312.7,306.3,307.6,363808.0,NSE_EQ|INE573A01042
2025-04-30,306.5,321.95,301.5,310.4,2600467.0,NSE_EQ|INE573A01042
2025-05-02,312.35,317.95,307.3,310.7,955561.0,NSE_EQ|INE573A01042
2025-05-05,315.0,322.8,315.0,320.7,992635.0,NSE_EQ|INE573A01042
2025-05-06,321.5,327.75,308.2,311.7,1789657.0,NSE_EQ|INE573A01042
2025-05-07,315.0,327.95,313.85,326.8,1501259.0,NSE_EQ|INE573A01042
