date,open,high,low,close,volume,instrument_key
2025-03-18,644.95,651.7,634.0,647.85,563405.0,NSE_EQ|INE220G01021
2025-03-19,655.5,664.15,650.0,655.35,795167.0,NSE_EQ|INE220G01021
2025-03-20,660.95,660.95,644.05,654.05,536492.0,NSE_EQ|INE220G01021
2025-03-21,659.85,659.9,618.25,625.7,1785191.0,NSE_EQ|INE220G01021
2025-03-24,632.0,635.7,589.9,591.35,4439971.0,NSE_EQ|INE220G01021
2025-03-25,594.0,598.45,582.5,588.15,1268830.0,NSE_EQ|INE220G01021
2025-03-26,590.0,601.75,587.0,595.15,2977737.0,NSE_EQ|INE220G01021
2025-03-27,592.9,594.0,576.6,581.95,2101949.0,NSE_EQ|INE220G01021
2025-03-28,586.9,591.7,577.9,581.6,1256369.0,NSE_EQ|INE220G01021
2025-04-01,581.6,591.4,574.0,576.55,1146903.0,NSE_EQ|INE220G01021
2025-04-02,581.75,591.0,569.0,589.9,901482.0,NSE_EQ|INE220G01021
2025-04-03,585.0,597.95,583.55,594.6,632728.0,NSE_EQ|INE220G01021
2025-04-04,593.1,593.1,547.25,551.7,1448645.0,NSE_EQ|INE220G01021
2025-04-07,496.6,530.0,496.6,516.65,2106941.0,NSE_EQ|INE220G01021
2025-04-08,539.0,539.0,507.45,523.35,1376588.0,NSE_EQ|INE220G01021
2025-04-09,519.0,524.25,504.0,512.6,862653.0,NSE_EQ|INE220G01021
2025-04-11,530.0,548.95,521.2,542.05,1122799.0,NSE_EQ|INE220G01021
2025-04-15,548.0,560.95,547.0,557.8,1443113.0,NSE_EQ|INE220G01021
2025-04-16,561.0,565.25,553.0,558.7,1006680.0,NSE_EQ|INE220G01021
2025-04-17,561.6,569.25,554.65,561.45,820538.0,NSE_EQ|INE220G01021
2025-04-21,563.0,571.5,556.5,569.35,874174.0,NSE_EQ|INE220G01021
2025-04-22,578.0,584.25,575.1,581.1,1093248.0,NSE_EQ|INE220G01021
2025-04-23,581.9,589.0,565.95,575.4,1139476.0,NSE_EQ|INE220G01021
2025-04-24,579.0,579.0,570.0,571.95,780045.0,NSE_EQ|INE220G01021
2025-04-25,570.0,575.7,552.2,559.4,943949.0,NSE_EQ|INE220G01021
2025-04-28,558.4,561.5,551.05,559.7,771341.0,NSE_EQ|INE220G01021
2025-04-29,561.0,569.35,554.3,566.55,542774.0,NSE_EQ|INE220G01021
2025-04-30,565.1,585.0,565.1,583.1,2228152.0,NSE_EQ|INE220G01021
