date,open,high,low,close,volume,instrument_key
2025-08-14,153.5,154.77,145.05,146.07,105274421.0,NSE_EQ|INE718I01012
2025-08-18,148.0,151.68,143.95,150.02,39208337.0,NSE_EQ|INE718I01012
2025-08-19,150.0,158.2,148.12,156.55,47572618.0,NSE_EQ|INE718I01012
2025-08-20,157.0,159.0,153.25,153.83,14505613.0,NSE_EQ|INE718I01012
2025-08-21,154.0,156.7,151.77,153.98,10842093.0,NSE_EQ|INE718I01012
2025-08-22,153.97,156.75,152.76,153.12,8536051.0,NSE_EQ|INE718I01012
2025-08-25,153.89,155.4,152.92,153.48,5125690.0,NSE_EQ|INE718I01012
2025-08-26,153.48,156.74,150.05,150.49,7846500.0,NSE_EQ|INE718I01012
2025-08-28,150.3,151.55,147.06,148.23,8347289.0,NSE_EQ|INE718I01012
2025-08-29,148.4,151.8,147.81,148.43,4448815.0,NSE_EQ|INE718I01012
2025-09-01,148.9,152.8,147.97,151.76,6096458.0,NSE_EQ|INE718I01012
2025-09-02,152.68,154.8,152.32,153.73,5730595.0,NSE_EQ|INE718I01012
2025-09-03,153.7,159.93,153.7,159.17,23333691.0,NSE_EQ|INE718I01012
2025-09-04,161.51,162.15,151.52,152.29,10144348.0,NSE_EQ|INE718I01012
2025-09-05,152.89,152.99,149.48,150.11,4553483.0,NSE_EQ|INE718I01012
2025-09-08,150.49,151.14,148.51,149.21,3545942.0,NSE_EQ|INE718I01012
2025-09-09,149.95,149.99,148.21,148.54,2583143.0,NSE_EQ|INE718I01012
2025-09-10,149.3,149.94,147.8,148.01,2969890.0,NSE_EQ|INE718I01012
2025-09-11,148.0,148.4,145.31,145.69,5640167.0,NSE_EQ|INE718I01012
2025-09-12,146.29,149.3,145.9,148.72,3893758.0,NSE_EQ|INE718I01012
2025-09-15,151.95,153.45,149.71,150.29,5357153.0,NSE_EQ|INE718I01012
2025-09-16,151.45,151.65,148.05,148.71,2740161.0,NSE_EQ|INE718I01012
2025-09-17,149.44,152.9,147.33,147.77,4924836.0,NSE_EQ|INE718I01012
2025-09-18,148.5,151.85,147.5,151.21,5541105.0,NSE_EQ|INE718I01012
2025-09-19,151.74,151.74,149.05,149.27,2531658.0,NSE_EQ|INE718I01012
2025-09-22,149.51,151.4,149.02,149.44,3324026.0,NSE_EQ|INE718I01012
2025-09-23,149.44,150.09,146.7,147.18,2670876.0,NSE_EQ|INE718I01012
2025-09-24,147.18,148.38,146.2,146.44,1987230.0,NSE_EQ|INE718I01012
2025-09-25,146.49,147.2,143.25,143.85,2668528.0,NSE_EQ|INE718I01012
2025-09-26,143.85,144.0,139.79,141.36,3093693.0,NSE_EQ|INE718I01012
2025-09-29,141.0,142.76,140.01,140.27,1774082.0,NSE_EQ|INE718I01012
2025-09-30,140.75,141.2,137.45,137.89,2064210.0,NSE_EQ|INE718I01012
2025-10-01,137.57,139.2,135.9,138.46,3018045.0,NSE_EQ|INE718I01012
2025-10-03,138.8,139.4,137.79,138.86,1601643.0,NSE_EQ|INE718I01012
2025-10-06,141.1,142.64,139.51,140.86,3324094.0,NSE_EQ|INE718I01012
2025-10-07,140.86,141.17,139.26,139.74,1136102.0,NSE_EQ|INE718I01012
2025-10-08,139.74,140.95,137.9,138.26,1764496.0,NSE_EQ|INE718I01012
2025-10-09,138.51,139.04,137.12,137.98,1331463.0,NSE_EQ|INE718I01012
2025-10-10,137.98,143.4,137.6,140.68,3534213.0,NSE_EQ|INE718I01012
2025-10-13,139.5,140.78,139.01,139.33,952194.0,NSE_EQ|INE718I01012
2025-10-14,138.9,139.57,134.75,135.21,2227068.0,NSE_EQ|INE718I01012
2025-10-15,135.26,138.49,134.86,138.05,1220864.0,NSE_EQ|INE718I01012
2025-10-16,138.27,139.25,137.07,137.36,691589.0,NSE_EQ|INE718I01012
2025-10-17,137.33,138.23,135.45,136.45,1309845.0,NSE_EQ|INE718I01012
2025-10-20,136.2,137.51,134.75,137.02,1803493.0,NSE_EQ|INE718I01012
2025-10-21,137.49,139.33,137.49,138.29,508815.0,NSE_EQ|INE718I01012
2025-10-23,138.73,138.73,135.26,135.48,1195926.0,NSE_EQ|INE718I01012
2025-10-24,135.5,136.86,133.72,135.27,2036993.0,NSE_EQ|INE718I01012
2025-10-27,135.8,137.7,135.27,136.59,1802416.0,NSE_EQ|INE718I01012
2025-10-28,136.59,136.98,134.58,135.49,834282.0,NSE_EQ|INE718I01012
2025-10-29,136.6,137.6,135.37,136.72,1371359.0,NSE_EQ|INE718I01012
2025-10-30,136.39,137.29,135.48,135.83,1650216.0,NSE_EQ|INE718I01012
2025-10-31,135.95,137.0,135.55,136.44,889077.0,NSE_EQ|INE718I01012
2025-11-03,135.99,136.83,135.36,135.63,672356.0,NSE_EQ|INE718I01012
2025-11-04,135.5,136.44,134.75,134.98,838205.0,NSE_EQ|INE718I01012
2025-11-06,134.8,134.9,128.0,128.4,2485520.0,NSE_EQ|INE718I01012
2025-11-07,127.25,128.7,125.07,127.67,2170039.0,NSE_EQ|INE718I01012
2025-11-10,131.5,133.0,124.5,125.44,5870300.0,NSE_EQ|INE718I01012
2025-11-11,126.5,126.5,122.11,122.54,3418122.0,NSE_EQ|INE718I01012
2025-11-12,122.9,123.6,122.0,122.23,2260663.0,NSE_EQ|INE718I01012
2025-11-13,122.24,130.26,122.05,128.75,8225693.0,NSE_EQ|INE718I01012
2025-11-14,127.14,128.23,125.8,126.38,1600964.0,NSE_EQ|INE718I01012
