date,open,high,low,close,volume,instrument_key
2025-03-18,267.0,271.0,265.5,269.15,1793917.0,NSE_EQ|INE880J01026
2025-03-19,270.25,288.65,270.25,287.3,5572226.0,NSE_EQ|INE880J01026
2025-03-20,290.4,297.0,286.6,295.7,2837624.0,NSE_EQ|INE880J01026
2025-03-21,296.0,314.9,296.0,312.8,6549119.0,NSE_EQ|INE880J01026
2025-03-24,313.0,319.45,310.4,312.95,3441800.0,NSE_EQ|INE880J01026
2025-03-25,317.0,318.0,302.8,306.45,2245292.0,NSE_EQ|INE880J01026
2025-03-26,311.1,318.0,308.7,316.0,3083044.0,NSE_EQ|INE880J01026
2025-03-27,315.4,327.8,313.4,322.9,5409650.0,NSE_EQ|INE880J01026
2025-03-28,322.9,325.55,316.4,319.8,1610890.0,NSE_EQ|INE880J01026
2025-04-01,316.5,326.85,315.55,316.45,1507514.0,NSE_EQ|INE880J01026
2025-04-02,317.9,323.9,314.2,322.2,1494340.0,NSE_EQ|INE880J01026
2025-04-03,317.9,325.9,317.2,322.5,894382.0,NSE_EQ|INE880J01026
2025-04-04,320.0,323.35,304.2,308.65,1670328.0,NSE_EQ|INE880J01026
2025-04-07,277.8,290.95,277.8,286.4,2647390.0,NSE_EQ|INE880J01026
2025-04-08,299.9,299.9,282.05,284.35,2044746.0,NSE_EQ|INE880J01026
2025-04-09,281.9,292.0,278.4,291.0,2485040.0,NSE_EQ|INE880J01026
2025-04-11,298.0,298.15,293.8,296.1,962702.0,NSE_EQ|INE880J01026
2025-04-15,301.45,306.0,298.9,305.0,2505646.0,NSE_EQ|INE880J01026
2025-04-16,305.9,308.2,301.0,306.5,1609872.0,NSE_EQ|INE880J01026
2025-04-17,305.0,306.3,302.5,303.65,730994.0,NSE_EQ|INE880J01026
2025-04-21,305.65,314.0,303.0,312.1,2273283.0,NSE_EQ|INE880J01026
2025-04-22,313.5,314.4,303.0,303.75,1579531.0,NSE_EQ|INE880J01026
2025-04-23,307.8,308.75,294.0,294.7,2631546.0,NSE_EQ|INE880J01026
2025-04-24,294.95,302.4,293.6,301.25,2439378.0,NSE_EQ|INE880J01026
2025-04-25,301.8,305.3,291.75,303.55,3088167.0,NSE_EQ|INE880J01026
2025-04-28,303.0,306.1,296.85,300.0,1943997.0,NSE_EQ|INE880J01026
2025-04-29,301.0,302.7,298.1,300.5,980347.0,NSE_EQ|INE880J01026
2025-04-30,300.0,300.9,290.9,293.65,1679089.0,NSE_EQ|INE880J01026
2025-05-02,299.9,304.75,289.1,289.95,4186083.0,NSE_EQ|INE880J01026
2025-05-05,292.8,294.1,284.1,289.3,2994011.0,NSE_EQ|INE880J01026
2025-05-06,290.0,291.6,285.0,287.05,1585483.0,NSE_EQ|INE880J01026
2025-05-07,280.05,292.0,280.05,290.95,1958734.0,NSE_EQ|INE880J01026
2025-05-08,292.0,296.3,285.0,287.3,2234343.0,NSE_EQ|INE880J01026
2025-05-09,280.15,289.2,279.25,283.9,2076478.0,NSE_EQ|INE880J01026
