date,open,high,low,close,volume,instrument_key
2025-03-18,168.35,168.35,163.05,166.3,2693945.0,NSE_EQ|INE036D01028
2025-03-19,166.5,168.65,165.2,167.6,1796354.0,NSE_EQ|INE036D01028
2025-03-20,168.75,172.75,168.75,169.75,2429143.0,NSE_EQ|INE036D01028
2025-03-21,171.55,175.4,167.5,174.75,2502771.0,NSE_EQ|INE036D01028
2025-03-24,175.6,176.05,172.0,174.25,4167025.0,NSE_EQ|INE036D01028
2025-03-25,177.95,179.15,174.6,175.8,7070029.0,NSE_EQ|INE036D01028
2025-03-26,175.8,176.25,172.2,174.7,2427550.0,NSE_EQ|INE036D01028
2025-03-27,172.75,176.8,171.3,174.3,5176372.0,NSE_EQ|INE036D01028
2025-03-28,174.6,177.75,172.9,174.35,2248414.0,NSE_EQ|INE036D01028
2025-04-01,173.35,179.15,172.5,178.4,1780064.0,NSE_EQ|INE036D01028
2025-04-02,178.35,180.65,176.35,177.45,1237090.0,NSE_EQ|INE036D01028
2025-04-03,175.15,179.8,175.15,179.15,1301608.0,NSE_EQ|INE036D01028
2025-04-04,180.05,181.85,177.55,180.75,4972492.0,NSE_EQ|INE036D01028
2025-04-07,174.15,174.15,165.25,170.1,4409501.0,NSE_EQ|INE036D01028
2025-04-08,174.0,178.15,171.75,175.6,3271501.0,NSE_EQ|INE036D01028
2025-04-09,175.4,176.15,169.3,169.95,1780581.0,NSE_EQ|INE036D01028
2025-04-11,172.9,175.1,169.95,174.6,2259443.0,NSE_EQ|INE036D01028
2025-04-15,177.0,178.5,172.3,175.9,2943979.0,NSE_EQ|INE036D01028
2025-04-16,177.3,184.35,175.1,182.05,8112474.0,NSE_EQ|INE036D01028
2025-04-17,182.4,188.0,181.5,185.5,5974797.0,NSE_EQ|INE036D01028
2025-04-21,186.25,187.9,184.4,187.2,3467187.0,NSE_EQ|INE036D01028
2025-04-22,186.85,190.9,185.9,188.45,2991639.0,NSE_EQ|INE036D01028
2025-04-23,189.2,189.6,181.65,184.95,5940982.0,NSE_EQ|INE036D01028
2025-04-24,185.0,186.6,182.35,185.35,1060455.0,NSE_EQ|INE036D01028
2025-04-25,183.35,184.5,176.65,179.95,3633556.0,NSE_EQ|INE036D01028
2025-04-28,177.3,182.85,176.7,181.9,1459686.0,NSE_EQ|INE036D01028
2025-04-29,183.25,184.2,180.25,181.4,2329809.0,NSE_EQ|INE036D01028
2025-04-30,181.65,183.75,178.3,181.8,1848560.0,NSE_EQ|INE036D01028
2025-05-02,182.1,184.05,177.9,179.65,1769160.0,NSE_EQ|INE036D01028
2025-05-05,178.9,179.55,173.35,177.5,4274513.0,NSE_EQ|INE036D01028
2025-05-06,177.9,179.85,174.15,175.4,1750740.0,NSE_EQ|INE036D01028
