date,open,high,low,close,volume,instrument_key
2025-03-18,585.0,592.8,581.05,587.15,1396305.0,NSE_EQ|INE947Q01028
2025-03-19,591.0,609.0,580.65,606.1,1992098.0,NSE_EQ|INE947Q01028
2025-03-20,609.0,609.1,597.4,604.45,1200782.0,NSE_EQ|INE947Q01028
2025-03-21,603.6,616.75,602.7,611.2,1704714.0,NSE_EQ|INE947Q01028
2025-03-24,620.95,628.0,612.95,623.0,2003173.0,NSE_EQ|INE947Q01028
2025-03-25,626.7,626.75,610.15,615.15,1273131.0,NSE_EQ|INE947Q01028
2025-03-26,614.0,619.4,610.5,614.8,1044819.0,NSE_EQ|INE947Q01028
2025-03-27,614.5,621.0,606.0,617.7,1293605.0,NSE_EQ|INE947Q01028
2025-03-28,619.9,626.65,606.7,613.4,1528487.0,NSE_EQ|INE947Q01028
2025-04-01,611.0,617.8,594.95,598.9,1348993.0,NSE_EQ|INE947Q01028
2025-04-02,604.0,610.85,594.5,609.05,876865.0,NSE_EQ|INE947Q01028
2025-04-03,620.15,638.9,611.15,620.65,3744040.0,NSE_EQ|INE947Q01028
2025-04-04,620.65,621.8,561.5,574.45,7286175.0,NSE_EQ|INE947Q01028
2025-04-07,518.0,566.05,517.65,561.25,3409016.0,NSE_EQ|INE947Q01028
2025-04-08,579.0,595.0,563.45,579.25,1673248.0,NSE_EQ|INE947Q01028
2025-04-09,564.25,575.2,551.0,564.25,2417850.0,NSE_EQ|INE947Q01028
2025-04-11,585.0,608.0,576.9,605.85,3439063.0,NSE_EQ|INE947Q01028
2025-04-15,611.55,626.15,608.8,625.15,1956047.0,NSE_EQ|INE947Q01028
2025-04-16,625.5,634.25,621.0,626.9,1832047.0,NSE_EQ|INE947Q01028
2025-04-17,626.8,634.95,624.05,628.05,1964197.0,NSE_EQ|INE947Q01028
2025-04-21,628.05,645.0,627.45,640.35,1673651.0,NSE_EQ|INE947Q01028
2025-04-22,643.05,657.4,636.75,651.7,2546683.0,NSE_EQ|INE947Q01028
2025-04-23,656.8,659.85,641.95,650.7,2082091.0,NSE_EQ|INE947Q01028
2025-04-24,654.0,660.9,631.5,645.5,7255100.0,NSE_EQ|INE947Q01028
2025-04-25,630.0,643.35,606.5,625.65,7085561.0,NSE_EQ|INE947Q01028
2025-04-28,625.65,639.55,622.05,626.5,2030722.0,NSE_EQ|INE947Q01028
2025-04-29,630.0,633.0,614.35,617.45,2365426.0,NSE_EQ|INE947Q01028
2025-04-30,617.5,624.75,601.1,603.85,4019666.0,NSE_EQ|INE947Q01028
2025-05-02,605.95,624.6,605.0,620.55,2536670.0,NSE_EQ|INE947Q01028
2025-05-05,622.1,630.0,615.0,617.8,1720414.0,NSE_EQ|INE947Q01028
2025-05-06,617.7,619.4,607.85,612.6,1566542.0,NSE_EQ|INE947Q01028
2025-05-07,602.5,616.0,602.5,610.7,1745190.0,NSE_EQ|INE947Q01028
2025-05-08,614.2,616.5,581.0,586.75,2066342.0,NSE_EQ|INE947Q01028
2025-05-09,578.0,590.0,572.25,588.8,1383731.0,NSE_EQ|INE947Q01028
2025-05-12,597.7,600.0,575.95,593.45,2362969.0,NSE_EQ|INE947Q01028
2025-05-13,595.95,607.15,593.0,595.25,1851333.0,NSE_EQ|INE947Q01028
2025-05-14,596.65,610.2,592.05,605.95,2151896.0,NSE_EQ|INE947Q01028
2025-05-15,610.0,612.95,600.55,603.7,1437309.0,NSE_EQ|INE947Q01028
2025-05-16,607.1,609.95,600.6,603.05,1493001.0,NSE_EQ|INE947Q01028
2025-05-19,603.0,620.35,601.6,607.35,2160342.0,NSE_EQ|INE947Q01028
2025-05-20,609.95,611.25,591.2,593.25,1232093.0,NSE_EQ|INE947Q01028
2025-05-21,596.0,603.25,593.1,597.05,1509612.0,NSE_EQ|INE947Q01028
2025-05-22,597.0,597.65,584.5,590.65,1692111.0,NSE_EQ|INE947Q01028
2025-05-23,594.0,596.9,585.9,593.3,683814.0,NSE_EQ|INE947Q01028
2025-05-26,592.9,602.6,591.6,595.05,979622.0,NSE_EQ|INE947Q01028
2025-05-27,595.05,603.0,593.5,601.8,904467.0,NSE_EQ|INE947Q01028
2025-05-28,605.4,618.45,604.0,610.5,1820549.0,NSE_EQ|INE947Q01028
2025-05-29,614.0,616.25,610.25,614.5,897856.0,NSE_EQ|INE947Q01028
2025-05-30,615.0,618.5,606.5,609.6,791160.0,NSE_EQ|INE947Q01028
2025-06-02,610.0,614.1,606.2,611.1,583368.0,NSE_EQ|INE947Q01028
2025-06-03,612.05,622.65,609.2,619.6,1570254.0,NSE_EQ|INE947Q01028
2025-06-04,623.2,624.65,610.65,623.35,1639319.0,NSE_EQ|INE947Q01028
2025-06-05,624.95,649.6,622.6,640.65,3345250.0,NSE_EQ|INE947Q01028
2025-06-06,640.65,643.65,626.6,642.05,1658783.0,NSE_EQ|INE947Q01028
2025-06-09,644.0,669.45,642.05,667.35,3895711.0,NSE_EQ|INE947Q01028
2025-06-10,671.05,672.7,662.5,666.45,1533417.0,NSE_EQ|INE947Q01028
2025-06-11,668.0,679.0,665.55,676.45,1933439.0,NSE_EQ|INE947Q01028
2025-06-12,678.5,681.0,664.6,666.75,2371142.0,NSE_EQ|INE947Q01028
2025-06-13,655.5,673.9,650.15,666.6,1292254.0,NSE_EQ|INE947Q01028
2025-06-16,666.75,683.0,659.2,680.25,2311916.0,NSE_EQ|INE947Q01028
2025-06-17,681.0,681.3,655.75,660.55,1722958.0,NSE_EQ|INE947Q01028
2025-06-18,660.0,668.0,650.05,664.35,1656141.0,NSE_EQ|INE947Q01028
2025-06-19,665.0,667.0,645.0,646.25,1150032.0,NSE_EQ|INE947Q01028
2025-06-20,643.65,653.0,641.05,651.0,2397584.0,NSE_EQ|INE947Q01028
2025-06-23,647.0,668.5,647.0,666.3,1521710.0,NSE_EQ|INE947Q01028
2025-06-24,672.0,673.35,664.15,669.55,1034160.0,NSE_EQ|INE947Q01028
2025-06-25,672.0,677.9,668.55,669.95,966550.0,NSE_EQ|INE947Q01028
2025-06-26,671.75,685.6,663.05,680.35,2369296.0,NSE_EQ|INE947Q01028
2025-06-27,683.0,704.3,678.7,701.8,3178596.0,NSE_EQ|INE947Q01028
2025-06-30,709.8,727.0,704.0,724.85,4837432.0,NSE_EQ|INE947Q01028
2025-07-01,730.0,750.0,721.05,746.05,4704542.0,NSE_EQ|INE947Q01028
2025-07-02,746.05,761.75,742.0,756.75,3997677.0,NSE_EQ|INE947Q01028
2025-07-03,756.75,764.45,752.9,758.55,2481621.0,NSE_EQ|INE947Q01028
2025-07-04,759.8,777.9,756.65,776.0,3230212.0,NSE_EQ|INE947Q01028
2025-07-07,777.7,779.45,763.55,776.25,1174377.0,NSE_EQ|INE947Q01028
2025-07-08,775.0,779.7,761.2,778.3,1558057.0,NSE_EQ|INE947Q01028
2025-07-09,776.85,797.8,775.15,794.4,3672922.0,NSE_EQ|INE947Q01028
2025-07-10,798.8,800.0,783.15,793.5,2030879.0,NSE_EQ|INE947Q01028
