date,open,high,low,close,volume,instrument_key
2025-03-18,129.88,135.05,128.8,134.59,5888857.0,NSE_EQ|INE970X01018
2025-03-19,135.5,137.67,134.11,136.0,3638662.0,NSE_EQ|INE970X01018
2025-03-20,137.0,138.0,134.55,137.25,3940405.0,NSE_EQ|INE970X01018
2025-03-21,137.5,139.9,135.44,139.14,3855039.0,NSE_EQ|INE970X01018
2025-03-24,140.5,143.9,137.41,138.87,5121099.0,NSE_EQ|INE970X01018
2025-03-25,139.89,140.0,136.0,136.46,3311341.0,NSE_EQ|INE970X01018
2025-03-26,136.34,136.6,130.1,131.86,3475248.0,NSE_EQ|INE970X01018
2025-03-27,131.99,133.15,127.1,130.58,6151119.0,NSE_EQ|INE970X01018
2025-03-28,131.75,132.01,127.7,128.41,5322537.0,NSE_EQ|INE970X01018
2025-04-01,128.2,138.43,127.81,137.06,5887022.0,NSE_EQ|INE970X01018
2025-04-02,136.0,141.7,134.4,140.71,6376996.0,NSE_EQ|INE970X01018
2025-04-03,138.35,144.35,138.35,143.69,4481487.0,NSE_EQ|INE970X01018
2025-04-04,143.67,143.67,135.9,136.83,3809688.0,NSE_EQ|INE970X01018
2025-04-07,121.01,134.84,121.01,133.79,4207099.0,NSE_EQ|INE970X01018
2025-04-08,136.0,140.4,134.79,138.64,3280346.0,NSE_EQ|INE970X01018
2025-04-09,137.56,138.79,135.32,136.8,1554016.0,NSE_EQ|INE970X01018
2025-04-11,139.4,141.78,137.16,139.75,2750869.0,NSE_EQ|INE970X01018
2025-04-15,142.0,144.18,139.85,142.26,3501825.0,NSE_EQ|INE970X01018
2025-04-16,143.49,144.15,139.6,141.72,2519876.0,NSE_EQ|INE970X01018
2025-04-17,142.64,143.5,140.3,142.34,2170527.0,NSE_EQ|INE970X01018
2025-04-21,142.74,147.75,142.74,147.31,4127829.0,NSE_EQ|INE970X01018
2025-04-22,147.6,148.09,145.05,147.27,2528498.0,NSE_EQ|INE970X01018
2025-04-23,147.87,147.99,143.25,146.75,3187467.0,NSE_EQ|INE970X01018
2025-04-24,145.26,147.35,144.51,145.62,2297966.0,NSE_EQ|INE970X01018
2025-04-25,145.99,146.63,136.61,139.47,4884179.0,NSE_EQ|INE970X01018
2025-04-28,137.5,142.02,137.11,139.98,3126603.0,NSE_EQ|INE970X01018
2025-04-29,141.55,143.5,138.2,139.09,1765612.0,NSE_EQ|INE970X01018
2025-04-30,137.74,139.99,135.01,136.92,2147111.0,NSE_EQ|INE970X01018
2025-05-02,135.5,138.64,134.51,137.75,1480697.0,NSE_EQ|INE970X01018
2025-05-05,137.78,141.0,136.73,140.04,2500828.0,NSE_EQ|INE970X01018
2025-05-06,140.49,141.8,133.0,133.71,2603341.0,NSE_EQ|INE970X01018
2025-05-07,130.0,137.0,129.7,135.68,2425459.0,NSE_EQ|INE970X01018
2025-05-08,136.69,137.7,133.26,133.66,2104574.0,NSE_EQ|INE970X01018
2025-05-09,129.99,131.76,128.09,129.75,2516808.0,NSE_EQ|INE970X01018
2025-05-12,138.0,138.5,136.0,138.03,2371971.0,NSE_EQ|INE970X01018
2025-05-13,138.15,140.14,136.8,138.84,1494410.0,NSE_EQ|INE970X01018
2025-05-14,138.6,140.9,138.56,139.38,1329902.0,NSE_EQ|INE970X01018
2025-05-15,140.1,141.3,137.94,138.78,1146860.0,NSE_EQ|INE970X01018
2025-05-16,139.79,141.6,139.02,140.33,1426283.0,NSE_EQ|INE970X01018
2025-05-19,141.03,141.5,138.4,139.37,1108965.0,NSE_EQ|INE970X01018
2025-05-20,140.1,140.44,135.42,135.78,1380020.0,NSE_EQ|INE970X01018
2025-05-21,135.92,138.01,135.17,136.68,1263304.0,NSE_EQ|INE970X01018
2025-05-22,137.0,137.88,135.0,135.46,1240350.0,NSE_EQ|INE970X01018
2025-05-23,139.0,139.98,137.04,138.59,1842794.0,NSE_EQ|INE970X01018
2025-05-26,139.64,141.4,138.51,140.12,1780762.0,NSE_EQ|INE970X01018
2025-05-27,139.0,140.5,137.1,139.85,1764332.0,NSE_EQ|INE970X01018
2025-05-28,140.5,143.3,138.34,141.14,3194121.0,NSE_EQ|INE970X01018
2025-05-29,142.35,144.0,141.98,143.01,2637945.0,NSE_EQ|INE970X01018
2025-05-30,144.18,145.8,139.0,139.33,11046658.0,NSE_EQ|INE970X01018
2025-06-02,140.9,140.9,137.91,138.82,3087130.0,NSE_EQ|INE970X01018
2025-06-03,139.45,140.4,138.25,138.88,2435252.0,NSE_EQ|INE970X01018
2025-06-04,139.49,140.8,138.88,139.45,2968390.0,NSE_EQ|INE970X01018
2025-06-05,139.95,142.5,139.6,141.32,3283409.0,NSE_EQ|INE970X01018
2025-06-06,142.01,142.28,140.49,140.92,2148507.0,NSE_EQ|INE970X01018
2025-06-09,141.9,142.65,141.0,141.12,1857059.0,NSE_EQ|INE970X01018
2025-06-10,141.7,142.75,140.4,141.48,1836568.0,NSE_EQ|INE970X01018
2025-06-11,141.6,141.96,139.25,140.35,1332847.0,NSE_EQ|INE970X01018
2025-06-12,140.95,141.28,137.11,137.81,1172193.0,NSE_EQ|INE970X01018
2025-06-13,135.0,139.08,134.1,138.57,1343915.0,NSE_EQ|INE970X01018
2025-06-16,138.48,139.49,135.91,137.76,1411116.0,NSE_EQ|INE970X01018
2025-06-17,138.5,140.2,137.76,138.17,1496822.0,NSE_EQ|INE970X01018
2025-06-18,138.0,139.7,135.87,136.17,1179055.0,NSE_EQ|INE970X01018
2025-06-19,135.5,136.99,133.07,133.43,1275526.0,NSE_EQ|INE970X01018
2025-06-20,133.7,136.11,132.57,133.77,4647139.0,NSE_EQ|INE970X01018
2025-06-23,132.6,135.48,132.6,134.8,947083.0,NSE_EQ|INE970X01018
2025-06-24,140.0,140.0,134.64,136.93,2260623.0,NSE_EQ|INE970X01018
2025-06-25,137.2,139.55,136.01,138.77,2523121.0,NSE_EQ|INE970X01018
2025-06-26,139.89,140.39,137.17,138.18,2084397.0,NSE_EQ|INE970X01018
2025-06-27,139.19,139.95,138.01,138.62,1955733.0,NSE_EQ|INE970X01018
2025-06-30,138.9,141.1,138.8,140.11,2373871.0,NSE_EQ|INE970X01018
2025-07-01,140.68,141.25,138.83,139.5,932575.0,NSE_EQ|INE970X01018
2025-07-02,139.4,140.58,137.31,138.42,1264427.0,NSE_EQ|INE970X01018
2025-07-03,138.0,139.37,137.7,137.95,1107883.0,NSE_EQ|INE970X01018
2025-07-04,138.5,139.2,137.5,138.52,792120.0,NSE_EQ|INE970X01018
2025-07-07,139.39,140.39,137.87,138.43,1012412.0,NSE_EQ|INE970X01018
2025-07-08,138.25,147.99,138.25,146.79,15238932.0,NSE_EQ|INE970X01018
2025-07-09,146.06,148.0,144.8,146.01,6122793.0,NSE_EQ|INE970X01018
2025-07-10,146.01,161.0,146.01,158.11,21569113.0,NSE_EQ|INE970X01018
2025-07-11,156.32,158.3,152.1,153.38,7763499.0,NSE_EQ|INE970X01018
2025-07-14,152.3,154.8,150.54,152.12,2526060.0,NSE_EQ|INE970X01018
2025-07-15,152.25,155.8,152.01,153.83,3164503.0,NSE_EQ|INE970X01018
2025-07-16,154.0,155.6,152.45,153.82,2314150.0,NSE_EQ|INE970X01018
2025-07-17,154.3,156.95,154.01,155.0,3617140.0,NSE_EQ|INE970X01018
2025-07-18,155.0,156.8,151.15,154.58,3459494.0,NSE_EQ|INE970X01018
2025-07-21,155.0,158.65,153.21,156.24,4289605.0,NSE_EQ|INE970X01018
2025-07-22,157.2,158.9,154.7,157.33,3713864.0,NSE_EQ|INE970X01018
2025-07-23,158.6,158.7,155.79,156.82,2767256.0,NSE_EQ|INE970X01018
2025-07-24,157.0,158.0,155.3,156.09,1310250.0,NSE_EQ|INE970X01018
2025-07-25,155.85,156.95,152.0,153.43,3433908.0,NSE_EQ|INE970X01018
2025-07-28,153.0,154.86,151.3,152.25,1332486.0,NSE_EQ|INE970X01018
2025-07-29,152.0,152.05,148.5,150.39,1456226.0,NSE_EQ|INE970X01018
2025-07-30,150.39,152.43,148.82,149.45,990605.0,NSE_EQ|INE970X01018
2025-07-31,148.0,151.97,147.2,149.79,1684861.0,NSE_EQ|INE970X01018
2025-08-01,150.0,151.63,146.1,146.89,1878179.0,NSE_EQ|INE970X01018
2025-08-04,147.05,147.5,144.5,145.97,2016529.0,NSE_EQ|INE970X01018
2025-08-05,146.5,148.8,143.16,143.64,1585499.0,NSE_EQ|INE970X01018
2025-08-06,143.95,147.18,143.4,144.45,2057361.0,NSE_EQ|INE970X01018
2025-08-07,144.45,144.7,142.7,144.09,2049881.0,NSE_EQ|INE970X01018
2025-08-08,145.4,145.45,141.12,143.31,1867186.0,NSE_EQ|INE970X01018
2025-08-11,145.0,149.43,141.05,142.11,5918250.0,NSE_EQ|INE970X01018
2025-08-12,142.8,147.4,142.8,144.99,4797221.0,NSE_EQ|INE970X01018
2025-08-13,146.4,148.6,144.04,147.37,2247829.0,NSE_EQ|INE970X01018
2025-08-14,148.5,148.79,145.0,145.25,1437478.0,NSE_EQ|INE970X01018
2025-08-18,150.0,155.0,148.71,152.98,6602935.0,NSE_EQ|INE970X01018
2025-08-19,153.7,153.74,148.3,148.8,2468121.0,NSE_EQ|INE970X01018
2025-08-20,148.75,157.6,148.6,155.57,9857634.0,NSE_EQ|INE970X01018
2025-08-21,156.9,169.9,155.5,166.34,15481193.0,NSE_EQ|INE970X01018
2025-08-22,167.0,174.9,166.0,169.45,20805271.0,NSE_EQ|INE970X01018
2025-08-25,170.52,174.9,167.42,168.23,10878236.0,NSE_EQ|INE970X01018
2025-08-26,168.0,168.22,164.48,165.19,3361348.0,NSE_EQ|INE970X01018
2025-08-28,166.14,168.63,165.19,167.8,4550659.0,NSE_EQ|INE970X01018
2025-08-29,171.44,172.18,163.9,165.83,8595106.0,NSE_EQ|INE970X01018
2025-09-01,166.3,170.95,165.31,170.22,4003961.0,NSE_EQ|INE970X01018
2025-09-02,172.0,172.5,164.66,165.27,5522609.0,NSE_EQ|INE970X01018
2025-09-03,166.01,171.8,165.05,169.71,9300523.0,NSE_EQ|INE970X01018
2025-09-04,173.1,176.5,168.3,170.95,13855530.0,NSE_EQ|INE970X01018
2025-09-05,170.95,177.95,170.75,175.17,9295950.0,NSE_EQ|INE970X01018
2025-09-08,176.0,180.68,173.05,177.93,7541380.0,NSE_EQ|INE970X01018
2025-09-09,178.0,178.19,174.7,176.62,3466392.0,NSE_EQ|INE970X01018
2025-09-10,176.78,177.79,171.79,172.87,4043903.0,NSE_EQ|INE970X01018
2025-09-11,171.5,179.59,171.5,174.87,7608390.0,NSE_EQ|INE970X01018
2025-09-12,175.65,177.7,173.51,175.37,3991284.0,NSE_EQ|INE970X01018
2025-09-15,175.94,178.9,175.81,176.49,3439190.0,NSE_EQ|INE970X01018
2025-09-16,177.0,177.79,175.2,176.19,1962886.0,NSE_EQ|INE970X01018
2025-09-17,176.8,176.85,173.2,173.83,2123820.0,NSE_EQ|INE970X01018
2025-09-18,174.75,174.75,171.0,172.13,2393458.0,NSE_EQ|INE970X01018
2025-09-19,172.25,177.8,170.5,172.9,5690272.0,NSE_EQ|INE970X01018
2025-09-22,173.5,173.5,169.0,169.55,3024745.0,NSE_EQ|INE970X01018
2025-09-23,169.99,171.75,168.62,171.03,2342117.0,NSE_EQ|INE970X01018
2025-09-24,171.98,173.75,169.53,171.78,2933885.0,NSE_EQ|INE970X01018
2025-09-25,172.39,173.25,168.5,169.52,1751084.0,NSE_EQ|INE970X01018
2025-09-26,169.2,169.52,165.1,165.86,1879543.0,NSE_EQ|INE970X01018
2025-09-29,165.4,167.31,160.99,163.37,4268653.0,NSE_EQ|INE970X01018
2025-09-30,163.37,166.95,163.24,166.31,2024547.0,NSE_EQ|INE970X01018
2025-10-01,167.14,167.69,165.1,166.28,1501570.0,NSE_EQ|INE970X01018
2025-10-03,168.4,173.68,167.0,173.24,6234684.0,NSE_EQ|INE970X01018
2025-10-06,174.18,174.2,170.14,170.67,1618089.0,NSE_EQ|INE970X01018
2025-10-07,170.76,171.48,166.9,167.23,1468137.0,NSE_EQ|INE970X01018
2025-10-08,167.23,168.47,165.5,166.2,1335973.0,NSE_EQ|INE970X01018
2025-10-09,166.5,167.48,163.5,163.85,1645281.0,NSE_EQ|INE970X01018
2025-10-10,164.99,166.87,163.93,164.43,2188408.0,NSE_EQ|INE970X01018
2025-10-13,163.47,167.06,161.1,165.71,3433570.0,NSE_EQ|INE970X01018
2025-10-14,165.05,165.46,161.1,161.63,2549962.0,NSE_EQ|INE970X01018
2025-10-15,162.25,163.5,161.61,163.01,1488892.0,NSE_EQ|INE970X01018
2025-10-16,163.21,167.9,163.1,163.57,3817557.0,NSE_EQ|INE970X01018
2025-10-17,164.0,167.0,164.0,166.12,2451461.0,NSE_EQ|INE970X01018
2025-10-20,166.9,169.3,165.2,166.25,2711396.0,NSE_EQ|INE970X01018
2025-10-21,169.74,169.84,168.0,168.47,896146.0,NSE_EQ|INE970X01018
2025-10-23,169.31,169.5,166.3,166.79,1347868.0,NSE_EQ|INE970X01018
2025-10-24,166.79,168.91,165.2,166.46,2106332.0,NSE_EQ|INE970X01018
2025-10-27,166.46,166.76,165.01,166.01,952847.0,NSE_EQ|INE970X01018
2025-10-28,166.08,166.65,163.36,164.7,965634.0,NSE_EQ|INE970X01018
2025-10-29,164.79,166.2,164.01,165.08,1392217.0,NSE_EQ|INE970X01018
2025-10-30,165.08,168.75,164.41,168.21,2288534.0,NSE_EQ|INE970X01018
2025-10-31,168.35,170.68,163.84,165.27,2780930.0,NSE_EQ|INE970X01018
2025-11-03,165.36,168.59,165.27,168.3,1293133.0,NSE_EQ|INE970X01018
2025-11-04,168.93,168.93,167.0,168.01,1060473.0,NSE_EQ|INE970X01018
2025-11-06,166.62,168.19,164.34,166.05,1434471.0,NSE_EQ|INE970X01018
2025-11-07,164.88,164.88,162.25,162.71,1380773.0,NSE_EQ|INE970X01018
2025-11-10,162.39,162.85,161.0,161.19,1787596.0,NSE_EQ|INE970X01018
2025-11-11,161.41,162.31,155.55,159.55,2265674.0,NSE_EQ|INE970X01018
2025-11-12,160.78,163.7,159.66,163.24,1306748.0,NSE_EQ|INE970X01018
2025-11-13,160.0,160.88,154.56,155.19,6213313.0,NSE_EQ|INE970X01018
2025-11-14,155.29,160.45,155.11,156.52,3680103.0,NSE_EQ|INE970X01018
2025-11-17,156.52,158.53,156.38,156.74,1543216.0,NSE_EQ|INE970X01018
2025-11-18,156.74,156.85,155.01,155.12,1140139.0,NSE_EQ|INE970X01018
2025-11-19,155.89,155.9,150.1,150.98,3035709.0,NSE_EQ|INE970X01018
2025-11-20,151.51,155.0,151.05,152.46,2159567.0,NSE_EQ|INE970X01018
2025-11-21,152.5,155.0,152.5,153.75,2561944.0,NSE_EQ|INE970X01018
2025-11-24,152.75,152.75,147.2,148.43,3011591.0,NSE_EQ|INE970X01018
2025-11-25,147.75,151.48,147.75,150.0,1524293.0,NSE_EQ|INE970X01018
2025-11-26,150.49,151.95,149.25,151.54,1519162.0,NSE_EQ|INE970X01018
2025-11-27,152.0,154.8,151.51,154.35,1729406.0,NSE_EQ|INE970X01018
2025-11-28,155.89,159.9,155.3,158.27,5430310.0,NSE_EQ|INE970X01018
2025-12-01,159.9,163.95,159.1,163.28,4576050.0,NSE_EQ|INE970X01018
2025-12-02,162.5,163.85,160.61,162.27,2102522.0,NSE_EQ|INE970X01018
2025-12-03,162.0,163.77,161.0,162.85,2020166.0,NSE_EQ|INE970X01018
2025-12-04,163.2,164.7,160.24,162.1,1424182.0,NSE_EQ|INE970X01018
2025-12-05,162.1,165.0,162.1,164.53,2531847.0,NSE_EQ|INE970X01018
2025-12-08,164.89,167.87,158.4,159.86,4163116.0,NSE_EQ|INE970X01018
2025-12-09,159.86,165.49,157.98,164.9,2220700.0,NSE_EQ|INE970X01018
2025-12-10,165.6,166.88,160.72,161.38,2056098.0,NSE_EQ|INE970X01018
2025-12-11,162.0,163.5,159.24,161.27,1163152.0,NSE_EQ|INE970X01018
2025-12-12,162.0,164.69,161.0,162.9,1952373.0,NSE_EQ|INE970X01018
2025-12-15,162.89,162.89,160.9,161.25,823482.0,NSE_EQ|INE970X01018
2025-12-16,162.0,162.63,160.3,161.55,954606.0,NSE_EQ|INE970X01018
2025-12-17,161.85,163.57,158.1,158.65,1412974.0,NSE_EQ|INE970X01018
2025-12-18,159.08,160.4,157.1,158.97,704432.0,NSE_EQ|INE970X01018
2025-12-19,159.35,160.4,158.84,159.83,904603.0,NSE_EQ|INE970X01018
2025-12-22,160.69,164.26,160.3,163.7,2422146.0,NSE_EQ|INE970X01018
2025-12-23,163.7,166.5,162.09,162.55,1747123.0,NSE_EQ|INE970X01018
2025-12-24,162.7,164.39,162.21,162.84,720482.0,NSE_EQ|INE970X01018
2025-12-26,162.86,163.45,161.18,161.58,825150.0,NSE_EQ|INE970X01018
2025-12-29,161.8,162.85,159.1,160.31,1247126.0,NSE_EQ|INE970X01018
2025-12-30,159.99,163.74,159.98,161.72,1144932.0,NSE_EQ|INE970X01018
2025-12-31,162.23,162.84,158.67,159.26,1113660.0,NSE_EQ|INE970X01018
2026-01-01,160.0,163.2,156.59,156.89,2852078.0,NSE_EQ|INE970X01018
2026-01-02,157.44,158.0,153.8,153.99,3033540.0,NSE_EQ|INE970X01018
2026-01-05,153.99,154.1,149.9,150.59,2958807.0,NSE_EQ|INE970X01018
2026-01-06,151.0,151.21,148.2,148.55,1942276.0,NSE_EQ|INE970X01018
2026-01-07,148.26,157.7,144.7,152.79,17573532.0,NSE_EQ|INE970X01018
2026-01-08,152.0,154.7,150.0,150.85,5491339.0,NSE_EQ|INE970X01018
2026-01-09,151.49,152.69,148.43,149.83,2903841.0,NSE_EQ|INE970X01018
2026-01-12,154.9,155.99,149.66,152.0,13346997.0,NSE_EQ|INE970X01018
2026-01-13,153.44,155.4,150.56,151.5,5138155.0,NSE_EQ|INE970X01018
2026-01-14,151.55,152.51,149.15,149.47,3392131.0,NSE_EQ|INE970X01018
2026-01-16,149.82,150.57,141.59,142.32,3484153.0,NSE_EQ|INE970X01018
2026-01-19,141.71,142.67,135.2,135.63,4105977.0,NSE_EQ|INE970X01018
2026-01-20,136.5,138.75,133.25,134.27,4539988.0,NSE_EQ|INE970X01018
2026-01-21,134.2,134.67,127.51,131.26,6105332.0,NSE_EQ|INE970X01018
2026-01-22,133.08,134.72,128.0,129.22,4429458.0,NSE_EQ|INE970X01018
2026-01-23,129.5,130.36,123.55,124.03,4145408.0,NSE_EQ|INE970X01018
2026-01-27,125.86,127.78,122.63,124.82,4585994.0,NSE_EQ|INE970X01018
2026-01-28,125.5,127.88,124.51,126.98,2582076.0,NSE_EQ|INE970X01018
2026-01-29,126.95,127.36,122.12,124.65,3972843.0,NSE_EQ|INE970X01018
2026-01-30,124.55,131.22,123.59,129.09,6720217.0,NSE_EQ|INE970X01018
2026-02-01,130.45,133.83,126.6,127.99,2593748.0,NSE_EQ|INE970X01018
2026-02-02,128.0,128.93,124.52,128.05,2543305.0,NSE_EQ|INE970X01018
2026-02-03,133.0,133.3,129.2,132.2,2874091.0,NSE_EQ|INE970X01018
