date,open,high,low,close,volume,instrument_key
2025-03-18,141.25,142.9,140.7,142.62,2131065.0,NSE_EQ|INE498L01015
2025-03-19,142.99,147.0,142.4,146.3,4720534.0,NSE_EQ|INE498L01015
2025-03-20,147.59,150.5,146.9,149.71,7231854.0,NSE_EQ|INE498L01015
2025-03-21,149.7,156.05,148.52,155.09,8697338.0,NSE_EQ|INE498L01015
2025-03-24,155.61,159.5,155.61,158.57,6203364.0,NSE_EQ|INE498L01015
2025-03-25,159.55,159.9,153.35,155.04,4033963.0,NSE_EQ|INE498L01015
2025-03-26,154.66,156.68,152.4,152.95,2895093.0,NSE_EQ|INE498L01015
2025-03-27,151.5,156.97,151.29,155.56,5524298.0,NSE_EQ|INE498L01015
2025-03-28,155.56,156.77,152.01,153.22,2859660.0,NSE_EQ|INE498L01015
2025-04-01,151.5,154.39,149.19,150.9,2293910.0,NSE_EQ|INE498L01015
2025-04-02,152.35,152.56,149.62,151.88,1515678.0,NSE_EQ|INE498L01015
2025-04-03,150.0,154.4,150.0,153.97,1807259.0,NSE_EQ|INE498L01015
2025-04-04,153.9,154.89,148.92,153.72,5623702.0,NSE_EQ|INE498L01015
2025-04-07,140.0,149.5,140.0,148.57,3978490.0,NSE_EQ|INE498L01015
2025-04-08,151.53,155.0,151.42,154.37,5252832.0,NSE_EQ|INE498L01015
2025-04-09,151.5,154.45,149.1,153.34,2411800.0,NSE_EQ|INE498L01015
2025-04-11,157.1,157.59,154.27,155.46,2824478.0,NSE_EQ|INE498L01015
2025-04-15,157.0,159.0,156.01,158.64,3713269.0,NSE_EQ|INE498L01015
2025-04-16,159.5,159.88,157.38,158.6,3312068.0,NSE_EQ|INE498L01015
2025-04-17,159.0,165.35,158.0,163.69,8873598.0,NSE_EQ|INE498L01015
2025-04-21,165.0,172.99,165.0,171.26,15861941.0,NSE_EQ|INE498L01015
2025-04-22,171.81,174.69,169.44,173.33,7861475.0,NSE_EQ|INE498L01015
2025-04-23,173.65,180.7,173.33,180.04,12980307.0,NSE_EQ|INE498L01015
2025-04-24,180.0,182.14,178.92,179.57,10991635.0,NSE_EQ|INE498L01015
2025-04-25,179.5,180.09,171.11,172.99,8757102.0,NSE_EQ|INE498L01015
2025-04-28,162.7,169.1,158.2,167.66,19860635.0,NSE_EQ|INE498L01015
2025-04-29,167.5,169.11,165.0,167.83,7647849.0,NSE_EQ|INE498L01015
