date,open,high,low,close,volume,instrument_key
2025-03-18,278.9,282.85,275.05,282.05,2614020.0,NSE_EQ|INE774D01024
2025-03-19,282.95,289.9,280.2,287.15,2242951.0,NSE_EQ|INE774D01024
2025-03-20,291.0,292.0,285.35,287.65,758269.0,NSE_EQ|INE774D01024
2025-03-21,286.45,293.5,286.3,291.35,1358636.0,NSE_EQ|INE774D01024
2025-03-24,291.75,296.0,291.75,293.1,1007036.0,NSE_EQ|INE774D01024
2025-03-25,294.0,295.6,288.1,289.2,1682828.0,NSE_EQ|INE774D01024
2025-03-26,289.55,292.7,285.5,287.2,842792.0,NSE_EQ|INE774D01024
2025-03-27,285.95,292.0,282.85,290.1,1198120.0,NSE_EQ|INE774D01024
2025-03-28,290.0,291.75,280.6,283.0,2313383.0,NSE_EQ|INE774D01024
2025-04-01,282.95,283.55,269.8,276.35,2437456.0,NSE_EQ|INE774D01024
2025-04-02,278.0,279.75,267.4,268.65,3137878.0,NSE_EQ|INE774D01024
2025-04-03,266.0,269.4,262.3,265.2,5621003.0,NSE_EQ|INE774D01024
2025-04-04,264.0,266.9,258.3,262.3,1994446.0,NSE_EQ|INE774D01024
2025-04-07,237.95,254.5,237.95,252.7,1663683.0,NSE_EQ|INE774D01024
2025-04-08,257.95,262.2,255.5,258.8,1139313.0,NSE_EQ|INE774D01024
2025-04-09,259.0,260.4,251.25,257.6,1186620.0,NSE_EQ|INE774D01024
2025-04-11,260.5,265.05,260.5,263.1,1132140.0,NSE_EQ|INE774D01024
2025-04-15,268.1,270.0,264.55,268.05,1419499.0,NSE_EQ|INE774D01024
2025-04-16,268.05,276.75,267.6,272.65,2161828.0,NSE_EQ|INE774D01024
2025-04-17,272.55,276.0,270.5,275.5,980843.0,NSE_EQ|INE774D01024
2025-04-21,276.95,278.0,273.05,275.8,3240661.0,NSE_EQ|INE774D01024
2025-04-22,276.45,279.9,273.65,277.15,4082971.0,NSE_EQ|INE774D01024
2025-04-23,273.0,278.05,265.2,269.9,7563566.0,NSE_EQ|INE774D01024
2025-04-24,270.5,271.6,267.65,268.6,1894891.0,NSE_EQ|INE774D01024
2025-04-25,270.5,270.75,263.4,264.6,2499342.0,NSE_EQ|INE774D01024
2025-04-28,264.0,266.0,260.85,261.6,6351544.0,NSE_EQ|INE774D01024
2025-04-29,264.4,265.35,260.3,261.3,1670828.0,NSE_EQ|INE774D01024
2025-04-30,261.05,264.95,258.35,262.05,3217620.0,NSE_EQ|INE774D01024
2025-05-02,264.5,264.6,260.0,262.1,1365842.0,NSE_EQ|INE774D01024
2025-05-05,262.25,265.8,262.25,264.5,2056642.0,NSE_EQ|INE774D01024
2025-05-06,265.0,266.25,257.75,258.45,1226939.0,NSE_EQ|INE774D01024
2025-05-07,257.2,262.85,256.7,261.0,1789765.0,NSE_EQ|INE774D01024
2025-05-08,262.0,264.1,253.4,254.85,1546743.0,NSE_EQ|INE774D01024
2025-05-09,251.85,253.7,242.8,244.25,8210093.0,NSE_EQ|INE774D01024
2025-05-12,253.0,258.7,250.1,256.85,8955344.0,NSE_EQ|INE774D01024
