date,open,high,low,close,volume,instrument_key
2025-03-18,213.0,213.98,207.7,211.21,14466441.0,NSE_EQ|INE522D01027
2025-03-19,210.51,214.5,210.51,213.92,10093996.0,NSE_EQ|INE522D01027
2025-03-20,217.0,219.9,211.85,217.5,36158880.0,NSE_EQ|INE522D01027
2025-03-21,226.0,247.6,219.73,234.16,146360729.0,NSE_EQ|INE522D01027
2025-03-24,236.3,243.75,236.25,240.38,28419220.0,NSE_EQ|INE522D01027
2025-03-25,240.2,241.4,232.0,236.98,15353423.0,NSE_EQ|INE522D01027
2025-03-26,236.08,237.2,231.3,232.22,7626451.0,NSE_EQ|INE522D01027
2025-03-27,231.0,234.45,229.6,232.83,7670867.0,NSE_EQ|INE522D01027
2025-03-28,234.5,235.25,230.16,232.75,7040336.0,NSE_EQ|INE522D01027
2025-04-01,232.0,234.37,230.05,232.13,8584230.0,NSE_EQ|INE522D01027
2025-04-02,232.13,235.8,230.02,234.3,5615532.0,NSE_EQ|INE522D01027
2025-04-03,235.5,235.79,232.51,234.41,5197477.0,NSE_EQ|INE522D01027
2025-04-04,234.38,235.09,230.21,232.83,3616131.0,NSE_EQ|INE522D01027
2025-04-07,222.66,229.91,219.39,225.6,16090755.0,NSE_EQ|INE522D01027
2025-04-08,227.0,230.0,225.15,229.06,4906218.0,NSE_EQ|INE522D01027
2025-04-09,227.9,228.67,221.76,224.93,14534663.0,NSE_EQ|INE522D01027
2025-04-11,225.5,228.49,224.5,225.94,7517265.0,NSE_EQ|INE522D01027
2025-04-15,227.8,227.89,224.75,226.03,4832410.0,NSE_EQ|INE522D01027
2025-04-16,226.92,227.84,225.81,226.82,2712738.0,NSE_EQ|INE522D01027
2025-04-17,226.41,230.5,225.31,229.21,6160697.0,NSE_EQ|INE522D01027
2025-04-21,229.9,236.3,229.0,233.34,9955587.0,NSE_EQ|INE522D01027
2025-04-22,234.0,234.8,231.55,232.2,5929493.0,NSE_EQ|INE522D01027
2025-04-23,232.8,232.85,229.29,231.75,8221361.0,NSE_EQ|INE522D01027
2025-04-24,231.68,233.5,228.32,228.83,7778915.0,NSE_EQ|INE522D01027
2025-04-25,229.0,229.49,222.51,226.93,7106833.0,NSE_EQ|INE522D01027
2025-04-28,226.0,233.0,225.51,231.27,5451828.0,NSE_EQ|INE522D01027
2025-04-29,232.68,235.33,231.25,232.05,4762051.0,NSE_EQ|INE522D01027
2025-04-30,231.31,233.65,229.04,230.85,4270268.0,NSE_EQ|INE522D01027
2025-05-02,230.85,233.94,230.1,231.06,3761656.0,NSE_EQ|INE522D01027
2025-05-05,231.87,233.0,229.2,229.97,2205812.0,NSE_EQ|INE522D01027
2025-05-06,230.0,230.74,227.0,227.78,3121327.0,NSE_EQ|INE522D01027
2025-05-07,227.05,231.25,226.71,230.69,3879614.0,NSE_EQ|INE522D01027
2025-05-08,230.76,231.78,227.25,227.86,4808349.0,NSE_EQ|INE522D01027
2025-05-09,226.51,229.39,226.02,228.62,3231874.0,NSE_EQ|INE522D01027
2025-05-12,227.1,232.4,226.5,230.73,11862405.0,NSE_EQ|INE522D01027
2025-05-13,230.45,232.29,228.61,231.1,4928403.0,NSE_EQ|INE522D01027
2025-05-14,230.32,233.75,230.32,232.9,7486330.0,NSE_EQ|INE522D01027
2025-05-15,232.6,233.55,228.9,229.36,4944145.0,NSE_EQ|INE522D01027
2025-05-16,229.94,230.1,228.64,229.48,2697332.0,NSE_EQ|INE522D01027
2025-05-19,229.03,229.9,228.33,228.67,1750455.0,NSE_EQ|INE522D01027
2025-05-20,228.71,229.31,228.0,228.11,1672329.0,NSE_EQ|INE522D01027
2025-05-21,228.11,229.35,227.79,228.06,2327250.0,NSE_EQ|INE522D01027
2025-05-22,227.92,230.86,227.55,229.66,3335708.0,NSE_EQ|INE522D01027
2025-05-23,229.88,231.8,229.49,230.73,4612755.0,NSE_EQ|INE522D01027
2025-05-26,230.75,231.7,230.06,230.36,2098398.0,NSE_EQ|INE522D01027
2025-05-27,230.8,232.2,230.03,231.81,3835269.0,NSE_EQ|INE522D01027
2025-05-28,231.8,234.29,231.41,232.08,4829520.0,NSE_EQ|INE522D01027
2025-05-29,232.39,233.3,231.12,231.81,2717807.0,NSE_EQ|INE522D01027
2025-05-30,231.81,242.0,231.12,238.66,20406754.0,NSE_EQ|INE522D01027
2025-06-02,237.99,239.34,235.71,237.35,3653657.0,NSE_EQ|INE522D01027
2025-06-03,237.42,240.5,236.1,237.17,3771001.0,NSE_EQ|INE522D01027
2025-06-04,237.26,238.4,231.1,232.37,5643997.0,NSE_EQ|INE522D01027
2025-06-05,232.47,236.38,232.41,234.58,5253339.0,NSE_EQ|INE522D01027
2025-06-06,234.84,248.95,233.97,247.56,27729027.0,NSE_EQ|INE522D01027
