date,open,high,low,close,volume,instrument_key
2025-03-18,2174.95,2189.25,2115.1,2145.8,849992.0,NSE_EQ|INE634S01028
2025-03-19,2170.0,2181.4,2132.0,2161.7,1057646.0,NSE_EQ|INE634S01028
2025-03-20,2184.75,2269.0,2166.6,2244.85,433907.0,NSE_EQ|INE634S01028
2025-03-21,2269.35,2450.0,2253.0,2415.05,2362286.0,NSE_EQ|INE634S01028
2025-03-24,2423.55,2423.55,2328.0,2372.15,599027.0,NSE_EQ|INE634S01028
2025-03-25,2377.0,2408.0,2334.75,2398.05,423599.0,NSE_EQ|INE634S01028
2025-03-26,2415.0,2442.0,2361.4,2403.7,351136.0,NSE_EQ|INE634S01028
2025-03-27,2402.75,2492.7,2372.5,2452.15,551414.0,NSE_EQ|INE634S01028
2025-03-28,2467.95,2485.0,2411.05,2424.75,479815.0,NSE_EQ|INE634S01028
2025-04-01,2423.5,2468.95,2397.4,2458.1,501362.0,NSE_EQ|INE634S01028
2025-04-02,2458.1,2470.45,2403.0,2421.9,180549.0,NSE_EQ|INE634S01028
2025-04-03,2463.0,2530.0,2415.45,2427.7,446510.0,NSE_EQ|INE634S01028
2025-04-04,2429.0,2463.45,2405.0,2451.2,393371.0,NSE_EQ|INE634S01028
2025-04-07,2362.0,2444.0,2332.05,2383.45,880194.0,NSE_EQ|INE634S01028
2025-04-08,2408.85,2453.05,2335.2,2347.5,527892.0,NSE_EQ|INE634S01028
2025-04-09,2337.0,2337.0,2292.75,2313.95,566926.0,NSE_EQ|INE634S01028
2025-04-11,2369.0,2384.95,2316.0,2350.5,298765.0,NSE_EQ|INE634S01028
2025-04-15,2420.0,2458.9,2391.0,2426.1,362005.0,NSE_EQ|INE634S01028
2025-04-16,2425.0,2538.1,2418.1,2520.0,764066.0,NSE_EQ|INE634S01028
2025-04-17,2509.9,2600.0,2500.0,2581.6,489420.0,NSE_EQ|INE634S01028
2025-04-21,2586.3,2609.2,2554.5,2588.4,342055.0,NSE_EQ|INE634S01028
2025-04-22,2588.4,2613.8,2554.1,2579.5,459584.0,NSE_EQ|INE634S01028
2025-04-23,2580.0,2586.4,2521.7,2545.5,418141.0,NSE_EQ|INE634S01028
2025-04-24,2546.6,2629.0,2535.0,2599.2,377790.0,NSE_EQ|INE634S01028
2025-04-25,2605.0,2642.2,2525.0,2557.5,459518.0,NSE_EQ|INE634S01028
2025-04-28,2537.5,2595.0,2520.0,2560.4,113759.0,NSE_EQ|INE634S01028
2025-04-29,2560.4,2598.5,2539.9,2556.9,105474.0,NSE_EQ|INE634S01028
2025-04-30,2565.0,2584.8,2425.6,2465.3,734527.0,NSE_EQ|INE634S01028
2025-05-02,2467.0,2468.0,2358.7,2385.8,380164.0,NSE_EQ|INE634S01028
2025-05-05,2392.7,2419.2,2376.1,2415.4,120712.0,NSE_EQ|INE634S01028
2025-05-06,2415.4,2427.9,2350.0,2368.7,189736.0,NSE_EQ|INE634S01028
2025-05-07,2335.0,2442.5,2330.0,2432.4,315259.0,NSE_EQ|INE634S01028
2025-05-08,2432.4,2478.7,2385.0,2439.5,272988.0,NSE_EQ|INE634S01028
2025-05-09,2390.6,2433.3,2370.5,2408.2,567789.0,NSE_EQ|INE634S01028
2025-05-12,2459.9,2528.4,2444.0,2500.0,445726.0,NSE_EQ|INE634S01028
2025-05-13,2500.0,2564.7,2500.0,2547.3,401730.0,NSE_EQ|INE634S01028
2025-05-14,2545.0,2569.9,2480.9,2554.6,307285.0,NSE_EQ|INE634S01028
2025-05-15,2553.8,2573.1,2516.0,2559.9,141156.0,NSE_EQ|INE634S01028
