date,open,high,low,close,volume,instrument_key
2025-03-18,50.4,51.57,49.83,50.72,1878079.0,NSE_EQ|INE123F01029
2025-03-19,51.18,54.99,51.15,53.56,2692023.0,NSE_EQ|INE123F01029
2025-03-20,54.0,54.99,53.05,53.87,2082085.0,NSE_EQ|INE123F01029
2025-03-21,53.05,55.75,53.05,54.84,2019006.0,NSE_EQ|INE123F01029
2025-03-24,55.33,57.5,55.2,55.9,2177914.0,NSE_EQ|INE123F01029
2025-03-25,56.19,56.38,53.43,53.69,1605335.0,NSE_EQ|INE123F01029
2025-03-26,53.67,55.5,52.3,52.49,2933227.0,NSE_EQ|INE123F01029
2025-03-27,52.45,59.39,51.19,54.08,16165378.0,NSE_EQ|INE123F01029
2025-03-28,54.36,55.52,52.01,52.18,2738668.0,NSE_EQ|INE123F01029
2025-04-01,51.49,54.4,51.37,53.96,2058103.0,NSE_EQ|INE123F01029
2025-04-02,54.01,55.9,52.59,54.26,2429988.0,NSE_EQ|INE123F01029
2025-04-03,53.72,54.86,52.75,54.56,1310214.0,NSE_EQ|INE123F01029
2025-04-04,54.0,54.44,50.8,51.55,2038968.0,NSE_EQ|INE123F01029
2025-04-07,44.5,49.05,44.5,48.41,2485780.0,NSE_EQ|INE123F01029
2025-04-08,50.8,51.45,49.31,49.89,1750319.0,NSE_EQ|INE123F01029
2025-04-09,50.25,50.25,48.01,48.95,875657.0,NSE_EQ|INE123F01029
2025-04-11,50.47,50.9,49.76,50.36,1022782.0,NSE_EQ|INE123F01029
2025-04-15,51.0,52.9,50.92,52.76,1820113.0,NSE_EQ|INE123F01029
2025-04-16,53.2,54.6,52.6,53.62,2166308.0,NSE_EQ|INE123F01029
2025-04-17,53.72,54.6,53.3,53.79,1279044.0,NSE_EQ|INE123F01029
2025-04-21,54.15,55.3,53.67,54.91,1524334.0,NSE_EQ|INE123F01029
2025-04-22,55.2,56.37,54.71,55.74,1742336.0,NSE_EQ|INE123F01029
2025-04-23,55.75,56.7,54.8,55.83,1489009.0,NSE_EQ|INE123F01029
2025-04-24,55.8,65.7,55.5,61.85,50705153.0,NSE_EQ|INE123F01029
2025-04-25,61.61,61.68,57.74,58.28,8872622.0,NSE_EQ|INE123F01029
2025-04-28,58.1,58.77,56.9,58.12,4312881.0,NSE_EQ|INE123F01029
2025-04-29,56.44,59.36,56.44,57.31,3376273.0,NSE_EQ|INE123F01029
2025-04-30,57.48,57.48,55.8,56.19,2056297.0,NSE_EQ|INE123F01029
2025-05-02,56.33,56.85,55.12,55.41,2136611.0,NSE_EQ|INE123F01029
2025-05-05,55.41,57.11,55.23,56.43,1823993.0,NSE_EQ|INE123F01029
2025-05-06,56.43,56.82,53.3,53.67,1620353.0,NSE_EQ|INE123F01029
2025-05-07,52.0,54.28,52.0,53.89,1495839.0,NSE_EQ|INE123F01029
2025-05-08,54.08,55.21,52.02,52.87,1129064.0,NSE_EQ|INE123F01029
2025-05-09,50.5,52.77,50.5,52.28,1667683.0,NSE_EQ|INE123F01029
2025-05-12,54.3,56.8,54.3,56.38,2526864.0,NSE_EQ|INE123F01029
2025-05-13,56.85,57.7,55.85,56.88,1479229.0,NSE_EQ|INE123F01029
2025-05-14,57.33,60.8,57.16,59.42,5977889.0,NSE_EQ|INE123F01029
