date,open,high,low,close,volume,instrument_key
2025-03-18,81.27,83.87,81.0,83.59,17961108.0,NSE_EQ|INE775A01035
2025-03-19,84.0,86.19,83.34,86.01,14778406.0,NSE_EQ|INE775A01035
2025-03-20,86.34,86.67,84.88,85.85,10843004.0,NSE_EQ|INE775A01035
2025-03-21,86.66,88.54,86.18,87.56,28233799.0,NSE_EQ|INE775A01035
2025-03-24,88.14,90.0,87.87,89.34,13818634.0,NSE_EQ|INE775A01035
2025-03-25,90.67,90.94,87.2,87.64,18106858.0,NSE_EQ|INE775A01035
2025-03-26,88.77,90.6,88.4,89.96,28122059.0,NSE_EQ|INE775A01035
2025-03-27,87.0,88.59,83.16,87.94,55630717.0,NSE_EQ|INE775A01035
2025-03-28,89.87,91.46,87.03,87.31,28717815.0,NSE_EQ|INE775A01035
2025-04-01,87.31,88.56,86.07,87.42,14986010.0,NSE_EQ|INE775A01035
2025-04-02,86.67,88.36,86.08,88.15,11111866.0,NSE_EQ|INE775A01035
2025-04-03,86.34,87.1,85.16,85.96,29814014.0,NSE_EQ|INE775A01035
2025-04-04,85.67,85.7,78.6,79.29,62316529.0,NSE_EQ|INE775A01035
2025-04-07,73.34,76.64,71.5,76.26,45357048.0,NSE_EQ|INE775A01035
2025-04-08,81.0,81.0,75.34,76.69,37535974.0,NSE_EQ|INE775A01035
2025-04-09,76.7,77.19,74.68,75.34,22198440.0,NSE_EQ|INE775A01035
2025-04-11,79.32,80.0,76.97,78.82,34633732.0,NSE_EQ|INE775A01035
2025-04-15,85.34,86.7,83.34,85.09,80469183.0,NSE_EQ|INE775A01035
2025-04-16,85.34,86.4,84.62,85.56,21141113.0,NSE_EQ|INE775A01035
2025-04-17,85.6,86.67,84.58,86.45,14368529.0,NSE_EQ|INE775A01035
2025-04-21,87.34,88.63,85.93,88.38,15848661.0,NSE_EQ|INE775A01035
2025-04-22,88.67,90.17,87.6,88.87,23253193.0,NSE_EQ|INE775A01035
2025-04-23,89.94,91.12,88.96,90.49,24651014.0,NSE_EQ|INE775A01035
2025-04-24,90.94,92.23,90.12,90.8,24760264.0,NSE_EQ|INE775A01035
2025-04-25,90.38,91.08,88.02,89.14,38226699.0,NSE_EQ|INE775A01035
2025-04-28,88.68,90.76,88.34,90.0,19021153.0,NSE_EQ|INE775A01035
2025-04-29,91.81,92.99,89.91,90.72,35095283.0,NSE_EQ|INE775A01035
2025-04-30,90.34,90.34,87.85,88.85,28207762.0,NSE_EQ|INE775A01035
2025-05-02,88.58,89.87,87.6,88.37,16147867.0,NSE_EQ|INE775A01035
2025-05-05,88.37,93.0,88.37,92.61,18357597.0,NSE_EQ|INE775A01035
2025-05-06,93.2,93.6,89.47,90.32,15872473.0,NSE_EQ|INE775A01035
2025-05-07,87.34,95.3,87.08,94.98,41573424.0,NSE_EQ|INE775A01035
2025-05-08,96.0,98.2,93.34,94.32,57997660.0,NSE_EQ|INE775A01035
2025-05-09,91.34,95.3,90.95,91.9,32622788.0,NSE_EQ|INE775A01035
2025-05-12,95.67,97.34,92.74,96.71,39046729.0,NSE_EQ|INE775A01035
2025-05-13,96.37,96.83,94.41,94.97,14949364.0,NSE_EQ|INE775A01035
